Speaker,Dialogue
judit,The Door of Alcala has also darkened.
judit,"Mateo, say something!"
judit, Don't say that!
off harry,"I always wanted to be another person, to be someone beside myself. To dispose of a single identity didn't seem enough. Living a single life wasn't enough for me. And half-joking, I came up with a pseudonym for myself, Harry Caine, an adventurer who, as fate would have it, became a writer. At that time, I had him author all the scripts and stories that I wrote. I came up with a standard biography to fill the back flap of his books. He had been a sailor, an industrial spy, the doorman at a Parisian cabaret, a boxer, a waiter and an advertisement hand-double. A self-made man, active and attractive like an English spy, vital, skeptical and sarcastic. For many years, Mateo Blanco and Harry Caine shared the same person, me, but a time came when, all of a sudden, I couldn't be anyone other than Harry Caine. I became my pseudonym. . Just as I had planned, a heterodox writer and, never better stated, a self-made man, one might even say, ""self-written man"". There was only one detail I had not foreseen, Harry would be a blind writer."
waiter friend,Do you want me to read you something from the newspaper?
harry,"No, thanks. I am off on a stroll."
girl, Watch out! You can't cross!
harry,Sorry . . .
girl,I'll tell you when!
harry,Thank you very much.
harry,"I live nearby, two blocks up, would you mind coming along with me?"
harry,You will only have to browse.
girl,Do you mind if I turn on the light? So that I can read... It's too dark in here.
harry,"Oh, yes... Turn the light on..."
girl,Ernesto Martel is dead!
harry,Who?
girl,Ernesto Martel. I know one of his granddaughters...
harry,So he's dead.
girl,You knew him?
harry,No...
girl,"What are you interested in, politics, economy... culture?"
harry,I am interested in you. What are you like? Do you mind describing yourself?
judit,What are you laughing at?
harry,"I am only smiling, because of the way you're looking at me."
girl, I must go.
harry,Thanks for helping me cross.
judit," I'm sorry, I thought you were alone."
harry,She helped me cross the street and I invited her in to read me the newspaper . . .
judit,"Harry, you can't bring into your house the first person who helps you across the street. One of these days something awful will happen to you!"
harry," Everything awful that's had to happen to me has. Now, all that's left is for me to enjoy life . . ."
judit,Diego told me yesterday that you finished the script.
harry,"I would like to add a final epilogue. It may not be necessary, but I'd like to write it."
judit,I agreed to deliver the definitive version to the producer and director today.
harry,"You will have it by tomorrow, don't worry."
harry,Ernesto Martel has died.
judit,I think he was very ill...
harry,It's been so long since we've spoken of him!
judit,You look awful ...!
diego,I ran here.
harry,"And it's Monday! Diego, you don't have to run for me. We are not in a hurry."
judit,"I am, I've committed ..."
harry,"You'll have it by tonight, don't worry."
judit,Start thinking of the next script. Some kind of horror or fantasy story for bratty teenagers. It's what sells best ...
harry,I don't know if I'll know how to. I was thinking of developing a story inspired by Arthur Miller's son...
judit, The writer who married Marilyn?
judit,And Miller never saw him? ...
