Speaker,Dialogue
narrator,"As far as con man stories go, I think I've heard them all. Of grifters, ropers, faro fixers, tales drawn long and tall. But if one bears a bookmark in the confidence man's tome, twould be that of Penelope, and of the brothers Bloom."
narrator,At ten and thirteen Bloom and Stephen 
narrator,had been through several foster families.
2, 4   CONTINUED:                                                  4
narrator,"Mischief moved them on in life, and moving kept them close."
narrator,"For Bloom had Stephen, Stephen Bloom, and both had more than most."
narrator,"Another home, another main street. Stephen looked around, then summed the burgh up thusly:"
stephen,"Bloom, we've hit a one hat town."
narrator,"One theater. One car wash. One cafe. One park. One cat. Which, through some mishap, had one leg."
stephen,Sweet Jesus. Look at that.
narrator,"One school, which meant one tight- knit group of local well-off kids."
narrator,"Their pocket-change bought rocket pops,"
narrator,"The brothers,"
stephen,Pixie Stix.
narrator,"They were the `they'. All well loved, rooted, happy as you please."
stephen,The playground bourgeoisies.
narrator,Could he simply
narrator,"Just drop his fears and go? Leave his brother in the woods, and join the children?"
bloom,What's doing?
stephen,What?
bloom,You shuffle when you're thinking something through. So whatcha thinking?
stephen,Not a thing.
narrator,"This wasn't really true. Cause in the root of Stephen's psyche, something now began. A seed of grand epiphany. A hook. A tale."
stephen,A plan.
narrator,"A fiction made for profit, in which both boys played a part. A simple con in fifteen steps."
stephen,And this is where we start.
narrator,"And then, as if a curtain had been pulled back from the sky... Some barrier within the younger Bloom was broken."
bloom,Hi.
narrator,So Bloom performed his role in Stephen's story to a T.
narrator,"And being who he wasn't, could be as he wished to be."
stephen,Oh - kay. How's it going on the playground front?
bloom,It's great.
stephen,"So, on to step eleven, then.   The Tale. You tell them -"
bloom,Wait...
narrator,Must the numbers rattle on?    Must the fiction end?
bloom,I think I need more time to win their-
stephen,"Bloom. They're not your friends. They're part of this, and this aint real. Remember, it's a con. And when it's done, we've just got us. And we'll be moving on.  So, the tale. You tell them there's a"
bloom,"hermit in the woods. A one eyed, steel toothed vagabond..."
bloom,...with blood red eyes?
stephen, That's good. He stopped you coming home from school...
bloom,...and told me of a cave.
girl,What kind of cave?
bloom,A cave of wonders.
boy,Pffft ha.
girl,"Shut up, Dave."
bloom,"At noon on every Sunday, there appears a ball of light, which flutters like a butterfly..."
girl,A will-o-whisp?
bloom,That's right. It guides you
stephen,...if you can keep up...
bloom,...to where the treasures lay.
boy,So where's this cave?
girl,"Yeah, where?"
stephen,"Ah-hah. The hermit didn't say. He got this greedy glinting look, the filthy red-eyed leech... and said he'd tell for thirty bucks."
excited boy,Well that's just two bucks each!
narrator,So Sunday came...
narrator,"...and straight from church, into the woods Bloom led."
narrator,They stopped. Their hearts leapt. There it was.
girl,Just like the hermit said!
narrator,"For just one moment, Bloom forgot himself and ran too fast.  He puts on a burst of speed, gets ahead of the crowd.  NARRATOR  But the moment passed.  The other kids and the girl pass him, but Bloom stands dead still, a strange expression on his face.  The girl turns back towards him, still running, and holds out her hand for him to follow.  But he doesn't.    He stays behind, and is soon left alone."
narrator,"They didn't catch the will-o-wisp, but didn't really care."
stephen,"It seems to me that in the end, the perfect con is where each one involved gets just the thing they wanted."
bloom,Yeah I guess so.
narrator,Our fledgling thieves were satisfied.
narrator,"The children's parents, less so."
