Speaker,Dialogue
annie,Which makes it like sex.  Making love is like hitting a baseball -- you just got to relax and concentrate.
annie,"Besides, I'd never sleep with a player hitting under .250 unless he had a lot of R.B.I.'s or was a great glove man up the middle.  A woman's got to have standards."
annie,"The young players start off full of enthusiasm and energy but they don't realize that come July and August when the weather is hot it's hard to perform at your peak level.  While I don't believe a woman needs a man to be fulfilled, I do confess an interest in finding the ultimate guy -- he'd have that youthful exuberance but the veteran's sense of timing..."
annie,"Y'see there's a certain amount of ""life-wisdom"" I give these boys.  Of course a guy will listen to anything if he thinks it's foreplay."
annie,I make then feel confident. They make me feel safe. And pretty.
annie,What I give them lasts a life-time. What they give me lasts 142 games. Sometimes it seems like a bad trade.  It's a long season and you got to trust it.
annie,"I've tried them all -- I really have --  and the only church that truly feeds the soul -- day in, day out -- is the Church of Baseball."
skip,Where's Ebby?
larry,Ain't he warning up?
skip, No. The guy's professional debut and he forgets about it.
larry,"Better find our bonus baby, eh?"
skip,Seen Ebby?
deke, Nope.
skip,Ebby?!
skip,Jesus. Game starts in four minutes!  Why ain't you warm?!
ebby,I am warm.
skip,"I'm fining you a hundred dollars. Jesus, Ebby, this is your professional debut tonight -- you know how many guys out there'd give blood to be in your shoes an' you're leavin' your fastball in the locker room for some piece of ass!"
millie,"Skip, It's me! I'm not some quote piece of ass unquote."
skip,"Oh, Millie, jeez, sorry -- I didn't recognize ya. Don't take it personal but if I catch you in here again you're banned from the ballpark."
millie,You can't ban me from the ballpark 'cause Daddy donated the scoreboard and if you banned me he might take the scoreboard away.
skip,Whatta we need a scoreboard for? We haven't scored any runs all year  Get your ass out there.
ebby,"Hey Boss, I got a question."
skip, What?!
ebby,You think I need a nickname? I think I need a nickname. The great ones have nicknames -- somethin' like Oil Can or Catfish...
skip,Ya got three minutes.
ebby,Got time for another quickie?
millie,"Jesus, you got a game to pitch!"
ebby,But we got three minutes.
recording,"When the clock strikes two, three, and four and the band slows down we'll yell for more, gonna rock around the clock tonight."
annie,Number twenty-two's thighs are just great. Who's he?
jackson, Jose Galindo. He hit .314 at Lynchburg last year.
annie,"Three-fourteen? Hmmm...  Look't those thighs, Jackson."
announcer,Let's hear it for Max Patkin --
announcer,"""The Greatest Show on Dirt"" -- your own Durham Bulls!"
ebby,"I'm there, Skip, I'm ready."
whitey,Is this guy LaLoosh worth a hundred grand? I hear he's a quart low?
annie,"-- Millie, you've got to stay out of the clubhouse. It'll just get everybody in trouble."
millie,I got lured.
annie,"You didn't get ""lured"". Women never get lured. They're too strong and powerful for that. Now say it -- ""I didn't get lured and I will take responsibility for my actions""."
millie,"""I didn't get lured and I will take responsibility for my actions""."
annie,That's better.  Got the radar ready?
jackson,Ready.
skip,Little high.
larry," C'mon big 'un, you're okay..."
jackson,Ninety-five miles an hour.
annie,"He looks great, just great!"
catcher,What the hell was that?! Lighten up a little. Awright?
ebby, Hey -- what's your name again -- I'm bad with names --
catcher,Ed. You want me to write it on my chest? Jesus ...
ebby,"Sorry. Hey, Ed, I got a question."
catcher,What?
ebby,Who's the beef sitting behind the third base dugout?
catcher," That's Annie Savoy. Nice eh? But that's more woman than you ever dreamed of, Rook. She could kick your ass and have you for breakfast."
teddy,One ball and no strikes to Willie Foster...
