Speaker,Dialogue
burlesque,"DRUM ROLL ends with a CYMBAL CRASH. The SCREEN goes BLACK. Then we hear an opening MUSIC ""INTRO"", a bawdy QUARTET. EXTREME CLOSE UP: RED LUSCIOUS LIPS... speaking directly into CAMERA in a smoky, sultry voice."
tess,"Once upon a time ...a long, looong time ago... there was a good little girl...and they called her... REVEAL ...TESS. A stunner with impossibly long lashes, theatrical make-up and a sequined, skin-tight band-aid of a dress. She works the tight stage of the club, toying with the AUDIENCE."
ali,"Uh, excuse me? You forgot something. He turns. Sees: ALI ROSE. One hand holding a bar rag, the other planted on her hip. Ali has a look that's all her own: short shorts, white platform sandals, hair piled up high, more make-up than the rest of Grundy's women combined. She's young -- 22 -- but has a confidence that's got nothing to do with age."
regular,"No, that's your tip."
ali,"Huh. See, now that's interesting -- you and I must do math completely differently, cause me? I start with the six beers I brought you, add the four spills I cleaned up, the five times I refilled your peanuts, plus the three times you ""accidentally"" touched my ass, then I tack on lying to your wife when she called looking for you, twice, and I come up with a sum that's a hell of a lot more than twenty-five cents. Before the Regular can respond, Ali is joined by LORETTA -- 30's wearing every one of those years hard."
loretta,"She's just teasing, Ike. You go on home now, and tell Kay I said hi. The Regular leaves. Loretta picks up the quarter."
ali,Nothin's cheap. A quarter's an insult.
loretta,It'll cover half a load down at the Spanky Clean.
ali,"There's only one thing a quarter is good for. Ali takes the quarter and heads to the back of the room, passing a GEEZER who's sitting by himself, drinking alone."
loretta,"Oh no, hon, now you know how Dwight feels about that."
ali,Dwight isn't here. Ali stops in front of the rinky-dink karaoke machine.
loretta,He could come back any minute.
ali,"Tough. I'm not working here for the tips Loretta. She pops the quarter into the machine and chooses a song. She picks up the microphone and, after a few opening beats, starts singing ETTA JAMES'S ""SOMETHING'S GOT A HOLD ON ME""."
tess,"The insatiable La Puccini Triplets! Death-defying daredevils Missy and Kitten DeVille! The Countess of contortion, Eva Destruction! And how about a little love for those bad boys of burlesque, our naughty- bawdy bumber band! THE TATTOOED BAND blares as the troupe kicks in unison"
loretta,People around here wouldn't know talent if it bit 'em in the Danglies. Where you gotta go is Des Moines. They got karaoke bars where you can win a hundred bucks a night.
