Speaker,Dialogue
palmer,Ozzie.    Sit down.
osbourne,Palmer.   What's up.
palmer,"You know Peck, and Olson."
osbourne,"Peck, yes, hiya. Olson, by reputation. Hi, Osbourne Cox."
olson,"Yeah, hiyah."
osbourne,"Aren't you with...aren't you, uh..."
palmer,"Yeah, that's right. Oz, look. There's no easy way to say this. We're taking you off the Balkans desk."
osbourne,You're----what? Why?
palmer,In fact we're moving you out of Sigint entirely.
osbourne,"...What?    No discussion, just----you're out?"
palmer,"Well, we're having the discussion now Oz. This doesn't have to be unpleasant."
osbourne,"Palmer, with all due respect----what the fuck are you talking about?"
palmer,"... Look, Ozzie----"
osbourne,What the fuck is this?!     Is it my----I know it's not my work.
palmer,Ozzie----
osbourne,I'm a great fucking analyst!     Is it----
palmer,"Oz, things are not going well.      As you know."
peck,You have a drinking problem.
osbourne,I have a drinking problem.
palmer,"This doesn't have to be unpleasant. We found you something in State. It's a, uh..."
osbourne, This is an assault.
peck,"Come on, Ozzie."
osbourne,"This is an assault. I have a drinking problem? Fuck you, Peck, you're a Mormon!"
peck,Ozzie----
osbourne,Next to you we all have a drinking problem! Fuck you guys! Whose ass didn't I kiss? Let's be honest!
palmer,"Okay, Olson----"
osbourne,Let's be fucking honest...
katie,You're home.
osbourne,"Hang on to your hat, honey.    I have some news. I----"
katie,Did you pick up the cheeses?
osbourne,Huh?
katie,Were they ready? I didn't know you were coming home this early.
osbourne, The cheeses.
katie,I left a message for you to stop at Todaro's. The Magruders and the Pfarrers are coming over.
osbourne,The Pfarrers? Ugh.    I----what did Kathleen say?
katie,What?
osbourne,When you left the message?
katie,She said.    She would give you.   The message.
osbourne,"Well she, I don't know, I guess we had bigger news today. My day didn't revolve arou----"
katie,So you didn't get the cheeses.
osbourne,"Well, since I didn't get the message, no, I didn't get the cheeses. But hang on to your hat, I----"
katie,"Oh for fuck's sake, Ozzie, you mean I have to go out again? All right, well, you better get dressed."
osbourne,"Honey, we have to talk."
katie,"Not right now. They'll be here in, what, less than an hour."
voice,"Is this a, uh, goat cheese?"
harry,Because I have lactose reflux.    But I can----
osbourne,You're lactose intolerant?
harry,"Yes, but I can----"
osbourne,Or you have acid reflux?    They're two different things.
harry,I know what they are.
osbourne,Then you misspoke yourself.    So I----
harry,Thank you for correcting me.
katie,"You should try the chevre, Harry. It's very good."
harry,Yeah.   I can eat goat cheese.
katie,Harry works with the Marshalls'                       * Service.                                              *
doug magruder,"Ah. I'm on the legislative side, I                 * work with Senator Hobby.                           * "
osbourne,If you want he'll show you his great big gun.
harry,Very amusing. The gun is actually no big deal. Twenty years in the marshall's service and I've never discharged my weapon.
