Speaker,Dialogue
brooke vo," There's never been anyone like you, since you. I love you Vaughn. I love you like no-one else ever has, or could. I'm not going to try to persuade you. Just follow your heart. OK?"
vaughn,"I don't know. I mean I want you, I want to be with you. You know that. It's just . . ."
vaughn,Can you . . . just give me twenty four hours  OK?
brooke os, Are you lost? You sound lost.
vaughn,"Thought I'd try a new way home. Beat the traffic, you know."
brooke os, A little girl fell in love with a little boy. Still falling over here!
vaughn,"OK  I'll call you, babe. OK?"
satnav voice,"In point two of a mile, keep right . . ."
brooke, I love you Vaughn. Once upon a time.
vaughn,I love you too. I gotta. . . I'll call you  OK. Bye baby.
brooke os, Another call. Is it her?
vaughn, Yes.
brooke os, I guess you better take it.
vaughn,I have to go. I'll call you. . .
brooke os, I know. I figured.
vaughn,What does that mean? Look you know how it is. I'll see you very soon. Always  OK? Ciao baby.
vaughn,Mia. Hi honey.
mia os, Mia? Who's she? It's late. Pip wants a goodnight kiss. Where are you? Vaughn?
pip,Daddy!
brook vo,Once upon a time.
vaughn,OK. See you later.
mia,Pip - you helping me or what?
mia, Any more takers?
mia,Wrong time of the month?
mia,Don't worry. Seriously.
mia, You out later then darling?
vaughn,Yeah. Probably. I don't know.
brook vo,Just follow your heart. OK?
pip,But why not? Daddy said we could. Daddy?
vaughn,I'm not sure sweetheart.
brook vo, You promised.
mia,"Daddy's not feeling too well, darling. I'm sure a swim will do us all good."
pip,Daddy? Please? Mia said you'd. . .
mia,Mummy. It's mummy! Who's Mia!?
pip,Mamma Mia!
pip,But why can't daddy come?
mia,Come on. Milkshakes later!
mia,I've given you every last atom.
brooke,Vaughn Black. Will you come out and play?
brooke,Thank you.
brooke,"Beer, water or tea? The world's your oyster."
vaughn,How long have you been here?
vaughn,"White, one sugar. Thank you."
brooke,My lord.
brooke,"What you did . . . I mean I appreciate what you've done for me  for us. All I can tell you is that it will be worth it. We're meant to be together, V. You've always said that."
vaughn,Come on. You don't owe me anything. I made a choice.
brooke,I've been waiting to show you.
vaughn,"My God, Brooke. It's . . ."
vaughn,You're telling me I stink. Mea culpa!
brooke,No!
vaughn,I'll take a shower.
brooke,I'll show you. Might even watch you. A man in my shower. The little boy a little girl fell in love with. Once upon a time.
vaughn, He's still in there somewhere.
brooke,And now . . .
brooke, I'm so sorry.
vaughn, Don't be daft. I'm sorry. It's. . .
brooke,You don't need to be. Take your time.
vaughn,An accident? You didn't tell me.
vaughn,All in good time  OK?
brooke,We have forever. Oh my love.
brooke,We have forever. Promise?
brooke,"Good day, bad day . . ?"
brooke,Got something for you lover-boy.
vaughn,Thank you.
brooke,So now you've got everything you need here. So now . . .
vaughn,"Brooke, look. . ."
brooke,Brooke? You never call me that.
vaughn,My love.
vaughn,What happened?
brooke,What happened?
brooke,What happened?
vaughn, Pip's with mum?
vaughn,How is she?
mia,"Don't start, Vaughn. What kind of a fucking stupid question is that? How's my daughter now that I've walked out on her and her mother and run into the arms of my childhood sweetheart?"
mia,"Jesus  the false caller IDs on your phone. `Office'? I mean please. And remember eye contact? You should try private browsing or at least clear your history every now and again. For someone who's in fucking IT . . . So what now? You want some clothes, your tool box, the toaster: a divorce?"
mia,Have them all. On the house.
mia,"What am I supposed to do now, bastard: tell me, tell me, tell. . ."
satnav voice,"In point two of a mile, keep right . . ."
vaughn,Babe?  Brooke?
brooke,Boo!
brooke,What's wrong?
brooke,Blimey  someone lost their sense of humour.
brooke,I thought you'd be pleased for me. I got a job!
vaughn,That's brilliant. When?
brooke,Start on Monday. It'll be good for us  we can be DINKYs.
vaughn,It's great  really.
brooke,You're hungry. Thirsty? Let me get you a drink. Drink for my king. Then maybe . . .
vaughn,Tell me! For God sake . . .
vaughn,Who did this to you?
brooke,"Does it matter? He was jealous. He's everything you're not. Vaughn? You love me. Baby? You don't need to fear him. They're just scars. Oh God, no. Vaughn? They're just scars for God sake. This is my body!"
brooke,Can you see properly? Can you?  Do you like them?
brooke,"Smart question Vaughn, smart."
brooke,Love me.
brooke,Love me!
brooke,"Love me, bastard! COWARD!"
brooke,It doesn't matter.  Go back to her. Go back to mama. It's where you belong.
brooke,Go forever. Now.
dolores,. . .though normally there's a charge for that.
cy,Of course there is.
dolores,There you go.
dolores, OK.
dolores,Here he is now.  Mo?
dolores,Mo? Mo  could you please just see Mister Caudwell out? He just needs to pick something up.
mo,No sweat Doll.
dolores,Dolores! How many more times?
mo,No worries Doll.
dolores,Sorry mister Caudwell. Mo here will see you out. I have to . . .
cy,OK  thanks.
cy,Thanks.
mo,No sweat.
mo,Wow  that's an old VHS isn't it?
cy,It is indeed. Are we done?
mo,Ain't seen one of those for years. Never used one.
cy,Really.
mo,Wait  I gotta sign you out man. Paperwork. You got the forms?
mo,Sir? You're a knight? The queen dub you or something? If I don't call you sir that doesn't mean I don't respect. It just means I don't call you sir.
cy,Fine. It doesn't really matter. Sorry.
mo,Wait  you're that director.
cy,Can we please just finish up and go. I'm late.
mo,Seriously  I know you. I'm an actor. We met once. Maybe . . .
cy,You've got the wrong man.
mo,No seriously. We met at an audition. You auditioned me.
mo,You must remember. I'm not doing this forever. Got plans to do things. Get my CV together. You must remember.
cy,Like I said . . .
cy,The fuck do you think you're doing?
mo,Take it easy. I'm only asking.
cy,How the hell do we . . .
cy,What the hell are you doing?
mo,Come on man  just a j-peg to let my buddies know I saw you. I photograph everything. Got gigs of shit at home. But you you're the man who directed. . .
cy,A sign or two might help.
mo,Exit? It's cool. Listen we won't do the . . . But slow down: you must remember me. You're  that's it: name begins with C. . .
cy,"OK. What the fuck is the matter with all this? I've got my thing, now I just want to get out of here. Let's sign the papers and I can't quite believe there are papers  and I'm done. Clear?"
mo,Clear. So what's on the  video?
cy,Jesus. Mind my business is on the video. Is that all right?
mo,"It's fine, bro; but hostility ain't working. Not in here."
mo,"It was that show - that play you were directing. Silver something. Shit. Four, five years back. Come on, man  you must remember."
cy,OK. I remember. So can we go now?
mo,"Sure, but look: what's with all the storage. You moving house or something?"
cy,"Something like that. Look: show me the way out of here now, man, or I'll have to speak to your supervisor. What was her name? Dorothy?"
mo,Shit no: Doll's just admin. Works up in the box.
mo,"Dolls in the doll house, doing doll things. Bless."
mo,Whoa. Relax Mister C. Out is way. OK?
mo,"Look I don't want you to mind me talking to you and all. I'm just being friendly: one pro to another.  Come on man. Don't go believing this is my shit, because it ain't. Acting's my shit just like directing's yours. I was born to it  know what I mean? I knew you'd remember. Cy that's it! Cy. Mo."
mo,Well that's better. No need for hostility between pros.
cy, How hard can this be?
mo, Pros or ho's  know what I'm saying.
mo,"What's on the video? None of my biz, I know; but I'm curious."
mo,Yup. Got the old bit.  Ain't you got one online? Mine's online.
cy,Right. Get us the fuck out of here or I'm going to . . .
mo,"Look sorry about that dude, but you need to let me know. That's my simple question: what happened."
cy,What happened?
mo,The audition. I didn't get the job.
mo, Seriously. The Silver thing.
cy,Look I don't know. Actors we would have seen dozens. I mean it was a long time ago. I don't know what you mean `what happened'.
cy,"If you didn't get it, you didn't get it. It's the -  - it's the way of the world, no?"
cy,This is ridiculous.
mo,I know how good you are.
mo,I know your true potential. I know your talent doesn't belong packed up in here. Your greatness. And you've failed.
cy,What are you doing?
mo,You don't think I know how you 
cy," What the fuck business is it . . . If I held an audition you failed four or five years ago I'm sorry. If you're working in here not up in lights, I'm sorry."
mo,You're sorry for yourself. That's in your face.
cy,This is fucking absurd.  Criminal damage. Threatening behaviour.
mo,"Cy  we're done here, seriously. Then I'll sign you out. You can ask about the mobile phone you dropped; but I doubt you can claim it on us. Just tell me why you're all stored up in here. Then . . ."
cy,"Mo, isn't it? What does that mean  `Mo'? In any event I can promise you repercussions. I don't care what you think of me. I won't be treated like this."
mo,Brave Mister Caudwell. Genius. Solid citizen I don't think. Just need to know what you're doing. Then that's the end of it all.
cy,My landlord asked me to move out.
mo,"Couldn't pay your rent. Why don't you just say that. I couldn't pay my rent, Mo. That's fine. It's called la crunch du credit. And here we are."
mo,"We're almost, nearly, seriously out of here, Mister Caudwell."
mo,On timers  saves power. You must know. Auto-ma-tic.
mo,"Time to go home, Cy. My only ask is this. And you don't have to say yes, say anything. All I ask is we do it again."
mo," I know. I know it sounds strange. Bit silly even. But if you just let me run the thing again, this time I'll nail it  swear."
mo, I mean. On a fucking VHS video cassette. Where's Noah when you need him?
mo,"Let's run this again from the top, Cy."
cy,"You'll go down for this. I absolutely swear. I'll report this to the police, your superiors. This is fucking . . ."
cy,You think you can actually DO THIS?! What the fuck. . .
cy,"What the fuck, sunshine. Equity subscriptions lapsing are they?"
mo,"Cy, seriously, man who directed nothing: let's just get this right. Then we can get on with things. You can go back your self-loathing and I can continue my rounds."
cy,What!? Screw you.  FUCK YOU!
cy,What the fuck is the matter with you? Jesus Christ!
mo,"Jesus not in here, bro. Christ a nipple sucked by mugs. One born every minute, tick tock."
mo,OK. So what's the brief?
cy,What?
mo,What's the scenario? Set the scene for me. Point me in the right direction. Even Brando needed goalposts.
cy,Help. HELP!
mo,That's it old fella. Get sorted out. In and out. Let it all be cool.
cy,You'll be missed.
mo,Well not really Mister De Mille. It's just me and Doll today. Cutbacks. Don't ya love them?
mo,"Set me straight, mister director!"
mo,The director's chair.
cy,What the fuck do you want?
mo,"You know what I want. Just like you: another chance. Audition me again, you fucking VHS crumb. Give me my brief. Motivation, reality  the whole bit. Go."
cy,"Do what you want, wanker."
cy,You'll do time. Fucking acting. You'll go down. I'll see to it. Think you can fucking do this.
mo,"Again. The scenario, please Cy. Who am I? What do I want?"
cy,"OK crackerjack. Let's play. You're a fucked up wannabe actor who never was and never will be who works as a security guard in a domestic storage depot. Like most people you can't handle rejection, but I mean you really can't handle it really I mean. It's just . . ."
mo,Good dog. Now. . .
mo,"That wasn't the character I read for, the last one I mean. My agent told me a soccer player who is afraid to tell his team- mates of his homosexuality. He turns to his manager for help, for answers to his dilemma; but in the face of this, of this outrage, the manager who has been like a surrogate father to him for years now turns against him, disgusted that the boy he believed in turned out to be a lamentable sausage jockey. Am I right?"
mo,"I'm right, man. That was the scenario wasn't it. The Silver thing I auditioned for that you turned me down for. Wrong. Ignored me for. Like the loser I was. Wrong. The winner is here. In front of you. So. . ."
mo,Make like a camera.
mo,Noises.
mo,"Without a script this time, note. Ad-libbing, free wheeling improvisazione, herr director!"
mo,Cy. Director. Really.
mo,"So, how was I? How was it?"
cy,You did it. You got the job.
mo,LIAR!
dolores,"Cuppa, Mo? Mo?"
jaden vo, Aight  am done runnin'. Do what ya gotta do.
jaden,"What the fuck, my fam . . ."
austen,"No way! Fuck off now, brah!"
austen,Fuck that. Gimme . . !
jaden,Don't be doin' that fam. It's all wrong. You ain't black yet.
austen,Yeah? Well ain't you my brah.
jaden,I am your brah. No force gonna make me otherwise. Homework.
austen,Fuck the homework. Fuck school. . .
jaden,Fuck ya future. Smart.
austen,Yeah well.
jaden,"Yeah well. It all goes on the  tab, right. Save it up for a rainy one. Then I get mine, right? Well I got mine, brah, an' you don't never want it  swear."
austen,"Gonna get my own, white boy. See."
jaden,Home fuckin' work. Now!
austen os,"You ain't my dad, fam. My dad ain't my dad."
jaden," Where you at fam? Nah. Nah. My brah  comin' atcha somewhere near? Yeah. See him? When? Owe ya back, boy. Easy now."
paul,. . . for this gift of daily bread we thank thee oh Lord. . .
paul,. . . and for the gift of these fine sons I thank thee oh Lord. . .
paul,. . . beseech thee to look down on them and protect them with thy everlasting mercy . . .
jaden,Fuck.
jaden,"? No one messes with my stash  no matter who  hear? Ain't no brah of mine gonna sink to stealing and dealin' like some stinkin' hood rat skunk jus' to prove his manhood  readin'? I's fuckin' me and you got destiny, swear. Don't look to me. Don't like me. Don't follow me, don't run from me, don't watch me: just get wiv' the school shit and grow up like the old man wants  hear?"
jaden,Keep it. Buy books  study: something. Buy the old man a prezzie. If you ever do it again. . .
jaden, Goin' out dad  OK?
jaden, Aight  am done runnin'. Do what ya gotta do.
jaden,Shut the fuck . . .
paul,. . . for this gift of daily bread we thank thee oh Lord. . .
austen,Five oh everywhere. Wot's poppin?
jaden,Police. They're called police.
austen,Bacon fryin' for breakfast.
austen,"Wot's poppin with the pussy, fam?"
jaden,"Jesus fucking Christ. You mean how's the young lady in your life, my blood? Since when the fuck you become some kind of born again reggin?"
austen,"I wonder if you should mind you language in front of your baby brah, blood."
jaden,"I say blood, you say blood. I say brah, you say brah. I say. . ."
austen,"Potato, potarto, tomato, tomarto."
austen,And?
jaden,Brah? You turn into me and I'll kill you - hear?
linden,"Go fuckin' my brah's enemy, ho. My blood's white white enemy. For you he's dead. Fuckin' . . ."
cop," I don't want you to feel pressured, Austen. You haven't done anything, so relax."
jaden,Why you fuckin' grass me up. Though you was my brah.
austen,I didn't tell the pigs. Just  . . . just Hugo up school.
austen,Told because I was proud of ya brah. Massive proud.
austen,Couldn't help it.
austen,What the pigs gonna do with ya?
jaden,Where the fuck . . ?
austen,"Only way you're gonna stop me turning into you is by killing me, brah. Long one short."
austen,Say what brah? Too much . . .
jaden, Said go home. Fix dad's tea. I'll be there soon as. OK?
austen vo," Only way you're gonna stop me turning into you is by killing me, brah."
jaden,"Got a better idea, baby blood."
wife,Won't be long.
uri vo,"But now the buck must stop. Exculpation is no longer an option. The state has lied to you, Mrs Pentane, and whatever the consequences, I feel it my duty to put the record straight. Why I feel thus obliged will become apparent should we meet. I leave that up to you."
uri," If we're kindly ready, Mister Tyne."
uri, Nicholas it's really so very simple.
uri,"Alright, alright  thank you Mister Karaczun. This is . . ."
boothy,Has the next of kin been informed?
silk,Not yet sir.
boothy, There's never a good time.
silk,Yes sir.
uri,Our intelligence . . .
