Speaker,Dialogue
sinclair,"(Moving the final ""S"""
sinclair, Have you met her yet?
sinclair,You promise?
honey,"Ah, what a town! HONEY is dressed for the premiere in an elegant evening gown and her black hair is cut perfectly in the Louise Brooks style that has become her signature. She continues her press conference under the watchful eyes of her press agent CHARLES and her long-time assistant LIBBY, both of whom are also dressed for the premiere. ROOM SERVICE employees stand by, ready to serve."
honey,"I tell everybody in Hollywood, when you shoot on location in Baltimore, you don't need to bring all the crew from Los Angeles. Baltimore really ia the best!..."
honey,"Look at this dump of a town! HONEY turns to her long suffering assistant, LIBBY. The press is gone and they are alone."
honey,"Get me the fuck back to L.A. If one more asshole mentions a crab cake to me, I think I'll puke."
libby, Did you try the steamed crabs? They're red and...
honey,No I didn't! I'm not interested in any kind of meal you have to beat with a mallet... A knock is heard at hotel door.
charles,"Your limousine is here, Miss Whitlock. You look beautiful."
honey," Thank you Charles, darling. We'll be right with you. I'm excited. CHARLES exits."
honey, Do you think Pat Nixon got fucked in this hotel room?
honey,"It's called the ""Presidential Suite"" isn't it?"
libby,Yes...but...
honey,I BET SHE DID! Call the manager and ask him!
honey,"It's your  to ask, Libby! Call downstairs and find out if Pat Nixon got fucked in my hotel room! I want to know!"
libby," The hotel manager said ""No."" Pat Nixon never stayed here,"
libby,Well. . .sort of. I mean you told me...
honey,"I was kidding Libby. He must think you're a complete lunatic! Good God, you'd do anything! A HOTEL MAID pushing a cart of towels and bathroom supplies comes around a corner and is completely star-struck."
maid,"Good luck, Miss Whitlock! HONEY's face freezes in horror as elevator doors open and she is led inside."
honey, Did you hear what that little bitch said to me?
libby,She didn't know.
honey,"In show business we say ""break a leg."" NEVER fucking ""Good Luck""!"
honey,That cocksucker put a curse on my whole fucking premiere! HOTEL GUESTS let out a cry of shock at HONEY's language.
honey,"Mayor Fenwick! LIBBY and CHARLES look to one another relieved as HOTEL GUESTS stumble out of elevator, shaking their heads in disgust."
mayor,"Miss Whitlock, what an honor! They pose together as PRESS snaps away."
honey,I love what you've done with this city.
mayor,"And Baltimore loves you back!  I, Adam Fenwick, Mayor of the City of Baltimore, do hereby proclaim April 29th to be Honey Whitlock Day in Maryland and do command this observation to all of our citizens. Whereas..."
petie, 6:41pm.
sinclair," 10-4, Petie. SINCLAIR nods gravely to LYLE the projectionist who picks up a 35mm metal film can and sneaks up behind MR. STILLINGS who is looking down from projection booth to the premiere CROWD filling the theater below."
sinclair,"(In full command, over walkie,"
lewis,"(Into walkie, as he searches"
chardonnay," Ticket, please... 18. Cut back to EXTERIOR HARBOR COURT HOTEL. 18. Closeup of HONEY WHITLOCK's furious face as she stares in horror at awaiting white stretch limousine driven by"
charles,"What's the matter, Miss Whitlock?"
honey,A fucking white limousine?!
libby,"Oh nobody will know, we're in Baltimore..."
honey,"I'm not Liberace's boyfriend, for Chrissakes...My contract says black limousines only!"
libby,The charity probably made the arrangements. It was an innocent mistake.
mayor," Break a leg, Miss Whitlock! RODNEY, in a panic, keeps checking his watch."
rodney,"Excuse me, ma'am, but Security's gonna have my ass if we're late..."
honey,(Turning on him with a
ticket buyer, The Heart Fund must be thrilled at the turnout.
dinah,"It's for a wonderful cause... Thanks for your support. (Between customers, sneakily"
honey," ""Some Kind Of Happiness"" is a"
sinclair, 7:06pm...The Big Snatch. HONEY steps from limo and waves like a true star to roar of approval from crowd as PRESS blinds her with flashbulbs.
sinclair," Good evening, Miss Whitlock, and welcome to the historic Senator Theater."
little william," Get off me, ugly."
cecil,I fuckin' hate car chase scenes!
petie,"(Flooring the accelerator,"
lyle,"But it lead to the ""French Connection."""
lewis,"And lead to ""Smokey and The Bandit"" and that kinda shit! PETIE sees another cop car speeding up behind him in the rear view mirror. DINAH leans out limo window and fires gun back'at cop car."
petie," Yeah, Part fucking Two, 1980!..."
cherish, Long live pornography!
raven, Your mother sucks cocks in hell! HEAVY METAL KIDS look at each other in horror and run
suburban lady,"Sinclair, is that you? PETIE turns down radio and GANG freezes."
cecil," Hi, Mrs. Waltrup."
suburban lady,Did you win the lottery?
suburban lady,"I don't go to the movies much, I wait for the video."
cecil,"Not me, I like the big screen."
suburban lady,Say hello to your mom and dad for me.
cecil,I sure will. SUBURBAN LADY makes right on red and pulls off.
cecil," Casting has been completed! PETIE peels out in other direction. 53. Cut to EXTERIOR ""SPROCKET HOUSE,"" a run-down, 53. seemingly abandoned warehouse in an industrial part of t:he city. The moon is full and the quiet is interrupted by faint sirens in the distance. Suddenly, like a low-rent Bat Cave, the large industrial garage doors swing open and the white limo speeds inside. 54. Dissolve to INTERIOR SPROCKET HOUSE. HONEY's 54. ""dressing room""; a bizarrely decorated prison cell fit for a movie queen. HONEY is blindfolded, gagged and tied to a director's chair with her name printed on the back, still wearing her torn and soiled premiere gown. LEWIS, now dressed in terrorist punk outfit removes HONEY's blindfold and gag as she sputters in terror. We see LEWIS has D-A-V-I-D L-Y-N-C-H tattooed on his fingers. HONEY's e yes light up in terror as she sees CECIL, now attired in insane grunge Cecil B. DeMille inspired outfit being lowered by PETIE on jerry-rigged film crane. ""Otto Preminger"" is tattooed on CECIL's bicep."
cecil,".Hello, I'm Cecil B. DeMented and I'm your new director... HONEY stares in confused horror."
cecil,"I'd like you to meet your co-stars ...I call them the ""Sprocket Holes."" HONEY looks over in fear as the SPROCKET HOLES, now changed from their theater uniforms into their own scary ""terrorist chic"" fashions, gather around CECIL in a ""crew-shot from hell"" pose."
