Speaker,Dialogue
draft:,"June 12, 2009"
bill krogstad,"Ho-lee Christmas, knocked her outta the park, Roger! Out of the G-D park, you sonofagun! 2. Cedar Rapids, 6-12-09"
roger lemke,"Hell, I'm just a pretty face, Bill. That copy was all you. Do got one little gripe though, boss-- if you'd waited until after Cedar Rapids we could've said winner of the Two Diamonds four years running!"
gwen lemke,"So proud of you, Roggie. God, you rock. Doesn't your dad rock, boys?!"
roger lemke, Thank you. Thank you very much!
tim," Oh, heck yeah. You were awesome."
roger lemke,"Y'know what Tim, I want people to see the insurance game for what it really is-- it's a noble field. I believe that. Like I say, we're not just insuring vehicles and homes and that. Hell no. We're insuring people's dreams."
tim,"Oh. Yeah. I say that, too... sometimes. 3. Cedar Rapids, 6-12-09"
roger lemke,"Well shit, you do, don't you? By god, I stole your line! Knew I'd heard that somewhere!"
tim,"Oh, no biggie..."
roger lemke,"Bummer they cut your little deal outta the ad, though."
tim,Ach. Y'know. Got left on the ol'...
tim,"The ol' cutting room floor, right?  Whoa. Cake. Cool."
tim,There she is! How you feeling?
millie,"Oh, it's no big whoop."
tim,"Ta-da.  Quack, quack. D'you already have this guy? Wasn't sure. 5. Cedar Rapids, 6-12-09"
millie,"Gayle Syrstd gave me a Quackers for Secret Santa last year. I can probably trade with Nan, though."
tim,"I know. But for you to miss a day of school, Millie... I can't remember you ever calling in sick when I had you."
millie,Well I wasn't going through menopause when you were in middle school now was I?
tim,Negative. Not to my knowledge. Not to my knowledge.
tim,"I can try and... hold it, Mil. Can you...?"
millie,Bring it home. Bring it home.
tim,I'm bringing it. Bringing it! Bringing it! D'aaaarrgho'awesome...
tim,"Ooh, you make me live! You're my best friend!"
millie,"C'mon Tim, I can't hear."
tim,"Sorry. But you are, babygirl.  You're my best friend."
millie,Tss. Goofball.
tim," Ya mon, Bahama-mama."
millie,It's a little different I suppose-- a cruise. But...
tim," Whoa, whoa, whoa, whoa. Wait... Where's this coming from? We agreed on Wisconsin Dells for the honeymoon. It's what we agreed on."
millie,You've been to the Dells two dozen times...
tim,So? Roger and Gwen Lemke go to the Dells every year...
millie,Because they have children. Water parks are for children...
tim,"Hello, Tommy Bartlett's Ski, Sky and Stage Show? It's not just a water park..."
millie,"Timothy, settle. You've never even left the state of Wisconsin. Barely left Brown Valley..."
tim,What's so great about...? You're not... You're missing the... We agreed on the Dells.
millie,God rest her. Your mom was my best friend. But it's going on 20 years now. You gotta grow up. You gotta let go. You gotta live a life here. See?
tim,"I'm living a perfectly fine life. I don't know why you'd want to...  8. Cedar Rapids, 6-12-09"
tim,"Hello... Oh, hey Bill..."
wade,Guy had it all. Everything you'd ever want. Y'know he flew a Cessna? In his spare time?
millie,I always say people like that-- who live fast? They die hard. Look at River Phoenix.
wade,Everything you'd ever want.
millie,"I just don't know. To do those things to yourself. Just perverted.  Who ever heard of such a thing? 9. Cedar Rapids, 6-12-09"
tim,"I'm... Gwen, I'm so sorry. Roger is-- was-- is-- a personal hero to me. He just... he had it all. If there's..."
pam,"You just don't get it, Kurt..."
kurt,"Aw Christ, Pammy..."
tim,"Hang on guys, how's this sound-- you can both be right.  I know you're probably thinking, ""Oh, an umbrella policy's only for rich people."" You know what I say to that? Bull roar."
bill krogstad,Know how Roger used to get down there to Cedar Rapids? To the ASMI Convention? Any idea?
tim,Um. I'm with Kurt and Pam Gambsky...
bill krogstad,Flew himself. In a Cessna. Pilot.  It was all worked out. I was going to ease into retirement in July while Roger transitioned into his ownership role.
tim,"Wait, Roger was going to buy Northlands?"
bill krogstad,"All worked out. Shit, Dione already put the down payment on a time share. Branson, Black Hills. Florida. Units all over the place."
tim,"Holy cow. 11. Cedar Rapids, 6-12-09"
bill krogstad,"Yeah, whole deal. Now? Now I got my back up against Christ-knows-what. No Lemke, no buyer, the wife's spending like we won the goddamn Powerball. And what's worse, because of the way, y'know, the way Roger passed..."
tim,The... belt and the lederhosen...?
bill krogstad," Quote-unquote perverted, they're saying. Like Northlands has some kind of stain. Oh, I'm so goddamned tired..."
tim,"Is there...? Can I do anything to help, or...?"
bill krogstad,"We need those Two Diamonds more than ever, Tim. If I'm going to sell this company, we need people to feel OK about the Northlands brand."
tim, Mm.
bill krogstad,"I'd go myself but my daughter Kayla, the heavy one? She unearthed some Polack to marry her. I'm locked into that wedding over in Gladstone. No flex. Locked in. 12. Cedar Rapids, 6-12-09"
tim,Whoa-whoa-wait. What are you saying?
bill krogstad,I'm not asking you to fill Roger Lemke's shoes. Not gonna happen. I'm asking you to deliver his presentation-- to bring me home those Two Diamonds.
tim,"I can't go to ASMI. To Iowa. To Cedar Rapids, Iowa... Why can't Lila do it?"
bill krogstad,C'mon Tim. Lila's about as charismatic as a bag of hair.
tim,"Bill, I've never... I mean, I've dabbled in hog farm risk mitigation, but I'm no pro..."
bill krogstad,"You were what, 16, when I gave you that filing job? Right after your mom passed? Raising yourself pretty much, living all alone. And I'm thinking, now here's a kid. Here's a kid who's gonna go places.  ... woman the rest of your life?"
tim,Millie and I are getting married.
bill krogstad,"Tss, maybe three'll be a charm.  13. Cedar Rapids, 6-12-09"
wade,"Oh, hiya Tim."
tim,Hey. Wade. Hey. Is Millie...?
millie,Hi Tim.  Wade's cable's down.
tim,It's six AM...?
tim,Oh yeah. Those guys. Hilarious. Ha.
wade,Mm.
tim, Well I just wanted to...
millie,"So this is it then?  Tim's jetting off to Cedar Rapids this morning, Wade. Big deal insurance convention. Iowa."
wade,That right?
tim,"It's only four days. 15. Cedar Rapids, 6-12-09"
millie,"Won't go to Germany for our honeymoon, but for work you can just gallivant around like Tom Petty or one of them?"
tim, Should we maybe talk in the...?
wade,Oh it don't bother me.
tim,"If I don't try to do this, it's not just my job, Mil. There are four other employees whose lives are on the line. Plus Carol, who does part time seasonal work. So."
millie,It's not for certain a new owner would even keep you guys on.
tim,"No, Bill said he'd make that part of any deal..."
millie,"Believe you me, Bill Krogstad is looking out for one guy. And that's Bill Krogstad."
wade, Krogstad.
tim,"It's... Oh, who am I kidding, I'm a little scared here. A lot scared. But not about us. What we've got-- we're like lightning in a bottle, babygirl. I love you so much, Mil."
