Speaker,Dialogue
sandra detmer,Who's the audience?
sandra detmer,Hello world. Do I look awful?
sandra detmer,"I've been looking a little better, yeah?"
sandra detmer,It's a nice camera.
matt,I got you egg salad.
matt,"So...Should I ask about the camera, or-"
matt,You're filming everything.
matt,He gets violent or whatever-
matt,"Evidence. But you're not with him right now, but you're filming this."
matt,"Context.   Andrew, you are...a weird dude."
matt,He's this philosopher I'm reading.
matt,"He's just like- his whole thing is about being positive and like, taking up for yourself. You should read him, maybe, it might make you feel- you know, improve your outlook."
matt,"I'm gonna blaze a little first, yeah?"
girl,"Vote ""Kaz!"""
girl,Every vote counts.
wayne,"Hey, how do I look?  Like this? Ooh, that's good.   Like this? That's sexy, right?"
andrew,"Bryce, gimme my camera back-"
wayne,"You got me, let's go. Wayne turns and knocks everything out of Andrew's locker. Bryce starts to walk away with the camera."
cheerleader,Hi.
andrew,Hey-
cheerleader,"Could you not videotape us, please? It's really fucking creepy."
andrew,"I wasn't, videotaping you, so much as I was just-"
cheerleader,"Don't videotape us, okay, or we'll call security. We see you watching us, we're not stupid, and it's sketchy, so back off."
andrew,...okay.
cheerleader,Is it on right now?
andrew,Yes.
cheerleader,Turn it off.
matt,There's a party tonight.    A barn party at Haven Hills.
matt,"It's abandoned, yeah. That's why it's a good place for a party. Two kegs."
matt,You wanna go? I don't wanna go alone.
matt,When was the last time you went to a party?
matt,"You're a senior.     Just come, you'll have fun. ANDREW  I'll think about it."
matt,"Okay, right. Andrew, can I give you like, a pro tip?"
andrew,Yeah?
matt,Keep the camera at home.    It's weird.
andrew,It has a purpose-
matt,"I'm trying to be a good cousin, here. This is me being your friend, yeah? Okay?"
howard,"Hey don't film me nigga, don't film me."
costly,"Hey fuck off, you better run to your house, bitch. Run to your house and lock the door."
howard,"The fuck, fuck you faggot- Howard quickly starts crossing the street, and Andrew turns and runs back towards his house."
andrew,"I'm uploading what I shot today...you have to keep a back-up, you know."
matt,"It's here, calm down.    Listen."
matt,"Hey dude, don't follow me around all night."
matt,"Don't follow me around all night, okay?"
matt,"Talk to people?   Have a beer, I don't know."
montaged,FOOTAGE...
casey,"Hey, what are you filming for?"
casey,What?   I'm filming for my blog!
casey,I have a video blog!   Why are you filming?
austin,"Hey, were you filming my girlfriend? Yes or no, were you filming my girlfriend?"
austin," Okay, good, because I don't wanna have to beat your ass."
austin,"Don't talk back to me. Don't get smart, okay, I'm being nice here. I'm being nice to you.  Say okay."
austin,"Cause I know you were filming my girlfriend dancing. I should break your fucking nose, you know that? You know that, I should beat your ass right now, but I'm trying to be nice. Fuck you."
steve,I'm Steve Kazinsky-
steve,...yeah?
steve,"Haha, yes, that is true. Listen, come on, bring the camera."
steve,Come on.
steve,"Dude, come on, we found something."
steve,Is there a light on that?   On your camera?
steve,Awesome.
steve,Me and your cousin were blazing a little.
steve,"A bunch of people were out here, but I think they've all gone back, now, cause we're like, obsessed with the thing."
