Speaker,Dialogue
figure," Hello...What?...No, I don't work today...I'm playing hockey at two."
dante,"Next time, I get the bed."
dante, Shit.
dante,Shit.
dante,Shit!
dante,Thanks. Have a good one.
activist,Do you mind if I drink this here?
dante,Sure. Go ahead.
customer,Are you open?
dante,Yeah.
customer,Pack of cigarettes.
activist,Are you sure?
customer,Am I sure?
activist,Are you sure?
customer,Am I sure about what?
activist,Do you really want to buy those cigarettes?
customer,Are you serious?
activist,How long have you been smoking?
customer," What is this, a poll?"
dante,Beats me.
activist,How long have you been a smoker?
customer,Since I was thirteen.
activist,"I'd say you're about nineteen, twenty, am I right?"
customer,What the hell is that?
activist,"That's your lung. By this time, your lung looks like this."
customer,You're shittin' me.
activist,You think I'm shitting you...
customer,What's this?
activist,It's a trach ring. It's what they install in your throat when throat cancer takes your voice box. This one came out of a sixty-year-old man.
customer, Unnhh!
activist, He smoked until the day he died. Used to put the cigarette in this thing and smoke it that way.
dante,"Excuse me, but..."
activist,"This is where you're heading. A cruddy lung, smoking through a hole in your throat. Do you really want that?"
customer,"Well, if it's already too late..."
activist,"It's never too late. Give those cigarettes back now, and buy some gum instead.  Here. Chewlies Gum. Try this."
customer,It's not the same.
activist,It's cheaper than cigarettes. And it certainly beats this.
customer,Jesus!
activist,It's a picture of a cancer-ridden lung. Keep it.
customer, I'll just take the gum.
dante,Fifty-five.
activist,You've made a wise choice. Keep up the good work.
dante,Maybe you should take that coffee outside.
activist,"No, I think I'll drink it in here, thanks."
dante,"If you're going to drink it in here, I'd appreciate it if you'd not bother the customers."
activist,Okay. I'm sorry about that.
customer,Pack of cigarettes.  What's that?
activist,This? How long have you been smoking?
jay,WE NEED SOME TITS AND ASS! YEAH!
jay,"I feel good today, Silent Bob. We're gonna make some money! And then you know what we're going to do? We're going to go to that party and get some pussy! I'm gonna fuck this bitch, that bitch...  I'LL FUCK ANYTHING THAT MOVES!"
jay, Doesn't that motherfucker still owe me ten bucks?
jay,"Tonight, you and me are going off that fucker's head, and take out his fucking soul! Remind me if he tries to buy something from us, to cut it with leafs and twigs...or fucking shit in the motherfucker's bag!"
jay,"Wa sup sluts?  And then, I wanna line up three more guys, and make like a circus seal..."
jay,Ewwww!  You fucking faggot! I fucking hate guys!  Neh.
guy,You selling?
jay," I got hits, hash, weed, and later on I'll have 'shrooms. We take cash, or stolen MasterCard and Visa."
activist,"You're spending what? Twenty, thirty dollars a week on cigarettes."
listener 1,Forty.
listener 2,Fifty-three.
activist,"Fifty-three dollars. Would you pay someone that much money every week to kill you? Because that's what you're doing now, by paying for the so-called privilege to smoke!"
listener 3,We all gotta go sometime...
activist,"It's that kind of mentality that allows this cancer-producing industry to thrive. Of course we're all going to die someday, but do we have to pay for it? Do we have to actually throw hard-earned dollars on a counter and say, ""Please, please, Mister Merchant of Death, sir; please sell me something that will give me bad breath, stink up my clothes, and fry my lungs."""
listener 1,It's not that easy to quit.
activist,Of course it's not; not when you have people like this mindless cretin so happy and willing to sell you nails for your coffin!
dante,"Hey, now wait a sec..."
activist,Now he's going to launch into his rap about how he's just doing his job; following orders. 
dante,I think you'd better leave now.
activist,You want me to leave? Why? Because somebody is telling it like it is? Somebody's giving these fine people a wake-up call?!
dante,"You're loitering in here, and causing a disturbance."
activist,"You're the disturbance, pal! And here...  I'm buying some...what's this?...Chewlie's Gum. There. I'm no longer loitering. I'm a customer, a customer engaged in a discussion with other customers."
listener 2," Yeah, now shut up so he can speak!"
activist,"Oh, he's scared now! He sees the threat we present! He smells the changes coming, and the loss of sales when the nonsmokers finally demand satisfaction. We demand the right to breathe cleaner air!"
listener 3,Yeah!
activist,"We'd rather chew our gum than embrace slow death! Let's abolish this heinous practice of sucking poison, and if it means ruffling the feathers of a convenience store idiot, then so be it!"
dante,"That's it, everybody out."
activist,"We're not moving! We have a right, a constitutional right, to assemble and be heard!"
dante,"Yeah, but not in here."
activist,"What better place than this? To stamp it out, you gotta start at the source!"
dante,Like I'm responsible for all the smokers!
