Speaker,Dialogue
for educational,"PURPOSES ONLY  Do not go gentle into that good night, Old age should burn and rave at close of day; Rage, rage against the dying of the light. Dylan Thomas"
man,"lies on a couch near the window. He stands up suddenly and looks out the window. AL STUMP, 40, is sharply dressed -- tie, dress shirt, cufflinks. He's staring at something."
stump,"Yes! The muse has left me stranded here like a beached whale -- only one phrase, one word, from finishing the greatest essay I've ever written! One word, the right word -- Flaubert called it 'le mot juste' -- I ever tell you that? Lucille is a longsuffering saint. LUCILLE 'Le mot juste' -- the exact right word the writer needs to tell his story. Yessir, you've mentioned it. STUMP Hemingway, Faulkner, Joyce -- they all searched for 'le mot juste' until they cried, until they bled... LUCILLE Yessir. STUMP What is this essay about again?"
lucille,Fishing.
stump,"I mean what is it really about? LUCILLE You said it was about the quote unquote primal issues of survival, man against nature, etcetera -- that's what you said."
stump,Ohyeah... so... we end the essay with... 
stump, ... 'frozen in'...
stump,"I need a drink. LUCILLE What about 'le mot juste,' Mr. Stump? STUMP  Fuck 'le mot juste,' Lucille! Finish the damn thing yourself. 'The primeval moment is frozen in' whatever the hell you want it to be. Did you know that James Joyce let his secretary -- none other than Samuel Beckett -- revise and edit Molly's solliloquy in Ulysses? You're my Beckett -- I give you 'le mot juste!' Just get the damn thing in the mail so I can get paid."
stump,"I don't know.    I need a drink. He grabs his hat and coat and we begin hearing the number one hit song of 1960, PERCY FAITH'S schmaltzy recording of ""A Summer Place."" CUT TO:"
stump,"Awright, awright... how do you get five old ladies to say 'fuck?' CRONIES  Jeez, I dunno, how? Etc... STUMP Yell 'bingo.' Stump laughs. The others groan. REYNALDO, 40's, black, speaks up. He's one of the regulars."
reynaldo,"Okay, I got one -- "
frank,"Amidst this levity, gentlemen, I have some real concerns. Mark my words, people will look back on this year and say that 1960 was the year that Western Civilization began its downward trajectory. BILL You need to get laid, Frank. FRANK Guys, guys, c'mon... do you really think things are as good as they used to be? You think Jack Kennedy is qualified to be President? BILL Kennedy may not be qualified, but -- Jackie's a babe -- and that's good enough for me. REYNALDO They're a happily married couple and that oughta stand for something these days..."
mud,"Speaking of being happily married, Al, are you and your old lady still having problems?"
frank,I mean look at us -- we call ourselves writers but we just watch ballgames and get drunk a lot. You call that writing? STUMP Yes I do.
mud,"In the department store of life, sports is the toy department -- so what? BILL Yeah, besides, Alan here's writing a serious novel, aren't ya? MUD Yeah, well I haven't started yet but I'm gonna. I've been busy. FRANK You guys are pathetic. Ya write for one reason -- a paycheck."
stump,"More art was created for money than for passion. Take your platitudes and shove 'em, Frank. I'm gonna write a novel too, someday."
frank," The Great American Novel, I suppose?"
stump,"It could come from my pen. FRANK You're a barbershop writer, Al -- you write sugar-coated pieces for guys to skim when they're waiting for a haircut!"
mud,"Hey! A scuffle breaks out, a lot of posturing, feinting, but they're all too chicken to do anything. Nobody wants to fight. A PHONE RINGS at the bar. The bartender answers the phone, shouts at the obnoxious sportwriters."
reynaldo,"Stump!   For you. Stump goes to the phone, interrupting his own ""fight."" STUMP  Shut up!"
mud,Cobb who? STUMP Ty Cobb!    How many Cobbs are there?! This news instantly sobers the room.
stump,Not yet. He said he wants to tell me the real story of his life before he croaks.
bill,You were just talking to Ty Cobb?
stump,The Georgia Peach himself. This impresses the hell out of everyone in the room.           Even Stump is still a little dazed.
frank,"They say Cobb is crazy. The meanest sonofabitch who ever lived. MUD I heard he killed a man. BILL Maybe so, but -- he was the greatest baseball player of them all. CRONIES Yeah, the best, no one close, etc..."
stump,Except Ivan was a nicer guy... 
stump,Immediately.
stump,Shit...
jonah,It's just starting. We got three- four feet of snow another thousand feet up. Where ya going? Skiing? I hate skiing.
jonah,"Cobb?! He stopped here for gas once, I asked him for an autograph for my boy and he told me to shove it where the sun don't shine. STUMP I hear he's got a way with kids..."
stump,I'm a writer.
willie,You mean he actually found somebody to take the job?
stump,"Mr. Cobb? The silence is shattered by a SCRATCH, then VIOLIN MUSIC from upstairs. STATIC suggests a record is playing."
stump,Thank you.
cobb,But you are a hopeless romantic and only a moderate success.
stump,"Sir, I am the most successful sportswriter in America and not merely a 'moderate success.'"
cobb,Of course.  Give me those pills over there.
stump, A few weeks.
cobb,"All the great ones will be there -- The great Mickey Cochrane will be there! Hornsby, Sisler, Ott, the Waner Brothers... we used to have some parties, Stump, I'll tell ya that right now...  We can't forget. STUMP I won't forget."
cobb,"Look at me closely, Al...  You're gonna tell the real story of Ty Cobb. STUMP What's the 'real' story? Cobb climbs slowly out of bed.     His words are reasoned and not without passion."
cobb,That's why you're here. 
cobb,"Getty is expanding in the west, looking for companies like that. I got a hunch...  Stumpy, c'mere... Cobb picks up the revolver and holds it lovingly. Stump crosses and stands behind Cobb, sharing the view. COBB I can take that buck.     What'ya think? STUMP With a pistol? No way. Cobb smiles and loads the revolver.       He pushes the window which swings slowly open."
cobb, ... and sell all the 3-M stock we got.
jameson,"If Mr. Cobb said he got him, then he got him."
cobb,"You have no vision, Stump. A writer without vision is a waste of my time. I think I picked the wrong man. Cobb stumbles back into bed, somewhat exhausted by the ordeal."
jameson,"And I think I better get back to San Francisco before the storm hits. I'll take care of these transactions, Mr. Cobb. And Jameson exits the room."
cobb," Yes. Cobb reaches over and defiantly turns UP the MUSIC so that the room is overwhelmed with Kreisler's violin. Stump stares back at this decrepit, overpowering figure."
cobb,"Chapter one, Page one..."
stump,"I'm ready. COBB 'Know ye that a prince and a great man has fallen this day.' Stump types it out, then stops."
stump,What the hell is that? COBB That's what Robert E. Lee said at the burial of my grandfather who was a Confederate General killed at Fredricksburg.
stump,So I'm taking notes? COBB Hell no. That's the first line of my autobiography. STUMP I ain't writing it.
cobb,Why not?
stump,It's horseshit. It's a third person comment about someone who's already dead. An autobiography has to be in the first person -- plus it can't come from the other side of the God damn grave.
cobb,My story can come from any damn place I want. STUMP Not to mention you can't call yourself 'a prince and great man' -- that's for the world to decide.
stump,You're not treating me like a writer -- you're treating me like a stenographer.
stump,"Know ye that a prince and a great man has fallen this day... COBB It has a certain ring to it... STUMP Yes it does. COBB I thought you might like it. It's yours, a gift from me.  This is the second line from what will be the greatest biography of a great man ever written -- type it! Cobb checks the tape and suddenly is deep in thought over some information coming across. Stump types."
cobb,Bethlehem Steel's about to dive.
cobb,Yeah... buy Coca-Cola. We're about to go out in cans.
stump,"Coke in cans?    I don't think so. Cobb just stares back in disdain.      Then, suddenly --"
cobb,You know what's wrong with Ty Cobb? STUMP What? COBB  My heart leaks -- the doctors who are nothin' but a buncha hacksaw artists give me Digoxin to keep it pumping... Cobb grabs a bottle of Digoxin pills and flings it across the room in a rage. He flings bottles of pills as he recites his ailments.
cobb,"They give me Darvon for the cancer in my back, they give me Tace for something eatin' up my stomach, Fleets Compound for an infection in my bowels, Librium for my tension, insulin for my diabetes..."
cobb,"And if all that wasn't enough, it's been two years since I got my pecker in the air...  The South may not rise again but my dick will."
cobb,Tell him to go to hell anyway. STUMP Why?
cobb,Him and me used to be pals but we went on a hunting trip once and he hired a shitty guide.
