Speaker,Dialogue
miguel,"Hol, Mam Coco."
mam coco,"How are you, Julio?"
miguel,I used to run like this...
miguel,But now I run like this which is way faster!
miguel,And the winner is... Luchadora Coco!
miguel,"I have a dimple on this side, but not on this side. Dimple. No dimple. Dimple. No dimple--"
abuelita,Miguel!   Eat your food.
abuelita,"Aw, you're a twig, mijo.         Have some more."
miguel,"No, gracias."
abuelita,I asked if you would like more tamales.
miguel,S-s?
abuelita,That's what I THOUGHT you said.
abuelita,No music!
abuelita,No music!!
musicians, AUNQUE LA VIDA--
abuelita,NO MUSIC!!!
mam,"Be back by lunch, mijo!"
miguel,"Love you, Mam!"
woman,"Hola, Miguel!"
miguel,Hola!
miguel,Muchas gracias!
street vendor,"De nada, Miguel!"
miguel,"Hey, hey!    Dante!"
miguel,Sit. Down. Roll over.        Shake. Fist bump.
miguel,"Good boy, Dante!"
tour guide,"And right here, in this very plaza, the young Ernesto de la Cruz took his first steps toward becoming the most beloved singer in Mexican history!"
9., DE LA CRUZ  When he was crushed by a giant bell.  CUT TO:
plaza mariachi," Ay, ay, ay, muchacho."
miguel,Huh?
plaza mariachi,"I asked for a shoe shine, not your life story."
miguel,"Oh, yeah, sorry."
miguel,I just can't really talk about any of this at home so...
plaza mariachi,"Look, if I were you I'd march right up to my family and say, ""Hey! I'm a musician. Deal with it!"""
miguel,I could never say that...
plaza mariachi,"You ARE a musician, no?"
miguel,I don't know. I mean... I only really play for myself--
plaza mariachi,"Did de la Cruz become the world's best musician by hiding his sweet, sweet skills? No! He walked out onto that plaza and he played out loud!"
miguel,"Uh-uh, my family would freak!"
plaza mariachi,"Look, if you're too scared, then, well... have fun making shoes."
miguel,...Seize your moment?
plaza mariachi,"Show me what you got, muchacho. I'll be your first audience."
miguel,Abuelita!
abuelita,What are you doing here?
miguel,Um...uh...
abuelita,You leave my grandson alone!
plaza mariachi,"Doa, please -- I was just getting a shine!"
abuelita,"I know your tricks, mariachi!  What did he say to you?"
miguel,He was just showing me his guitar...
to berto,Shame on you!
abuelita,"My grandson is a sweet little angelito querido cielito -- he wants no part of your music, mariachi! You keep away from him!"
