Speaker,Dialogue
coraline,Hello?...   Who's there?
coraline,"You scared me to death, you mangy thing!"
wybie,"  Hoo! Let me guess, you're from Texas or Utah; someplace dried out and barren, right? I heard about water-witching before but it doesn't make sense; I mean, it's just an ordinary branch."
coraline,   IT'S A DOWSING ROD!
wybie,Ow!
coraline,"And I DON'T LIKE BEING STALKED, not by  PSYCHO-NERDS OR THEIR CATS!"
wybie,"He's not really my cat; he's kinda feral you know, wild? Of course, I do feed him every night and sometimes he'll come in my window `n bring me little dead things."
coraline,"  Look, I'm from Pontiac."
wybie,Huh?
coraline,"MICHIGAN? And if I'm a ""water witch"",  THEN--  --where's the secret WELL?"
wybie,You stomp too hard and you'll fall in it!
coraline,  Huh.
wybie,Surprised she let you move in...
coraline,What do you mean?
wybie, Uh... I'm not supposed to talk about it.
coraline,  Wybie?
wybie,"Short for Wyborne. Not my idea, of course. What'd you get saddled with?"
coraline,I wasn't saddled with anything. It's Coraline.
wybie,Caroline what?
coraline,Coraline. Coraline Jones.
wybie," Hmmm... It's not real scientific, but I heard an ordinary name, like Caroline --"
coraline,"I think I heard someone calling you, Wyborne."
wybie,What? I didn't hear anything--
coraline,"Oh, I definitely heard someone, Why-were- you-born."
wybie, Grandma!
coraline,  Why?
coraline,Ehh!!
coraline,"I almost fell down a well yesterday, Mom."
mel, Uh huh.
coraline,I would have died.
mel, That's nice.
coraline,Hmmm. So can I go out? I think it's perfect weather for gardening.
mel,"No, Coraline. Rain makes mud. Mud makes a mess."
coraline,"But Mom, I want stuff growing when my friends come to visit. Isn't that why we moved here?"
mel,Something like that. But then we had the accident.
coraline,Wasn't my fault you hit that truck.
mel,I never said it was.
coraline,  I can't believe it -- you and Dad get paid to write about plants and you hate dirt.
mel,"Coraline, I don't have time for you right now. And you still have unpacking to do. Lots of unpacking."
coraline,That sounds exciting.
coraline, Huh... a little me? That's weird.
mel,"What's his name, anyway?"
coraline,Wybie. And I'm way too old for dolls.
coraline,"Hey Dad, how's the writing going?... Dad?"
charlie,"Hello, Coraline...  And... Coraline doll?..."
coraline,D'you know where the garden tools are?
charlie,"It's pouring out there, isn't it."
coraline,"Humph, it's just raining."
charlie,What'd the boss say?
coraline,"  ""Don't even think about going out, Coraline Jones."""
charlie,Then you won't need the tools.
coraline,So?
charlie,So explore it!
coraline,Ewww!
charlie,"No, no, no, no, no; GAAAA--!"
coraline,One boring blue boy in a painfully boring painting ... four incredibly boring windows ... and no... more... doors...
mel,"I'm really, really busy!"
coraline,I think it's locked.
mel,Uhhh...
mel,Will you stop pestering me if I do this for you?
coraline,Bricks? I don't get it.
mel,They must have closed this off when they divided up the house.
coraline,You're kidding? And why is the door so small?
mel,We made a deal. ZIP IT!
coraline,You didn't lock it.
charlie,"I think you are so nice, I give you bowls of porridge And I give you bowls of ice --"
charlie, -- cream!
coraline,"Why don't you ever cook, Mom?"
mel,"Coraline, we've been through this before: your Dad cooks, I clean, and you stay out of the way."
coraline,Looks more like slime to me.
charlie,"Well, it's slime or bedtime fusspot -- now what's it going to be?"
coraline,Think they're trying to poison me?
coraline,"Don't forget about me, guys. Okay?"
coraline,Whoa...
coraline,Huh?
coraline,Mom?! What are you doing here in the middle of the night?
other mother,"You're just in time for supper, dear!"
coraline,You're not my mother.
other mother,B-b-b-buttons? Do you like them?
coraline,Hello?
other father,"Hello, Coraline. Want to hear my new song?"
coraline,My father can't play piano.
other father,No need to ... this piano plays ME!
coraline,"I, uh  sorry  but she said to tell you the food's ready."
other father,Mmmmm! Who's starving? Raise your hand.
other father,"We give our thanks and ask to bless, Our Mother's golden chicken breast!"
coraline,"Mmmm, this chicken is good."
other mother,"Hungry, aren't you."
coraline, D'you have any gravy?
other mother,"Well, here comes the gravy train! Choo- choo!"
other mother,"Another roll, sweet peas? Corn on the cob?"
coraline, I'm real thirsty.
other mother,Of course! Any requests?
coraline,Mango milk shake?
other mother,"We've been waiting for you, Coraline."
coraline,For me?
other father,"Yep. Wasn't the same here without you, kiddo."
coraline,I didn't know I had an Other Mother.
other mother,Of course you do. Everyone does.
coraline,Really?
other mother,"Uh huh, and soon as you're through eating, I thought we'd play a game."
coraline,"  You mean like, hide and seek?"
other mother,Perfect! Hide and seek in the rain.
coraline,What rain?
other father,We love mud here!
other mother,"Mud facials, mud baths, mud pies -- it's great for poison oak."
coraline,  How'd you know I--
other mother,But I'm your other mother.
coraline,  I think I should get to bed.
other mother,"Of course, sweetheart, it's all made up."
coraline, But ...
other father,"Come along, sleepyhead."
coraline,Wow.
dragonflies,"Hello Coraline, hello, hello!"
toy squid,"What's shakin', baby?"
coraline,Hello.
coraline,"Kripes a-mighty, how are my best trolls? I can't wait till summer. You're both comin', right?"
coraline,"Oh, the mud..."
pull back match, DISSOLVE:
coraline,"  It's gone, my poison oak, it's gone!..."
coraline,  Huh?
coraline,"It was incredibly real, Mom! Only you weren't really you; you were my other mother."
