Speaker,Dialogue
darwin,"One day, Captain Fitzroy went ashore to meet them."
technician,Not long now. I shall be with you immediately...
annie,"Will this hurt, papa?"
darwin,No. It is only a beam of light.
annie,How can light make a picture.
darwin,Well they prepare a copper plate with chemicals on it. The chemicals are sort of energized by the light reflecting off your face. Then silver sticks onto the plate according to where the light is brightest.
annie,Betty was worried it would hurt. ....What a little duck she is.
darwin,"So as I was saying, Captain Fitzroy went ashore to interview the Fuegans...."
sailors,Ow! Shite! Hold still ye maggot!
darwin,"The captain had them washed and got their hair cut, then dressed them in proper clothes, and taught them proper table manners."
darwin,York Minster died of the smallpox but the other two learned English and went to meet the queen.
darwin,"Two years later. Captain Fitzroy and I took them back, in the company of a young Parson, hoping they would bring the other savages to god and to teach the others by example."
darwin,And what do you think happened?
darwin, Correct! A complete and total failure! 6
hairy savages,YAAAAAH!!
parson,Jemmy! Fuegia
annie, Yaaah!
technician,Very still now. No more talking please
lenny,Mama mama.
emma,Yes. What is it
lenny,Horace says he's six feet tall.
emma,Have you all washed your hands.
horace,He said I have to be or I can't join the army.
emma,First things first. An officer must always tuck his shirt in.
betty,The boys made a camp with a camp- fire
lenny,Oh! Sneak!
emma,Where's the campfire.
betty,In the summer house but Brodie put it out.
emma,Thank-you Parslow. Where is Mr Darwin?
parslow,He was killing pigeons Ma'am
emma,Will everybody sit down please. 8
parslow,"Soup du jour, sir"
darwin,Thank you Parslow
emma,Lord God who watches over all that we do. Bless this family and the food we eat. In Jesus name. Amen.
emma,I hear Mr Hooker is coming tomorrow.
darwin,He won't stay long.
emma,Did he say what it was about?
darwin,I think this is not the time to discuss it.
emma,Maybe the time to discuss it was before you invited him.
darwin,He sent a telegram. I'm sorry if it inconveniences you. 9
emma,Eat your soup now.
darwin, Excuse me.
children,Can we take Mr Hooker to the Chalk pits. Why can't he stay. Can we pick blackberries?
emma,I think he is just here to work
annie,Aren't you going to open it?
darwin,Maybe best if I just burn the whole lot.
annie, No papa - You can't. I'm in it.
darwin,Don't be absurd. Of course you're not.
annie,The story of me when I was small. You showed me the pages.
darwin,Ah yes.
annie,"""The natural History of babies"" ...Remember?"
darwin,Of course I remember.
darwin,Annie. Annie. Annie.
emma, What are you doing?
darwin,Just playing.
emma,"""Six weeks: Gurgles. Holds tight to my finger. Tries to suck. Smiles at my smile"""
darwin,I should add that she is musical.
emma,I hope you do not plan to treat all our children as little animacules to be included in your experiments.
darwin,Do you mean there will be more.
emma,"I assumed that's what you wanted. Of course, if the idea doesn't appeal then..."
darwin,Appeal? Dearest cousin. I am making plans for an army!
brodie,Careful! Not too far ahead now.  The children ignore her so she pick up her skirts and races after them.  The Adults follow in their wake - Charles and Emma Darwin plus two younger men aged about 30 - Joe Hooker and the Rev Innes
hooker,Give it time to take a bite.
hooker,He's Nibbling. Nibbling. Oh Bother. No-one move.
annie,I've got one.
annie,What should I feed it?
mr innes,A leaf I should think. What plant did you find him on?
annie,In the mud under that log.
mr innes,...Or a piece of bark maybe.
darwin,Cycrus caraboides. You can see from the mandibles he's a hunter. He feeds on slugs and snails.
innes,Oh.
annie,Etty! Willy! Find me some slugs. He's hungry!
innes,When I said I knew something of insects.....
darwin,Oh tush.... I studied Theology for a year but yet I know exceedingly little of the bible.
innes,Then once I am properly installed at Down I shall take pleasure in instructing you.
darwin,I should look forward to that immensely.
hooker,"Everyone's a bit wet. Sorry, but the fish are surely biting. More worms, boys, more worms."
hooker,"Try over there, Georgey, we've used all these ones up."
darwin,....so much beauty for so little purpose.
emma,Surely not without purpose. They were helping to light the ship's way were they not.
darwin,"Are you familiar with the works of Thomas Malthus, Mr Innes?."
innes,He married his first cousin didn't he?
emma,So did Charles.... So did I.
innes,"Oh, I was not at all suggesting...."
darwin,"He made the point that if every trout, say, has a hundred offspring And so on and so on through the generations. Then the planet would be knee deep in trout in just a few decades."
innes,Of course most of the eggs are destroyed and eaten so the numbers remain stable. That is the beauty of God's plan.
emma,Cheese and cucumber
innes,Thank-you
darwin,It doesn't strike you as an exceedingly wasteful plan - these myriad lives created only to be immediately extinguished.
emma, Charles....
innes, They are providing food for others.
darwin,You think they are happy about it?
innes,Happy?
hooker,Through his bottom and up though his mouth - perfect 16
darwin,....To be doing Gods will.
emma, Please ignore him. After two glasses of claret he tends to becomes mischievous.
darwin,"No I'm serious. If thousands are destroyed that a few may live their lives, is not the general sum total of happiness not in some kind of massive deficit?"
innes,"Well far be it from me to speculate on the mind of God, far less the happiness of an earthworm ha ha ha. But it seems to me that nature is at peace...and most of her denizens are content."
emma,Amen.
innes, You don't agree.
darwin,I think it is a battlefield. A constant and shifting struggle for survival between everything and everything else.
