Speaker,Dialogue
grug,Raaaaar grooooOOOOoooowwwll ERF ERF Glaaaaaabbbbllllllllthhhh!
eep,We've been in that cave forever.
grug,Three days is not forever.
eep,It is with this family.
grug,Eep would you come down here? You're being so dramatic.
grug,"No, I mean, you're already out now."
grug,"Never mind, Thunk. Just, come out."
thunk," Uhh, but if you don't give the signal, how do I know you're my dad?"
grug,"The signal isn't so you know it's me, it's so you know I wasn't eaten by an animal."
thunk,"Then why is the signal an animal noise? I mean, doesn't that just confuse things?"
grug,Sigh. Hoo hooooo! Hoo hooooo!
ugga,"Mom, we're ready to leave.  Mom!"
grug,It's still early.
gran,And you're still fat.
grug,Breakfast formation!
thunk,"YAY, BREAKFAST!!!!"
thunk, Yeah... breakfast...
grug,Who's up?
eep,Heads.
grug,Tails. Thunk's in.
ugga,Get um Mom! Do it for the Croods!
gran,"Old lady down! Eep, avenge me."
eep,Thanks!
grug,Eep!
eep,Heads Up!
thunk,"Oh hey Dad, can we eat now?"
grug,Just wait till we get home. Eep put on the brakes.
thunk,"Alright! Good one, dad!"
grug,"Here you go, Thunk. Drink up."
thunk,"Sorry, dad."
ugga,Looks like fast food tonight!
grug,That's alright. I ate last week.
gran,Two knuckle warning.
ugga,"Come on Croods. Go, go, go."
grug,"Come on, come on. Darkness brings death! We know this."
ugga,"The moon is full. Bath night.  You too, Mom."
gran,Run for your life.
ugga,"Mom, you've got ants. "
gran, Aaaaaaaaaah.
grug,Is she still out there?
ugga,"You know she hates the cave, Grug."
eep,Please come back tomorrow.
grug,How can she not like the cave? It's so cozy.
ugga,"It is a little, dark, Grug."
grug,It's not that dark.
grug,Come on.
grug,That was too close!
eep,I was watching. I was fine.
grug,"What were you doing up there, Eep?"
eep,I don't know.
grug,What were you looking for?
eep,Nothing.
grug,Well then why did you go up there?
eep, I don't know. GRUG Why don't you know? Stop looking for things. Fear keeps us alive Eep. Never not be afraid.
eep, What's the point of all this?
grug,Hmmm? What was that?
eep," I mean, why are we here? What are we doing this for?"
croods,GROAN
grug,No one said survival was fun.
eep,Nothing is fun.
grug,Hmm? Would you come down here. Eep?
ugga,Grug. Off.
grug,Yes.
ugga,Off!
grug,I just don't see why she needs her own ledge. That's all. That's what this is about.
ugga,She's working through some things and needs her own space.
grug,What things? How long is this going to take? Really? I mean she already doesn't listen to me.
ugga,See? She's listening.
grug,"If she wants to survive, she has to follow our rules."
ugga,How about a story? Eep loves those.
grug," That's a good idea ... How about a story, huh?"
thunk,"Oh yeah, tell us a story."
grug,Ok. Can I borrow that? Thank you. Eep! Your old favorite?
eep,I haven't played with that thing in years.
grug,Tonight we'll hear the story of Krispy Bear.
ugga,Grug!
grug,"Yes. And one day, while she was in a tree, the curious little bear wanted to climb to the top."
thunk,Wha?
grug,"And no sooner than she climbed to the top, she saw something new and died."
thunk,Just like that?
grug,Yes! Her last moments of terror still frozen on her face.
gran,"Oh, same ending as everyday."
thunk," I get it, dad. I get it. I will never do anything new or different."
grug,"Good man, Thunk."
creature,Nuh! Nuh!
guy,No!
eep,Augh!
guy,AAAAAAAUGHHHHHHHH!
eep,Shhh!
guy, Air.
eep,...You talk.
guy,"I'm a person, like you."
eep,Augh!
guy,OW! Wow. --
eep,Quiet! I'm not supposed to be out here.
grug, Eep's gone.
ugga,What? Grug!
grug,Stay in the cave!
guy, Wow. You're really strong.
eep,"No! It's mine. No, no. I caught it!"
guy,It's dying. I can fix it!
eep,It does what you tell it?
guy,"Well, yeah, sort of."
eep,The sun?
guy,"No, no. Fire."
eep," Hi, fire."
guy, It's not alive. EEP But you said it was dying.
guy,"Uh sorry,--"
eep,It comes from where you come from?
guy,No. I make it.
eep,Make some for me.
guy,"Ow. Okay, it doesn't come out of me."
eep,Make. MAKE! MAKE IT!
guy,You do this a lot.
eep,Are you dead? Can I have your fire if you're dead?
guy,"Hey, those are cold!"
belt,Squirf!
guy,"You think? Listening shells, activate."
eep,I don't even know you.
guy, Ow. I'm Guy.
eep,Guy?
guy,"And this is Belt. Cook, conversationalist, navigator, also keeps my pants up."
belt,Hhiiyaa! Yaaa!
eep,"What are ""pants up?"""
guy,Who are you?
eep,Eep.
guy," Let me clarify, Eep. The world is ending."
eep,What?
guy,I'm calling it...  The... End.
belt,Da da daaaaa.
eep,How do you know?
guy,"I've seen it. It's coming this way. First, the Earth is going to shake. Then it breaks open. Everything falls in. Fire. Lava. I don't mean to sound too dramatic, but Aaaaaaaugh. Believe me, everything we're standing on, all this right here, will be gone."
eep,I can't.
guy,"Okay. Here. If you survive, call me."
eep,Thank you. Hello? Hey!
grug,Are you hurt? What took you?
eep,Nothing. I left on my own.
grug,"You... youuuuuuu... ww-what!? EEP Dad, let me explain..."
grug,You're grounded.
grug,Hey!
ugga,Eep!
eep,Mom!
ugga,Grug! What happened!?
grug,"You know what, I am so mad right now, that I can't talk to her."
ugga,Eep?
eep,You'll never believe it. I found something new.
croods,New?!!!! The Croods all SNATCH up stones. They form a defensive circle.
grug,New's a big problem!
eep,Wait. Wait!
ugga,Eep. Stay inside the family kill circle.
eep,It wasn't bad.
grug,New is always bad.
eep,No. He was nice.
grug,What!? Excuse me? He?
eep,"Oh. Well, I thought he was a warthog, but then he turned into a boy."
gran,Strange. Usually it's the reverse.
thunk,Eep's got a boy hog! Eep's got a boy hog!
eep,"There was a boy. Watch, okay. I'm gonna call him."
grug,It was dangerous.
eep, It was beautiful. You want to see dangerous? Here.
thunk,Owww! My sniffer!
grug,"Okay Eep, that's it. We're going back to the cave and you're going to stay in there until you're older than... her!"
eep,What!? You can't keep me inside forever!
grug,Get to the cave! GO!
ugga,"Yes. Grug, the cave, it's gone."
grug,No.
eep,You really need to see this...
grug,No. No one is going anywhere.
ugga,Grug?
grug,Just go! Go! Go!
grug,"One, two, three, four, five -- BEAT. Grug smiles."
gran, Oh... Where are we?
grug,"I don't know, I'm not sure. Down. In a lower place. One thing's for sure, we can't go back the way we came."
sandy,Sniff sniff sniff Grrrrrrrrrrr.....
ugga, Sandy? What is it?
grug,"No, no! Come back, Sandy!"
thunk," If it was me, I'm just throwing this out there, if it was me choosing the cave, I would go with a smaller cave."
grug,Wait.
thunk,Dad?
grug,I'll take care of this.
thunk,"Alright dad, go get `em! Oh, oh, now you got em-- Now they're really hitting you. Dad I got it, just stop running into their fists."
gran,"Hah, I'm loving this."
ugga,"Grug, when you're done, we should get going."
grug,That's right! You can't get past this!
chunky,ROOOAR!
croods,GASPS
grug,Climb! Climb! Climb!
thunk,Hey look! This cave has a tongue. Awesome!
grug,"Okay, that's one, two, three, four, five... six..."
gran,And seven... if we're counting Chunky the Death Cat.
chunky,Grrrrrrrrr.
thunk,Hah! It's scared of the dark... wait... we're scared of the dark.
grug,Kill circle!
guy,Ta-da. EEP 
grug,Auughhauhhhgggh!
croods,"Raaarr, grOooOOOOowwllll, ERF ERF GLaaabbbllllellelller!"
guy,Cavies!
eep,Cavies?
guy,"Cavemen! Stand back! They're practically animals. See their bony, sloping foreheads?"
eep,Oh... yeah!
guy,The huge primitive teeth?
eep,Er... yeah...
guy,"The excessive body hair? Oh, that one's got a tail..."
eep,Uhhh... yeah...
eep, They're my family.
guy,What?
thunk,"Ah, the sun is in his hands!"
eep,"No. No. It's ""fire."""
ugga,Where did it come from?
eep, He made it.
grug,Make some for me!
eep,It doesn't come out of him.
grug,Make. Make it.
guy,"You know, you're a lot like your daughter."
eep,"Great, now he's broken."
grug,Whoa! Stay back. We don't know what it wants.
thunk,"Dad, Sandy's hurting fire."
grug,Sandy! No! Fire is not a play thing!
ugga,"Aww, what a cute little guy."
grug,"Hey, stay back."
grug,"Thunk! Uh, try hiding from it in the tall dry grass!"
thunk," Stop please, please. I'm only nine."
ugga,"Ooh, more fire babies."
eep,Hi.
guy,"So, your Dad, he's trying to kill me. EEP Yeah. But I won't let him."
thunk,I don't like you anymore!
sandy,Weeeee!!!!
gran,Get out! Out!
ugga,"Eat up, babies!"
gran,Die! Die!
eep,They're not so scary once you get to know them.
guy,Who are you people?
ugga,"Oh, I'm sorry. We're the Croooooods! And you are?"
guy,"Uh, Guy."
croods," Hi, Guy."
thunk,Wow! Looks like magic. And smells like food.
grug,"Don't eat it, it's new."
croods,Still alive!
belt,Squirf!
guy,gasping for air 
eep,"Hey, where's Guy?"
guy,No!
eep,Going somewhere?
guy,"The mountain? High ground? End of the world, remember?"
eep,That already happened. It destroyed our cave.
guy, Noooo. That was just the beginning of the end. The end of the end is still coming.
grug, Eep. Drop it.
eep,We can't let him go! What if we don't find a cave before sunset? What if it takes a few days? What if the birds come back?
gran,"We need his fire, dummy!"
grug,Fine. You're staying with us till we find a cave.
guy,"What? No I'm not. Don't make me part of this. Stay here if you want, but let me go. I've got a dream, a mission, a reason to live."
eep, Not anymore.
guy, Umm... I've got an idea. Let's go to that mountain.
grug, It's too far.
eep,Dad really has his heart set on a cave.
guy,"Uh, there, are, caves on that mountain."
eep,Have you been there?
guy,It's a mountain. Mountains are safe. Mountains have caves. And water. And sticks.
thunk,Mom? Did you hear that? I can get my own stick!
guy,Yes. Sticks. Caves and sticks. Crazy sticks. Let's go.
belt,Da da daaaaa.
thunk,Ugh. That thing is weird.
eep,"No no, it's okay Sandy. That's just a belt."
grug,"I've made a decision. We're going to, that mountain! Don't ask me why. It's just a hunch. It just feels right."
ugga,I don't know Grug. We've never really walked that far.
thunk,I don't think my feet can do that.
gran,I'll never live long enough to get there.
grug, We'll become closer as a family.
thunk,Aaaaaaaaugh. Get her off. Get off.
ugga,"If you're not ready to challenge her, then don't look her in the eye."
gran,Could you keep your big giant arms on your side of the trail!
ugga,No more touching. No more touching.
eep,Isn't this fun? We're taking our first trip together.
grug,Do you want me to turn this family around? Do you?! Because I will turn this family around so fast!
thunk,"Dad, I gotta go!"
grug,"Come on, you can hold it."
thunk,I don't think so.
grug, Go behind one of those lumpy things and make it fast.
thunk,Ow! Something bit me!
gran, I don't blame it.
ugga,Maybe we should have stopped for water.
eep,"Dad, can I take a turn carrying him?"
grug,No.
eep,How about now?
grug,No.
eep,Now? GRUG No.
eep,NOW?!?!
grug,NO!
eep, NOW?!?!
grug,"I can do this all day long. No, no, no, and still no."
gran,I'm not dying on an empty stomach.
ugga,"Grug, we're all pretty tired."
thunk,"I'm pretty dizzy, so I'm just going to lay down for a minute."
grug,We'll eat when we get there.
