Speaker,Dialogue
worker,Master Li is here!
aunt wu,Shu Lien!
aunt wu,Li Mu Bai is here!
li,How's everything?
aunt wu,Fine.  Please come in.
yu,Mu Bai...It's been too long.
li,It has.  How's business?
yu,Good.  And how are you?
li,Fine.
yu,Monk Zheng said you were at Wudan Mountain.  He said you were practicing deep meditation.
li,Yes.
yu,"The mountain must be so peaceful... I envy you.  My work keeps me so busy, I hardly get any rest."
li,I left the training early.
yu,Why?  You're a Wudan fighter. Training is everything.
li,During my meditation training... I came to a place of deep silence... I was surrounded by light... Time and space disappeared.  I had come to a place my master had never told me about.
yu,You were enlightened?
li,No.  I didn't feel the bliss of enlightenment.  Instead... I was surrounded by an endless sorrow.  I couldn't bear it.  I broke off my meditation.  I couldn't go on. There was something... pulling me back.
yu,What was it?
li,Something I can't let go of.  You are leaving soon?
yu,We're preparing a convoy for a delivery to Peking.
li,Perhaps I could ask you to deliver something to Sir Te for me.
yu,The Green Destiny Sword?  You're giving it to Sir Te?
li,I am.  He has always been our greatest protector.
yu,I don't understand.  How can you part with it?  It has always been with you.
li,Too many men have died at its edge. It only looks pure because blood washes so easily from its blade.
yu,"You use it justly, you're worthy of it."
li,It's time for me to leave it behind.
yu,So what will you do now?
yu,Come with me to Peking.  You can give the sword to Sir Te yourself. It'll be just like old times.
li,First I must visit my master's grave.  It's been many years since Jade Fox murdered him.  I have yet to avenge his death.  And yet I'm thinking of quitting.  I must pray for his forgiveness.
yu,Join me once you have finished.  I can wait for you in Peking.
li,Perhaps.
guards,Ok.  Pass.
yu,Thanks.  Let's go into the city.
giao,Everything got here safely.  I'm much obliged.
yu,Just doing my job.
giao,Sun Security has been the best since your father started it. You're a credit to his memory.
yu,Thank you.
giao,I mean it.
sir te,"This is Li's personal sword, a great hero's weapon!  He is the only one in the world worthy of carrying it.  It's too fine a gift. I cannot accept it."
yu,"Sir Te!  It has brought him as much trouble as glory.  Help him to leave these troubles behind. Otherwise, he'll never be able to start anew."
sir te,All right.  I'll act as the sword's custodian.
de lu,Governor Yu has arrived.
sir te,I must change.
yu, You've always been so good to Li Mu Bai and me.  Please accept our thanks.
sir te,"Please do not be such a stranger. You'll stay the night as my guest. Now, Shu Lien... tell me something. And forgive me for prying.  Your father was a great friend to me, and I think of you as my own daughter."
yu,"Please, Sir Te, what is it?"
sir te,Li Mu Bai giving up his sword and his warrior days... maybe he's trying to tell you something?
yu,I don't know...
sir te,"Don't be coy.  I've always known about your feelings for each other. All these years, it's a shame... neither of you is brave enough to admit the truth to the other. You're both wasting precious time."
yu,I beg your pardon.  Li Mu Bai and I aren't cowards.
sir te,"When it comes to emotions, even great heroes can be idiots.  Tell me if Li Mu Bai is not more open the next time you see him.  I'll give him an earful!"
de lu,Sir Te said to leave the sword in here.
de lu,Who are you?
jen,I'm your guest today.  I am Governor Yu's daughter.
de lu,This is Sir Te's study.  You are here to...
jen,I was looking for a quiet corner.
de lu,I am Sir Te's head servant.  And this is another of our guests.
jen,It's heavy for such a thin piece of metal!
yu,"The handle is heavy.  And the blade is no ordinary metal.  Still, the sword is the lightest of weapons. You're just not used to handling it."
jen,"But I have had much practice.  As a child in the West, a platoon lived with us.  They'd let me play with their weapons.  The scabbard is so beautiful."
yu,"Beautiful but dangerous.  Once you see it tainted with blood, its beauty is hard to admire.  It's 400 years old."
jen,Exquisite!  You said it belongs to...
yu,My friend Li Mu Bai.  He's given it to Sir Te as a gift.
jen,Li Mu Bai!  The famous warrior? Why would he give his sword to Sir Te?
yu,You're too young to understand.
jen,You're a sword fighter too?
yu,"Yes, I am.  But I prefer the machete.  Certain moves, however, call for a sword."
jen,Really?
jen," It must be exciting to be a fighter, to be totally free!"
yu,"Fighters have rules too: friendship, trust, integrity... Without rules, we wouldn't survive for long."
jen,"I've read all about people like you. Roaming wild, beating up anyone who gets in your way!"
yu,Writers wouldn't sell many books if they told how it really is.
jen,But you're just like the characters in the stories.
yu,"Sure.  No place to bathe for days, sleeping in flea-infested beds... They tell you all about that in those books?"
jen,"You know what I mean.  I'm getting married soon, but I haven't lived the life I want."
yu,"So I heard.  Congratulations.  It's the most important step in a woman's life, isn't it?"
jen,"You're not married, are you?"
yu,What do you think?
jen,No!  You couldn't roam around freely if you were.
yu,You're probably right.
sir te,"Go ahead, Governor Yu."
sir te,"Two feet 9 inches long.  1 inch wide.  The handle is 1 inch deep, 2.6 inches wide.  Seven-tenths of an inch thick.  With seven rubies missing from the hilt.  You can tell the design dates back to before the Chin era.  Engraved with a technique lost by the time of the Han Dynasty."
governor yu,"Your knowledge is remarkable, Sir Te."
sir te,A sword by itself rules nothing. It comes alive only through skillful manipulation.
governor yu,I see your point.  Please continue.
sir te,"The Imperial Court isn't the problem.  With royalty and officials everywhere, the Royal Guard keeps security tight.  But Peking is not like the West.  Here, you'll find all sorts of characters.  Proceed with caution in your quest for law and order.  Don't depend only on the court.  Contacts in the Giang Hu underworld can ensure your position.  Be strong, yet supple. This is the way to rule."
maid,Governess...
governess,Let me do it.
jen,Please sit.
governess,I've made you silk pajamas.  Do you want to change into them?
jen,Put them down.
governess,I heard you met Shu Lien today.
jen,Do you know her?
governess,She's one of those.  Your mother would not want you consorting with her kind.
jen,I'll socialize with whomever I please.
governess,Don't invite danger into your father's house.
jen,I'm tired now.
governess,"Go to bed then.  Miss has grown up, and is getting married soon.  God knows what the future will bring."
jen,It will be just the same.  Enough! I'm tired.
governess,Autumn is coming.  I'll shut the windows for you.
master bo,"Chilly, eh?"
nightman,"Yes, Master Bo."
bo,Someone help!  Stop him!  He's on the roof!  The sword's been stolen! Stop thief!  Stop him!
tsai,It's Jade Fox!
may,We must avenge mother!
bo,Do something!  He's getting away!
yu,"Return the sword, and I'll let you go."
yu,You've been trained at Wudan?
tsai,You're mistaken.  We're just street performers.  We were rehearsing.
may,Father!
bo,You were rehearsing?  Who are you trying to fool?
bo,Where did that thief go?
bo,Governor Yu's house!
yu,Get down here!  Give back the sword!
de lu,Sir Te awaits you.
bo,I'm sure the thief is in the Yu household.
sir te,How dare you imply?
bo,But I say --
sir te,-- Enough.
yu,Has Governor Yu ever seen the sword?
sir te,"Yes, though I doubt he's involved in this."
yu,But the sword could be in his compound.
sir te,Then someone's trying to set him up. We should inform Li Mu Bai.
madam yu,What is it?
maid,"Madam Yu, someone's put up posters."
madam yu,Let me see.
governess,"Someone is after Jade Fox. Preposterous, looking for her here!"
bo,Where are they?
homeless man,I don't know.  I haven't seen them in two days.
maid,There is a Miss Shu Lien here to see you.
governess,Miss is busy right now.
maid,I'll tell her.
jen,Show her in.
governess,This spells trouble.
jen,I have a guest.
maid,This way please.
jen,I've missed you.
yu,How so?
jen,I'm bored.
yu,You're doing calligraphy?
jen,I'll write your name.  Just for fun.
yu,"I never realized my name looks like ""sword."""
yu,You write gracefully.  Calligraphy is so similar to fencing.
jen,Maybe it is.  I wouldn't know.
jen,Please.
yu,Thank you for seeing me.  I hear your wedding day is near.  You must be overwhelmed by the preparations.
