Speaker,Dialogue
quentin,Hey...
quentin,Hey...
quentin,"I'm sorry... It's alright, I'm not gonna hurt you."
holloway,What do you want?
quentin,I thought you were...
holloway,What?
quentin,I don't know...
quentin,STOP!
leaven,"What, what?"
quentin,"It's ok, come here."
quentin,"It's ok, calm down, evrything's gonna be fine."
holloway,What was in there?
quentin,Just give me a minute to figure things out.
hooloway,Why are you afraid of that room?
quentin,Just give me a minute I said.
quentin,How many people are in this thing? Listen! We can't go climbing around in here.
holloway,Why not?
quentin,There's traps.
holloway,"What do you mean, traps?"
quentin,Ubitraps. I looked into a room down there and something almost cut my
holloway,"Holy God, holy, holy God!"
holloway,Are you alright? Mister? Worth?
quentin,Alright?
worth,I hit my head?
holloway,"Let me take a look at that. It's ok, I'm a doctor, it doesn't look bad."
quentin,What the hell are you doing?
quentin,Hey old man?
rennes,Motiondetectors integrated in the walls. Tough to spot.
leaven,"Oh God, oh God, oh God."
quentin,Wait a second! Let's all just relax for a minute. Does anybody remember
holloway,"Perogies! I was eating dinner. Perogies, cheese and potato. I ran out of"
quentin,You... Leaven?
leaven,I... I just went to bed and then
quentin,What about you?
worth,I just woke up here.
holloway,Middle of the night. It's like Chile. They always come in the middle of the night.
leaven,Who?
holloway,Only the government can build something this ugly.
quentin,"Oh, it ain't government."
holloway,Then what is it.
quentin,I don't know.
holloway,Aliens!
quentin,"Please, we're spooked anough as it is. Let's rule out aliens from now on"
leaven,My mom's gonna freak...
quentin,Rennes...
leaven,Just won't be there...
quentin,What do you think Rennes?
rennes,"We don't solve the act, sitting still. I'm moving at this straight line,"
quentin,"Alright, I attend to agree."
leaven,Shouldn't we wait here? To see if anybody comes.
worth,No one is gonna come.
quentin,"There's a way in here, so there's gotta be a way out. We can avoid the"
holloway,Ok.
quentin,It can't be that simple.
rennes,"It ain't gonna be that simple. Take a look around. Take a good long look around, see it. Coz, I got a feeling it's looking at us."
leaven,I just wanna wake up...
quentin,"Leaven, we can do this. We just have to stay calm, and work together as a team. There's gotta be a lot of people looking for us on the outside. I'm a cop, alright?"
leaven,You're a cop?
quentin,"Yeah... I'm gonna get you out of here, I promise, but you gotta be with me on this one..."
leaven,Ok.
quentin,Boot it!
rennes,Clean.
holloway,That one sounded closer.
rennes,It's mechanical. Seems to come at regular intervals.
quentin,Maybe it's the ventilationsystem?
rennes,No bets...
holloway,"No kidding, I'm boiling"
quentin,"What is it, serial numbers?"
holloway,"Room numbers, they're different in each room."
holloway,There'd better not be! We have about three days without food and water before we're too weak to move.
leaven,"They have to feed us, don't they?"
quentin,Holloway!
holloway,"Oh, we have heat, stress, physical exhaustion i.e. dehydration, headaches, dizziness, disorientation, confusement. Mental process. The body eventual begins to break down it's own tissue."
rennes,Suck on it... Keeps the saliva flowing.
quentin,What?
rennes,The air seems dry in there.
holloway,Trapped?
rennes,Molecular chemical sensor.
quentin,Why the hell didn't the boot set it off.
rennes,The boot's not alive. It detects hydrogen-sulfide extruded from the skin.
quentin,"How come, you know so much about sensors, Renz?"
rennes,Rennes... Not Renz! It's french!
quentin,"Fine, you're french. I'm asking how..."
quentin,Rennes... Sensorexpert... With the right age... I don't believe it...
quentin,This guy is The Wren...
holloway,The what?
quentin,The Wren. The bird of Attica. through the coop on six major prisons.
rennes,Seven!
holloway,You're kidding right?
leaven,You can get us out?
rennes,Maybe.
holloway,An escapeartist!
rennes,"Yes, I'm Harry ""fucking"" Houdini. The only reason I dragged you so far, is cause I need your boots. If you're not smarting up I'm gone like that. No more talking... No more guessing. Don't even think about something which is not right in front of ya. That's the real challenge, you gotta save yourselves from yourselves."
rennes,Merde.
quentin,Get him out!
quentin,"So it was electrochemical or whatever, right? And he missed it. The Wren... That's great, that's fucking great."
quentin,Alright... It's time to reassess this place.
holloway,"I've been over it again and again, why would they throw innocent people in here? Are we being punished?"
leaven,I've never done anything to deserve this!
quentin,"Forget about all that! You can't see the big picture from in here. So don't try. Keep your head down. Keep it simple. Just look, look at what's in front of you."
worth,That's what he said.
quentin,"Start with us. We got an escapeartist and a cop. There's gotta be a reason for that. You're a doctor Holloway. That gives you a function, a reason, right?"
holloway,"No, it just makes me go: ""Why me, and not one of the ten million other doctors out there""!"
quentin,Leaven. What are you?
leaven,"Nothing, I jst go to school, hang out with my friends."
quentin,What else?
leaven,There is nothing else. My parents are these people I live with them... I'm boring.
holloway,I think we have to ask the big questions: What does it want? What is it
worth,"One down, four to go."
quentin,Why don't you tell us what your purpose is Worth!
worth,"I've wondered that myself. I'm just a guy, I work in an officebuilding, doing officebulding stuff. I wasn't actually bursting joie de vivre before I got here. Life just sucks in general."
holloway,I can't stand that attitude.
leaven,"Because, he's right."
quentin,Whats your purpose Quentin?
quentin,Kids.. Three of them... I haven't made my piece yet. I'm getting out of here no matter what. That's where my strength comes from. You people find yours wherever you got it. For Christ's sake. What do you live for? Don't you have a wife or a girlfriend or something?
worth,"Nope, I got a pretty nice collection of pornography"
holloway,"Nice, nice. I ain't got anyone either, but I'm not giving up. I'm pissed off. The came into our homes. They stripped us bare. They took my rings. They took my... my amethyst. I wanna know who's responsible."
quentin,"Leaven, your glasses? You don't need them?"
leaven,Only for reading.
quentin,"Well, they took off her jewelry, but they must have put these on you. If nothing is random... why are they here."
quentin,"Leaven, what do you read in school? Math?"
holloway,What can they mean?
leaven,149?
leaven,Primenumbers. I can't believe I didn't see it before.
quentin,See what?
leaven,"It seems like if any of these numbers of prime, then the room is trapped. Ok, 645... 645, that's not prime. 372... no. 649... Wait, 11 x 59, it's not prime either. So that room is safe."
quentin,"Wait, wait, wait. How can you make that decision based on one primenumbertrap?"
leaven,I'm not. The incinerator thing was prime: 083. The
holloway,You'd remembered all that in your head?
leaven,I have a facility for it.
quentin,"Leaven, you beautiful brain... Boot it."
quentin,"Ok, out of the way."
leaven,Brains before beauty.
leaven,SAFE! Primenumbers! Primenumbers! Primenumbers! Primenumbers!
leaven,How long have we been in here
quentin,Nine or ten hours.
holloway,How do you know?
quentin,5 'o clock stubble. the last thing I remember was shaving.
leaven,I guess I missed breakfeast... or lunch... or whatever
quentin,Now don't worry. I'll be home in time for dinner.
leaven,"If we get out, I'l make you dinner."
quentin,You got a date.
quentin,Doing good.
holloway,I need to smoke! I could smoke a butt of a sidewalk.
quentin,"Holloway... Just real yourself in a bit. Come on. Were moving along, things are looking up."
holloway,"Ok. You're right, I quitted smoking years ago. I just need to be occupied."
quentin,Talk to me. Have a conversation. What kind of doctor are you anyway?
holloway,"Uh, you know, the free kinda... Er, come on help me. Tell me about your rugrats."
quentin,"Ok. We have three boys. Nine, seven and five."
holloway,"Oh, good God. Poor woman. There's no way I'd survived that."
quentin,"She didn't either................. She's not dead, we're just separated."
holloway,"I'm sorry, I can't just shoot the breeze."
leaven,These numbers aren't prime.
quentin,Ok. Clear.
holloway,"Excuse me, sorry."
quentin,You could try and help me out here buddy.
worth,"No, I couldn't"
leaven,This one is trapped too.
holloway,We have to backtrack?
quentin,Not yet.
leaven,"Oh, no."
leaven,Read them to me.
holloway,What are you? His coatrack? Oh please.
quentin,It's stuck!
kazan,This room is green.
quentin,Holloway.
holloway,Hi there.
kazan,This room is green.
holloway,Yes it is.
kazan,I wanna go back to the blue room.
quentin,Is it shock or what?
holloway,I think he's mentally handicapped.
kazan,I like the blue room.
quentin,Jesus Christ!
leaven,He almost broke my neck.
holloway,"Hey there, are you all alone? Do you wanna hold my hand, honey?"
kazan,"Butter first, then honey, Kazan. Butter first then honey."
leaven,How did he survive?
kazan,I wanna go back to the blue room.
holloway,There's lots of blue rooms. We'll find another one to you real soon.
leaven,This is just way too bizarre.
holloway,Will you just worry about your own numbers...
holloway,"Go on, I'll look after him."
leaven,"Safe, obviously. Since he almost fell on my head."
holloway,"Shall we go for a walk? Kazan, do you wanna go for a walk?"
holloway,Erm' Quentin. Let's not make him do the climbing thing right away.
quentin,Holloway!
kazan,Holloway.
holloway,Could they have taken us all the way to New Mexico?
quentin,What are you talking about Holloway?
holloway,"I'm talking about: ""Where do you hide something this big?"" It has at"
holloway,"I'm sorry to shake your foundations Quentin, but you have no idea where your tax-dollars go."
quentin,Free clinic doctors?
holloway,Only the military industrial complex can afford to build something this size.
quentin,"Holloway, what's the military industrial complex? Have you ever been"
holloway,And how would you know from where you are.
quentin,What do you think these establishments is? It's just guys like me. Their
holloway,Is that what you think?
leaven,Clear!
holloway,"Ok, you're a cop. Single bullet theory. Right on."
leaven,Gas!
quentin,Holloway! Get back here.
holloway,It's ok. I just swallowed my button.
