Speaker,Dialogue
dark city, by Alex Proyas
revised draft,"November 29th, 1992"
darkness, A LOW RUMBLE increases in volume.
white,What?
white,What?  I...  How long have I been here?
bumstead,"I know, sir, but I can't make it at nine-thirty...  It's  -  um  -  well, inconvenient..."
bumstead,"Yes, sir...  I understand...  Yes... But, I've done fine so far without an assistant..."
bumstead,But...  But I...  I...  Nine-thirty.  Yes.
mystery man,"You are lost, yes?"
mystery man,Co-operate.  Do not make this difficult.
mystery man,"You will not shoot, yes.  There is a place in your mind, a corner of darkness..."
bumstead,"Good evening, sir."
stromboli,Yes.  This way.
mortician,"Welcome, gentlemen.  Youre early. Here for the examination, right?"
stromboli,The handiwork of an extremely sick individual.
stromboli,"Youve read the reports.  Not much to go on.  We know nothing about him, except that he likes to cut them... Always the same type of blade. Forensics match in each case... Anyway, it's all in the reports, read them for yourself."
stromboli,Why are you wearing that thing on your face?
bumstead,"Germs, sir.  These places are full of them."
stromboli,"I see.  One things for sure, hes ambitious. Youll be a busy man from now on."
mortician,You can say that again.
bumstead,"What about Thompson, sir?  Wasnt this his case?"
stromboli,"Thompson suffered a kind of severe delusion or some damn thing.  Anyway he isnt with us any longer.  The case is yours.  Go through his files. Take what you need.  By the way, hows your mother?"
bumstead,"Shes getting better, thanks.  She..."
stromboli,"Lets go, Bumstead.  So much to do and so little time."
figure 1,We are looking for Jonathan White.
manager,What for?
man 1,Which room is he in?
woman,We call.
bumstead,A real shame...
man 1,"Dont fall asleep.  Might never wake, yes."
voice,Fifty-six...  Fifty-six...
white,What?  Who are you?
fredrick,"Cmon, lets go!  We dont have any time."
white,"Hold it a minute.  Lets start at the beginning, huh?"
frerick,Shit!  Quick!  Run!
white,Shit.
cop,We got another one upstairs
bumstead,Dammit!
miss crenshaw,"Sorry, sir."
bumstead,Dont ever sneak up on me like that! Who are you?
miss crenshaw,Patricia Crenshaw.
miss crenshaw,Im your new assistant.
bumstead,I didnt requisition a secretary.
miss crenshaw,The Chief-Inspector thought you might need a hand.
miss crenshaw,"Ive taken the liberty and had Inspector Thompsons office searched, as I believe you instructed.  All clear now, sir.  They found several more traps and things were filed under pretty strange categories... Poor man."
bumstead,Good.
miss crenshaw,"You wont regret this, sir."
bumstead,Fine.
white,"Keep newspapers here, birth certificates, records of deaths, that kind of thing?"
librarian,Which would you like first?
white,Okay.  Newspapers.
librarian,Are you alright?
librarian,Dont mention it...
white,Im trying to reach nine zero eight triple two.  I cant get through...  Shit!
white,It is?...  Which area is that number listed in?...  Is that near the ocean?...  The ocean...  Never mind. Have a Jonathan White listed?... WHITE.  Seventeen?  All Johns?  I see...  Never mind.
bumstead,What?  I dont drink coffee.  A cup of tea would be good.  Milk and no sugar.
crenshaw,Making progress?
bumstead,These are the investigations of a madman.  He has fabricated an entire bizarre paranoid delusion with no internal logic whatever.  Its the second time now.
bumstead,Look at this!
bumstead,You typed this report?
miss crenshaw,"Yes, sir.  Anything wrong?"
bumstead,Wrong?  Look at this!
miss crenshaw,It seems fine.
bumstead,Fine?  Look here!
bumstead,How can I submit this?
miss crenshaw,Im sorry...
bumstead,Do you wash your hands before you type things?
miss crenshaw,"Why, yes."
bumstead,"Well be more careful, please."
crenshaw,Inspector Bumsteads office... Yes...  Yes...
miss crenshaw,"Yes, sir.  The Chief-Inspector said he would see you now."
stromboli,What is it?
bumstead,A formality.  I need to speak with Thompson.  Officially I need your written permission.
stromboli,Why do you want to speak to him?
bumstead,A hunch.  He might be able to...
bumstead,Its extremely important to my investigation...
stromboli,Ill be the judge of that.  Anything else?
bumstead,"Actually, I was wondering, sir, if you could let me have a few uniforms, to follow up for me..."
bumstead,Lost something?
stromboli,"What makes you think that!  If you would learn to concentrate on facts, not get so side-tracked  -  you might get things done faster, Bumstead..."
white,I need something to keep me awake.
barber,Looks like you need a haircut to me.
white,Thanks.  Just some pills.
barber,Only two bucks.  Shave as well...
barber,Relax.  Sure!
barber,"Tell you what  -  let me cut yer hair, give ya watcha need half price. Cant argue at that!"
white,Sell maps?
barber,What of?
white,The city.  I need to get to the ocean.
barber,"Nope.  No maps.  Ocean, huh?  On vacation?"
barber,Grandpa thought customers might like some mood music.
barber,You still look familiar.  Its driving me nuts!  Sure I dont know ya from somewhere?
barber,"Mnunn.  Cold lately.  That night, couple weeks ago.  That was real cold.  Remember that?"
white,Not really...
barber,"Yeah, Im like that.  Senility says the wife.  But she sure cant complain.  Heh.  The erector set still works good.  And this aint no fucking rug! Ghead.  Feel it!  All mine!"
grandpa,Yes! Feeeeel it!
priest,Beware!  The night is deadly.  There is a criminal among us.
