Speaker,Dialogue
narrator," It is the mid 22nd Century.  Mankind has explored the boundaries of his own solar system, and now he reaches out to the endless interstellar distances of the universe.  He moves away from his own small planetary system in huge hyperdrive starships: computer-driven, self-supporting, closed-system spacecraft that travel at mind-staggering post-light velocities.  Man has begun to spread among the stars.  Enormous ships embark with generations of colonists searching the depths of space for new earths, now homes, new beginnings.  Far in advance of these colony ships goes a new pioneer: the scouts, the pathfinders, a special breed of man who has dedicated his life to blazing the trail through the most distant, unexplored galaxies, opening up the farthest frontiers of space.  These are the men of the Advance Exploration Corps.  The task they face is one of unbelievable isolation and loneliness.  So far from home that Earth is no longer even a point of light in the sky, they must comb the universe for those unstable planets whose existence poses a threat to the peaceful colonists that follow. They must find these rogue planets -- and destroy them.  Among these commandos are the men of the scoutship Dark Star."
doolittle," Ah, what'd you say, Pinback?"
pinback, Mafhkin oble groop...
doolittle," Ah, what was that again, I still can't hear you?"
pinback, I said I'm trying to reach Talby. Something's wrong with the damn intercom.  I need a last-minute diameter approximation.
doolittle," Talby, Talby, this is Doolittle.  Do you read me?  Talby?"
doolittle," Talby, do you read me?"
doolittle, TALBY!
talby," Oh!  Ah, yes, Doolittle.  What is it?"
doolittle,I need a diameter approximation.
talby," Okay, Doolittle, I'll have it in a minute."
pinback,I need a GHF reading on the gravity correction.
doolittle,I'll check it.
boiler,I have a reduced drive reading of seven thousand.
pinback,"Right, that checks out here."
doolittle,Pinback...
pinback,"Yes, Doolittle."
doolittle,Your GHF reading is minus fifteen.
pinback,Doolittle...
doolittle,Yes.
pinback,I need a computer reading on a fail- safe mark.
doolittle,In a second.
pinback,"Boiler, can you set me up with some temp figures?"
boiler,"Ninety seven million, minus eight, corrected to mass critical."
pinback,I read that with a quantum increase of seven.
doolittle,"Pinback, I have a computer reading of nine five seven seven."
boiler,Time to start talking.
pinback,Bomb bay systems operational.
narrator," This is a chain-reaction bomb, otherwise known as an Exponential Thermostellar Device.  Its own destructive power is small, barely enough to vaporize twelve city blocks.  However, when it explodes in contact with an object the size of a planet, it starts a chain-reaction in the very matter of that planet, turning it into a giant reactor which destroys itself in one staggering thermal flash."
doolittle,Lock fail safe.
pinback,"Fail-safe locked.  Ah, Sergeant Pinback call1ng Bomb #19.  Do you read me, bomb?"
pinback,"Well, bomb, we have about sixty seconds to drop.  Just wondering if everything is all right.  Have you checked your platinum euridium energy shielding?"
pinback,Swell.  Let's synchronize detonation time.  Do you know when you're supposed to go off?
pinback,"All right, I have detonation time at... Wait a minute, something's wrong with the clock.  Okay, I have six minutes exactly. Does that check out down there?"
pinback,"Arm yourself, bomb."
pinback,"Well, then, everything sounds fine. We'll drop you off in thirty-five seconds.  Good luck."
pinback,Begin main sequence.  Mark at 10-9-8- 7-6-5-4-3-2-1-drop.
doolittle,"Hyperdrive sequence begun.  Hit it, Pinback."
talby,"Lieutenant Doolittle, it just exploded.  Lieutenant?"
doolittle,Unlock fail safe.
pinback,Fail safe unlocked.
recorded voice,Attention.  Attention.  The hyperdrive sequence is now terminated.  Please observe that the no smoking signs have growrrr...
doolittle,"Well... now what?  What do, you have for us now.  Boiler?"
boiler, Not much.  Nothing at all in this sector.
doolittle,"Find me something, I don't care where it is."
boiler,"Well, I show a 95% probability of sentient life in the Horsehead Nebula..."
doolittle,Fuck that shit.
boiler,"Well, it is kind of a long shot..."
doolittle,It's a goddamn wild goose chase. Remember when Commander Powell found that 99 plus probability of sentient life in the Magellanic Cloud?
boiler,"Well, there's the possibility of..."
doolittle,Remember what we found?  Fourteen light years for a fucking mindless vegetable that looked like a limp balloon and went squawk and let a fart when you touched it.  Remember?
boiler,"All right, then..."
