Speaker,Dialogue
midget,Coffee?  It's nice and hot.
midget,15 Minutes to circus... 15 minutes to circus.
ringmaster,"Ladies and gentlemen, we proudly present... ""The Clowns""!"
mr schmidt, Not to mention how unprofessional that was...
helmut,But it was an accident...
gustav,"Oh, sure it was... A very well planned and calculated accident!"
helmut,I swear to you... it was an accident!
gustav,I don't want to hear any more... You will get me another stooge. I don't want this man!!
schmidt,"Don't get excited, Gustav, you shall have it."
gustav,"You bet I will, or you shall have no show."
schmidt, You will run with the other clowns and that's all you will do... is that clear?
schmidt," And if there is another one of your cute tricks... I promise you will do your bits for the ""Cats"" while cleaning their cages!"
helmut,Clause... give me a double whiskey with beer chaser.
clause," You won't get ""Funny"" out of a bottle."
helmut,And you won't make a dime sticking your nose in other people's business.
ada,"Helmut, darling, are you all right?"
helmut, Do I look like I'm not all right?
ada,I was so worried about you...  Your dinner is cold and I couldn't imagine what happened to you...
helmut,Were you really worried about me or your stupid dinner was getting cold?
ada,"Sweetheart, I care about you...  I love you... I worry about you...  I can't help those feelings..."
helmut,If there is anything I don't need right now... it's your super- sentimentality...
ada,Helmut... what's tormenting your soul?  Please let me help you... talk to me...  I don't care what it is... I love you...  I'm your friend... you can trust me to understand...
helmut,I can't trust anybody... I don't know how to trust anybody...
ada,I'm not anybody!  I'm your wife!
helmut,"I'm sorry, my love... I'm so sorry... You're right!  You're not anybody. You're my wife and I love you, too... So very much I just have no one to fight back at... I'm lost and alone, I can't handle the disgrace of failure... the pain of being a has- been is more than I can bear..."
ada,Schmidt again?  Gustav again?  When will you learn they fear you and they know how vulnerable you are now...  if they can beat you down then they needn't worry about you coming back to haunt them.
helmut,"They worry about me?  Don't be ridiculous...  they just took the last comic bit away from me... because of a silly accident...  I'm now down at the bottom, just a stooge assisting a not-so-funny clown."
ada,But they can't take your talent away...  That's your strongest force!
helmut,What the hell are you talking about? What talent?  And if I had any it's being suffocated into nothing... And that's just what I am now... nothing... No one... just empty... a prop to be used and mis-used... how does my great talent stand up to those odds?
ada,By not quitting... You must fight! Creative survival is even more difficult than human survival... You must fight!!!
ada," Go to Schmidt... Force a confrontation...  Don't let Gustav win...  make Schmidt see what an injustice they are imposing on you... Please, my love, fight!  Make your world better by fighting for it... You can do it... I know you can..."
helmut,"I will go now and see Schmidt... I will tell him I won't take any more degradation... I will tell him I am a ""clown"" not a stooge...  A ""clown""... A special person...  A special clown..."
ada," Go, my love... Go and fight for what you know is right... I will warm your dinner and wait for you to come home."
schmidt,"Naturally, I agree... Doork is a nuisance, but to just let him go seems a little unfair."
gustav,"Schmidt!  Don't make me put it on a ""either him or me basis""."
schmidt,All right... all right... I'll give him --
clause, It's your funeral.
helmut, A funeral is usually in order when someone dies.
helmut,"The trouble with man today is that he takes everything for granted... he thinks things he's told to think... and accepts it! Just because we know meanings of words we use them and we fool ourselves...  people should use the dictionary more...  look up words like good... bad... honest... loyal... especially loyal,  I know what loyal means, and I have always been that... but does anyone care?  No!  Of course not...  Only when it is expedient... When it isn't ---  --- ZIPPPP!  You're out!"
helmut,And that goes for you too... Mine Fuhrer...
helmut,"... you, too, are a fool.  You allow yourself to think you have ""loyal"" followers...  Ha!  Wait until they've had it with you...  You'll get yours... all the smiling, bowing, heel clicking idiots will shaft you too.  And you will deserve it because if you allow people like Herr Schmidt to got about his business of lying, and cheating, and being disloyal, one day all the Schmidts in Germany will turn on you and you will finish as the dumb little corporal you started as, and never know what hit you..."
helmut,He really has to be stupid --  I could help him by telling him about the people he thinks are good Germans... Ha!
helmut, What are you staring at?  Didn't you ever see a man drink before?
helmut,What's the matter?  Haven't you guys got a sense of humor?  You must have! Look how you're dressed!  Grown men in their little soldier suits... And the black coats and gloves... Like in a movie...
helmut,"Real cloak and dagger stuff...  Didn't you Gestapo guys ever know that everybody can spot you a mile away?  Listen, if you really wanted to be unnoticed...  You should dress like plain people, then nobody would know you... You might even wear straw hats and shorts..."
helmut,"Straw hats and shorts!!  That's funny! Now that's really funny, isn't it? Straw hats and shorts!"
helmut,"Well, isn't that funny?   Think of it...  That's funny!   Why don't you laugh?"
helmut," I know why you're not laughing... Because things you hear, you have to think about... I'll show you something that you'll laugh at because all you'll have to do is watch..."
helmut,Ve vill conquer the world...  Heil me!  Heil me!  Heil me!
reicher,STEINER !!!!  Get in here!
corporal,"Heil Hitler!  Reicher flips his wrist in answer to the heil, showing complete annoyance at having to do it."
reicher,Do I see what I think I see here?
reicher,Never put your hands on my desk... is that clear?
corporal, Yes sir!
