Speaker,Dialogue
mother,"Now remember, keep your shoulders back."
photographer,"Okay, put your arm around your brother. That's it. And breathe in."
photographr,"Okay, one more."
teacher,"Now just to review, you're going to follow along the procession until you get to the headmaster. At that point he will indicate to you to light the candles of the boys."
man,"All right boys, let's settle down."
man,Banners up.
mr nolan,"Ladies and gentlemen, boys, the light of knowledge."
mr nolan,"One hundred years ago, in 1859, 41 boys sat in this room and were asked the same question that greets you at the start of each semester. Gentlemen, what are the four pillars?"
boys,"Tradition, honor, discipline, excellence."
mr nolan,"In her first year, Welton Academy graduated five students. Last year we graduated fifty-one. And more than seventy-five percent of those went on to the Ivy League. This, this kind of accomplishment is the result of fervent dedication to the principles taught here. This is why you parents have been sending us your sons. This is why we are the best preparatory school in the United States."
mr nolan,"As you know, our beloved Mr. Portius of the English department retired last term. You will have the opportunity later to meet his replacement, Mr. John Keating, himself a graduate of this school. And who, for the past several years, has been teaching at the highly regarded Chester School in London."
mr nolan,Glad you could come by.
mr anderson,Thrilling ceremony as usual Dr. Nolan.
mr nolan,You've been away too long.
mrs anderson,Hello Dr. Nolan.
mr nolan,Good to have you back.
mrs anderson,"This is our youngest, Todd."
mr nolan,"Mr. Anderson.You have some big shoes to fill, young man. Your brother was one of our finest."
todd,Thank you.
woman,Lovely ceremony.
mr nolan,Thank you. So glad you liked it.
mr perry,Gale
mr nolan,Tom
mr perry,Good to see you again.
neil,Hello Mr. Nolan.
mr nolan,Neil. We expect great things from you this year.
neil,"Thank you, sir."
mr perry,Well he won't disappoint us. Right Neil?
neil,I'll do my best sir.
father,"Hey, come on son."
mother,Chin up.
father,No tears now.
boy,Okay.
mother,Chin up.
boy,I don't want to go here.
mother,You be a good boy and do your lessons.
neil,"Hey, I hear we're gonna be roommates."
neil,I'm Neil Perry.
todd,Todd Anderson.
neil,Why'd you leave Balincrest?
todd,My brother went here.
neil,"Oh, so you're that Anderson."
father,"This is for sinuses. Oh, and if he can't swallow you give him one of these. And if he had trouble breathing you can give him some of those."
hager,All right fine.
father, Did you remember your vaporizer?
spaz,"Yes, I put it in my room."
knox,"Hey, how's it going Neil?"
neil,Hey Knox.
cameron,"Neil, study group tonight?"
neil,"Yeah, sure."
cameron,"Business as usual, huh? Hey, I hear you got the new kid. Looks like a stiff!"
cameron,Oops!
neil,"Listen, don't mind Cameron. He was born with his foot in his mouth. You know what I mean?"
charlie,"Rumor has it, you did summer school."
neil,Yep. Chemistry. My father thought I should get ahead. How was your summer Slick?
charlie,Keen.
charlie,Meeks. Door. Closed.
meeks,Yes sir.
neil,"Gentlemen, what are the four pillars?"
boys,Travesty. Horror. Decadence. Excrement.
charlie,"Okay, study group. Meeks aced Latin. I didn't quite flunk English. So, if you want, we've got our study group."
neil,Sure. Cameron asked me too. Anyone mind including him?
charlie,"Hmm, what's his specialty, boot-licking?"
neil,"Come on, he's your roommate."
charlie,That's not my fault.
meeks,"Oh, I'm sorry, my name is Steven Meeks."
neil,"Oh, this is Todd Anderson."
meeks,Nice to meet you.
todd,Nice to meet you.
charlie,Charlie Dalton.
knox,Knox Overstreet.
neil,Todd's brother was Jeffrey Anderson.
