Speaker,Dialogue
anchor,"A ""race war"" has erupted at one of the nation's oldest and most prestigious institutions."
dean fairbanks,How could this happen?
lionel, Kurt! You home?
answering machine,"Hey boyssss, you've reached Lionel Higginsss, the only bitch on campussss who'll give you a dickssscount. That's right hunty, the bigger the dick the less you'll have to pay me to ssssuck it."
lionel,Kurt. It's Lionel. I'm locked out.
sam,Talk to me.
gabe,What would you say if someone started a Dear Black People?
sam, No need. Mass media from Fox News to reality tv on VH1 makes it clear what white people think of us.
helmut,"You call your Youtube show ""Doing Time at an Ivy League?"""
coco,In my second year of a four year sentence. Wanted to go to New York.
helmut,Yeah? And do what?
coco,Things my mama taught me not to. You know get in a lot of trouble and become famous for it. But alas I didn't get into Tisch...
helmut,Armstrong / Parker? That your rooming assignment?
coco,Traditionally it's where the hopelessly Afrocentric gather to process their guilt over not going to an HBCU.  Where the Negros be at.
helmut,That's not where you want to be?
coco,Bechet House is more my style.
helmut,With the rich white kids.
coco,Excuse me?
helmut,What part of Chicago you from?
coco,Hyde Park.
helmut,What street?
coco,Seventy Eighth and --
helmut,-- Seventy Eighth is Southside sweetheart. And you know what they say. You can take the girl out the hood but --
coco,-- Ain't nothing hood about me.
helmut,Thanks so much for coming in.
coco,So what's this show about anyway?
helmut,"Here's the way reality works sweetheart, I'm the producer. I ask the questions. Be in touch."
helmut,This is the school radio?
troy,Someone turn that trash off.
sophomore,What's up my brother?
troy,Ya'll take care. Nice Jordan's bro.
sofia,Your hair is so cute B. T. Dubs.
coco,You're so cute.
sofia,Is it weaved?
coco, Hey what house did you get?
sofia,Huh? Oh Bechet bitch.
coco,Of course. The mere thought of a Fletcher anywhere else...
sofia,"Easy, it was the luck of the draw. Daddy had nothing to do with it."
coco,I'm down to switch if you are. You get your Denzel. I get my Gosling.
sofia,Oh I got mines. Want to meet him?
coco,Cute...  ...for a Black boy.
sofia,Hey boo. This is my friend Coco. She's new to the house.
troy,"Hey I'm Troy. Welcome to Armstrong / Parker, home of the dopest --"
sofia,-- Are we on duty?
troy,Head of House is always on duty.
coco,Nice to meet you. I should get settled. Thanks Sof!
troy,Think I got time for a quick cut?
sofia,You got it cut last week.
troy,It's a Black thing babe.
sofia,Since when is OCD a Black thang?
troy,"Don't say ""thang"" like that."
sofia,"Besides you've got a shift at the Politicos booth, then a shift at Orientation, then your advisor --"
troy,-- I'll just wear a hat.
sofia,Then a movie maybe? Just us?
troy,"Election night. Babe, come on."
kurt,Sis.
troy,Is she kidding with this?
sofia,You don't have to run again. Just because it's her doesn't mean --
troy,-- I can't let Sam and her wannabe Black Panthers take the House. The House needs me. This is who I am.
sofia,It's who he wants you to be.
troy,Oh so you pick up a Psych class you think you Freud or something? Huh?
sofia,A Freud reference. Sophisticated.
troy," Fine Beck, Jung, Maslow..."
reggie,Yo Troy I forget. Is your major in shucking or was it jiving?
troy,My major's in Jive. Minoring in Shuck. You're still majoring in trying to fuck my left overs right?
sofia,You need a shower.
troy,You went from ODB to Trey Songz...
troy,"Artie, you know your success ratio with the ladies went up like thirty percent after I started edging you up dog, come on. You went from ODB to Trey Songz!"
reggie,That's his platform? Haircuts?
sam,Oofta is as Oofta does.
coco,"Boycotting hot combs don't make you an expert on ""colored people"" boo."
troy,"No but seriously, I care about you guys. I care about this house. We had a great year last year and if it ain't broke..."
reggie,Just pretend like you're in the booth. Just you and the mic.
sam,Hate this shit.
troy,You really think you can take this from me?
sam,Troy we live in a world where there's a Big Momma's House 3. I don't have a chance in hell. Thank God.
troy,-- Yo that's enough of that Sam --
sam,"-- then stand up for his own. Look, I know ya'll ain't voting for me. Ya'll ain't ready and I didn't come here for that. The Black Student Union and I have brought a petition to repeal the Randomization of Housing Act. I plan on bringing it to the President and together we can bring Black back to Manchester. It'll be by the door."
martin,I assume everyone has the app I created by now?
reggie, It's a child's app...
