Speaker,Dialogue
for educational,PURPOSES ONLY
husband,"So... uh... you'll make sure my boy dances up front, right? Where he'll get the most camera time?"
randolph,You want your kid on the show?
husband,Of... of course.
wife,"Yes, very much."
randolph,Then don't tell me how to run my fucking business.
husband,"No, no, we were just --"
randolph,I'll call you if a spot opens up.
husband,"Freeze, you cocksucker!"
wife,Drop the briefcase!
stokes," Gentlemen, let me be the first to say, in all sobriety, that I'm as shocked and outraged as all of --"
ceo,"Save it for the papers, Stokes. We've got nervous sponsors and an angry public -- a combination uglier than two monkeys fucking. What are you doing about it?"
stokes,"Well, sir, I'm currently in the process of compiling a list of viable replacements and it's my hope..."
ceo,"Clean replacements?    With background checks? I assure you, Mr. Stokes, this network cannot survive another Rainbow Randolph. The goddamn P.R. department looks like the Jim Jones camp."
ceo,Whoever takes that slot has to be a straight arrow. Clean as a whistle.
ceo, Squeaky fucking clean.
stokes,Bumble Bee Billy?
nora, Wife beater.
stokes,Square Dance Danny?
nora,Still appealing the mail fraud thing.
stokes,Skippy Black and the Tippy Trolls?
nora,"Black was deported, and the trolls... well, who gives a shit."
nora,This is impossible. If I ever see that Rainbow Randolph again I'll strangle him. Choke the life out of him. Squeeze his scrawny neck until his eyes pop out of his skull and bounce off the walls...
stokes,"Before indulging such cheery fantasies, let's just concentrate on saving my job. Shall we?"
nora,"Sorry, Frank."
stokes,What's going on with Sheldon Mopes these days.
nora,Oh my God. Have we sunk to that level already? Smoochy the Rhino? What a sap.
stokes,Sap's just the pill we need right now. Mopes is a straight arrow. Always has been.
nora,"The guy can't get arrested, Frank. He can't even break into the birthday party circuit. Last I heard he was working hospitals and nursing homes. He's a joke."
stokes,"The truth of the matter is, a successful children's show has always depended on two simple elements: a fuzzy costume and a lot of hype. Strip away the foam rubber and the network money and they're all jokes. Marginal talents.. cabaret acts... off- Broadway runoff..."
nora,I probably have ten acts in my development file -- acts I've been cultivating -- that are more deserving than Sheldon Mopes.
stokes,And each one a moral question mark. Something I can't risk at the moment.
nora," We can do better than this guy, Frank. He brings nothing to the table."
stokes,"Except ethics. With Mopes, there's never been a whiff of controversy. The man's an ethical, harmless, cornball. In short, a glass of milk on two legs."
nora,"Don't ask me to do it. You know I'll do anything for you, but please... not this..."
stokes,Go find Smoochy.
smoochy,"Thanks, fellas. I'm rooting for you!"
nora,Mr. Mopes?
sheldon,Yeah?
nora,"I, uh, saw your performance tonight. Very...  ... spirited."
sheldon,"Really? Thanks. I would've done a longer set if that guy hadn't pulled a knife on the security guard. Once the pepper spray starts flyin', that's it for the encores."
nora,"Yes, that did put a damper on the evening, didn't it?"
sheldon,"Are you a new patient?   On the juice, as we say?"
nora,"Ah, no. But it's sweet of you to assume so."
sheldon,'Nora Bishop. V.P. of Development. Kidnet.'  Good gravy. You work for Kidnet?
nora,As stated.
sheldon,"Well, it's a pleasure to meet you, Nora. A real honor. Hey, you hungry?"
sheldon," Soy dogs... never thought I'd live to see the day. Organic, rich in natural protein, and nobody gets killed. Although I do feel bad for the beans. Just kidding. Sure you don't want one?"
nora,"Believe it or not, no."
sheldon,"So anyway, like I was saying, people always tell me, 'You gotta network, Sheldon... you gotta sell yourself... or you'll be playing the drug clinics and shopping centers the rest of your life.' And you know what I tell 'em?"
nora,I haven't the foggiest.
sheldon,"I tell 'em, it's not about the old handshake and back slap game. It's not about adding fuel to the shlock machine. It's about doing good work. Having integrity. Making people happy and delivering a positive message. Foundations are built with concrete, not plaster of Paris!"
sheldon,This is concrete!   This is integrity!
nora, I can see that.
sheldon,"Sorry. As you can imagine, living by your convictions can be a little stressful at times."
nora,We all have our cross to bear.
sheldon,"See, I was raised by my grandfather, and Grandpop paved driveways for a living..."
nora,Are we going into a story?
sheldon,"Thing is, he didn't really pave them. Just covered them with black paint. Of course, once the first rain came along, people realized they'd been swindled. I vowed to myself back then that I'd never make a living through deception. Never. Whadda ya think of them apples?"
nora,"The reason I'm here today, Mr. Mopes, as fate would have it, Kidnet is currently looking for a performer with... convictions. And integrity. Someone like..."
nora,... yourself.
sheldon,"Yeah, right. Got any more jokes?"
nora,I don't think I could top that one.
sheldon,Hold the phone. You're telling me that Kidnet is finally ready to do a show of Smoochy quality? Of Smoochy caliber?
nora, Yes... I believe we're ready to push ourselves to that level.
sheldon,"I knew this day   would come! After all these   years I finally meet someone in   the business who gets what I do.    Who gets what I'm all about. You    get me, don't you, Nora?"
nora,I'm afraid so.
sheldon,"Well, Miss V.P. of Development... let's go make history!"
prep montage," KIDNET STUDIO WARDROBE ROOM. A team of designers and seamstresses cut, sew and shape endless sheets of orange foam rubber. Sheldon stands on a wooden box as he's measured from head to toe. On the wall is a blueprint labeled ""Smoochy the Rhino -- REDESIGN.""  A costume designer walks over with the new Smoochy head and places it on Sheldon.  As seamstresses fit him with the new Smoochy costume, various signs and billboards FLOAT THROUGH the FRAME, trumpeting copy like: ""IT'S ALMOST SMOOCHY TIME!"" ""GET READY TO BE SMOOCHED, AMERICA!"" ""ONLY TWO MORE WEEKS TILL SMOOCHY!"""
wardrobe room," A seamstress zips up the back of the finished, redesigned Smoochy costume. Sheldon stands proudly before the design team. Smoochy is now television ready: smoothed out, more colorful, less lumpy and exuding sunshiny happiness.  DISSOLVE TO:"
smoochy,"Angelo, you were always my favorite Krinkle Kid. The way you'd click your heels during the 'Jellybean Jam.' Real artistry. I'm honored to have you as a Rhinette."
angelo,A job's a job.
kids,Smoochy!
smoochy,"Hiya, kids!"
kids,"Hi, Smoochy!"
smoochy,It's gonna be a fantabulous day in Smoochyland!!
smoochy," 'Ohhhh... it's a fantabulous day in Smoochy-land/Let's have a great big cheer for the Smoochy-land band/We'll dance with our jungle pals, won't that be grand/Oh, it's a fantabulous day in Smoochy- land!'"
randolph,I was starting to think that maybe you weren't coming.
stokes,"I agreed to meet you, didn't I?    I had a dinner engagement."
randolph,"Really? You know, I used to have dinner engagements. Sometimes four, five a night. Dinner... drinks... I was the toast of the fucking town."
stokes,"Don't start, Randolph.   Please."
randolph, I was Rainbow fucking Randolph! That's why!
stokes,Are you through?
randolph,What? You're in a hurry? You don't have time for me? The guy who earned for you? The guy who put those fucking suits on your back and the pheasant au vin in your Brooklyn mouth?
stokes,I think it's fair to say we helped each other.
randolph," You gotta fix it, Frank. You gotta get me my slot back."
randolph,"How can I sit around while that rhinoceros... that horned carpetbagger gets a free ride on my dime? You and I have history, Frank! Please!"
stokes,There's nothing I can do for you. Nothing. You're a pariah. I can't even be seen with you.
randolph,"Don't do this to me, Frank. I'm in deep, deep shit. They kicked me out of the corporate penthouse... I got bookies breathing down my neck. I'm homeless! Don't you hear what I'm saying? I'm not gonna make it! The clock's ticking! Put yourself in my shoes, for Christ's sake!"
stokes,"The ugly truth is, your shoes have become my shoes. As long as the rhino's on the air, everything's by the book. No skim, no percentage. Nothing. The network wanted squeaky clean and they got it. And believe me, Mopes is sparkling."
stokes,You're totally broke? You don't have a dime left to your name?
randolph,Yes! Exactly! That's what I'm trying to tell you!
stoke,"Don't contact me again, Randy. Ever."
randolph,"You'll get yours, Frank! The rhino too! Do you hear me?! The wheels are turning!"
randolph," Sooner or later, even a guy who's squeaky clean falls into mud."
nora,"Again, these are just prototypes. I've been assured by FunZone that all the bugs will be worked out before Christmas."
nora,"Okay, so let's recap before we break up...  Yes to the Smoochy ice pops. No to the Smoochy string cheese. And we're in a dick-measuring contest with Brown & Brown over the shampoo split."
sheldon,"Okay, time out, people! If I may interject, I think we're putting the cart before the horse here..."
sheldon,"Smoochy's still earning the trust of the kids. We don't want to compromise that by asking them to buy shampoo and cheese. How 'bout we just concentrate on doing the best show possible. Huh? Without all the bells and whistles and rickata-rackita. What do you say, guys?"
nora," Oh, damn."
sheldon,"No problem, I'll get it."
nora," Shut the door please, John."
nora,Now lock it.
nora,Thank you.
sheldon,"Hey, Nora, wait up."
sheldon,"Good meeting today. I thought we tackled some hot issues. Although, I'll be honest, there were a few times that I felt my voice wasn't being heard."
nora,I think that's a conservative estimate.
sheldon,"I just want the show to have some weight, you know? Some substance. Silly songs, sure -- but with a message. Pop quiz: How many original compositions are in the Smoochy songbook?"
nora,Do you sense my complete lack of interest?
sheldon,"Try two thousand. Covering every topic from how yummy vegetables are to the importance of donating plasma. Don't you get it, Nora? I'm a valuable resource. Use me."
nora,Can I make this real easy for you?
sheldon,Sure.
nora,"The only reason you're on TV right now is because Rainbow Randolph is a degenerate scumbag. I didn't discover you, I delivered you. Like a bag of groceries. I have a bigger emotional investment in my nail polish. So don't peddle your sap to me, rhino. Your job is just to smile and nod your head."
sheldon,"... No, no, you misunderstand me. It's not that I'm literally comparing Captain Kangaroo to Jesus Christ. I'm just saying that the Captain, like Christ, was someone you could believe in. Those guys didn't care about bells and whistles and rickita-rackata. It was all about the work. Especially Jesus. Forget about it."
sheldon," That's okay, my good man.    Three's my limit."
bartender,I never saw anyone get loaded on orange juice before.
sheldon,Back in my college days I could put away a carton of the stuff.
burke, Gimme a Five Crown.
burke,Smoochy the Rhino.    Wow.   I'm a big fan.
sheldon," Gee, thanks. I usually don't get recognized without my horn."
burke,Burke Bennett.    I represent kid show talent.
burke,"Look, Shel, Frank Strokes ain't in the business to make you rich. He's in it to make Frank Stokes rich. That's how these network goons operate."
sheldon,"That's so sad. Is it just me, or is that sad?"
burke,"You know, years ago, a client of mine, Dicky Gimble, was having a problem..."
sheldon,"Wow, you represented Dicky Gimble?"
burke,"Yeah, before the asshole found religion. Anyway, Stokes was trying to screw my boy out of some merchandising points. Claimed he had a warehouse full of Dicky dolls that weren't moving. Now Frank and I are old friends, so I say to him, 'Okay, cock, show me the warehouse' -- see, I know the fucking warehouse is in the Bronx, and I know it's emptier than my wife's head.  To make a long story short, I walk out with a check for a hundred grand and Stokes is sitting there with his thumb up his ass."
sheldon,"That's very amusing, but I don't care about Smoochy dolls and Smoochy floor wax... I just want more creative input. This rhino came from my womb. I bore him, I nursed him, and dammit..."
sheldon,I should be the one who raises him!
burke,"Shel, it's all about the dough. After you get the money, you get the power. And after you get the power, you can have Smoochy walk on stage with a hard-on if you want."
sheldon,"It's funny, that never crossed my mind."
burke,"Unfortunately, until then... you're just another puppet in the prop room."
burke,"Give me a call when you're ready, kid. I'll cut the strings and open the magic door for you."
randolph,I saw you! I saw you in there... at my table... talking to him.
burke,"Yeah, so what do you want?    A parade?"
randolph,You're my agent! Or did you forget that?
burke,"Not anymore, pal. You're a cigarette butt. Go lay in the gutter."
randolph,Ah! They're beautiful! A perfect batch of cock cookies for a very special rhino.
randolph,"Oh yes, you're going to learn about shame, my dear Smoochy.   And I'm your professor."
sheldon,"Excuse me, Nora. Why was the 'Please and Thank You Song' cut?"
nora,Because it's sappy and it takes away from the 'Cookie Song.'
sheldon,Takes away? It enhances it! The cookie song is a meaningless piece of fluff without the 'Please and Thank You' coda! That's the moral anchor! That's where the lesson is! You can't sell the sizzle without the steak!
nora,It's cut. And I want the 'Cookie Song' lyrics changed back to the way they were originally scripted.
sheldon,I can't do that. I will not condone children consuming endless amounts of refined sugar. I have to look myself in the mirror every morning.
nora,"This is network television, not a sprout farm. We're here to sell sugar and plastic. That's what keeps the lights on."
sheldon,"You're treating me like a puppet. You know that? Well, guess what? I am not your puppet."
nora,Since when? Now get your spongy orange ass out there and dance for the cameras.
sheldon,"We have different eyes, Nora. When I go out there I see kids. You see wallets with pigtails."
randolph,"Bon soir, la Smoochy.   Welcome to fatty Arbuckle-land."
randolph, After these messages!
smoochy,"Boy, all that jiggyin' and ziggyin' sure makes a fella hungry! Now if only I had my super duper, super secret, super special..."
kids,Magic Cookie Bag!
smoochy,"Right-o-riffic!  Magic Cookie Bag, I command thee! Come to your lord and master!"
smoochy," 'Lookie, lookie, lookie, here comes the cookies! Fresh and organic, no need to panic! Right from the soil, no tropical oils! Sweetened with juice, for an energy boost! Fiber galore, you'll be askin' for more...'"
smoochy,Oooh... just the smell of unprocessed flour makes my tummy do somersaults!
randolph," Whatever that means, you fucking retard."
randolph,Give 'em a cookie... give 'em a cookie...
smoochy,"Wow! Look at this cookie, kids! A rocket ship!"
sheldon,What a special day with such special cookies!
sheldon,"Rrrrrrrr! Look at me, kids! I'm flying to the moon! I'm flying to Mars! I'm flying to --"
randolph,Are you fucking blind?! It's a cock! Not a space ship! Cock! Cock!
sheldon,"Thank you all for coming. I just wanted to iron out a few wrinkles I feel we're having in the communication department. No finger-pointing. Lord knows when you start pointing fingers, someone gets poked in the eye."
sheldon,"Anyhoo, I'd like to turn the floor over to my new agent, Mr. Burke Bennett. So... heeeeeere's Burke!"
burke,"As you can imagine, my client has many concerns, not the least of which is studio security, but we can address that later."
burke,"See this guy, Frank? Take a good long look, 'cause this prick saved your life. Without him you'd be sitting in Kaplan's right now, sucking club soda through a paper straw.  And, you -- you'd be organizing puppet shows for the brats at"
nora,There's no excuse for you.
sheldon,"Man, I love club soda."
stokes,"We've always managed to come to some sort of arrangement, Burke. Why the fireworks?"
burke,"'Cause I'm holding all the gunpowder. I represent the man who created, owns, and controls every square inch of Smoochy the Rhino."
burke,God created Adam and what did he get? A fucking dud. My guy? He breathed life into a winner. And anyone who does a better job than God is gonna have a price.
sheldon,"Burke, of course, is in no way comparing me to God."
burke,Yes I am.
nora,You seem to forget that we went out and found 'your guy.' Dug up his corpse. Handed him his own show when he couldn't sell his face to a photo booth.
sheldon,"To be fair, Nora, I was booked to open a car wash in Montauk."
burke,"Oh, so you were doing him a favor?  Allow me to untangle this web of shit! I don't care what his resume was, I don't care where you found him, I don't care if his last job was juggling apples for a hut full of Pygmies on the outskirts of the Congo... the fact is, he fits a bill and you need him. Like a hungry baby needs a big tit. And that, my friends, is why you're in a box with no ventilation. And that is why the rhino is going to get what he deserves."
stokes,"What is that, exactly?"
burke,"Heaven, hell, and everything in between."
burke,To the star and new executive producer of the Smoochy show! May your reign be a long and healthy one!
sheldon,"I'm still in shock. Complete creative control, part ownership of the show, discretion over merchandising and a dressing room with a toilet! Am I dreaming or what?"
burke,And don't forget the corporate penthouse. It took me six years to get that for Randolph.
sheldon,"Boy, imagine... me, living in a penthouse. Who'd a thunk it."
burke,"It's called the high life, kid. Get used to it. Pretty soon you'll be burnin' one hundred dollar bills just to see Franklin break a sweat."
sheldon,"Jeez, I hope not. I have a deep respect for money. Not to mention Ben Franklin who had some remarkable achievements in his lifetime."
sheldon,What's this?
burke,That's your graduation present. Something you're gonna need now.
burke,Think of it as a tool of the trade.
sheldon,"I've never owned a gun, I've never touched a gun, and I don't believe in guns. When I played cowboys and Indians as a kid, I was always the Chinese railroad worker."
burke,"Trust me, Shel. It's a handy accessory in this business. Even if you don't load it, have it for show. Sometimes that's all you need. Especially with a creep like Randolph lurking around."
spinner,"Hiya, Smoochy! I'm Spinner! Spinner!"
sheldon,Hi there.
spinner,I'm so excited to meet you!    I'm Spinner!
sheldon, Oh... right. I saw you fight on TV once. I think it was your farewell bout.
spinner,"You know what I love, Smoochy? I love when you do the Jiggy Ziggy dance! You know, the one you do during 'Silly Time?'"
sheldon,You bet.     That's a big one.
spinner,Wanna see me do it?
sheldon,"Well, I don't know why if there's enough room here to..."
burke,"Okay, champ, don't get overheated."
spinner,I love you.
sheldon,"I... uh... love you, too, Spinner."
tommy,"Spinner, come over and meet the Senator!"
sheldon,He seems pretty popular. It must take real talent to run a place like this.
burke,"Spinner? The guy couldn't run a water faucet. He's just a mascot. It's his cousins, a bunch of Irish mob boys, who really run the joint."
spinner," Don't go anywhere, Smoochy! I'll be right back after I take a dump!"
burke,"I think you made a new friend, kid."
angelo,"Yeah, who is it?"
angelo,Randy?
randolph,You fucking traitor! My body's barely cold and already you work for the rhino?
angelo,I don't know what you're talking about.
randolph,Don't lie to me! I heard all about it! You strapped that horn on faster than a cheerleader gets the clap!
angelo,"I gotta eat, don't I?"
randolph,You're a Krinkle Kid!   Not a Smooch-bag! Say it!
angelo,Rhinette!
randolph,"Say it: I am a Krinkle Kid! Say it, before God! On the soul of Jesus Christ! Say what you are!"
angelo,I'm a Rhinette. Got that? The Krinkle Kids are ten feet under. With you.
randolph, I missed you so much. Can I stay here? I got no place to go.
randolph,... They kicked me out of the corporate penthouse. Big surprise. Sons-a-bitches. That's how I got this beauty.
randolph,"And of course, there's this..."
randolph,That happened after my little visit to the studio the other day. Network security. Fucking savages.
randolph,"I got liens, back taxes, lawyer's bills, threats against my life... I basically got the whole fucking world up my ass. It's okay, I got a loooong memory, son.  What dey sow, dey gonna reap."
angelo,Stop doing this to yourself!
angelo,Wise up! You hear me? Don't piss your life away like this.
randolph," It's the rhino, Angie. He's been sent by the devil. Sent from hell to destroy me. Smoochy... is the face of evil."
sheldon,Whenever you get a chance... I just need a second.
nora," Listen, can I call you back? Yeah, some asshole's screaming in my ear. Thanks."
sheldon,"I'm sorry, you didn't have to hang up."
nora,If I didn't you'd still be here.
sheldon,But I am still here.
nora,I'm hoping to correct that.
sheldon,"Nora, I want us to start off on the right foot. I want you to know that I value your input and I don't want you to feel intimidated just because the power structure has changed a bit. I consider you a partner."
nora,Great. That'll come in handy if we're ever at a square dance.
sheldon,"Well, I was never much of the do- se-do type, but what I would love to do is take you out to lunch one day. You know, just two colleagues chewing the fat... forming a mutual respect... planting the seeds of cooperation..."
nora,No.
sheldon,Fair enough. If you change your mind --
nora,I won't.
sheldon,"Okay then, I'll be in my office if you need me. If you want to brainstorm about anything. Ideas and so forth."
sheldon,Ficus?
sheldon,Wow...
tommy,Ever since you came in the restaurant. He can't stop yakkin'.
sheldon,"Well, he's a very nice man. Very sweet disposition for someone that size."
tommy,"So, I was wondering if maybe you could give him a little floor space."
sheldon,I'm sorry?
tommy,"You know, a little part on the show. You're the executive producer now. You call the shots, right?"
sheldon,"Uh, that's a very sweet offer, and I love Spinner, but TV is a complicated medium and... I mean, that would be like me getting into the ring with a prizefighter.  Can you imagine such a thing? Boom. K.O.! What's the alphabet, Mommy?"
tommy,"This makes me sad.    Very, very, sad."
danny,"What's wrong, Tommy?"
tommy,Nothing.     I'm just very sad right now.
sammy,"Who made you sad, Tommy?"
tommy,I don't want to mention names.
sheldon,You know what? Maybe I can find Spinner a little something to do on the show. That's probably the best solution.
tommy,"You're a good boy, Mopes. Don't think we don't remember favors."
sheldon,"Look, I appreciate the visit, but I'm just putting together a little petting zoo segment. Nothing fancy -- a few kittens... maybe a duck..."
sonny,"If you're looking to bring in that many pieces I gotta put a crew together. Plus, we're lookin' at transpo, a few leash handlers, a cleanup boy and a doper to keep the inventory quiet."
sheldon,"Jeez, this all sounds awfully elaborate. I might have to forgo the union and just borrow a few animals from a pet shop."
sonny,I wouldn't recommend it. Miss Carol from Romper Room tried that once and she's still limping.
ben,"On behalf of FunZone Toys, I'd like to congratulate you on your recent promotion, and present you with a small gift."
sheldon,"Uh... that's nice of you, Ben, but a card would have been fine."
ben,"FunZone Toys would very much like the Smoochy contract, Mr. Mopes."
sheldon,Is this... I mean... are you offering me a bribe or something?
ben,"FunZone Toys would very much like the Smoochy contract, Mr. Mopes."
sheldon,"Normally, sir, we take the trash out at the end of the day, but I think I'll make an exception in your case."
sheldon,Yes?
sheldon,Who?
sheldon,Hello?
nora,Congratulations on your little ice show.
sheldon,What are you talking about?
nora,"It didn't take you long to sell out, did it?"
nora,What happened to your precious integrity? Or was that just part of your dog and pony act.
sheldon,"Burke, I never agreed to do an ice show."
burke,"Shel, do you know what kind of cash we'll take in between the gate and concessions? A venture like this gets you money and muscle. Times twenty."
sheldon,Ice shows represent everything I'm against. They're mindless spectacles whose main purpose is to sell overpriced sugar-water and cheap plastic toys that splinter in a kid's mouth on the ride home.
burke,"Look, I know you got this fetish for ethics, but now's not the time to fly that kite. No one's ever refused a shot at an ice show."
sheldon,"Until now. Smoochy doesn't sell out, Burke. You should be proud of that. Proud that you represent a client who paves driveways, not paints them over."
burke,"I'm thrilled, Shel. Knocked out."
sheldon,"I'll have a pineapple juice, Sandy."
sandy,Pineapple? What happened to orange juice?
sheldon,I'm feeling feisty tonight.
smoochy,"Boy, wasn't that fun? In an awkward kind of way? Anyhoo, how 'bout a big round of applause for the newest member of the Smoochyland Band... former heavyweight contender, Spinner Dunn!"
spinner,Shit.   Sorry.
spinner,"Did I do good, Sheldon, huh?   Did I do good?"
sheldon,"Yeah, that was great, Spinner. Just watch your elbow next time. Pinky's probably gonna lose that tooth."
spinner,Okey doke.   I'm gonna go get drunk now.
nora,"Nice job. Casting the show with mental patients, I like that."
sheldon, He is not a mental patient. He's an ex-boxer and nightclub owner who happens to have the sweet innocent brian of a five-year-old!
nora,Excuse me for not making the distinction.
merv,Hi there.
sheldon,Hi.
merv,Get in.
sheldon,"Thanks anyway, but I'm going uptown."
merv,"Humor me, rhino."
merv,"Merv Green, Sheldon. It's a pleasure to meet you."
sheldon,"If you're hoping for an autograph, the gun's a bit much. The whole 'catch more flies with honey' thing -- it really holds water."
merv,"Sheldon, I represent the Parade of Hope Foundation. Maybe you've heard of us."
sheldon,"You raise money to build children's hospitals, right?"
merv,"We've been known to add a brick or two, sure."
merv,"Sheldon, let me get right to the point -- there's talk on the street that you're pulling out of the ice show. Is that true?"
sheldon, Sheesh.
merv,"Listen carefully, son: Parade of Hope has sponsored every Kidnet ice show since 1964. We take a piece off the top and everybody walks away happy. So let's not buck history."
sheldon,"Well, I appreciate the offer, but for the gazillionth time, I'm not doing an ice show, so we have nothing to discuss. Now, if you'll just pull over, I'll get out and we'll say our toodley-dos.  Far corner, please."
merv,"Allow me to be less murky. Starting tomorrow, Smoochy the Rhino raises his baton for Parade of Hope. Benefits, banquets, fund-raisers, I want it all.  Pull over, Terry."
merv,And as far as the ice show goes... I recommend you start shopping for skates.
sheldon,"This is unacceptable, Burke!    I'm calling the authorities."
sheldon,I was threatened by an organization that's supposed to help children! What kind of world is this?
nora,May I come in?
sheldon,Sure.
sheldon,Uh... are you okay?
nora,I'm getting drunk and I'm not used to it.
sheldon,"Oh. Well, not to make you feel worse, but with alcohol you're also consuming empty calories."
nora,"It's just that... I want to apologize, actually. And on those rare occasions when I feel the need to apologize for something, it helps if I'm, you know... shit- faced."
