Speaker,Dialogue
written by, Michael Tolkin and Henry Bean
joe stevens,Your mother okay?
joe stevens," Don't you do this shit, boy. Don't you ever fuckin' touch it, you hear me?"
joe stevens," You hear me, goddam it?"
joe stevens, What do you want for Christmas?
joe stevens," You don't know?? You gotta know what you want, boy, if you ever expect to get it."
joe stevens, Wait here. This won't take a minute.
store owner, Fuckin' niggers... fuckin' niggers...
joe stevens,Fifty bucks... fifty goddam bucks.  I'm sorry...
carver,Officer Leland? You know the difference between a black man and nigger?
carver," Yeah, most niggers don't."
carver, Nice to meet you.
carver,"So, Winston, what's the difference between a black man and a nigger?"
winston,Who the fuck do you think you're talking to?
carver,Thanks for coming in.
stevens,The nigger's the one who falls for your bullshit.
carver,"Gerald Carver, United States District Attorney. Call me Gerry."
stevens,He ought to be wearing a sign.
carver,You can tell he's a cop?
stevens,"He keeps looking for his back-up. Now, the other guy knows it, too."
carver,Then why's he taking him to the room?
stevens, To rip him off.
stevens, Too late.
taft,"Oh, Bobby... Jesus, Jesus...  Get an ambulance -- and back up. Now!"
stevens, Who is he?
carver,Charles Taft. LAPD Narcotics.
stevens,He's a good cop.
carver,He's a great cop. Two [names citation] and a [another citation]. As tough as they come and twice as honest.
stevens,"But the cops aren't getting it done here, are they? Gotta try something new..."
stevens, Who's John Hull?
carver,"You are. If you want to be.  I need somebody who goes under and stays there; six months, a year, five years..."
stevens,What does he have to do?
carver,Buy drugs. Sell drugs. Feed me information.
stevens,He's a snitch.
carver,He's a drug dealer. A criminal. A scumbag. But for the right side.  I want you to come to Los Angeles on loan to the Justice Department as a federal agent. Your experience there will be credited toward your seniority here. And you'll come back to Cleveland a P3 or higher.
stevens, I can't do that. I've got a wife and kids.
carver,"You're separated from your wife, she's filled for divorce. You see your kids every other weekend."
stevens, All my life I've stayed away from that stuff. I've never touched drugs.
carver," Come on, a little grass...?"
stevens,"Not grass. Not nothing. I never even had a drink.  Never have, never will. You don't understand. I made a choice in my life."
carver,"What's to understand? You saw your father killed when you were ten, and you decided you wouldn't be like that.  I'm God, I know everything. You wanted to be a good boy, so you became a cop. Hiding out in uniform... That's why you got the hard-on for Taft."
stevens,It's not that simple.
carver," I'll tell the truth, Joe. You're never going to be a Taft."
stevens,I don't believe that.
carver," ""Resents authority..."""
stevens,I do not.
carver,"""...Exaggerated moral standards, but with no underlying value system."" Look at the anger, the repressed violence, it's almost off the scale..."
stevens,Let me see that...
carver,Why'd you join the force?
stevens, I wanted to be of use.
carver,"Well, now you can be. You won't be Taft, but maybe you'll be something more... interesting.  There's a man named Ramon Gallegos who supplies 60% of the cocaine to the West Coast. He's smart, smooth, and sufficiently elusive that we don't even have an adult photograph of him. However, his uncle is Hector Guzman, an important Latin American political figure. Gallegos uses Uncle's connections to get product into the country, and everyone we've sent after him has ended up like that..."
stevens,Why would I be different?
carver,"You already are, that's the point...  You've got the ability and the personality to go underground and blend in completely. That's what the others couldn't. Some part of them showed. That's why they're dead. See, there's only one rule in this game."
carver, Don't blow your cover.
stevens," Joe-J, Carmen..."
stevens,What were you doing with those kids?
stevens, Your mom lets you play with them?
stevens,I thought we talked about this. The older brother up there's got a sheet with --
terry,Lay off it. They're just kids...
tito,"Hey, Joe."
stevens,Tito...
stevens,"They're real nice, honey. Is that a horse?"
carmen, Daddy! It's a bunny...
carmen," I don't want you to go away, Daddy."
stevens,It's my work. I've got to.
stevens," What happened to you there, baby?"
carmen,Tito did it.
stevens," God damn it, what's he doing touching her? I'm gonna..."
terry,She was running behind his chair when he got up. It was an accident.  A complete... total... accident.
blonde woman,"Television mostly. I was on ""Sky King"" twice, ""Ramar of the Jungle."" That was a silly show. The jungle was mostly flats..."
blonde woman," You want my advice, I'd stay away from that bitch."
eddie,"On the day of the King's castration, all the counts and no accounts were down on the deck with Georgia Tech taking turns in the back seat..."
hull,Whatta you got?
ivy,What the fuck I tell you about being here?
ivy," Get down, motherfuckers!"
crowd,"Who is he?... Why'd they shoot him?... Ivy did him, man... He's in the wrong fuckin' place... That poor boy... Get his beeper..."
eddie," He done done, ain't he?"
bartender,"How's it going, John?"
hull,I'm in there.
eddie, Pina colada times two and a white wine.
eddie," How you doin', Dudley..."
hull,John.
eddie,"John, man, right..."
hull,Eddie something... a motormouth... he supplies the street dealers... buys from him...  David Elias... who apparently buys from a guy named Barbolla or something. But I haven't seen him.
carver,"Barbosa, Felix."
hull,"There was also a woman, but she's not here.  I saw a kid killed. Twelve, thirteen at the most. Turf war."
carver,Get to Elias. Then to Barbosa.
hull,You can't rush this stuff.
carver,"Rush it, please. I want art, John, not reality. Budget hearings start in April, and I need Gallegos by then. They won't give us funding for three ounce buys."
hull,"We're not just doing this for the funding, are we?"
carver,"Without funding, we aren't doing it at all."
eddie,"My man, Dudley, he's so fud-ley..."
hull,"Eddie, man, I need..."
eddie,"So what is it you need so bad, blood? Need, need, need??"
hull,"A whole K, quick as you can get it."
eddie," Comin' in the world, Dudley."
hull, All because of my man...
eddie,Give me a day.
eddie," Stick around, let the bitch Hoover you, too."
hull,Only if you Clorox him first.
taft," Eddie Shitface! Where you been, boy?"
