Speaker,Dialogue
andy,What floor is Elias-Clarke? Human Resources.
guard,"Honey, you want West 57th."
andy,This article was about the Take Back the Night march. This was a four-part series on the impact of busing on the public schools...
sherry,I have two positions available. One is assistant to the road test editor of Auto Universe magazine.
andy, And the other one--?
andy,"Hi, I have an appointment with Emily Charlton--"
emily,"Okay, so... I was Miranda's second assistant, but her first assistant recently got promoted so now I'm the first..."
andy,And you're replacing yourself.
emily,I'm trying. Miranda sacked the last two girls after only a few weeks. We need to find someone who can survive here. Do you understand?
andy,Yes. Of course. Who's Miranda?
emily, You didn't just ask me that. She's the editor in chief of Runway. Not to mention a legend. Work a year for her and you can get a job at any magazine you want. A million girls would kill for this job.
andy,Sounds great. I'd love to be considered.
emily,"Andrea, Runway is a fashion magazine. An interest in fashion is crucial."
andy,What makes you think I'm not interested in fashion?
emily,"Oh my God. No. No, no, no."
andy,What's wrong?
emily, She's on her way -- tell everyone!
emily,"Her driver text-messaged. Her facialist ruptured a disk. God, these people!"
nigel,"All right, everyone. Man your battle stations!  Did somebody eat an onion bagel?"
clacker,"Sorry, Miranda."
emily,Oh no. You're still here. Go.
andy," Wow, this is like self-esteem camp."
miranda,I don't understand why it's so difficult to confirm an appointment.
emily,"I'm so sorry, Miranda. I did confirm last night, but--"
miranda,The details of your incompetence do not interest me.
emily,Right.
miranda,"And tell Richard I saw the pictures of for the feature on female paramedics and they're all so unattractive. I don't understand. How hard is it to find a decent-looking paramedic?... Also, I need to see what Nigel has called in for Gwyneth's second cover try..."
emily,"Nobody. Human resources sent her up about the assistant job and I was pre- interviewing her for you, but--"
miranda,I'll do it. The last two you sent me were total disappointments. Send her in.
emily,She wants to see you.. Go go go....
miranda,Who are you?
andy,My name is Andy Sachs. I recently graduated from--
miranda,What are you doing here?
andy,I think I could do a good job as your assistant and--
miranda,So you don't read Runway?
andy,No.
miranda,"And before today, you had never heard of me?"
andy,No.
miranda,And you have no style or sense of fashion.
andy,That depends on--
miranda,That wasn't a question.
andy,I was Editor in Chief of the Daily Northwestern. I won a national competition for college journalists with a series on the janitor's union --
miranda,That's all.
andy,--that uncovered the exploitation of--
nigel,"We got the exclusive on the yellow Cavalli for Gwyneth, the one he showed with a huge feathered headpiece, but she'll look like she's working the mainstage at the Golden Nugget, so instead..."
andy, Thank you for your time.
nigel,Who IS that sad little person? Are we doing a Before and After piece I don't know about?
emily,Andrea!
nate,Wow. You got a job at a fashion magazine.  Was it a phone interview?
andy,Don't be a jerk.
doug,Miranda Priestly is famous for being unpredictable.
andy,"Okay, how is it that you know who she is and I didn't?"
doug,I'm actually a girl.
lily,That would explain so much.
doug,"Seriously, Miranda is a huge deal. I bet a million girls would kill for that job."
