Speaker,Dialogue
loretta," Do we have your check yet? Loretta pulls a Mont Blanc pen and a checkbook from her bag. LORETTA No, honey, I don't think you do, we just got in last night from our place in Barbados -- how much is it?"
debbie,Five hundred a person.   Barbados? LORETTA 
debbie,"It's just over there. ON JEFF JOHNSON with his well-groomed wife, VERA, and a barrel-chested Man in full resort wear, wearing an OLAF ANDERSEN name tag. JOHNSON So how the heck are you, Olaf? ANDERSEN I should be asking how you are, congressman. Johnson pats his chest and smiles at Vera. JOHNSON This old ticker never felt better. ANDERSEN It's good to see you back on your feet, Jeff. We need you in Washington. Inconspicuously, a pretty young redhead whispers to Vera. This is JENNIFER, Johnson's Administrative Assistant "
debbie," Let me help you, we'll find it. LORETTA Call Security! 9   IN THE FUNCTION ROOM Tommy maintains his watch on          9 Loretta. Zeke Bridges taps Tommy on the shoulder. ZEKE Hey, what about our drinks? Tommy instantly assumes an ANGRY YOUNG STREET BLACK VOICE: TOMMY Yeah?    What you want? ZEKE What?    You already took our order."
tommy,That wasn't me! You must be thinking of Jamal. I'm Karim. What you want? ZEKE Bourbon straight up and a Perrier rocks. TOMMY 
bruno,"Now just calm down, Ma'am... can you describe the ring? LORETTA It's a diamond ring! A big diamond ring! Oh my Christ! She's frantic.   Debbie takes Bruno aside. DEBBIE I saw it. It's huge... it must be like eight carats. She says it was a quarter of a million dollars! Bruno turns back to Loretta, trying to calm her. "
zeke,"Hey!   Where the hell are our drinks. Surprised, Tommy opts for an EAST INDIAN ACCENT. TOMMY I remember... you were the sloe gin fizz and the mango daquiri? With perhaps a small umbrella for the lady? ZEKE Bourbon neat and a Perrier, dammit! TOMMY And would you still be wanting the umbrella then? "
andersen,"Shoot. Tommy moves away from the pillar, sees Bruno roaming the terrace, and retreats. JOHNSON I'm thinking of retiring from Congress. Andersen's eyes widen in astonishment. ANDERSEN You're what? JOHNSON I'm thinking maybe I won't run. Maybe I should listen more "
andersen,"A few thousand worth of stock options would stand to make you quite a pile. As long as your blind trust buys them, you're clean -- the SEC can't shake a stick at you. Half a million, easy -- and that's just a start. JOHNSON Well, if you put it like that... I now see I have a duty to continue my career in public service. Johnson stands, puts his arm on Andersen. Tommy emerges, shakes his head, and laughs. TOMMY I'm in the wrong business."
dodge,"And now God has called his servant home. ANGLE ON Jennifer, in black. DODGE "
15.,"22   CONTINUED:                                                    22 Vera sneaks a look at Jennifer, who is poker-faced. 23   EXT./INT. VERANDA/JOHNSON HOME - DAY                          23 On the veranda of the gracious  home, mourners pay respects to the family. Dodge   puts a gentle hand on the widow's shoulder and draws  her aside. He throws a look at Jennifer, who joins  them. DODGE Vera, I know you're still in shock from Jeff's... passing. But we have to talk about his seat. Vera stares at Jennifer.   She knows the score."
jennifer,"Mrs. Johnson, if you'd like to discuss this in private -- VERA You can stay -- what's the difference? DODGE Vera, I'd like you to announce that you're going to run for Congress. Let a few days pass to show proper respect. But next week, I want to stand next to you at a press conference where you declare for Jeff's seat in the House. VERA JOHNSON No, Dick -- no."
dodge,"There's nothing to be afraid of, Vera. With your name, you can't lose. People around these parts are so used to voting for Jeff Johnson -- why, Mrs. Jeff Johnson would win in a walk. VERA JOHNSON Dick, I was a Washington wife for twenty years. Twenty years of Potomac bullshit is plenty for one lifetime. DODGE Vera, we're talking about becoming a Member of Congress. We're talking about a sure thing. "
armando,"Ain't no town like that. LORETTA You mean Vegas? TOMMY No.  Washington, D.C.   I'm going to run for Congress. His big smile meets their blank surprise.   Their faces fall. LORETTA What is this, a joke? HOMER I don't get it."
armando,"What's the con, Tommy? TOMMY Van Dyke.   You remember Willie Sutton? VAN DYKE Of blessed memory. TOMMY You remember what he said? They asked him, Why do you rob banks? And he said, That's where the money is. I tell you, people -- Washington. That's where the money is. "
armando,"Who ""we,"" white man? TOMMY You never heard of staff, Armando? I get in, I get a staff allowance of five hundred and thirty-seven grand a year -- Loretta wolf-WHISTLES. TOMMY -- which I will generously share with you. LORETTA And how exactly were you going to get your butt to Congress? HOMER Yeah -- why would anyone vote for you? TOMMY Not for me, Homer. For Jeff Johnson. Name recognition -- that's what it's all about. You think folks know their congressman died? I get on the ballot as Jeff Johnson, I guarantee they'll vote for me. Now all's I have to do is get on the ballot. LORETTA Which is how? "
tommy,"Okay... gimme the four-one-one on these Silver Foxes Again. It's a bunch of old folks who like to vote? VAN DYKE Don't laugh, they get an enormous turnout. But the big thing is, they have their own line on the ballot. They already got the signatures. TOMMY Ah. VAN DYKE The lady we're meeting, Hattie Rifkin, they call her the condo queen. TOMMY So all I have to do is snow one old lady. Don't sound like major surgery."
vera johnson,"Really... well, I'm sure... TOMMY And I was actually in the audience when he said, 'If you people would just get off your dead asses and look for work, this country might be fit to live in again.' Powerful stuff. VERA JOHNSON It's very kind of you to say so. And you're very kind to come all the way from... where was it? "
loretta,"Hello? Who? The League of Women Voters? Sorry, Mr. Johnson won't be attending the debate. No -- no, Betty, I'm sorry, I can't tie up this line. "
cameraman,"Jesus -- he's not... white. I actually voted for the guy. I thought he was Jeff Johnson. Tommy jumps onto a bench.    APPLAUSE from his Supporters. TOMMY Thank you, thank you, all of you, for your help. Give yourself a round of applause. They do. As APPLAUSE continues "
tommy,"Wait here. He heads further into the office. 60   INT. TOMMY'S OFFICE - DAY                                   60 Equally unattractive.   Perched on the desk:   Reinhardt. TOMMY You again! REINHARDT Good morning, congressman. TOMMY What is this shithole? "
rafe,Jeff Johnson? You're Jeff Johnson? The guy from Florida? TOMMY That's right. RAFE 
bo,"You don't remember me? I was a tight end for the Oilers -- my knee gimped out. The origins of the gentlemen's political success is not lost on Tommy. BO Hey, stop by my reception after the swearing in tomorrow, okay? RAFE Yeah, but don't you go to his reception before you go to my reception. "
first member,"So then I ran an ad calling him a draft dodger, but then he ran an ad calling me a plagiarist. SECOND MEMBER What did you do? FIRST MEMBER Oh, leaked a rumor that his father- in-law was a Nazi. I went up ten points in a weekend. TOMMY  We're in the majors, doll. 62A   THE BALCONY is full of people working one another. As      62A Tommy and Loretta pass some large stone statues, a man extends his hand -- liquor lobbyist KEN KORNGOLD."
korngold,"Congressman? I'd like to introduce myself. Ken Korngold. National Distilled Spirits Association. TOMMY Tommy Johnson. Distilled Spirits, is that right? KORNGOLD It's super that you won, congressman. Any way we can help, please don't hesitate. TOMMY Pleasure's all mine, Ken, hope you can make it to my reception. Do you happen to have a card? "
dodge,How do you    do? 
celia,"I want an appointment, Congressman, not a date. TOMMY Yeah, sure, we'll type it up on the schedule, it'll be an appointment, except with wine and flowers on the table. CELIA No thanks.   I really should be going. TOMMY Won't you at least stay for a drink and some herring? "
tommy,"I love the way you say that. She slips out through the sea of revelers. 79   EXT. CAPITOL - DAY                                         79 A fine Washington morning. 80   OMITTED                                                    80 81   EXT. CAPITOL STEPS - DAY                                   81 Rep. ELIJAH MARSHALL, 50s, black, and a pain in Dodge's ass, is shaking hands and saying goodbye to some Constituents. Dodge approaches. "
marshall,"""Isn't perfect""? Dick, your bill's the Incumbents Protection Act! How can you even call it an ethics bill? DODGE Because the public wants an ethics bill! So that's what we call it. MARSHALL But it's got no teeth! It won't change a thing, and you know it. DODGE Come on, Eli, you're a politician, too. The less you're going to do about something, the more you have to talk about it. You know that. They start walking."
marshall,"I see. We close the bank, we stop the rubber checks, we raise the prices in the barber shop, we stop fixing parking tickets, and abracadabra! We say we've cleaned up Congress. Well, I don't think the American people want what this place has become. DODGE That's the beauty of it! They must, Eli -- they keep re-electing us. MARSHALL Not anymore! This new Congress is full of new faces. "
marshall,"Eight point six. DODGE Power and Enterprise is about to fund a solar demonstration plant, Eli. It could mean a whole lot to a district -- new jobs, new construction -- that interest you? MARSHALL You can't bribe me, Dick. 82   INT. DODGE'S RECEPTION AREA - DAY                          82 Dodge and Marshall enter. DODGE Eli, the people who elected you. They sent you here to help them. Don't you want to?"
marshall,Not  if it means supporting your bill. All  you want is the perfect platform to  campaign for Speaker. Dick Dodge. Mr.  Clean. What a joke! DODGE 
dodge,"Most members would give their right nut for it. TOMMY So what do you want from me, Dick? DODGE Congressman... I just want you to smile for the cameras. 84   INT. POWER AND ENTERPRISE COMMITTEE - DAY                    84 The committee members -- all white males, except Tommy -- mill around, awaiting the start of the hearings. As the TV cameras whir, Dodge shakes Tommy's hand warmly. Big smiles and an explosion of flashbulbs. Dodge breaks off and Tommy drifts over to Reinhardt. REINHARDT "
tommy,"Skeeter. WARBURTON Damned fine to meet you. As Dodge and Tommy head for the dais, Tommy imitates Warburton's lockjaw. TOMMY ""Tommy. Please. Been called that since reform school."" Dodge chuckles, shakes his head in mock rebuke. Tommy takes his seat at the lower dais, smiles at the Members on his left and right. "
tommy,"That's all right. They can wait. CELIA Well. She pulls documents from her briefcase and hands them to Tommy. CELIA These are issue papers. This session we're targeting auto insurance premiums, child safety, and food additives.   As votes come up, we know you'll be hearing plenty from the other side. We'd just like a clean shot at making our case, too. "
ira,"I'm away for the next two weeks. She gives him a look.    Ira turns to Tommy. IRA So, when can Celia start your briefings? TOMMY Saturday night? IRA Saturday night sounds fine. CELIA Fine. Wednesday morning.      Nine- fifteen. 90   INT. CATACOMBS - NIGHT - CLOSE ANGLE - A SIGN                 90"
marshall,"He took six hundred dollars off you that last hand, didn't he? TOMMY Yeah, he's taking a real shine to me. MARSHALL If I didn't know better, I'd say you lost to him on purpose. TOMMY Nothing wrong with letting the chairman of the ethics committee roll you once in a while. "
teacher,"And what did you vote? TOMMY I voted ""Nay."" It's a terrible bill. It'd destroy the fabric of American life. TEACHER And what was the vote on? Tommy hasn't a clue. He calls out to Rafe, who is among those leaving the chamber. TOMMY Hey, Rafe! Tell these kids what that vote was about. "
tommy,Which means? BO Clean Air. RAFE 
tommy,"You pick. O'CONNOR  Let's put you down as for. Now what about putting limits on malpractice awards? TOMMY You tell me. O'CONNOR Well, if you're for 'em, I got money from the doctors and insurance companies. If you're against 'em, I got money from the trial lawyers. Tell you what, let's say against. Now how about pizza?"
tommy,"So, how'd you end up hustling for Pro Bono instead of pesticides? I mean, you could have been a big- time lawyer, right? CELIA Oh, I was for a while.   It... depressed me. TOMMY At a hundred grand a year, how depressed can you get? Doesn't it depress you to lose all the time? CELIA Sometimes. Mostly it gets me angry. And the anger keeps me going. Sure, I wouldn't mind winning a few. And it's not like I'm allergic to money... TOMMY So why do you do it? She skips a stone on the water. CELIA God, it's so embarrassing to come out and say it. TOMMY Say it. CELIA Meaning. I need my life to mean something. "
marshall,"That would put you somewhere between a lizard and a toad. Quite a step up. Tommy looks from Marshall to Celia and back again. TOMMY How could I have missed the family resemblance? 106   EXT. CANNON BUILDING - DAY - ESTABLISHING                  106 107   INT. CANNON TOP FLOOR - DAY                                107 WHISTLING happily, Tommy rounds the corner and heads to his office. "
tommy,"Wait a minute. You're talkin' 'bout my re-election? DODGE You don't know what percent of the incumbents who ran last time got re-elected, do you? TOMMY Fifty?   Sixty? DODGE Ninety-six. And ninety-eight before that. It's like that election after election. If you don't fuck up, you can be here, raking it in, for life. Life, Johnson. Tommy considers this.   Then a big smile."
tommy,I can think of worse places to get life. DODGE 
armando,"There a problem, congressman? MRS. JUBA Congressman?   You? Armando tries to escort her out. MRS. JUBA Get your hands off me! Mickey tries to block Armando. MICKEY Let go of her, you creep! "
tommy,"But why isn't it being investigated? CELIA Why didn't they investigate breast implants all those years? What about those side-effects of that sleeping pill, Halcion? Why isn't anything being investigated? It's always the same. TOMMY Money talks. CELIA You got it. "
andersen,"Mr. Chairman! DODGE Mr. Chairman! Hello, Tommy. Zeke you're looking well, good to see you. ZEKE "
tommy,"But there are studies that say -- ZEKE For every study that says one thing, I'll show you a study saying another. We've studied it ourselves. Nada. ANDERSEN There's not a single state health official anywhere in this country who says power lines cause cancer. TOMMY But what if you're wrong? As Tommy persists, Andersen looks increasingly angry. TOMMY People didn't use to say smoking causes cancer, either. What if the evidence is just building, and some day we wake up and discover that your power lines are killing us? ANDERSEN "
zeke,"You kill the insurance companies. O'CONNOR You kill the school district. ANDERSON You kill the local economy. DODGE For a smart boy, you're not thinking very politically. Tommy watches the LIGHTNING. TOMMY Maybe I should think about it. "
