Speaker,Dialogue
walter neff,PHYLLIS DIETRICHSON BARTON KEYES LOLA DIETRICHSON MR. DIETRICHSON NINO ZACHETTI MR. NORTON MR. JACKSON SAM GORLOPIS
night watchman,"Hello there, Mr. Neff."
night watchman,"Working pretty late aren't you, Mr. Neff?"
neff, Late enough.
night watchman,You look kind of all in at that.
neff,I'm fine. Let's ride.
night watchman,"How's the insurance business, Mr. Neff?"
neff,Okay.
night watchman,They wouldn't ever sell me any. They say I've got something loose in my heart. I say it's rheumatism.
neff, Uh-huh.
night watchman, Twelve.
neff,"Office memorandum, Walter Neff to Barton Keyes, Claims Manager. Los Angeles, July 16th, 1938. Dear Keyes: I suppose you'll call this a confession when you hear it. I don't like the word confession. I just want to set you right about one thing you couldn't see, because it was smack up against your nose. You think you're such a hot potato as a claims manager, such a wolf on a phoney claim. Well, maybe you are, Keyes, but let's take a look at this Dietrichson claim, Accident and Double Indemnity. You were pretty good in there for a while, all right. You said it wasn't an accident. Check. You said it wasn't suicide. Check. You said it was murder. Check and double check. You thought you had it cold, all wrapped up in tissue paper, with pink ribbons around it. It was perfect, except that it wasn't, because you made a mistake, just one tiny little mistake. When it came to picking the killer, you picked the wrong guy, if you know what I mean. Want to know who killed Dietrichson? Hold tight to that cheap cigar of yours, Keyes. I killed Dietrichson. Me, Walter Neff, insurance agent, 35 years old, unmarried, no visible scars --  Until a little while ago, that is. Yes, I killed him. I killed him for money -- and a woman -- and I didn't get the money and I didn't get the woman. Pretty, isn't it?"
neff," It began last May. About the end of May, it was. I had to run out to Glendale to deliver a policy on some dairy trucks. On the way back I remembered this auto renewal on Los Feliz. So I decided to run over there. It was one of those Calif. Spanish houses everyone was nuts about 10 or 15 years ago. This one must have cost somebody about 30,000 bucks -- that is, if he ever finished paying for it."
neff's voice,"It was mid-afternoon, and it's funny, I can still remember the smell of honeysuckle all along that block. I felt like a million. There was no way in all this world I could have known that murder sometimes can smell like honeysuckle..."
neff,Mr. Dietrichson in?
maid,Who wants to see him?
neff,The name is Neff. Walter Neff.
maid,If you're selling something --
neff,"Look, it's Mr. Dietrichson I'd like to talk to, and it's not magazine subscriptions."
maid,"Listen, Mr. Dietrichson's not in."
neff,How soon do you expect him?
maid,"He'll be home when he gets here, if that's any help to you."
voice,"What is it, Nettie? Who is it?"
maid's voice,It's for Mr. Dietrichson.
phyllis, I'm Mrs. Dietrichson. What is it?
neff,"How do you do, Mrs. Dietrichson. I'm Walter Neff, Pacific All-Risk."
phyllis,Pacific all-what?
neff,"Pacific All-Risk Insurance Company. It's about some renewals on the automobiles, Mrs. Dietrichson. I've been trying to contact your husband for the past two weeks. He's never at his office."
phyllis,Is there anything I can do?
neff,The insurance ran out on the fifteenth. I'd hate to think of your getting a smashed fender or something while you're not fully covered.
phyllis," Perhaps I know what you mean, Mr. Neff. I've just been taking a sun bath."
neff,"No pigeons around, I hope... About those policies, Mrs. Dietrichson -- I hate to take up your time --"
phyllis,"That's all right. If you can wait till I put something on, I'll be right down. Nettie, show Mr. Neff into the living room."
neff,Where would the living room be?
maid,"In there, but they keep the liquor locked up."
neff,That's okay. I always carry my own keys.
neff's voice,"The living room was still stuffy from last night's cigars. The windows were closed and the sunshine coming in through the Venetian blinds showed up the dust in the air. The furniture was kind of corny and old-fashioned, but it had a comfortable look, as if people really sat in it. On the piano, in couple of fancy frames, were Mr. Dietrichson and Lola, his daughter by his first wife They had a bowl of those little red goldfish on the table behind the davenport, but, to tell you the truth, Keyes, I wasn't a whole lot interested in goldfish right then, nor in auto renewals, nor in Mr. Dietrichson and his daughter Lola. I was thinking about that dame upstairs, and the way she had looked at me, and I wanted to see her again, close, without that silly staircase between us."
phyllis' voice,"I wasn't long, was I?"
neff's voice,"Not at all, Mrs. Dietrichson."
phyllis,I hope I've got my face on straight.
neff,It's perfect for my money.
phyllis," Won't you sit down, Mr. -- Neff is the name, isn't it?"
neff,"With two f's, like in Philadelphia. If you know the story."
phyllis,What story?
neff,The Philadelphia story. What are we talking about?
phyllis, About the insurance. My husband never tells me anything.
neff,"It's on your two cars, the La Salle and the Plymouth."
neff,"We've been handling this insurance for three years for Mr. Dietrichson...  That's a honey of an anklet you're wearing, Mrs. Dietrichson."
neff,"We'd hate to see the policies lapse. Of course, we give him thirty days. That's all we're allowed to give."
phyllis,I guess he's been too busy down at Long Beach in the oil fields.
neff,Could I catch him home some evening for a few minutes?
phyllis,I suppose so. But he's never home much before eight.
neff,That would be fine with me.
phyllis,"You're not connected with the Automobile Club, are you?"
neff,"No, the All-Risk, Mrs. Dietrichson. Why?"
phyllis,Somebody from the Automobile Club has been trying to get him. Do they have a better rate?
neff,If your husband's a member.
phyllis,"No, he isn't."
neff,"Well, he'd have to join the club and pay a membership fee to start with. The Automobile Club is fine. I never knock the other fellow's merchandise, Mrs. Dietrichson, but I can do just as well for you. I have a very attractive policy here. It wouldn't take me two minutes to put it in front of your husband."
neff,"For instance, we're writing a new kind of fifty percent retention feature in the collision coverage."
phyllis,"You're a smart insurance man, aren't you, Mr. Neff?"
neff,I've had eleven years of it.
phyllis,Doing pretty well?
neff,It's a living.
phyllis,"You handle just automobile insurance, or all kinds?"
neff,"All kinds. Fire, earthquake, theft, public liability, group insurance, industrial stuff and so on right down the line."
phyllis,Accident insurance?
neff,"Accident insurance? Sure, Mrs. Dietrichson."
neff,I wish you'd tell me what's engraved on that anklet.
phyllis,Just my name.
neff,As for instance?
phyllis,Phyllis.
neff,Phyllis. I think I like that.
phyllis,But you're not sure?
neff,I'd have to drive it around the block a couple of times.
phyllis," Mr. Neff, why don't you drop by tomorrow evening about eight-thirty. He'll be in then."
neff,Who?
phyllis,My husband. You were anxious to talk to him weren't you?
neff,"Sure, only I'm getting over it a little. If you know what I mean."
phyllis,"There's a speed limit in this state, Mr. Neff. Forty-five miles an hour."
neff,"How fast was I going, officer?"
phyllis,I'd say about ninety.
neff,Suppose you get down off your motorcycle and give me a ticket.
phyllis,Suppose I let you off with a warning this time.
neff,Suppose it doesn't take.
phyllis,Suppose I have to whack you over the knuckles.
neff,Suppose I bust out crying and put my head on your shoulder.
phyllis,Suppose you try putting it on my husband's shoulder.
neff,That tears it.
