Speaker,Dialogue
09.24.10, 1 INT. CAR ENGINE - NIGHT. 1
shannon,...Plain Jane cheap like you asked for but with a hundred and sixty horsepower inside. You get any sleep?
driver,Not this week.
shannon,I can offer you some Halcyon.
driver,Won't work.
shannon,There she is. Silver Impala. Most popular car in the state of California...
basketball commentary,...This is some comeback from the Clippers! Only a few minutes ago they looked dead and buried!...
police scanner,"...9 Adam 81, what is your current location?...Repeat, what is your current location?..."
basketball commentary,...Another unbelievable three pointer from Davis and the Clippers are within five!...
basketball commentary,...Time out Knicks...
police scanner,...Attention all units...211...Superstore on Traction Avenue...Suspects headed Eastbound on 1st Street...Driving a Silver Impala...
police scanner,"...Airships dispatched...Downtown and Boyle Heights...All units standby. Repeat, all units standby..."
police scanner,"...1 Baker 11, headed south on Boyle Avenue...No sign of suspects...Repeat, no sign of suspects..."
basketball commentary,...And for the first time in the game the Clippers have the lead. 71 to 69. Seven to go in the Fourth here at the Staples Centre...
driver,Get down...
basketball commentary,...Three thirteen left on the clock. Dunleavy calls a time out and it's the Clippers by one...
basketball commentary,...Buckle up your seat belts Clippers fans. This game really is too close to call...
police scanner,...This is 1 David 16...Silver Impala headed South on Broadway and Pico...Couldn't get a look at her license plates...Appears to be only one occupant...
police scanner,...1 David 16...why don't you check her out...
police scanner,...This is 1 David 16...We lost the suspect somewhere between Broadway and Grand...Possible evasive action...Request airship and additional units... 7 9/24/10
police scanner,...1 David 11...suspect headed West on Pico...
police scanner,All units...pursuit in progress...silver Impala...Headed North on Figueroa...
basketball commentary,"Thornton pulls up from behind the arc, misses. Rebound New York. One eighteen to play..."
basketball commentary,...Thirty seconds remaining and all the Knicks have to do is run out the clock...
basketball commentary,...Gordon back to Davis...Davis for three...This is unbelievable!...
basketball commentary,"...What a remarkable comeback...Outplayed for most of the game, the Clippers have shown incredible resilience..."
shannon,"...This is a whole new thing. He taps the fender any faster than fifty not only will she roll, she'll roll all the way to Baja."
shannon,A high risk stunt like that's worth at least a thousand five.
ad,They won't go higher than a thousand.
shannon,Done.
jack,"Sorry, that's for the director..."
shannon,I managed to get them up to five hundred.
shannon,"Nice work, officer..."
waiter,"Here you go, Mr. Rose.  Egg rolls, chicken chow mein, five flavor shrimp and Peking duck."
bernie rose,Did they remember the chop sticks?
waiter,"Doesn't look like it, sir. Let me run and get the guy."
bernie rose,...You run a perfectly good business. Why would you want to change now?
shannon,You know how much my business made last year? Thirty Grand. Takes me six months to build a car and a couple of seconds for these jerks to write it off on a stunt that doesn't even make it into the movie.
bernie rose,How much do you need?
shannon,Let me talk you through it first.
bernie rose,That sounds like a lot.
shannon,"Doesn't have to be. The big money teams burn through three, four million a year but that's `cause they're using half a dozen test drivers and a stable of cars."
bernie rose,I don't know anything about car racing but I assume there's a reason for that?
shannon,"Sure, but it's not the only way. All I need is a hard-used stock car. We start off with the small-town action then work our way up. There's close to two thousand events out there and once we make the Show we're talking millions."
bernie rose,`Millions'?
shannon,There's a fortune to be made. Sponsorship. TV deals. We'll even name the team after you.
bernie rose,"Thank you, Ron. You sure you don't want any of this?"
shannon,"No, thanks."
bernie rose,You still haven't given me a number?
shannon,Four hundred and thirty thousand dollars.
shannon,"Look, I wouldn't come to you unless I was sure about this."
bernie rose,"Come on, Shannon. How can you be sure? What have you got these big money teams don't have?"
shannon,I got a driver.
bernie rose,And they got half a dozen Drivers you told me.
shannon,Not like this one.
shannon,I been working with this guy a long time - I've never seen anything like it. I had the money I'd back him myself...
bernie rose,But you don't have the money.
shannon,"Everything I own is in metal. I had to sell my Bullit car the other day just to pay the gas bill. I'm telling you, Bernie, put this kid behind a wheel there's nothing he can't do."
bernie rose,And what happens to my money if this kid gets hit by a bus?
nino,What are you doing eating Chink food in my restaurant?
bernie rose,What's a Jew doing running a Pizzeria? Worst fucking pizza in LA by the way. How hard is it to bake a loaf of bread?
nino,It's the fucking water in this city...
bernie rose,I thought you were supposed to be out of town anyway?
nino,"Well, I'm back.  Take a hike. I need to talk to my partner."
bernie rose,"Be polite, Nino. I invited him here."
nino,"Oh, I'm sorry. How you doing, Shannon? How's the fucking leg?"
bernie rose,I'll think about it but I want to meet your guy first...
driver,"Which floor, ma'am?..."
irene,Fourth please...
irene,Thank you...
irene,Goodbye...
driver,"Goodbye, ma'am..."
bernie rose,Looks like a chocolate bar. You're gonna have to tell me if that's fast or slow `cause I got no idea...
shannon,It ain't slow... 15 9/24/10
shannon, Maybe where you come from...
shannon,Looks a little long in the tooth to me. Think we should take her home?...
shannon,"Bernie, this is the driver I been telling you about..."
shannon,Bernie's thinking of investing in our race team...
driver,My hands are a little dirty.
bernie rose,Don't worry. So are mine...
driver,You might wanna take a look at the suspension before we go again.  Nice to meet you...
bernie rose,You too...
shannon,You gonna give me the four?
bernie rose,I'll give you three for seventy percent...
driver,Where do you want me to put them?
irene,Just over there. Thanks...
irene,Would you like something to drink?
driver,I'm okay.
irene,A glass of water?
driver,Sure...
irene,Excuse me a second...
irene,You just move to LA?
driver,"No, I been here a while."
irene,And before that?
driver,Here and there...
irene," Too many questions, huh?..."
irene,That's Benicio's father.
driver,What's he do?
irene,He's in jail.
driver,I'm sorry.
irene, What do you do?
driver,I drive.
irene,Like a limo driver?
driver,"No, for the movies..."
irene, You mean all those car chases and stuff?
irene,Isn't that dangerous?
driver,It's just part-time. Most days I work in a garage.
irene,Where?
driver,Reseda Boulevard.
irene,You should tell Benicio you're a stunt guy.
driver,He interested in that kind of stuff?
irene,Aren't all little boys?
irene,Would you like another glass?
driver,I should get going...
irene,"Well, thank you for your help."
driver,Thank you for the drink...
bearded redneck,"You're Shannon's buddy, right? We met last year. You drove me and my brother back from Palm Springs..."
bearded redneck,"Next run we hired another wheelman - I spent six months in jail, my brother got himself killed...  He wasn't much, mind you, just family..."
bearded redneck,Thing is -
driver,I'm not interested...
bearded redneck,"Well, it's good to see you again..."
shannon,"Gorgeous day just got even nicer. How can I help you, ma'am?"
irene,Hi...
driver,Hi...
shannon,You boys and girls know each other?
irene,We're neighbors.
shannon,I see...
shannon,"So what seems to be the problem, ma'am?"
irene,Either it doesn't start or it stalls.
shannon,"Well, why don't we park her over there and take a look..."
irene,I can come back later if you're busy...
shannon,"He's busy, I'm not..."
shannon,"...Just my opinion, but I think you should consider buying a new car..."
irene, That would be great...
benicio,That thing doesn't work.
driver, You think?
benicio,Drive it.
driver,Okay. Get in the car...
benicio,"Mama, can I go in the car?!"
driver,Your mom said you like movies?
benicio,Sometimes.
driver,Ever see the Terminator?
benicio,No.
driver,Grease?
driver,Wanna see where it was shot?
irene,How long has he been working for you?
shannon,"Don't worry, ma'am, your son'll be fine."
irene,I didn't mean it like that...
shannon,"We been together about five years now. He showed up out of the blue one day, no references or nothin', asking me for a job. I offered him half the wages I normally pay and he didn't even blink. Been exploiting him ever since...  Only thing he knows is cars..."
irene,Thank you for today. He had a great time...
driver,I'm glad...
irene,"I'm sorry if I put you on the spot, you know, just showing up like that..."
driver,Don't worry...
driver,You need a ride anywhere over the weekend I'm not doing much...
shannon,...I still can't believe I bought this piece of shit...
shannon,I thought maybe we'd take her for a run Thursday or Friday.
driver,I can't make Friday.
shannon,Yeah? Why's that?
driver,I told Irene I'd drive her to Burbank.
shannon,"Irene, huh?  You're seeing quite a lot of the young lady."
driver,You're taking a long time to fix her car...
driver,What's happening now?
benicio,He's telling him if he doesn't leave the earth alone he'll fight him.
driver,Looks like he's in trouble.
benicio,He's okay.
driver,I'm gonna show you another trick...
driver,This is pretty complicated. You watching?
driver,Think you can remember that?...
irene,"Hello?...Yes?...Yes, this is she..."
driver,Hello...
benicio,Hi Cindy...
benicio,It's not the TV. It's a DVD...
irene,I've never come this way before...
driver,It's a short cut...
irene,The park looks pretty at night...
driver,You okay?...
irene,That was my husband's lawyer on the phone. He's getting an early release...
driver,That's great...
irene,I'm happy for Benicio...
standard,...I'm touched and grateful that you're all here today -- even though I know it's probably for the food not me...
standard,"...Anyhow, now that I've completed my MBA in catering from Chino Business School...  Irene, Benicio and I are finally going to get our lives back together..."
standard,"I'd like to thank my wife for being the smartest, most beautiful, most patient and loyal woman I know..."
standard,"I'm sorry, I can't hear you..."
standard,Sure.
irene,Benicio wants you to put him to bed.
standard,Okay.
irene,Who was that on the phone?
standard,My parole officer. He thinks he may have found me a job.
irene,Hey...
irene,I'm sorry about the noise. I was going to leave a note under your door warning you we were having a party.
driver,Don't worry. I won't complain.
irene,I wish you would. Maybe the cops'd show up and send everybody home.
irene,The car works great by the way. Hasn't stalled once.
driver,I'm glad.
irene,"Listen, if you're hungry we got plenty of FOOD -"
standard,I thought if we emptied the trash everyone would get the message and go home...
standard,"You're the new neighbor, right? Benicio's told me all about you..."
driver,He's a great kid.
standard,I can't take any of the credit. He's got a great mother.
standard,He tells me you drive for the movies?
driver,Yeah.
standard,Must be pretty good?
driver,I get by.
standard,"Not like a nine to five gig, huh?..."
irene,You want me to take that?
standard,"No, we got it."
standard,"You want to come in, join us for a drink?"
driver,I've got some things to do.
standard,At this hour of night?
irene,"Standard, he's busy..."
standard,"Well, if we're still going by the time you're back you know where we are. It's good to meet you..."
nino,...We paid three hundred fucking grand for this?
bernie rose,"I paid for it. Out of my own pocket. Anyway, that's just the shell. You start with the shell, then you build the frame, then the motor.  I paid three hundred for that. The money goes on the inside not the outside."
nino,Fuck that. If I'm gonna blow three hundred I wanna make sure everyone can see it. Go waste your money on something else...
