Speaker,Dialogue
adam west,The American Teen Princess Pageant has been enriching the lives of American-
adam west,"And make it all the way here to Lincoln, Alabama, to compete for the title of American Teen Princess."
gladys leeman,"Good God, Iris, you taped your shows over it."
iris,Sorry.
gladys leeman,"Now ladies, the rest of the tape - which is now gone forever - goes on about startin' this great American journey we call American Teen Princess...Yah-so, any of you young ladies who'd like to start on that journey, you just come right down here and sign up.  And please...help yourselves to some coffee and bars..."
gladys,Showtime.
gladys,"Oh yah-sure, I know what some of your big city, no bra wearin', hairy-legged women's libbers say, ""Pageants are old- fashioned"" and, uh, and ""demeaning"" to the girls --"
iris, What's sick is women dressin' like men!
gladys,"Uh... You betcha, Iris.  Yah-I think yous boys'll find that things are different here in Mount Rose..."
iris,A.k.a. Minneapolis - St. Paul.
gladys,"...Today's ""To Do"" list includes a trip to the Mall of America.  We need outfits for the ""Physical Fitness"" number --"
iris,Nothin' too showy!
gladys,"Y'betcha, Iris.  We still need a third judge and we need to think of a theme."
iris,Gladys -- Gladys!  Look out!
gladys,"Oh, my!  Hello, Father Donigan!  Sidewalks, sidewalks?"
iris,That's why we Lutherans use grape Koolaid for the blood of Christ.
iris,"Oh, there's a parking space over there.  Oh, no, that's just a compact. Sorry."
gladys,You'd think they'd build the parking lot of America to go with the Mall of America!
iris,It's a two-hundred dollar fine!
gladys,I said I'd move if a cripple came. Let's just run in the store and pick out some outfits.
iris,"All right, let's go."
gladys,Wait! Wait! Wait! Wait! Wait! Wait! Wait!  I just thought of the theme.
iris,Oh!  What is it?
gladys,"Last year?  It was, ""Buy American."""
gladys,"""U.S.A. is A-okay."""
gladys,"""Can I?  I'm Amer-I-Can!""  People ask me where I get this.  I don't know, it's...maybe a gift from God or somethin'."
leslie miller,"...Hi.  I'm Leslie Miller.  I'm signin' up kcause-ah, y'know, I always watch pageants on the TV and my boyfriend thinks I'll win."
amber atkins," Hi, I-I'm Amber Atkins and, um, I'm signin' up k'cause, ah, my two favorite people in the world competed. My mom and Diane Sawyer...Course I hope I end up a little more like Diane Sawyer than my mom..."
amber," Oh, my God, no.  Oh, God.  I just do the hair and makeup on the deceased."
gladys,"Oh, yeah, sure.  You know, every pageant is special, but this one is extra-special to me.  When I was seventeen, I don't know if you know this, but I was crowned Mount Rose's American Teen Princess.  And this year...drum roll please, my lovely daughter, Rebecca Ann Leeman is competin'."
becky,"Is this my mark?  Hi, I'm Rebecca Leeman.  And I believe this pageant is an important experience for every young woman.  It, well, it teaches you what's really important in life, and it has the power to change you in ways you've never dreamed of."
becky, ...What?!  Klinghagen thinks it'll all come down to me and Amber?
becky,...Yah-my mom gave me this nine-mil for my thirteenth birthday...
lisa,"Why?  Well, uh, it's kind of like askin', ""Why do all the guys chew Copenhagen?""  You know?  I mean, if you're seventeen and you're not a total fry, it's just what you do."
lisa,"I'm gonna sing and dance to, ""New York, New York.""  See, I fell in love with The Big Apple last summer when I was visitin' my brother.  He followed his dream to New York."
tess,Uh... I don't know what my talent's gonna be yet...
iona hilderbrantdt, I was Mount Rose American Teen Princess in 1945.  We were at war with the Japs.
molly," To America, Dad."
molly,"Oh, Mom..."
