Speaker,Dialogue
ozim,"Guvenilmez... daginik... bloody kids, you know... he says - `but Amca it's Christmas?... Christmas! We're Islam!"
soyka,"Oi, how much are you taking off?"
ozim,Christmas! So I said to him... alisverise cimac. The kid's sixteen...
ekrem, Uncle Ozim.......
ozim,This is him.     The kid I'm talking about.
soyka,He looks OK to me... how you doin' Ekrem?
ozim,"He looks OK, yeah, but he won't do one lousy thing for me. Here, look... Ekrem, take this..."
ekrem,Ozim... memnum etmek.
ozim,We had a deal now he's backing out.
soyka," Hey Ozim, leave the kid alone. It's obviously a psychological thing..."
ozim,Take it Ekrem.
soyka,"Ozim, it's OK. I don't want a shave."
ozim,This is the kid who walks around like Al Capone. Take the fucking ustura and finish this Rushca.
soyka, What?
tatiana, Please... I have...
chemist,For methadone I need to see paper prescription.
anna,Did you get a name?
paramedic,No.
nurse 1,"Her stats are very poor, very poor. Baby's very distressed."
junior doctor,"Shoulder distocia, I think.   Stuck on the pubic bone."
anna,"Darling... darling, can you hear me?"
nurse,"Baby's heart beat sixty... fifty- eight, fifty-eight... fifty-seven..."
junior doctor,"Anna, I'm trying to rotate the shoulder medially... shit..."
nurse 1,Baby stats sixty-eight and in free fall.
nurse 2,I'm not getting a pulse.
aziz,Speak to me...
anna, We need to get the baby out now.
aziz,"OK, let's go."
anna, You had a girl.
aziz,Ok.   Call it.
junior doctor,"Unidentified woman, died December"
nurse,"Baby girl, born December 24th at"
aziz,"Merry Christmas, Anna."
anna,"Oh, don't be ridiculous."
aziz,And you have to open it in front of me.
anna," In the whole entire history of my life, I have never felt this special."
aziz,Thank you.
helen,Did you sleep?
anna,A bit.
helen,There's no point us tiptoeing around if you're not even sleeping.
anna,Mum?       Are you OK?
helen, Of course not. It's Christmas.
helen,It's the chicken.  The smell of chicken roasting reminds me of him.
anna,"You should have done beef, then."
helen,"It wouldn't be Christmas without tears in the gravy, would it."
helen, It's your own fault for giving him something to play with.
anna," Well, I can't read Russian, can I?"
anna,"I told you, Uncle Stepan, I found it in the handbag of a girl who died in my ward."
stepan,Do you always rob the bodies of the dead?
anna," Of course, we all do it. It's one of the perks of working in a hospital."
stepan,Did you know that your daughter robs the bodies of the dead?
anna,"Stepan, is there an address?"
stepan,You have an uncle who doesn't steal things from the dead. Not even their secrets.
helen,"Oh, don't go all momentous on us, Stepan.  Lift your elbows."
stepan,"You should put this in her coffin, Anna. Bury her secrets with her bodies."
anna,Body.   Singular.
kirill,So you pick up Ozim and his bitch of a wife and you bring them back here.
nikolai,I'll think of an excuse. Your excuses are like fucking fairy tales.
kirill,Who the fuck's that?
nikolai, Maybe somebody sent your dad a hooker for Christmas.
kirill, You're so... fucking unbelievably disrespectful.
semyon,We are closed.
anna,I know.
semyon," Then unless one of my daughters is keeping something from me, you have the wrong address."
anna,I'd like to speak to the Manager.
semyon,Khitrova?
anna,My dad was Russian.
semyon,And his name?
anna,Ivan.
semyon,"So, you are Anna Ivanovna."
semyon,"We must hurry. I must stir. Stir, stir or the gravy dies in my hands. Today it is family. Here is my son, Kirill.  Come on!"
semyon,"Come, come, hurry, hurry.    They will be here any moment.  Ok, show me this card."
anna,"God, that's amazing. My dad made gravy just like that."
semyon,So did you get a chance to talk to this girl before she died?
semyon,This is an agency that hires casual kitchen staff. Maybe you will have more luck there. But I think they will be closed until New Year.
kirill,"Papa, Ozim is here."
semyon,"Ten minutes!!  Fish, fish, fish! Ten minutes! OK, Kirill, get him a drink and tell him I am coming."
anna,That's OK. I'll probably find out more when I get her diary translated.
semyon,Her diary?
anna,I found her diary in her bag.
semyon,Why did you not tell me you found a diary?
anna,I was going to ask my uncle....
anna,Dosvedania.
semyon,"Oh Anna, you always work at the Trafalgar hospital?"
anna,"Yes, always."
kirill,"Hey, you OK?     You want a drink?"
anna,"No, thanks.     I'm driving."
kirill,OK.     Merry Christmas.   Drive safely.
nikolai, Nice bike.
anna,What?
nikolai,Nice bike.
anna,Thank you.
nikolai,A Ural. You don't see them anymore.
anna,It was my dad's.
nikolai,How much do you want for it?
anna, It has sentimental value.
nikolai,`Sentimental value'.   I've heard of that.
anna,No.
nikolai,Nor me. Chauffeurs don't get invited. You want to go for a drink instead?
anna,It's Christmas. Everything's closed.
nikolai,"Sometimes if things are closed you just open them up, you know?"
stepan,"Anna, how come is it that your boyfriend isn't here to carve?"
anna,"I don't live with Oliver any more, Uncle Stepan. I'm living back here for a bit."
helen, For as long as you want.
stepan,I knew he would run away from you.
anna,He didn't run away. You make me sound like a burning building.
stepan,Black men always run away.
helen,Oh Stepan!
stepan,What?   I am allowed to be honest?
helen,"He was a doctor, Stepan."
anna,What the hell has that got to do with it?
stepan,It is not natural to mix race and race. That is why your baby died inside you.
helen,"Stepan, shut up!  Please Anna."
anna,It's Christmas. I'm thirty-one.
helen,"Anna, you know what he's like."
anna,I don't give a damn about Stepan. Who has that poor baby got in the whole world?
helen,I knew this would happen.
anna,Good. Fine.     So you know everything.
helen,"Anna, she isn't your responsibility."
anna,The baby is my responsibility until I hand her over to the mother. The mother is dead.
helen,Then it's up to the proper authorities.
anna,The proper authorities will all be skiing until after New Year.
helen,It's part of the grieving.
anna,What grieving?
helen,In the last year you've lost your father and you lost a baby.
anna,I'm not hungry.
ozim,The driver stays down here.
kirill,You really think I do this kind of thing?
ozim,"Hey, hey, hey Ekrem, sakim, durgun, durgun."
ekrem,"I got tickets, Ozim. It's with Chelsea. They said there was no tickets but I got tickets for the Chelsea game."
ozim,"OK, OK, OK.    You go and watch a DVD, yeah?"
kirill,"He knows to say he hasn't seen us, right Ozim?"
ozim,He don't know anything.    He's touched by the angels.
kirill,That's him.
ozim," Hey, hey, show some respect for a dead man."
kirill,Respect?   This is respect.
nikolai,Have you got a hair dryer?
nikolai,You'd better burn that.
kirill,Aren't you going to weight him down or something?
nikolai,"If you want to dump a body, this is the place. The currents keep it under the surface until past the barrier."
semyon,Ah. My dear! I wasn't expecting you so early.
anna,Is it OK?
anna,I copied the whole thing.
semyon,Where is the original?
anna,I'm going to keep it. Maybe give it to Tatiana's daughter someday.
semyon,I will need my spectacles and a clear head. Today I broke my rules and drank vodka. Tomorrow I will translate it.
anna,Not far.    I can drop by and pick it up.
semyon,Then maybe I can drive you home.
anna,I'm fine.    I'm on my motorbike.
semyon,So what will happen to the poor child?
anna,"After Christmas, they'll do a missing persons report."
semyon,Who will?
anna,The police.
maria,Grandpa.
semyon,"Hey, hey, Maria, go back to bed."
maria,I'm too sad. Next Christmas isn't for another hundreds and hundreds of days.
semyon,But you have had so many presents.
maria,"You shouldn't smoke, Grandpa."
semyon,I know.
kirill,"We're partners now, man, you know?"
nikolai,"Yeah, yeah, I know."
nikolai,We went to a Kurdish place. They don't even celebrate Christmas.
kirill,"Hey, Papa, what did I do?    This is Merry Christmas or what?"
nikolai,I think he's had enough.
semyon,Who... the fuck... are you to tell me enough?
nikolai,We're partners.
semyon,I hired you as a driver...
nikolai,"Well, you got more than a driver."
semyon,I have no idea what business you're talking about. Now get out.
nikolai,You've got water in it.
anna,Water?    What makes you think that?
nikolai,The postmen used these. In my village. When I was a boy. Russian copy of BMW flat twin.
anna,Just across the park.
nikolai,I'm a driver. I even do limousines. Look...
nikolai,So you're a midwife. Jesus.
anna,You get used to it.
nikolai,"I didn't faint, but it was close."
anna,How many have you got?
nikolai,"Yeah, I know, I know, it's just... it makes me upset, you know? Thinking about it. This time of year. They're back in Yekaterinburg. In the forests. Near the mountains."
anna,Left here.
nikolai,I'm... sort of freelance.
anna,You said he'd fire you.
nikolai,I meet lots of girls called Tatiana.
anna,She was pregnant.
nikolai,"In that case, no, I never heard of her."
anna,She died last night on my shift.
nikolai,I thought you did birth.
anna,"Sometimes birth and death go together.  She had needle punctures all over both arms. Dehydration, emaciation. Early presentation of syphilis. Probably a prostitute. At the age of fourteen."
nikolai," You know what? I hate the rain. This time of year. You ever been to Russia at Christmas? Man, snow that covers your whole house."
anna,You think Semyon's son knew her?
nikolai,"Like I said, I'm a driver. I go left, I go right, I go straight ahead. That's it."
anna,Just here is great.
nikolai,Christmas present.
officer,We think he might be Russian Mafia.
yuri,He is actually a Chechen. He is also a member of the vory v zakone. The stars on the knees mean he would never kneel before anyone.
officer,There was something else. It was... inside the body. Chest cavity.
helen,Anna?
anna,"What?  Stepan, what? I'm late for work."
helen,It was on the dresser.
anna,"Mum, you can't go through my things."
helen,You wanted him to translate it.
anna,And he said he wouldn't do it so I've found somebody else.
stepan,"No Anna! You don't go to someone else with this! You don't go to anyone! Nasilovanie, it means rape. Iglah, it means needle. Prostitutcia, perhaps you can guess."
helen,"Anna, Stepan said this girl ended up in the hands of the vory v zakone. Do you know what that means?"
anna,Just because I'm back in this room doesn't mean I'm twelve again.
helen,You never listened to me even then!
anna,"Look, if I don't find a relative in the next few days they'll put Christine out for fostering. Once she's in the system, she'll never get out again."
helen,Who named her Christine?
anna,I had to call her something. It sounds like Christmas.  She's very beautiful.
helen,"If I can persuade Stepan to translate it, will you leave the rest to the police?"
anna,Tell him I've heard bad words before.
helen,Your father used to say the vory are a contagious disease. There's no cure once they've touched you.
anna,"Momma, this is London."
albanian,"OK, boss is here. Boss, boss. You make him happy..."
kirill,"So he said to me, `who is this driver guy?' I laughed so hard."
nikolai,And what did he say?
kirill,You know my dad. He didn't say nothing. But his eyes looked impressed.
albanian,Kirill!
kirill,"Get out of the fucking way, you black gypsy baboon."
kirill,"OK, which one you going to fuck!?"
nikolai, What's it to you?
kirill,Serious.      Pick one.
nikolai,"I'm just enjoying myself, man..."
kirill,You hear me? You're going to fuck one of these girls.
nikolai,"OK, OK, Jesus..."
kirill,You're going to fuck one of these girls right now. That's an order.
nikolai,What?       What's the matter with you?
kirill,Come on Nikolai. Who are you going to fuck?
nikolai,You've drunk enough Kirill.
kirill,Enough?
nikolai,Her.
kirill,You did OK!     You did OK.
nikolai,Yeah?
girl,Kirilenko.
nikolai, Where are you from?
girl,Ukraine.
nikolai, Where? Which village? Which town?
girl, Irpen. Outside Kiev.
nikolai, Stay alive a little longer.
semyon,Hello Anna.     I came on tiptoes.
anna,How did you get in here?
semyon,"There are always open doors, Anna Ivanovna."
anna,You're not allowed in here.
semyon,"Please Anna, let me speak."
anna,What does it say about him?
semyon,Many bad things.
anna,I don't care about him.   I care about the baby.
semyon,Of course.   Of course. And that is the baby?
nurse,Anna?
anna,It's OK.   He's just leaving.
semyon,"You know where I am, Anna Ivanovna."
stepan,"...like potato sacks. Kirill came down after me and he hit me until I was bleeding. Then he tried to rape me but he couldn't do it... He just got madder and madder and kept hitting me. In the end his father came down. It was the father who raped me. He shouted at his son...'if you don't break a horse, it will never be tame, Kirill'."
helen,Hello dear. How was your night?
anna,No.
helen,What's wrong?
anna,He came to see me.
stepan,I told you this would happen!    I told you!
helen,Sit down Stepan.
stepan,The devil is loose now.
anna,I know it's my fault...
helen,It's no one's fault...
stepan,They are in this room now.   They are cancer...
helen,We should just sit down calmly and think...
stepan,I have a friend from Ukraine who owns a gun....
helen,Stepan!!
stepan,...from the war in Afghanistan.
helen,Don't talk about guns...
anna,Shut up both of you!!!
stepan,We all know what he would have done.
helen,And then he would have been practical.
stepan,He would ask if there were bullets for the gun.
helen,No! This isn't our world.     We're just... ordinary people.
stepan,I dealt with the vory v zakone when I worked for the KGB.
anna,You never worked for the fucking KGB!
helen,Anna!
stepan, I was an auxiliary!
helen,Please!
anna,The diary. In return he'll give us an address for Tatiana's family. For Christine's family.
helen,And that's all he wants?
stepan,You cannot do deals with these people!
helen,This isn't a deal.      It's an exchange of information.
stepan,Have you forgotten already what I just read to you?
helen,We must be practical.
anna,"Stepan, I think he was threatening to harm Christine."
helen,Then it's settled.
stepan,No!!    No!!   No!!
helen," Stepan, this isn't our world.      We are ordinary people."
stepan,She was an ordinary person.
kirill,"Hey, come on, Nikolai, I've got a Christmas present for you."
kirill,Open one.
nikolai,From where?
kirill,`From where?' From where you don't ask. Give it here...
nikolai,Import-export sounds good.
kirill,You bet it's fucking good...
semyon,Your friend Soyka is dead.
kirill,Yeah? So what? What's that got to do with me?
semyon,Don't lie to me!!
kirill,I swear I don't know nothing about it...
semyon,"I said, don't lie to me!"
nikolai,"Your dad is right, Kirill.       There's no point lying to him."
kirill, Shut your fucking mouth!
nikolai, Your dad always knows the truth anyway.
semyon, I don't have to worry?
nikolai,I disposed of the body myself. The police won't find a thing.
semyon,My son commits a murder? 
nikolai,The vory code says you don't talk to anybody about your captain. Kirill is my captain.
semyon,I decide what is right and what is wrong. You do not kill a vor for no reason.
