Speaker,Dialogue
first draft,"August 3, 2008"
olive,"Let the record show that I, Olive Penderghast, being of sound mind, ample breast size and the occasional corny knock knock joke, do enter this video blog into evidence in the case against me. Because I'm being judged by a jury of my peers, I will attempt to insert `like' and `totally' into my confession as much as possible. So here it goes... I confess I'm, in no small part, to blame for the vociferous gossip that has turned my Varsity letter scarlet, but - for anyone hoping that the sizzling details of my sordid past will provide you with a reason to lock the door and make love to a dollop of your sister's moisturizing lotion - you'll be gravely disappointed.  Like, totally."
rhiannon,"Fuck off! George is not a `sexy' name. George is like what you name your teddy bear, not the name you wanna scream out during an orgasm."
olive,That's bullshit. There are lots of sexy Georges.
rhiannon,Name three.
olive,Shouldn't that alone be enough?
rhiannon,Fine. That's one. Number two?
olive, Okay. George... Ummmm... Reeves!
rhiannon,Who's that?
olive,Superman. From way back. He was hot.
rhiannon,No way. Teddy bear.
olive,Bullshit. Ben Affleck played him in that movie!
rhiannon,So what? Charlize Theron played that butt-fucking-ugly lesbo serial killer. Besides he's from another century. 
olive,George Stephanopolous.
rhiannon,What are you? Fifty?
olive, George...
rhiannon,Bush? Yeah. He's one hot mutherfucker. Just face it. There's no such thing as a sexy George.
olive,"Well, mine is. So, I think we should just put this conversation to bed."
rhiannon,Fine. Don't come. I hate you.
olive,"Let me back up. I don't know if any of you have ever met them, but Rhiannon's parents are quite possibly the creepiest people in a four county radius."
rhiannon, PLEASE. Please. I'm begging you. I'll pay you.
olive,"Rhi, I can't. I told you I have plans."
rhiannon,You're lying. You're a lying bitch and I hate you so much right now.
olive, I'm not lying. I promise I'm not. I really would love to go camping with your family this weekend. I had fun with your family last year.
olive," No thank you, Mr. Abernathy."
rhiannon, Why don't you just say it? You don't like my parents. You think they're hopelessly pathetic and devoid of souls and wish that you could live with normal people who didn't meet at a Star Trek convention!!
olive," Rhi, I like your parents. They're sweet. But I can't go camping this weekend."
rhiannon,Quick. Hurry and make up a lie.
olive,I have a date.
rhiannon,Liar.
olive, No. I do.
rhiannon,With who?
olive,You don't know him.
rhiannon,"And neither do you, you selfish bitch!"
olive,I'm serious. He goes to the community college with my brother in Denton.
rhiannon,What's his name then?
olive, Who? My brother?
rhiannon,Stop stalling. You're totally trying to come up with a name. Just say it.
olive,"I'm not proud of this. Less about the lie and more about the unoriginality of it. Okay, have you guys ever watched `The Brady Bunch'? Of course you haven't. You're busy watching fake people pretend to be real on MTV. That's why I knew I could get away with it. See, there was this episode where Jan - the awkward middle child - made up a boyfriend to assuage the ridicule of her snatchy sister who had just stolen the heart of the boy that Jan loved. The name of her imaginary boyfriend WAS --"
olive, George Glass.
rhiannon,George? What kind of a fucking name is George?
olive,"He's pretty hot and he asked me out this weekend, so I said yes."
rhiannon,"If you're choosing him over helping me cope with two days in the wilderness with these people who even I'm not convinced aren't serial killers, he had better be the one. You had better fucking marry him, have fucking babies with him and then take him for fucking everything he's worth."
olive,Deal.
rhiannon," You're not off the hook, you know. I want lurid details. This had better be the best date of your life to counterbalance the worst weekend of mine."
olive,I'm sure you'll have a good time.
olive," Even though we now hate each other, Rhi, I really hope you're watching this. Because this part's for you. The lurid details of my weekend en flagrante delicto with the all-too- imaginary, yet surprisingly satisfying George Glass:"
olive,"But on Monday, when Rhi asked me how my weekend was..."
olive,It was nothing short of perfection.
rhiannon,"Details, bitch. Wait, first I need a scope of reference. Who would play him in the movie of your life?"
olive,"Ryan Gosling, definitely."
rhiannon,That works. Spill.
olive,He was charming. A real gentleman.
rhiannon,Are you going to see him again?
olive,Probably not. It was just one of those weekends.
rhiannon,The whole weekend?
olive,Yeah.
rhiannon,Wait a minute. You didn't...
olive,"No, of course not."
rhiannon, You fucking liar! You totally lost your virginity to him.
olive,I did not.
rhiannon,"YES YOU DID, YOU LYING FUCKING WHORE!"
olive,I'm not that kind of girl.
rhiannon,The kind that does it or the kind that does it like a fucking porn star and then doesn't have the balls to talk about it?
rhiannon,"I want every perverted detail. NOW, bitch."
olive,Okay. Fine. We did it.
rhiannon,"You lost your virginity! Fucking finally! Now, you're a super-slut like me!"
olive,Rhi. Blowing Peter Tolliver once behind the Pizza Hut doesn't make you a super-slut.
rhiannon,"There were people walking past. Whatever, this isn't about me. This is about YOU. What did you let him do?"
rhiannon,Was he big? Did it hurt?
olive,"No. It was great. Like I said. Okay, that's enough."
rhiannon,"What the fuck are you looking at, Marianne?"
marianne,Nothing. Just a couple of admitted whores.
olive,"So, how was your weekend?"
olive,"Marianne Bryant, as we all know, is the President of the Christian Student Coalition and is that rare breed of human born with a stick the size of a baseball bat implanted up her anus. God's honest. I'm sure it's in some medical dictionary somewhere."
mascot,Blue Devils! Blue Devils! Blue Devils!
marianne,How can we exhibit school pride when we're conveyed to others as satan worshippers?
mascot,Go meerkats! Go meerkats!
rhiannon,What the fuck is a meerkat anyway?
olive,Beats the hell out of me. But can we just take a moment to applaud the Barbara Bush High School Marching Band for their very ambitious effort to learn all of the James Bond theme music in a single year? I personally wish them all the best in their endeavor. Ku-dos!
rhiannon,I think I speak for all of the female students and faculty - and maybe a couple of males - when I say that I liked Todd much better when he was shirtless. I actually looked forward to these disturbing displays of -- what do they call it?
olive,School spirit.
rhiannon,Yeah. That's it.
olive,"Even dressed as a meerkat, I still fantasize about him."
rhiannon,Ha! What are those people called again? The ones that dress up like stuffed animals when they do it?
olive,Communists.
rhiannon,Shhh. Don't let Marianne hear you say that word. The last thing we need is McCarthyism at Barbara Bush.
olive,Isn't high school already a hotbed of just that?
rhiannon,"True.  Yeah, I'd totally fuck Meerkat Todd."
olive,"So, of course, immediately I knew that the little white lie I told to my then-best-friend in the ladies room would come back to bite me on the ass. However, even I - who my fourth grade teacher stated on my report card `has an imagination that should be quickly expunged' - had no idea how quickly this article of fiction would spread. So, now we move on to Part Two: The Accelerated Velocity of Terminological Inexactitude."
olive,"Hey Marianne, can I talk to you for a second?"
marianne, What?
olive,"Listen, what you heard in the bathroom, that wasn't true. It's actually a funny story. Do you ever watch `The Brady Bunch'?"
marianne,"Olive - that's your name, right?"
olive, Who? The guidance counselor?
marianne," I hope for your sake, God has a sense of humor."
olive,"Oh, I have sixteen years worth of anecdotal proof that He does."
marianne,"Look. You've made your bed. I just hope for your sake, you cleaned the sheets."
olive, Did I just get saved?
olive,"I'm swell, guy-I've-never-laid-eyes- on-before. Thanks for asking."
olive,"Hey, you guys know that I was here all weekend, right?"
dill," What's up, sweet pea?"
olive,It's nothing. Just the rumor mill.
rosemary,What's the rumor mill turning out these days?
olive,"Seriously, it's nothing."
rosemary,Don't forget your brother's staying here next weekend.
olive,Why? He never comes home.
rosemary,"They're fumigating the dorms. And thank God for that. Last time I was there, I saw three cockroaches."
ginger," Mom, can you please not say that word while I'm eating?"
rosemary,"Sorry, hon."
olive,"Like all families, mine has a deep dark secret. And since I'm spilling all this dirt, I might as well go ahead and confess it."
olive,"If I'd known that Meerkat Todd was going to turn out so hot, I probably would have cherished the moment more. I suppose just that I'm sitting here reminiscing about it means that it must have meant something.  Yeah, so anyway - kissing's not really my thing. That's what I learned in Natalie Giblin's closet. I digress..."
nina,I think Hester Prynne was - excuse my language - a whore.
nina,Why should I? She brought it on herself.
olive,Excuse me?
nina,Perhaps you should embroider a red A on your wardrobe?
olive,"Perhaps you should GET a wardrobe, you twat!"
marianne,Seems as if someone's on a downward spiral.
olive,Seems as if someone's practicing the mundane activities she'll be saddled with the rest of her pathetic life.
marianne,You have a chip on your shoulder the size of Texas.
olive,"Wow, that's even bigger than your ass."
marianne, You're going to hell.
olive, As long as you won't be there...
marianne,"Oh, I can assure you I won't."
olive,Why? Your parents didn't.
marianne,"You know, you're just like --"
principal gibbons,I don't know you.
olive,Olive Penderghast.
principal gibbons,Why are we just now meeting? Using language like this should have warranted a visit to me years ago.
olive,"Well, to be perfectly honest - I've never used an epithet like this in an educational arena before. Sir."
principal gibbons,This is foul.
olive,"In my defense, I think I meant to say `twit.' It just came out more - what's the word I'm looking for? Veracious."
principal gibbons,A young lady with such an extensive vocabulary shouldn't be stooping to such vituperations.
olive, Touch.
principal gibbons,"Wipe that smile off your face --  Olive. I don't tolerate this kind of language. Ever. Consider this your first warning. If I find out you've used a word like this in my school again, I will make sure that it's your last. I don't operate on a `three strikes you're out system'. You get one warning from me."
olive,I always do. Are we finished?
principal gibbons,"Detention tomorrow after school in Room 704. And, young lady, I don't want to see you again."
olive,Not even in a more positive capacity? Maybe I could win a ribbon or a medal or something. I could conceivably be valedictorian. Or something.
principal gibbons, Get out of my office now.
rhiannon,Please tell me the rumors are true.
olive,"Yes, I'm a big whore."
rhiannon,Not that one. The one where you called Nina Howell a cunt and then socked her in the nose.
olive,"It's not entirely true.  Look, there's something I need to tell you."
rhiannon,Yeah. Like the exact moment you turned into such a BAD ASS? I think I'm in LOVE with you. 
olive, Never mind.
rhiannon,Please. It's my only perk. Trust me.
olive,I got sent to the Principal today.
dill,What did you do?
olive,"I used inappropriate language in English class. But we're reading a book that I, personally, deem wildly inappropriate for my age group, so I felt that it was actually quite apropos."
rosemary, What did you say?
olive,Let's just say it was an inappropriate word.
dill,What did it start with?
olive,A snide comment from a snotty-ass girl in my class.
dill,I meant what letter did it start with?
olive,Oh. Yeah. T.
rosemary,T? That's an odd one. Is this one of those new curse words?
olive,I don't even know what that means.
rosemary,Yeah. Neither do I.
dill,"Okay. Noun, adjective or verb?"
olive,"Noun. Definitely slang. Think British, although they pronounce it differently."
rosemary,"Well, I'm stumped. Whisper it in my ear."
olive,I can't. Too weird.
rosemary,Oo! Oo! Spell it with your peas!
olive,"Now, THAT'S a challenge."
dill,Does this have something to do with this rumor you were talking about the other night?
olive,I'm spelling it out for you as quickly as I can.
ginger, I got a B plus on my spelling test today.
rosemary,"Good, sweetheart."
ginger, What's a twat?
dill,It's a word that will get you sent to the principal's office.
olive,The male equivalent.
rosemary,Of what?
dill,"Well, it's the first time since second grade, so I guess we can't be too hard on you."
olive, What would my punishment have been otherwise?
dill,I dunno. To bed without supper?
olive,But I'm already finished. Except for my helpful and profane peas.
dill," Uhhhh. This grounding thing seems to be taking the country by storm. No phone, TV or... Or...."
olive,I'll help you out. I don't have anyone to call. I haven't watched TV since they cancelled `The Illegitimate Children of the Real Housewives of Laguna Beach' and I really only watched that as a joke.
dill,Fine. I'd take away your --
olive,Books? Computer?
dill,Yes! You're computer!
olive,All my homework's on there. Sorry. You lose. But thanks for playing.
dill, I guess then I'm lucky this isn't a regular occurrence.
olive,I think we both are. I wouldn't know how to be grounded any more than you know how to ground.
dill,I love you.  And I'm sure that girl was acting like exactly what you called her.
olive, You have no idea.
ginger,How come you guys never get mad at her?
rosemary,"Because, pumpkin, of our three darling children, we love her best.  Just kidding! Now eat your dinner."
olive,"The next day, things took a turn for the scandalous. Which brings us to Part Three: A Lady's Choice and a Gentleman's Agreement."
olive,Are these detention sessions often unchaperoned?
bullied kid,I don't think we pose a flight risk.
olive,I see.
bullied kid,What?
olive,I was just thinking it's kind of funny. We haven't really talked since that closet incident back in eighth grade.
bullied kid,I was afraid you were going to bring that up.
olive,"So, how have you been, Brandon?"
olive,Yikes.
brandon,"Yeah, only two days after the custodians had finally gotten around to scrubbing `turd burglar' off. Which, if you think about it, really contradicts the previous label."
olive,Maybe your vandal is marvelling at your versatility?
brandon,"But, of course, I'm in detention."
olive,Why?
brandon,Because Gibbons is a homophobe.  And I called him a facist.
olive,"So, the rumors are true, huh?"
brandon, Have you ever met me?
olive,No. I meant about Gibbons being a facist.
brandon,"Gold star for you, Nancy Drew."
olive,"You know, I read this article that said with this whole EMO movement, it looks like - that in a few years - the gay kids are going to be the most popular ones in school."
brandon,Oh good. I'll come back when I'm twenty seven for my redo.
olive,"Can you imagine the dance squad full of shirtless guys in tight pants rocking out to Britney, while the football players sit on the sidelines wishing they were that cool?"
brandon,"That'll be the day.  Judging from the new look you're sporting, I'm not the only one in a transformative stage. `Sup with the whore couture?"
olive, Haven't you heard? I'm the new school slut!
brandon,As a matter of fact I did hear that. I heard you banged a guy twice your age.
olive,No way. He's a freshman in college.
brandon,Also heard he gave you crabs.
olive,Ewwww. People suck.
brandon,Tell me about it.
olive,He's not real. The guy I slept with. I made him up.
brandon,"So, you started the rumor?"
olive,"Indirectly? Sort of. Well, not really. No. No, I didn't."
brandon,But you're perpetuating it. That's fucked up.
olive, Excuse me?
brandon,It's true. There's only one thing worse than these tabloid-chasing celebutantes with their vapid minds and their immoral souls and that's the people who want to be like them.
olive,Did I say I wanted to be like them?
brandon,"No, you just want everyone else to think you are."
olive,"Why does it matter if it's not who I really am? No offense, Brando, but maybe you could learn something from me."
brandon,"You're saying I should pretend to be straight, so people will like me? What a novel idea. You should do seminars. Oh, wait a minute, I forgot... In high school, EVERYBODY PRETENDS TO BE SOMETHING THEY'RE NOT!"
olive,"Calm down, Adolph. There's a vein popping out of your neck. I'm simply suggesting that maybe these kids we call peers have got the right idea. Maybe Bridget Schumacher isn't as hippy-dippy as she pretends to be. Maybe that's just the label she's put on herself to avoid having to bathe as often as society deems necessary. Or take Marianne Bryant. It's convenient for her to act like a stuck-up Jesus-freak.  No. I'm wrong. I think she's actually just a stuck-up Jesus- freak. But do you think she cares that that's the way she's perceived? No. Maybe she was just sick of being just another nameless, faceless entity in a place and a time that reveres people for extremity?"
brandon,"There are some of us, though, that want to just blend in to the crowd."
olive,Then maybe you need to go to that extreme. Or make the steadfast decision not to care. Even better if you can manage to do both.  I've discovered an infallible remedy for teen angst: apathy.
brandon,I can't decide if you're a genius or a lunatic.
olive,Don't they sort of go hand-in-hand?
brandon,Funny. I always thought teen angst and apathy went hand in hand.
olive,How am I doing?
brandon,"What? Pretending to be a whore? For a virgin, I'm impressed. How about me? Could I pass as straight?"
olive,Not bad. For a fag.
brandon,I prefer the term `turd burglar.'
olive,"If we really wanted to shock the world, we'd get up and leave detention."
brandon,But you know that we would never do that.
olive,Isn't going to stop me from telling everybody we did.
olive,"Well, I guess that's better than me getting crabs from a guy twice my age."
olive,You know that Brandon kid?
olive,The one and only. It's what somebody told him.
olive,Isn't that sad? He's actually quite the conversationalist.
olive,Since when are straight guys under the age of eighteen able to converse?
olive, Unfortunately so.
brandon,It's Brandon.
olive,Speak of the devil...
olive, Okay. Yeah. Sure.
olive,"Dude, that was Brandon. He wants to talk to me about something."
olive,That's so mean.
olive,"Rhi, I told you. It was a one night stand. Which is now a DONE night stand."
olive,"If I was a character on a CW show, then, absolutely, I'd be blubbering all over my Teen Vogue. Hey, we should start a rumor that I'm having a pregnancy scare!"
brandon,Hi. Is there an Olive here?
rosemary, There's a whole jar of them in the fridge.
brandon,"Sorry, I must have gotten the address wrong."
rosemary,Just kidding! Come on in.
olive,"Oh happy day, Mama! I thought I was going to have to spend my dowry on booze and pills to numb the loneliness."
olive,My mom's an acquired taste. I know this because I've only just recently begun to appreciate her myself.
brandon, Do you wanna go out with me?
olive,"Brandon, just a few hours ago, you told me you were Kinsey Six gay."
brandon,True. But you said I should pretend to be straight.
olive,"Well, I didn't mean with me. You're a sweet guy and all, but you're not really my type."
brandon,You're not really my type either.
olive,I should say not.
brandon,"Okay. Well, do you wanna have sex with me?"
olive,You're serious.
brandon,"No, I know what you were saying. I should play it straight until I get out of this hell and then I can be whoever I want to be. No, I got that."
olive,"Brandon, I didn't REALLY have sex with a college guy. I just told people I did. "
brandon,"So, you're saying I shouldn't really have sex. I should just say I had sex with someone. A girl."
olive,"Now, you're cooking with gas."
brandon,Think about it. We could help each other out. You want to maintain this floozy facade. I want to not get my face pummelled weekly.
olive,You are on crack.
brandon,All it would take is one good imaginary fuck and you'd be saving the bone structure of my face. Think of how happy my parents would be!
olive,This is not the answer. Why don't you just do what I did and make someone up?
brandon,Who would believe me? 
olive, I just don't think it would work.
brandon,"Whores aren't discerning, Olive. And just think - you'll OFFICIALLY be a hooker with a heart of gold!"
olive,I don't want your money.
brandon,I insist.
olive,"So, if I say yes, you're going to tell a couple of people at school and I just have to go with it? I really don't think it will work."
brandon, I can make it work. I promise.
olive,I don't do anything half-assed.  It'll have to be a public event. Melanie Bostic is having a party tomorrow night. All of your tormentors will be there. You and I are going together. You have to do everything I say AND you have to tell people that I was sensational.
brandon,I can't believe you're doing this.
olive,"Afterwards, it's up to you. You're committing to something. "
olive,I'm sure you all remember the party...
melanie,Hey Olive!  Hi Brandon.
olive,"OhmiGod, Melly. I hope you don't mind, but we had a few pre-cocktail party cocktails...  Party. Cocktails."
melanie,"Well, glad you could make it."
melanie,Sure. You can use the guest room. Down the hall.
olive,"I love you. I love you so much. You are -- Just, yeah."
melanie, What the fuck?!
bully,Was that Olive with Brandon?
melanie,I know! Right?
olive, Draw the shades.
brandon, How long do we have to do this?
olive, Depends. Do you wanna be a normal adolescent boy or do you wanna be a stud?
brandon, Are you sure you're a virgin?
olive," Oh, fuck me! Fuck me! Don't stop fucking me!"
olive,Hold on.
brandon,Thanks Olive.
olive,Is there a -- ?
melanie,Back entrance is through the kitchen.
olive,Thanks.
meerkat todd, Sorry.
olive,Hi Todd.
meerkat todd,How's it going?
olive,I'M --  I'm here.
meerkat todd,Can I get you a beer?
olive,That rhymed.
olive,It was truly my Cindy Mancini moment.  `Can't Buy Me Love' is one of the best movies ever made. Hands down. You guys should totally watch it if you haven't already. Or even if you have. Seriously fine filmmaking.
olive," Oh, Cindy Mancini. It could have been a lot worse. Trust me."
rosemary,That kid from the other night just dropped this off for you.
olive,Put it on the pile of gifts from my other suitors.
rosemary,He seems like a nice boy... Gay...
olive,A dyed-in-the-wool homosexual that boy is.
rosemary,I dated a homosexual in high school.
olive,"We're not dating, Mom."
rosemary,"I just wanted to tell you that if you want to date a gay boy, it might be hard on your father and I, at first. But we love you no matter what the sexual orientation of your opposite-sex partner."
olive,Rhi?
olive,"You know, I always think it's so ridiculous on TV, when someone picks up the phone and magically seems to know who's going to be on the other end. I usually preface a conversation with `hello' to avoid such banalities. The one time I decide to step outside this convention... How are you?"
rhiannon,"I have many questions, obviously."
olive," Yes, Virginia, there is a Santa Claus. No, in fact, I do NOT know the way to San Jose. And - little known fact - contrary to popular belief, panama hats are not from Panama at all! They're from Ecuador! Who knew?"
rhiannon,Now is not the time to be cute.
olive,"You're putting me in a precarious position, because --  -- `according to last month's Cosmopolitan Magazine, we should always look cute. Even when we're doing mundane activities such as choosing vegetables from the produce section of our local grocery store.'"
rhiannon,"Olive, stop it. This is serious. Did you really bang Brandon last night at Melanie Dipshit's party?"
olive,Is that what people are saying happened?
rhiannon,That's what EVERYONE is saying.
olive,Then I guess it's true.
rhiannon,Does this mean you guys are dating?
olive,God no.
rhiannon,Just because you lost your virginity doesn't mean you can go around screwing everybody!
olive," Uh, thanks Mom. Good talk."
rhiannon,You're getting a reputation.
olive,"Y'know, you're really coming off as a little pious right now and you're kind of pissing me off."
rhiannon,"Please forgive my rectitude, but I think that a best friend's duty is to let her know that everyone - and I do mean everyone - is calling her a cum dumpster."
olive,"Well, do YOU think I'm a cum dumpster?"
rhiannon,"Look, baby, I call a spade a spade."
olive,"First off, that's racist. Secondly, fuck you! How dare you? I was Laura Ingalls to your Lady Chatterly and, now all of a sudden, YOU feel the need to warn ME that I'M making a fool of myself? There are a lot of children who will never again experience Family Pizza Night because of you. So, why don't you jump off your high horse and splash around in the gutter where you belong."
rhiannon,"I didn't want to believe it, but I guess it's true. You're a fucktart."
olive,And you're a jealous virgin.
rhiannon,"Oh yeah. I totally want to lose my virginity to one of --  -- your brother's friends and then be the first for a fairy, while everyone listens outside! What is wrong with you? Does sex mean anything to you?"
olive,"Yes! It's a period of time, how ever short, that I don't have to talk to you!"
olive,Rhiannon Abernathy only wishes that somebody wanted to pretend to sleep with her!
olive,"Hey, Anson."
anson, Hi.
olive, I just realized the funniest thing. My name is an anagram for `I love...'
anson, What's an anagram?
olive,"Look it up, big boy."
evan,Hey Olive.
olive,Hi Evan.
evan,Can I talk to you for a second?
olive,"Well, rest assured, it was equally as thrilling for me."
evan,"No, he told me the truth."
olive," Walk away, Evan."
evan,"I can pay you, too."
olive,I'm about six seconds away from slapping you so hard that your unborn grandchildren will feel it.
evan, Can you do it in front of everyone?
olive,Are you threatening me?
