Speaker,Dialogue
for educational,PURPOSES ONLY  ARAC ATTACK!
pig pen,I will be self-assured and confident around women.
pig pen,I will not fear the unexpected.
pig pen,Ahhhhhhhhhh!
joshua,"Hey, Mike.   Check this one out."
mike,He's huge!
joshua,They've been like this all week. Must be something extra tasty in the water.
mike,Like what?
joshua,Dead coyote. Snake maybe. Back in the 'Nam we'd eat python with a dash of habanero sauce. Mighty satisfying.
mike,You ate snake?
joshua,When you're thirty klicks out from the nearest firebase. Humpin' through the wake-up with your finger on the trigger. Charlie doesn't give you time to stop for cutlet.
joshua,"Quiet, bird.     We're working."
joshua," The sun is going down, my nocturnal hunters. It's time to come out and feed."
mike,Yeah. They're definitely getting bigger.
joshua,I've calculated a growth factor of twelve percent over the last forty-eight hours. But that seems to be accelerating.
mike,All from eating these bugs?   Maybe I should try some.
mike,"Run, little guys."
joshua,They can't outrun the food chain.
mike,I could get away.
joshua,"Imagine yourself the size of that fly. A scytodes spitter would be as big as a Cadillac. You'd be spider chow, kid."
mike,Are the new tarantulas in here?
joshua,Took me forever to get a breeding set of Chilean reds. I must have bribed every customs agent from Vegas to Santiago.
mike,That is too cool.
joshua,Male tarantulas compete for the female's attention. 
joshua,The prey is cocooned alive so she can eat them in her nest. You know how women love breakfast in bed.
joshua,"Take a look, the female of the species is three times as big as the male."
joshua,Say hello to Consuela.
joshua,She fills her prey with digestive acid to liquify the internal organs. Now watch... She'll drink her victim from the inside out. While it's still alive!
mike, And you wonder why my mom doesn't like me hanging out with you.
joshua,Arachnids have been roaming the earth for millions of years. And they'll be here long after the human race is dead and buried.
mike,Bad!   Bad Consuela!
mike,Do that again and I feed you to the parrot.
joshua,There's your mom.
mike,"See you tomorrow, Joshua!"
chris,Damn.
chris,Hope you like bologna!
mike,"You   should see them, Mom. Each one   has a unique feeding behavior. The   spitters fire poisonous snot. The   tarantulas mummify their prey. The   jumpers can..."
sam,Why does he have all those things?
mike,"He studies them. NASA uses spider webs in outer space. And for medicine. They've been here forever, and they'll be here long after we're all dead."
sam,You're givin' me nightmares.
mike,Nightmares are cool.
sam,U.P.S. brought this to the station.
mike,It's from Dad! He didn't forget my birthday. I told you he wouldn't.
sam,Better late than never.
mike,Rockin'!
sam,Is that the one you wanted?
mike,Cassiopeia 2304 with 64 megs of ram. Integrated modem. Voice recording capability. This baby is tight.
sam,What's wrong?
mike,He forgot to send the batteries.
sam, I told him to send batteries.
bret,"Hang on, babydoll!"
ashley,Oh shit.
sam,Hang on.
mike,Why?
bret,There is something very sexy about an older woman in uniform.
larry,Her nine-millimeter gives me a stiffy.
ashley,"Don't antagonize her, you guys."
sam,"I told you not to act like kamikazes. Especially with Ashley riding behind. That is unacceptable, Bret."
bret,I could always ride her from behind.
sam,You just bought yourself a reckless.
ashley,Can't you give 'em a break?
sam,"Get in the car, Ashley.       Now."
ashley,"But, Mom!"
bret,"No sweat, babydoll.       We'll hook up later."
sam, Over my dead body.
mike,You have the right to remain silent. Anything you say can and will be used...
ashley,"Shut up, dork."
bret,"Larry, do we know anybody at City Hall who can mark this go away?"
larry,Your Dad is the Mayor.
bret,"Oh, yeah.  He signs your paycheck."
sam,"The next time you put my daughter's life in danger, I'll show you exactly how little that means to me."
bret,"Relax, bee-otch. It's all good."
sam,I want both wheels on the ground.
mike,I read her her rights.
sam,"I can always count on you, Mike."
ashley,Do you get off on humiliating me?
sam,"This bad girl act doesn't suit you, Ash."
ashley,I'm just trying to have fun. Don't you remember what it's like to grow up here?
sam,That's what scares me.
sam,I told you to keep this with you.
ashley,You are so over protective.
sam,A mother's job is to protect her children.
ashley,You need to start trusting me.
sam,I'd like to. But you keep skipping classes to go to the dunes with Bret.
ashley,Why do you hate him so much?
sam,I don't hate him. I just want you to have a future. I thought you wanted to get out of town. Go to med school.
ashley,Maybe I want to stay. I could get pregnant by nineteen. Then divorce with a couple of kids I can't handle. Slap on a badge and be a trailer trash sheriff.
sam, Thanks for the flashback.
chris,"Oh, great."
chris,Right on.
wade,With one phone call I could put together a deal that would make us all very rich.
harlan,They say money doesn't buy happiness.
wade,They probably don't have any.
floyd,"Yeah, of boredom."
wade,"Think about it, Harlan, you could buy a commercial transmitter and start broadcasting to a national audience."
harlan,It would be nice to get the message out. Let people know the aliens walk among us.
sam,Uh-oh.
wade,... those McCormicks are just plain-old dumb.
chris,I've warned you not to talk about my family!
harlan,We have a surprise guest in the studio.
chris,My family built this town!
wade,Am I supposed to be grateful?
sam,That's enough!
chris,"Stay out of this, Sam!"
chris,Did you hear what he said?
sam,I heard.
wade,I want him locked up!
sam,Let's all calm down.
wade,We have no economy! People are barely scraping by! And now we've been offered the deal of a lifetime. You don't have the right to stand in our way!
chris,Those mines are full of gas. One spark in the wrong place could blow this entire valley sky high. Do you really want to load that gun with toxic waste?
wade,"Chem-Tech did seismic analysis, vapor checks, groundwater reads, soil sampling. They found isolated methane pockets, but no benzene or hydrogen sulfide. "
chris,How could they run tests? I didn't give them permission to go into the mines.
chris,"I asked you a question, you greedy son of a bitch!"
wade,I'm greedy?! You're the one keeping us down so you can search for gold!
sam,Don't take another step.
