Speaker,Dialogue
jim,"Morning, Lowell"
jim,Twenty-one... twenty-two.
mother, Good luck!
tracy,"Good morning, Mr. McAllister."
jim,"Not wasting any time, are you, Tracy?"
tracy, You know what they say about the early bird.
jim,"Yes, I do."
jim,"Well, good luck there, Tracy"
tracy,"Thanks, Mr. M."
paul,Stop daydreaming! Get back to work!
jim,"C'mon, wolverines!  Defense!  Let's hold 'em back!"
derek,"Uh, ethics is like when you, uh, do what society tells you is right and morals are like, uh..."
jim,"You're on the right track,  who can help him out?"
derek,..morals are when...
jim,Michelle?
michelle,"Morals are like lessons, you know, like the moral of a story; it's what you learn from a story or a fable or something. . ."
jim,Or a life experience.  Good.  And ethics?
michelle,"That's more like, urn... Ethics is how you use the morals... that you learn from a story?"
jim,Okay.  But we're still missing something key here.  What are we missing?
tracy, I know.
jim, Tracy.
tracy,Ethics are...
tracy, I'm just a girl who can't say no...
tracy,"I agree with Ashley.  We should rent the barrels at least a day beforehand. What happened last time was a travesty, I mean, we were --"
larry fouch," Yeah, no, I know, Tracy.  That's why we're -- Look, can we just take a vote on this?"
tracy,...the rules of conduct determined by a culture at a...
dave,Her pussy gets so wet you can't believe it.
jim,Don't tell me that.  I don't want to know that.
dave,She's incredible.  Everything just gets soaked.
dave,"You know, Tracy... I don't know how to say this, but..."
tracy,what?
dave,"Well, I notice you don't seem to have any close friends at Millard. You seem to be kind of a loner."
tracy,"No, I'm not. I'm just really busy."
dave,"I know.  I know its not by choice.  I just mean, well, being the kind of person you are, it must be really difficult to find someone you can talk to."
tracy,What do you mean? What kind of person am I?
dave,What kind of person?
tracy, Thank you.
dave,"And I know sometimes people like you have to pay a price for their greatness, and that price is loneliness."
dave," Here, get down."
jim,You did it at your house?  Your own house?
dave,"Look, Jim...  Okay.  I know it all seems crazy, and maybe it did start out, you know, for the... for the sex and the danger.  But now it's different.  Jim, what I'm trying to tell you is that Tracy and I are totally, totally in love."
jim,In love?
dave,"Yeah, it's serious.  I mean she inspires me in ways Sherry never has. She even wants to read my novel."
jim,But you haven't written your novel.
dave,That's the whole point. It's all in my head; it's right here.  I just got to get it out there. Tracy wants me to write it so she can read it.  It's beautiful.
jim,"Dave, I'm just saying this as your friend.  What you're doing is really, really wrong, and you've got to stop."
dave,"You're not just jealous, are you?  I mean, we both used to talk about her"
jim," That was just talk!  Fantasy talk! What are you, nuts?  We talk about girls all the time, but it doesn't mean anything. I would never. . . I mean, I take very seriously our strict moral code.  The line you've crossed is... it's illegal and it's immoral."
dave,"I don't need a lecture on ethics, Jim, okay?  I know what --"
jim,I'm not talking about ethics.  I'm talking about morals.
dave," Look, I appreciate your concern. I really do.  But like I said, I got it under control."
dave,Tracy's Mom -- she doesn't understand.
walt,"No, I'd say she doesn't.  I don't think I've ever seen a mother quite so upset. We're all very, very lucky she doesn't want this public."
sherry,Your novel? Are you fucking kidding me?
dave,Sherry   Sherry  Sheerrry. ...
tracy,...certain time in history and
jim,Okay.  We'll pick up here next time
tracy,One per person!  Put those back I
doug schenken,Eat me
tracy,Ninety-seven.. .ninety-eight.
