Speaker,Dialogue
caption,"The most powerful ruler in Christendom, Philip of Spain, has sworn to return all Europe to the Catholic faith."
caption,Only England stands in his way: a weak impoverished nation ruled by a woman.
caption,Philip prepares to obey the will 2             of his God.
reston,At last.
hatton,Be warned by the atrocities in France! God-fearing Christians murdered by Papist cut-throats inflamed by hatred of the truth!
howard,We know the Catholics take their orders from Spain. The Spanish speak openly of Mary Stuart as
elizabeth, Mary Stuart is a Queen cast out by her own ungrateful nation.
hatton,"With respect, majesty - a"
elizabeth,"Fear creates fear, sir. I will not punish my people for their beliefs. Only for their deeds. am assured that the people of England love their Queen. My constant endeavour is to earn that love."
bess,"Not too soon, my lady."
bess,I'll want the marriage if I want the man.
walsingham,Austria. France. Sweden. ELIZABETH Why stop there? Turkey has a Sultan. China has an Emperor.  What sort of man do you want? WALSINGHAM I confine myself to the possible. BESS An honest man. With friendly eyes.
bess,And sweet breath.
elizabeth,So that you can kiss him without choking.
walsingham,"They care for your safety, majesty. The threats to your person are real."
elizabeth,"And they know very well that if I fall, they all come tumbling down after me."
elizabeth,"Let's pray, Bess. May we have wisdom not to fear shadows in the night, and courage when the day of danger truly dawns."
omitted,10                                                              10
elizabeth,Lines round my mouth. Where did they come from?
bess,"Smile lines, my lady. ELIZABETH Smile lines? When do I smile? With that she smiles, and sees Bess's answering reflected smile. ELIZABETH Now you have smile lines too."
may 1 blue draft - p.10," Her smile fades. She gazes at her now naked face, vulnerable in the mirror."
philip,"`Elizabeth! The angels weep for you, Elizabeth! Why do you close your ears to the voice of your loving God?'"
philip,But she did not listen. She made me a speech about the virtues of virginity. Me! Virginity! She has brought this on herself. P hilip surveys the scene through the carriage window with a shudder.
philip,Every tree that falls hurts me. I lose a part of myself. I am cursed with sensitivity. I feel too much.
reston,Your majesty has a merciful soul.
philip,"I sacrifice my country's forests to save the souls of a lost nation. That is true mercy. England is lost to darkness, Father. I bring light."
reston,The light of purifying fire.
reston,"My time has come, majesty.  Send me home."
mary,This is so pretty I'm inclined to send it as a present to my dear cousin Elizabeth. She holds up the delicate work to show her ladies.
annette,My Queen.
mary,Our friends write to give us hope.
annette," Soon England's true believers will rise up against the bastard usurper Elizabeth, and slit her throat, and throw her down to hell."
mary,"That's enough, Annette.  Slit her throat? Please."
annette,"And when the bastard usurper is dead, my lady will be queen."
mary,"See how I pass my time in my lonely prison. PAULET Charming, ma'am. Distractingly charming. She holds the intimate garment against her body. Paulet seems to be too fascinated by it to notice he is being"
savage, The conspiracy gains strength.
crowd,God bless your majesty - God love you! - See her sweet face!
aleigh,"A puddle in the way, majesty."
royal servant,The Queen is at her prayers!
elizabeth,A puddle...
raleigh,She spoke to me. You have to give me that.
calley,"Oh, I do. The Queen spoke to you. One word - but she spoke."
raleigh,Two words.
calley,You're made. A dukedom at the very least.
raleigh,Did you see the girl behind her? I've been at sea too long.
howard,"Here, majesty."
walsingham,We still need to keep France out of the arms of Spain. ELIZABETH Let me think on it.  What if enemy ships should sail up the Thames? Can the docks be closed?
raleigh,And when will he come out?
doorkeeper,"There's no way of knowing that, sir. The doorkeeper stands aside for Bess. She recognises Raleigh, and throws him a smile before rushing past. RALEIGH "
elizabeth,"Late again, Bess."
bess,I beg your majesty's forgiveness.
elizabeth,Given. Once.
bess,"The puddle man is outside, majesty."
elizabeth,My suitors.
elizabeth,"More your age than mine, Bess. How old is he?"
elizabeth,"I become almost enthusiastic. to Hatton) Send for him.  Where is he, then?"
elizabeth, How much longer do you think I can play this game?
walsingham,Virginity is an asset that holds its value well.
lizabeth,Diplomatically speaking.
don guerau,"Majesty, this man is a notorious pirate."
elizabeth,Indeed?
don guerau,"Spanish treasure, stolen from Spanish ships. You will see. R aleigh kneels before the Queen. Elizabeth gestures for him to rise."
elizabeth,"Well, sir. Who are you?"
raleigh,"Walter Raleigh, your majesty."
elizabeth,What do you want?
raleigh,"The honour to be in the presence of my Queen, whose radiant beauty is the boast and glory of the English people."
elizabeth,"Yes, well, here you are."
aleigh,"I'm just returned from the New World, majesty. I have claimed the fertile coast in your name, and called it Virginia, in honour of our Virgin Queen."
elizabeth,Virginia? And if I marry? Will you change the name to Conjugia?
raleigh,"I ask for your gracious permission, majesty, to return to the New World with your royal warrant, to found a colony under the laws and protections of England. E lizabeth's eye has fallen on the native Americans."
elizabeth,Who are they?
raleigh,"Americans, majesty. They long to be your newest subjects."
elizabeth,Have they no ruler of their own?
raleigh,None to match England's Queen.
elizabeth,These gentlemen are welcome. See that they're treated well.
raleigh,"I also come bearing gifts for your majesty, from the New World."
don guerau,"The fruits of piracy, majesty. The true property of the realm of Spain."
elizabeth,"Let's see, shall we? to Raleigh) What do you bring me?"
raleigh,"Mud, and leaves."
elizabeth, Mud and leaves?
raleigh,"Patata, majesty. You eat it. Very nourishing."
aleigh,Tobacco. You breathe its smoke. Very stimulating.
don guerau,"Forgive me, majesty, I find the air has become stale. I am sensitive to the smell of open sewers."
elizabeth, Continue.
raleigh,Gold. You spend it. Very satisfying.
raleigh,"Courtesy of a Spanish ship, that found itself unable to complete its journey."
elizabeth,"The fruits of piracy after all, it seems. RALEIGH Philip of Spain is no friend of England, majesty. The more gold I take from him, the safer you will be."
elizabeth,"Well, well. A political pirate. A logic-chopping pirate."
raleigh,And your majesty's most loyal subject.
elizabeth,"But not my best dressed. W     elcome home, Mr Raleigh."
raleigh,What did you think of her?
calley,Terrifying. RALEIGH But magnificent. He moves on.
margaret,`Mud and leaves'! I nearly died! B ESS `Patata! You eat it!'
margaret,She liked him. I could tell.
bess,"Well, wouldn't you?"
raleigh,"I'm glad to have the opportunity to thank you. Without your help, I'd still be in outer darkness."
bess,"I did very little, sir. You'd already caught the Queen's eye."
raleigh,Then I thank you for the very little.
reston,Who will help him?
savage," Ad te clamamus, exsulaes filii Evae. Ad te suspiramus gementes et flentes in hac lacrimarum valle -"
babington,Make your peace with God.
savage,"No, Tom! Don't kill me! I don't want to die!"
reston,"Si ambulam in medio umbrae mortis, non timebo mala -"
servant,"Visitor waiting, sir."
william,Not yet.
walsingham,These are dangerous times to be questioning the ways of God. You must take care of yourself.
william,My needs are simple.
walsingham,You'll dine with us? You'll lodge with us?
mary walsingham,William!
william,Look at you! All grown up.
ursula,William. This is a pleasure.
william,"I've been away too long, ma'am."
mary walsingham,"You come with me, William."
ursula,Have you spoken to the Queen?
walsingham,I speak to her daily.
ursula,You know what I mean. You've done enough. No man could do more.
walsingham,I can't leave court yet. The Queen needs me.
ursula,"So you're to die in harness like a pack horse, are you? And for what?  Mary! William! WALSINGHAM These are difficult times- URSULA It's always difficult times. Mary joins them, her arm in William's. Walsingham seizes the opportunity to change the subject."
mary,"H ere by me, William."
william,"Truth will always hate falsehood, ma'am."
mary,"Why do we have to talk about war? Tell us your nice news, William. Are you married yet?"
william, Not yet.
mary,Then we must find you a nice sensible English wife.
william,"No, no. I won't be staying long. I must go back to my studies."
walsingham,"Not too soon, I hope. Every man deserves a rest."
