Speaker,Dialogue
reynolds,"""I know thy works and thy labour and how thou canst not bear them that are evil. And thou hast tried them who say they are apostles and hast found them to be liars"". Revelations II."
hamersley,What the hell does it mean?
reynolds,It means who's side are you on?
hamersley,You didn't ask me to meet you 30 miles from my office for a Bible study class.
reynolds,"It's a bi-partisan issue. Everyone needs to swallow hard. No one, including you, wants to be fingered as the one obstructing efforts to crack down on terrorism, and--"
hamersley,Fuck you.
reynolds,What?
hamersley,I said fuck you.
reynolds,Is that anyway to talk to an old school chum?
hamersley,"You're gonna finger me as soft on terrorism? Terrorism, you unconscionable asshole?"
reynolds,"There are planes falling out of the sky, buildings blowing up. American buildings. Americans getting bombs in the mail. What are we gonna do!?"
hamersley,"We're not gonna hand you and your band of lunatics the keys to the kingdom. I'm not gonna sit in Congress and write a law that allows the NSA to point a camera and a microphone at anything they damn well feel like. And the next time you have something to say to me, we do it above-board, in my office, like everyone else. Now get outa my car, I've got a committee meeting on the hill."
dean,"I don't know, either, L.T. Maybe you guys should get yourself a labor lawyer."
dean,Good point.
dean,"L.T., in this office I'd prefer you say Italian-Americans."
dean,That's because your Union bosses are those Guido mother-fuckers.
dean,The Union's trying to railroad you into accepting terms worse than what you have now.
dean,Because they've been paid off by Bellmoth.
dean,My name's Bobby. I'm your lawyer. Don't do anything 'till I talk to you.
rachel,How's the trout?
dean,It tastes like fish.
rachel,It is fish.
dean,I mean it tastes like every other fish I've ever had. Every fish tastes the same.
rachel,Do you like fish?
dean,Not that much.
rachel,"Here's what you asked for. Brill's note said it was everything you'd need to, shall we say, coax DePinto--"
dean,When do I get to meet him?
rachel,DePinto?
dean,Brill.
rachel,Never.
dean,That wasn't the answer I was hoping for.
rachel,What answer were you--
dean,"""Soon"". Or at least sooner than never."
rachel,It's how he works.
dean,Brill?
rachel,Yes.
dean,So you've said.
rachel,I take a straight 15 percent. Brill's fee varies with risk. Perhaps you'd be more comfortable using someone else.
dean,Other than Brill.
rachel,Other than me.
dean,Why would I--
rachel,Someone with whom you don't have quite so personal a--
dean,I like our history. And I like you. I'd probably like Brill if I ever got to--
rachel,He doesn't work that way.
dean,I just want to make sure I'm not breaking the law.
rachel,You're not.
dean,How can I be sure.
rachel,I wouldn't let you. Good luck with DePinto.
dean, Thank you.
rachel,Eat your fish.
depinto,What can I do for you?
dean,"Well, I was hoping you might stop by my office to swear out a criminal deposition against some of your friends and co-workers."
depinto, Is this a fuckin' joke?
dean,"I don't believe it is, no."
depinto,Why the hell would I--
