Speaker,Dialogue
written by, Gus Van Sant
another indian,She dreams of loving.
still another,She has the blues.
uncle,"Well, you're lucky that you don't suck 'em."
daddy,"Sissy couldn't suck 'em, she'd need a mouth like a fish tank."
uncle," The poor little tyke might have a hard time finding herself a hubby. But as far as getting along in the world, it's a real blessing that Sissy's a girl-child. Lord, I reckon this youngun would never make a mechanic."
daddy,"Nope, and not a brain surgeon, neither."
uncle,Course she'd do pretty good as a butcher. She could retire in two years on the overcharges alone.
madame zoe,I am the enlightened Madame Zoe.
madame zoe,"There is nothing about your past, present or future that your hands do not know, and there is nothing about your hands that Madame Zoe does not know. There is no hocus-pocus involved. I am a scientist, not a magician. I, Madame Zoe, chiromancer, lifelong student of the moldings and markings of the human hand. I, Madame Zoe, to whom no facet of your character or destiny is not readily revealed. I am prepared to..."
madame zoe,Jesus fucking Christ!
madame zoe,"You have a strong will. Will power and determination are indicated by the first phalanx. The second phalanx indicates reason and logic. You obviously have both in large supply. What's your name, dearie?"
sissy,Sissy.
madame zoe,"Hmmm. I'd say that you have an intelligent, kindly, somewhat artistic nature. However, Sissy, however, there is a heavy quality to the second phalanx- the phalanx of logic -- that indicates a capacity for foolish or clownish behavior, a refusal to accept responsibility or to take things seriously and bent to be disrespectful of those who do. Your mama tells me that you're pretty well behaved and shy, but I'd watch out for signs of irrationality. All right?"
madame zoe,"I guess the most important aspect of your thumbs is the, ahem, over all size. Uh, what was it, do you know, that caused...?"
mrs hankshaw,Don't know; the doctors don't know...
sissy,Just lucky I guess.
madame zoe,"Do you study history in school? Galileo, Descartes, Newton? Lebinitz had very large thumbs; Voltaire's were enormous, but, heh heh, just pickles compared with yours."
sissy,What about Crazy Horse?
madame zoe,"Crazy Horse? You mean the Indian? Nobody that I've ever heard of ever troubled to study the paws of savages. Well, I guess that about covers the three-fifty charge..."
madame zoe,Beg your pardon?
madame zoe,"Oh, I see."
madame zoe,"I see men in your life, honey. I also see women, lots of women."
madame zoe,"A husband, no doubt about it, though he is years away. There are children, too. Five, maybe six, but the husband is not the father. They will inherit your characteristics."
delores,"I've traveled through the Yucatan with a circus, popping false eyelashes off a trained monkey with a bullwhip. When I ate peyote one night and had a vision. Niwetkame, the Mother Goddess, came to me on the back of a doe, hummingbirds sipping the tears she was shedding, crying 'Delores, you must lead my daughters against their natural enemy. You must come to the Rubber Rose Ranch and prepare for your mission, the details of which will be revealed to you in a third vision....' That night I whipped the shit out of my black lover and ran away. For a while I drove around, making a living selling peyote buttons to hippies, until I made my way here..."
sissy,Going north?
man,You bet your raggedy white ass I am.
man, Thanks.
sissy,American Cheese. The king of road food.
man,Are you in show business?
sissy,I was a successful model once.
man,For magazines?
sissy,"I was the Yoni Yum feminine-hygiene Dew girl from 1965 to 1970, but got laid off."
man,So now you're bummin' around?
sissy,Yep.
man,Hitchhiking?
sissy,I'm the best.
man,You're the best?
sissy,"When I was younger, I hitchhiked one hundred and twenty-seven hours without stopping, without food or sleep, crossed the continent twice in six days, cooled my thumbs in both oceans and caught rides after midnight on unlighted highways."
man,Whooee!
sissy,"As I developed, however, I grew more concerned with subtleties and nuances of style. Time in terms of M.P.H. no longer interested me. I began to hitchhike in something akin to geological time: slow, ancient, vast. When I am really moving, stopping car after car after car, moving so freely, so clearly, so delicately that even the sex maniacs and the cops can only blink and let me pass, then I embody the rhythms of the universe. I am in a state of grace."
the countess,"I will send this out to Sissy, she should get it in a week, and you will be able to meet her. When I send a letter to Sissy, duplicates must be sent to U.S. Post Office Boxes in LaConner, Taos, Pine Ridge, Cherokee and that other place, for her to pick up... Why she's probably out there right now in Hibbing, Minnesota, or Deluth, Montana... hitching her way across the country."
sissy,"Right off, I don't remember how old I was when I found out I was part Indian. My mamma's family, a lot of them, had lived out West, in the Dakotas, and one of them had married a squaw. Siwash tribe. My pleasure in Indianhood and my passion for car travel might be incongruous if not mutually exclusive........ After all, the first car that ever stopped for me had been named in honor of the great chief of the Ottawa: Pontiac......"
sissy,NEW YORK CITY. It's still a helluva town....
the countess,"Sit down dear, do sit down."
the countess,"Take a load off those lovely tootsies. Yes, sit right down. Would you fancy some sherry?"
the countess,"Shit O goodness, I'm all out of sherry; how about some Red Ripple?"
the countess,You know what Red Ripple is don't you? It's Kool-Aid with a hard on. Tee Hee.
the countess," To my own special Sissy. Cheers! And welcome. So my letter brought ya flying, eh? Where were you? Salt Lake City? La Conner? Well, I may have a little surprise for you. But first, tell me about yourself. It's been six months, hasn't it? In some circles that's half a year. How are you?"
sissy,Tired...
the countess,"That's the very first time in the eons that I've known you that I've ever heard you complain. And now you're tired, poor darling."
sissy,A born freak can only go uphill.
the countess,"Freak, schmeek. Most of us are freaks in one way or another. Try being born a male Russian countess into a white middle class Baptist family in Mississippi and you'll see what I mean."
sissy,"I've always been proud of the way nature singled me out. It's the people who have been deformed by society I feel sorry for. I've been steady moving for eleven years and some months. Maybe I should rest up for a spell, I'm not as young as I used to be."
the countess,"Shit O goodness, you won't be thirty for another year, and you're more beautiful than ever."
sissy,Does that mean you might have an assignment for me?
