Speaker,Dialogue
merlin,Lord Uther! Lord Uther!
merlin,It's done. A truce. We meet at the river.
uther, Talk. Lovers murmuring to each other...
uther,"I should butcher all and every one of them. Merlin, what is this wagging of tongues?"
merlin,Just show the sword.
merlin, Speak the words.
uther," One land, one king! That is my peace!"
uther,"Me, yield!?"
merlin, He has given. Now you must.
uther,The land from here to the sea is yours if you will enforce the King's will.
uther,I must have her.
lot,What? You're mad! What about the alliance?
uther, I must have her.
lot,And risk all you've won? This castle commands the sea gate to the kingdom.
uther,"You will be mine. Wife and queen, bed and crown."
igrayne, I want no other crown and no other bed than those I have.
uther, Merlin! Where are you!?
uther,Have you found him?
ulfius,No--
hag,"What a hurry you were in this morning, good sir. You forgot to give this old woman a coin."
ulfius,I saw you half a day's gallop from here. I asked you if you had seen Merlin. I returned here straight away. How did -
hag,--I heard. I have come. I am also Merlin.
merlin,"I have walked my way since the beginning of time. Sometimes I give, sometimes I take. It is mine to know which, and when."
uther," Dumb riddles, Merlin. I am your King."
merlin,"I know the storm inside you, and what it has wrought. The alliance I forged is wrecked."
uther,For Igrayne. One night with her. Do it. Use the magic.
merlin,You will swear by your true kingship to grant me what I wish. Then you shall have it.
uther,I swear it. By Excalibur and the holy--
merlin,--What issues from your lust will be mine. Swear it again.
uther,I swear it.
merlin,Come.
merlin,I hold the balance of all things in my summoning. Arise mists. Come fog.
merlin,Mount your horse.
merlin,"Ride straight to the castle, across the sea of fog."
uther,"But the cliff, the sea..."
merlin,"Ride across! Across the bridges of desire. Your lust will hold you up. For I have just woven it into the fabric of the world. This is magic - making solid what is in the mind, and unsolid, that which is already solid."
rider, Wake up in there. It is I.
morgana,Papa... Papa...
morgana,My father is dead...
igrayne,"Look, here is your father. It was just a dream, little one."
merlin,It is done. The future has found root in the present.
igrayne,When did it happen? Where?
lieutenant,"In the camp of Uther, my lady, just after nightfall."
igrayne,"It can't be. He came to me, to his bed, last night."
lady,"It was his spirit, yearning for you in his hour of death, that visited you."
igrayne,His spirit?
igrayne,"Tintagel Castle falls to Uther. But what shall become of me, and the child I bear?"
uther,"I want her, Merlin. I cannot be without her. Tintagel is mine. Can I take her now? Tell me!"
uther," Three horses died under me, so hard did I spur them here. Is it born? Is it alive?"
uther,Out!
uther,"What is it, lady?"
igrayne,"A boy, sir. Rest yourself."
uther,Send the girl away.
igrayne,She is just a child -
uther,Out!
igrayne, Go now. Come back later.
uther,She watches me with her father's eyes.
uther,"Igrayne, is he mine, or -"
igrayne,"The night he died, a man loved me with great fierceness. He looked like my husband, spoke like, smelled like, felt like my own husband. But it was not he, for he was already dead. It wasn't his spirit, for this child, who was conceived that night, is flesh and blood. I know nothing more."
igrayne,No--
uther,"Through him, I will learn to love them, for I am tired of battle. I will stay by his side and  his mother's..."
uther,Here. It's hungry.
uther,Merlin! Out of the sick sleep at last.
merlin,"Doing what I did for you, it wasn't easy, you know. It takes it's toll. It took nine moons to get back my strength."
merlin,Now you must pay me.
uther,I?
merlin,"The child is mine, Uther. I have come for him."
uther,The oath. You didn't say--
merlin,You didn't ask!
igrayne,"Uther, is it true? Don't let him take the child."
uther,"I swore an oath, Igrayne. I made a pact with Merlin."
igrayne,It was you? You came to me that night. You are the father.
merlin,"It's not for you, Uther, hearth and home, wife and child."
uther,"To kill and be king, is that all?"
merlin,"Maybe not even that, Uther. I thought once that you were the one to unite the land under one sword. But it'll take another, a greater king..."
uther,You strike me with words as hard as steel.
merlin,"They are not weapons, my friend, but truths. You betrayed the Duke, stole his wife and took his castle, now no one trusts you. Lot, Uryens, your allies will turn against you. Give me the child, Uther, I will protect him. Go back to your war tent."
uther," By the oath, take the devil child. Take him!"
igrayne,WHY?... Why must he have the baby?
morgana,"Merlin, are you now the father, and the mother, of the baby?"
uryens, The King's sword. I must have it.
uther,"Merlin, where are you? To weave a mist, to hide us..."
uther,No one shall have the sword. No one shall wield Excalibur but me.
merlin,"Into the spine of the dragon!  Uther... I loved you, mighty child."
lot,Let me.
sir ector,"It is a dark hour... everywhere lawlessness and destruction, and no one to lead us out of it."
sir ector,"Listen all. I am Sir Ector of Morven and these are my sons. You would wrong me, for I have never stolen from others, or destroyed the fruit of the land."
sir ector,"The people's anger is just. It is sad that for our own safety, we will have to ride to the tournament with these robber knights."
bishop,"This is Easter day, when Christ rose again. Who will find strength in victory of arms? Who will draw the sword?"
sir ector,"Arthur, where is Kay's sword? A good squire doesn't forget his knight's sword."
arthur,"I left it in the tent, sir."
sir ector,"Well hurry then, and get it."
arthur,It's been stolen....
sir kay,"Father, I'll go and see what's keeping him."
arthur,If only Kay could have it...
arthur," Your sword was stolen, Kay, but here is Excalibur. Is it too late? I hurried--"
sir kay,"Look, Father. Excalibur. Does that mean that I am to be king?"
sir ector,"Did you free the sword, boy?"
sir kay,"I... did, Father."
sir ector,We must go to the stone at once.
sir ector,"Draw it, son!"
sir kay,"Sir, I didn't draw the sword. Arthur gave it to me."
sir ector,"Arthur ?!  How did you get the sword, child?"
arthur," Sir... Kay needed a sword. His was stolen. I saw Excalibur, and... I took it."
sir ector,"You freed it, son?"
