Speaker,Dialogue
kate,I got you a few necessities...
jack,All in one tape?
kate,I also put side two of London Calling on there...
kate,You have your ticket?
jack,"Im not even gonna say it, Kate. Maybe itll be like I never left..."
kate,Wait.
jack,About the plane? What do you think its gonna crash? Dont say that...
kate, I know weve talked about this a thousand times and we both agree that going to London is the right thing to do. But in my heart... this feels wrong.
jack,You mean dont go at all? What about my internship?
kate,Believe me I know what an incredible opportunity this is for you...
jack,"For us, Kate."
kate,"Right, for us. But...Im afraid that if you get on that plane..."
jack,What?
kate," Go. Im sorry, you should just go..."
jack," No, youre right.  What are we doing?"
kate,We're being responsible.  Go. Get on the plane.
jack," Okay, I'm going..."
kate,I can't seem to let go of you...
jack,You hear me complaining about that?
kate,"You want to do something great, Jack?  Let's flush the plan...start our lives right now, today...I don't know what that life's gonna look like but I do know it has both of us in it.  And I choose us..."
jack,"I love you, Kate..."
paula, I hope you don't mind.  There were like ten new ones in the cabinet.
jack,It's not what you think.  I took Mentadent public...
paula,Did you really mean what you said about Tuscany?
jack,Of course I did.
paula,Last night was great...
jack,You are an amazing lover.  You should be giving motivational seminars.
paula,Thanks.  You're not bad yourself...
jack,I want to see you again.
paula,"I'd like that, too."
jack,Tonight.
paula,"It's Christmas Eve, Jack."
jack,So we'll get egg nog.
paula, I have to go to my parents' house out in Jersey.  Would you like to come?
jack,Jersey?  You know what the traffic's gonna be like?
paula,I'm taking the train...
jack,I've got plenty of places to go.
paula, Okay?
jack, If it's something you feel strongly about.
paula,"It was nice meeting you, Jack..."
jack, Mrs. Peterson.
jack,"Its because Im shy, Betty.  So, when are you going to leave that old corpse Mr. Peterson and run away with me?"
jack,"Howd you do this year, Tony?"
jack,Just until the Deutsche Mark turns...
jack,"...if MedTech's shares sink any lower than...  ...forty three, we're in trouble with the stock valuation.  So for god's sake watch what you say to your institutional customers..."
alan,"Sorry, Jack.  I told Dee and the kids I'd be home by dinner.  You know, it being Christmas Eve and all."
jack,Is that tonight?
alan,I don't know.  Maybe...
jack,"Okay, maybe I do have a touch of tunnel vision this holiday season.  But in two days we're going to announce one of the largest mergers in U.S. corporate history.  Thirty billion dollars...  When this kind of deal turns up you get on and you ride it `till it's over.  You don't ask it for a vacation..."
alan,"You're right, Jack.  Sorry... Jack approaches Alan."
jack,"I don't want you to be sorry, Alan, I want you to be excited.  I want my gift to be the first one you open this year.  You know why?"
alan,Why Jack?
jack,Because my gift comes with ten zeroes at the end...
adelle,"Only eight thirty?  What's the matter, had some last minute shopping to do?"
jack,"You too?  This holiday's about giving, Adelle.  And I'm giving everything I've got to this deal, so in a way, I'm more Christmassy than anyone...  Lifesaver?"
adelle," You're a ray of sunshine, Jack."
adelle,"Oh, and Oxxford called..."
jack,"Ooh, my suits are ready..."
adelle,Her assistant said you could call her at home after eight.
jack,Her assistant?
adelle,"Yeah Jack, her assistant..."
jack, Kate Reynolds was my girlfriend in college.  I almost married her...
adelle, You?  Married?
jack, Almost married.  And almost a junior broker at E.F. Hutton...
adelle,Excuse me?
jack,She didn't want me to go to London.  We're standing at the airport saying goodbye and she asks me to stay.
adelle,So you left her?  Just like that?
jack,"God, no.  I thought about it for practically the entire flight..."
adelle,"Stop Jack, I'm getting all weepy."
jack,"I took the road less traveled, Adelle."
adelle,And look where it's led you...  I'm gonna get her on the phone...
jack,No...
adelle,No?!  You almost married this woman.  Aren't you even curious what she wants?
jack,"She's probably just having a fit of nostalgia.  You know, lonely Christmas Eve, call the one that got away, that kind of thing."
lassiter,Eight forty-five on Christmas Eve and Jack Campbell is still at his desk.  There's a Hallmark moment for you...
jack,Peter.  I don't see you rushing home to trim the tree.
lassiter, That's because I'm a heartless bastard who only cares about money.
jack,And God love you for it.
lassiter, I just got a call from Terry Haight.  Bob Thomas is nervous...
jack,That'll happen when you're about to spend thirty billion dollars on some aspirin...
lassiter,Someone's gonna have to nurse him through this.
jack,"Why are you staring at my breasts, Peter?"
lassiter,"I need you, tiger.."
jack,Where is he?
lassiter,Aspen.
jack, Call Aunt Irma.  Tell her I won't be able to make it tomorrow...
lassiter,"You're a credit to capitalism, Jack."
jack,"Hey Peter, lemme ask you a question.  An old girlfriend calls you out of the blue on Christmas Eve..."
lassiter,You suddenly having trouble getting dates?
jack,Not by a long shot.
lassiter,Then leave it in the past. Old flames are like old tax returns.  You keep `em in the file cabinet for three years and then you cut `em loose.
jack, I'll leave from the office tomorrow afternoon.  Call the group.  Schedule an emergency strategy session for noon.
adelle,That'll be a nice little holiday treat.
frank,"Mr. Campbell.  Why didn't you call down, I would've had Joe get your ride."
jack,"I'm thinking I might walk tonight, Frank."
frank,Nice night for it.  I'll have Louis send your car home.
jack,Thanks.  To you too...
cash,"Oh yeah...yeah, yee-ah!  She's a certified winner...paper- thin but good as gold..."
jack,Egg nog?
sam wong, Dairy case.  Five dollar.
cash," Y'all do the lotto here...? `Cause I got me a winner...I know, I know, Lotto keeps the black man down... but not me..."
sam wong, Ticket bad.  You draw in lines with pencil.
cash,What're you talkin' about?
sam wong, You draw lines with pencil!  I know about this!
cash,What!?  Look at the ticket...!
cash,"You're lookin' at me, you're not even lookin' at the ticket!"
sam wong,You leave now.  Take ticket somewhere else.  Next customer in line...!
cash,"You first generation, xenophobic, money-theistic, hot pastrami sandwich making..."
sam wong, Get out!
cash,LOOK AT THE GODDAMN TICKET!!
jack, Let me see that ticket.
cash, Was I talkin' to you?!
jack,Maybe I'll buy it from you.
cash,"Guy in $2,000 suit gets ass kicked tryin' to be a hero. Film at eleven...  What?!  Oh no, not another lookie-loo.  You know how big a job this is?"
jack,"Hey, c'mon..."
cash, Do you want to die?
jack,No.
cash, Yes you do...
jack,"Look, I'm talking about a business deal here.  I buy the ticket for two hundred, take it to a store where the guy behind the counter...  ...I just made myself a quick thirty eight dollars."
cash,"Damn, you are the real thing..."
jack,How'd you know my name was Jack?
cash,"I call all you white guys ""Jack."""
jack,There's no way I was gonna die in that deli...  Let's just say I've been on a lucky streak lately.
cash," A lucky streak, huh?"
jack,I don't do that.  That's just not for me...
cash,"Okay, Jack.  Nice doing business with you... Cash is about to take off..."
jack,Hey...
cash,"You want to talk about regrets, you're talking to the wrong person."
jack,"I'm just saying that you seem like a smart guy.  At a certain point you're gonna do something, and then there's no turning back..."
cash,"Yeah, in most cases that'd be true."
jack,"I mean there must be programs out there, opportunities..."
cash," Wait a minute, wait a minute... you're tryin' to save me?"
jack,Everyone needs something.
cash,Yeah?  What do you need?
jack,Me?
cash,You just said everyone needs something.
jack,I've got everything I need.
cash,Wow.  It must be great being you.  You got it all.
jack,"Look, I'm not saying you'd be able to do it without some hard work..."
cash," You still think this is about me, don't you?"
jack,"Sure it's about you.  But it's about society, too."
cash,"Oh man, I'm gonna enjoy this one... Just remember, Jack, you did this.  You brought this on yourself..."
kate,"Mmmm...ten more minutes, Jack... its Christmas..."
annie,"Jingle bells, Santa s mells, Rudolph laid an egg...la la la, la-la la la, la la la la la..."
kate," Youre jumping, sweetheart..."
annie,"Mom, dont you think we need to open the presents?"
kate, Mommy needs five more minutes in la la land. That could be her present...
annie,"Cmon, Dad.  Get up!"
kate,Jack...?
jack, Ed?  Lorraine?
big ed,Jack you ol bird dog. Merry Christmas to ya...
lorraine,"Talk to him, Jack. Please.  One day a year away from the Ponderosa. I dont think thats too much to ask."
big ed,"I heard that.  This is who I am, woman!  Tell her, Jack!  Youre the only one who gets me, for gods sake!"
lorraine,I need some egg nog...
