Speaker,Dialogue
fox,What'd the doctor say?
fox,Should we take the short cut or the scenic route?
fox,But the scenic route is so much prettier.
fox,"Great. It's actually slightly quicker, anyway. Fox throws his apple core away over his shoulder and dances a quick circle around Mrs. Fox, wrapping his arm around her waist extravagantly and making her laugh as they start off down the scenic route."
fox,"You know what a squab is. It's like a pigeon, I suppose. Anyway, it's a type of bird we can eat. Fox motions toward the edge of the property."
fox,Should we go through the hole under the horse fence or climb the rail over the bridle path?
fox,But the bridle path puts us out right next to the squab shack. Mrs. Fox hesitates. She fiddles with her paws. She nods nervously. She shakes slightly. Fox looks at her funny.
fox,What's wrong? I've never seen you like this. You're acting all skittish. Don't worry. I've been stealing birds for a living since before I could trot.
fox,"No, we'll do the horse fence. You gave me the scenic route already. Fox flashes a smile. He says suddenly:"
fox,"By the way, you look unbelievably beautiful tonight. You're practically glowing. Maybe it's the lighting."
fox,What's that? I think that's a fox-trap! Look at this.
fox,"Is it spring-loaded? Yeah...  Move out of the way, darling. That's right where it's going to land. Mrs. Fox runs back to Fox and tugs at his arm."
fox,"No, it just falls straight down right here, doesn't it? I guess it's not spring- loaded. Sounds come from around the farm: the dog barks, doors open, voices yell, lights come on. Mrs. Fox turns to Fox and says"
fox,"Wow. We're going to have a cub. Honey, that's great news!"
fox,Does anybody actually read my column? Do your friends ever talk about it?
fox,Why would they? It's a rag-sheet.
ash,I'm sick.
ash,I have a temperature. Mrs. Fox goes quickly over to Ash and puts her paw to his forehead.
ash,I don't want to go.
fox,I love the way you handled that. Mrs. Fox looks at Fox sideways. She says loudly to Ash:
ash,Where's he going to sleep?
ash,I can't spare the space. Put him in Dad's study. Fox says without looking up from his newspaper:
fox,Dad's study is occupied by Dad. Ash goes back into his bedroom. Fox lowers his newspaper. He looks around the room. He says to Mrs. Fox:
fox,I don't want to live in a hole anymore. It makes me feel poor. Mrs. Fox stops buttering the toast. She looks to Fox and says
fox,"Comme-ci, comme-ga. Anyway, the views are better above ground. Mrs. Fox nods. She brings Fox a plate of toast and a cup of coffee. Fox takes her paw and says:"
fox,"I'm seven non-fox-years old now. My father died at seven and a half. I don't want to live in a hole anymore, and I'm going to do something about it. Fox kisses Mrs. Fox's paw. He suddenly eats three slices of toast in a second and a half, savagely but neatly. He stands and picks up his cup of coffee."
fox,"Well, I'm off. Fox throws back the last of his coffee, kisses Mrs. Fox on the back of her neck, grabs his briefcase, tucks his newspaper under his arm, and walks to the door. He shouts"
fox,"Have a good day, my darlings! Ash comes out the bedroom again. He has now added a white cape to his ensemble and is in the middle of brushing his teeth. There is toothpaste all over his mouth. He waves briefly to Fox and goes back into his bedroom. Fox looks puzzled."
fox,What's he wearing? Mrs. Fox shrugs. She smiles sadly and waves to Fox. Fox waves back. He starts to go out but pauses to look down at a folded up section of his newspaper.
weasel,"Obviously, it's first growth, indigenous. Original dirt floor, good bark, skipping stone hearth -- Weasel is interrupted by a loud banging clank. He and Fox peer into the next room. A heavy-set opossum with a cowlick tinkers with some pipes under the kitchen sink. He is Kylie. Weasel snaps at him:"
weasel,What'd I tell you? I'm showing the property. You're not supposed to be here.
kylie," Oh, cuss. What time is it? I'm sorry. Weasel sighs. He waves his arm in Kylie's direction and says distractedly, slightly annoyed:"
weasel,"This is Kylie. He's the super.  He's a little -- Weasel makes a fluttering gesture with his paw. Fox nods. He points at a bucket on the floor next to Kylie among bolts, tools, and washers."
fox,"What's in the bucket, Mr. Kylie?"
fox,"Certainly. Thank you. Kylie reaches into his bucket and hands Fox a live, wriggling minnow. Fox swallows it whole. Fox stares out the window at three sprawling poultry compounds in the distance. Black smoke pours out of a farmhouse chimney on each property. A sign on a water tower in the first compound reads Boggis Farms and has a picture of a chicken on it. A sign on a silo in the second compound reads Bunce Industries and has a picture of a goose on it. A sign on a windmill in the third compound reads Bean, inc."
weasel,"May I ask what you do for a living, Mr. Fox? Fox's eyes narrow as he looks out, entranced, with his mouth slightly open. He says almost inaudibly:"
fox,"I used to steal birds, but now I'm a newspaper man."
fox,"Good afternoon, gentlemen. Fox shakes hands abruptly with Weasel and starts across the room. Weasel is about to ask something when Fox stops in the doorway, looks back, and says:"
fox,"Oh, and Kylie -- thank you for the minnow. It was superb. Kylie smiles. Fox exits."
badger,"Don't buy this tree, Foxy. You're borrowing at nine and a half, which stinks like cuss, plus moving into the most dangerous neighborhood in the"
fox,"You're exaggerating, Badger."
fox,Really? Tell me about them. Silence. Badger sighs. He loosens his tie and settles in.
badger,All right...
badger,"In summation, I think you just got to not do it, man. That's all."
fox,"I understand what you're saying, and your comments are valuable, but I'm going to ignore your advice. Badger leaps out of his chair and slams the office door. He points his finger at Fox and screams:"
badger,The cuss you are!
fox,Don't cussing point at me!
fox,One last thing: something's probably about to happen to me at work which I can't put my finger on but have a funny feeling about. How can I protect myself legally?
squirrel,You're fired.
fox,Slash I quit. Here's my letter of resignation. Fox's silhouette throws an envelope onto the squirrel's desk.
ash,"Watch this, Dad! Fox looks up. Ash leaps into the air and does a spectacularly awkward back-flip during which he appears to have four arms and three legs randomly attached to his body, flailing wildly. He hits the water by the side of his head and smacks into the surface back-first with a pained yelp. Fox grimaces. He claps mildly. "
fox,"Good jump, Ash! Remember to keep your tail tucked! Fox looks at Mrs. Fox's canvas. It is a picture of the pond and landscape in severe weather with black clouds and lightning bolts. It is signed Felicity Fox. Fox raises an eyebrow."
fox,"Still painting thunderstorms, I see. Fox sees a small, Samsonite suitcase on the ground next to a pair of yellow sneakers. He frowns."
fox,Whose suitcase is that? A boy's voice shouts from the high tree branch:
kristofferson,"Hello, everyone! Good afternoon! Fox, Mrs. Fox, and Ash look up, surprised. A second Fox cub stands poised on the edge of the limb. He is taller, leaner, sleeker, and it is immediately apparent even by his posture infinitely more graceful than Ash. He is Kristofferson. He wears a professional Speedo with a patch on it that says Swim Team. Fox brightens."
fox,"Kristofferson! Welcome to our little tree! I see you brought your swimming trunks! Kristofferson steps off the branch and performs a reserved but perfect jack-knife. He enters the water splashlessly. Fox leaps to his feet, applauding with his paws above his head, whistling and hollering:"
fox,"Look at that! This kid's a natural! I'm speechless, Kristofferson! Kristofferson smiles modestly and shrugs. Ash stares at him stonily. Fox turns to Mrs. Fox."
fox,"Plus, he knows karate."
ash,Do you think I'm an athlete?
fox, What are you talking about?
ash,"Well, you know, I think I'm an athlete, and sometimes I feel like you guys don't see me that way."
fox,What's the sub-text here? Ash thinks for a minute. He looks at Kristofferson in the next room. Kristofferson is now sitting Indian-style on the floor meditating. His paws are turned upward with his thumbs touching his index fingers forming a ring. Ash says loudly to Mrs. Fox in the kitchen:
ash,How long is Kristofferson supposed to stay with us?
ash,"Right, but roughly how long do we plan to give him on that? Double-pneumonia isn't even really that big of a deal, is it? In the background, Kristofferson stands up again and starts practicing violent karate kicks. Mrs. Fox leans into the doorway and whispers forcefully:"
ash,"Right, but -- Kristofferson yells suddenly as he does a spinning double- kick with a chop:"
kristofferson,"Ki-ya! Everyone looks startled. Kristofferson resumes his tae-kwon- do practice with an angry, wounded look on his face. Mrs. Fox"
fox,"Kids are crazy, aren't they? You got to try it, though. Raising a family."
kylie,Yeah. Sometimes I feel like maybe I
fox,"What do you think of this tree, by the way? It's great, huh?"
fox,I have one last part of what I was about to say.
kylie,OK. Go ahead.
fox,I'm going broke. You want to help me steal some chickens?
fox,"I used to do this professionally, and I was very successful at it. I had to get out of it for personal reasons, but I've decided to secretly quit my job slash got fired to pursue it again. I'm bringing you in as my secretary and personal assistant."
kylie,"OK. Well, thank you."
fox," I'm going totape this formyrecords,so don't make a lot of sounds --meaning stop rocking."
fox,"I don't want people to eavesdrop on us, Kylie. Let me just tell this. Kylie stops rocking. Fox presses record on a tape recorder."
fox,Master Plan. Phase one. Side A.
kylie,Beagles aren't so tough.
kylie,How do we make them eat it?
fox, Beagles love blueberries.
fox,"One bite, get it? Fox waits for Kylie to respond. Kylie does not. Fox frowns."
fox,Are you listening to me? I look into your eyes and I can't tell whether you're getting anything I'm saying. Kylie stares at Fox vacantly. He shrugs. 
fox,"A few beagles, as we discussed, but we're ready for that. Fox and Kylie cross a dirt lane and come out of a shallow ditch. Fox licks the pinky of his paw and holds it up in the air."
fox,You feel that? The wind's in our faces.
kylie,"Yeah, back in the old days, didn't they used to do a thing where if somebody saw a wolf, and --"
fox,"Oh, nothing? Never mind. Fox and Kylie veer off into shorter grasses. Fox points ahead, regaining his composure:"
fox,Here comes the low stone wall. Not a problem. Fox and Kylie climb over a low stone wall and find themselves at the base of a chain-link fence eleven feet high.
fox,"This is a chain-link fence, I guess. Did I not remember this? Maybe it's new. Let's pause."
kylie,What's this lightning bolt stand for?
fox,"Give me a second! I said, ""Let's pause""! Pause. Fox pulls himself together. He turns to look at the plywood lightning bolt."
fox,"That, I guess, hypothetically, could mean maybe this fence might be electric."
kylie,"Well, I just hope it doesn't mean thunder. I have a phobia of that. Fox and Kylie climb a tree and crouch at the end of one of its branches. Fox produces a zip-loc bag filled with blueberries with white thread stitched into them."
fox,Watch this. Fox puts a blueberry into the end of a straw and shoots it out into the barnyard.
