Speaker,Dialogue
arch," Jeez... knock off the chatter, will ya."
ned,"Just trying to keep you awake, Arch."
arch,I'm awake! Where do you come up with all that crap about women?
ned,"It's true. Women are very complex, but if you know how to read 'em... they're an open book. You can always tell the rotten apples from the peaches."
arch,Are you kiddin'?
ned,"I'd stake my career on it. Anybody ever proves me wrong, I'll throw away my badge."
arch,Aayyhh... women are trouble...
ned,"I used to believe that too. Until I married Lana. Now, she... is a peach."
arch,"Yeah, well you're a lucky stiff, pal. Ya hold down two jobs. Got a beautiful wife waitin' for ya at home. Everything a guy could ever want, including NO kids."
ned,I'd love to have kids.
arch,"What?! Rug-rats? Give me a break!  Jeez, I hate stakeouts. What makes you think Milo's gonna show up here?"
ned,Logic. He knocked off all those banks. He's got cash. He's gonna want to spend it. This is one of the few places that still takes cash. Sooner or later... he's gotta turn up.
arch,And how we s'posed to recognize this scumbag?
ned,"The ""Support Hose Bandit""? When you see him... you'll know him."
arch,These are the best damn Nachos in North America. Maybe the world!
arch,I'm empty. I'm gonna get a refill. You want some?
lola,Got a light?
ned,Sure.
lola,How about a match?
ned,No thanks. I have plenty.
lola,"You really are incredibly stupid, aren't you? I like that in a man."
ned,"I'd be insulted, but I know you're serious."
lola,You sound so sure of yourself.
ned,I'm not as dumb as I look.
lola,"Let me buy you a drink, Mr. uh..."
ned,Ravine. Ned Ravine. And you are...?
lola,Thirsty. What about that drink?
ned,I'm on duty.
lola,Brain surgeon?
ned,Cop.
lola,Oooo... and I bet you have a big gun.
ned,You lose.
lola,If I can't buy you a drink...  ...let me buy you one of those.
ned,Who can say no to a weiner?
lola,Not me.
lola,Two dogs. Hot.
ned,You come here often?
lola,Only when I'm in heat.
ned,Oh! Sorry.
lola,Where ya going?
ned,Get something to wipe it off.
lola,That's okay. You're doing just fine.
ned,I'll get you a wet paper towel.
ned,"Hold it right there, Milo!"
restroom patron,Look out! He's got a weenie!
ned,Police emergency! I need your car!
ned,"You take science in high school, Milo?"
milo,"I skipped high school, cop!"
ned,Then you're probably not familiar with the theory of inverse proportionate explosive dynamics.
milo,What about it?
ned,"If you fire a weapon with the barrel obstructed, the explosive force multiplies by twenty-three point five nine eight and reverses on itself with diametric polarity?"
milo,Yeah. So?
ned,The gun will blow up in your hand... and it won't even scorch my pinkie.
milo,Ha! That's just theoretical hypothesis. Inverse proportionate explosive dynamics has never been demonstrated conclusively in a laboratory environment.
ned,"Oh yeah. Then pull the trigger, smart guy. Let's find out."
ned,"You have the right to remain silent... next... if you waive that right, anything you say... next..."
ned,...may be used against you in a court of law... next... You have the right to an attorney... Do you have an attorney?
milo,Nahhhh!
ned,Then today's your lucky day...
lana,Not bad for an auto mechanic...
frank," Yeah, well you're not so bad yourself... for a lawyer's wife..."
lana,"Better watch your tongue, sweetie, or I'll have my husband arrest you."
frank,Busy man. Cop and a lawyer. When does he ever find time for you?
lana,"He doesn't. That's why I need you to keep my engine tuned, Frank. Why drive a jalopy when you can have a hot rod?"
frank,Maybe you should trade him in on a new model.
lana,I would... if I could make any money on the deal.
frank, Want to go for another test drive?
lana,"Pull over and park it, Frank. I'm still under warranty."
ned,Morning sweetheart.
lana,Uh huh. Want some coffee?
ned,No thanks.
lana,Frank here was just grabbing a little before going back to work on my car.
