Speaker,Dialogue
barbara,Alex...
ken,My suitcase workin' out for ya?
alex,"Whoa! Whoa! Mom, you gotta leave that on. It's like... the tag made the last flight without crashin' or anything, right? So, it should stay on, or with, the bag for good luck."
barbara,Where would you get a nutball idea like that?
ken,I'm still here.
tod,"Yeah, we're all set Dad."
alex,I will. Don't worry.
tod,I didn't think anything could worse than my yearbook picture.
george,Now you know how I feel havin' to look at you all the time.
carter, What the fuck's he want?
clear,The airport doesn't endorse solicitors.
alex,"Fuh-ck, do we have to put up with that shit the whole time?"
hare krishana,Death is not the end.
hare krishana, Hare Rama.
ticket clerk,I have a few questions to ask you this afternoon.
ticket clerk,Have you recieved any packages from persons unknown to you?
ticket clerk,Same as your birthday.
billy,I can't believe they let that dickhead on this trip.
george,"His parents bought a ton of those trip certificates we had to sell, just to get him out of their hair for ten days."
tod,"Dude, I so worked the ticket clerk so you're sittin' next to Christa and I'm next to Blake."
tod,"Dude, if we don't get someone going on this flight, we should just call Dr. Kervorkian and put ourselves out of our fuckn' misery."
clear,Thanks.
alex,"Man, that is one George Michael notch from being gay."
tod,"Dude, get wisdom. We're about to board a seven hour flight. The toilets in coach are barely ventilated closets. What if your body wants that airplane food out of your system and you have to go torgue a wicked cable and then right after you walks in Christa or Blake? You want them to associate with you with that reflexive gag and the watery sting in their eyes?"
alex,John Denver...
alex,He died in a plane crash.
george,Good sign. Younger the better. It would be a fucked-up God to take down this plane.
george,A REALLY fucked-up God.
christa,"Could you trade seats with Blake so she and I can sit together? I asked Tod, but he says he's got some medical thing?"
tod, Fag.
alex,"C'mon, man, like you really thought you were gonna tittie fuck 'em over Greenland, or something?"
tod,"Because of you, I gotta sit here and watch fuckin' ""Stepmom."""
christa,"Could you trade seats with Blake so she and I can sit together? I asked Tod, but he's got some medical thing."
tod,"Dude, what up?"
flight attendant,"Is there a a problem, sir?"
carter,What's your fuckin' problem?
alex,Qu'est-ce se?! THE PLANE'S GONNA EXPLODE!
alex,We have to get out!
carter,Sit! DOWN! Browning!
alex,I'm not joking! I'm not joking!
