Speaker,Dialogue
marlin,Wow.
coral,Mmm.
marlin,Wow.
coral,Mmm-hmm.
marlin,Wow.
coral,"Yes, Marlin. No, I see it. It's beautiful."
marlin,"So, Coral, when you said you wanted an ocean view, you didn't think that we we're gonna get the whole ocean, did you? Huh? [sighs] Oh yeah. A fish can breath out here. Did your man deliver or did he deliver?"
coral,My man delivered.
marlin,And it wasn't so easy.
coral,Because a lot of other clownfish had their eyes on this place.
marlin,You better believe they did--every single one of them.
coral,Mm-hmm. You did good. And the neighborhood is awesome.
marlin,"So, you do like it, don't you?"
coral,"No, no. I do, I do. I really do like it. But Marlin, I know that the drop off is desirable with the great schools and the amazing view and all, but do we really need so much space?"
marlin,"Coral, honey, these are our kids we're talking about. They deserve the best. Look, look, look. They'll wake up, poke their little heads out and they'll see a whale! See, right by their bedroom window."
coral,"Shhh, you're gonna wake the kids."
marlin,"Oh, right. Right."
coral,"Aww, look. They're dreaming. We still have to name them."
marlin,"You wanna name all of 'em, right now? All right, we'll name this half Marlin Jr. and then this half Coral Jr. Okay, we're done."
coral,I like Nemo.
marlin,"Nemo? Well, we'll name one Nemo but I'd like most of them to be Marlin Jr."
coral,"Just think that in a couple of days, we're gonna be parents!"
marlin,Yeah. What if they don't like me?
coral,Marlin.
marlin,"No, really."
coral,"There's over 400 eggs. Odds are, one of them is bound to like you."
coral,What?
marlin,You remember how we met?
coral,"Well, I try not to."
marlin,"Well, I remember. 'Excuse me, miss, can you check and see if there's a hook in my lip?'"
coral,"Marlin! 'Well, you gotta look a little closer because it's wiggling'."
coral,Get away!
marlin,Here he is. Cutie's here! Where did everybody go?
marlin,"[gasps] Coral, get inside the house, Coral. No, Coral, don't. They'll be fine. Just get inside, you, right now."
marlin,No!
marlin,Coral! Coral?
marlin,Coral? Oh!
marlin,"Ohh. There, there, there. It's okay, daddy's here. Daddy's got you. I promise, I will never let anything happen to you...Nemo."
nemo,"First day of school! First day of school! Wake up, wake up! C'mon, first day of school!"
marlin,I don't wanna go to school. Five more minutes.
nemo,"Not you, dad. Me!"
marlin,Okay...huh?
nemo,"Get up, get up! It's time for school! It's time for school! It's time for school! It's time for school! Oh boy! Oh boy!"
marlin,"All right, I'm up."
nemo,Oh boy--whoa!
marlin,Nemo!
nemo,First day of school!
marlin,"[gasps] Nemo, don't move! Don't move! You'll never get out of there yourself. I'll do it. All right, where's the break? You feel a break?"
nemo,No.
marlin,"Sometimes you can't tell 'cause fluid is rushing to the area. Now, any rushing fluids?"
nemo,No.
marlin,Are you woozy?
nemo,No.
marlin,How many stripes do I have?
nemo,I'm fine.
marlin,Answer the stripe question!
nemo,Three.
marlin,"No! See, something's wrong with you. I have one, two, three--that's all I have? Oh, you're okay. How's the lucky fin?"
nemo,Lucky.
marlin,Let's see.
marlin,Are you sure you wanna go to school this year? 'Cause there's no problem if you don't. You can wait 5 or 6 years.
nemo,"Come on, dad. It's time for school."
marlin,Ah-ah-ah! Forgot to brush.
nemo,Ohh...
marlin,Do you want this anemone to sting you?
nemo,Yes.
marlin,Brush.
nemo,"Okay, I'm done."
marlin,You missed a spot.
nemo,Where?
marlin,There. Ha ha! Right there. And here and here and here!
marlin,"All right, we're excited. First day of school, here we go. We're ready to learn to get some knowledge. Now, what's the one thing we have to remember about the ocean?"
nemo,It's not safe.
marlin,"That's my boy. So, first we check to see that the coast is clear. We go out and back in. And then we go out, and back in. And then one more time--out and back in. And sometimes, if you wanna do it four times--"
nemo,Dad..
