Speaker,Dialogue
butch's voice, ...oil all over the street.  Cracked water and gas mains.  Four companies coming in...
frank," Oh, man.  Hope it ain't like this in Baltimore tomorrow."
gibson,Baltimore?
frank,"The game, Graham.  The Series?"
gibson,"Oh, yeah.  Damn.  My watch is busted."
frank,"Hey, Rookie.  Be cool.  Just stay with me.  This is what we do."
gibson," I seem nervous, huh?"
frank,"It's 5:30, Gib."
butch's voice, ...two Con Ed men trapped in an underground electrical conductor vault.
butch, A fun one.
frank,Yep.
commander,"We got high voltage cables ripped loose in the underground.  They hit water, that fault's gonna arc."
frank,Why haven't they killed the juice?
supervisor,Switches are shorted out.
frank,You're shitting me!
supervisor,"Wish I was.  Oldest part of the system down there.  We're on it, but it's gonna take awhile."
frank,"We gotta go underground.  Get those guys out, now."
supervisor,We tried.  Bulkhead door's rusted shut. Won't budge.
commander,The block is being evacuated.  I don't want anybody... including our boys...within fifty yards of that tanker...it's a fucking bomb.
frank,This is the Fire Department.  Frank Sullivan.  You guys okay?
frank,That's exactly what we're gonna do.
supervisor,There's a manhole at Canal and Bowery.
butch's voice,"Forget it, Frank.  No way you reach those men in time."
frank," I can do it, Butch.  Me and my 'tank man' here."
butch," Frank, you hear me?  Frank?"
frank," Yeah, Butch?"
butch, The gas level is getting serious. The underground's combustible - it could flashover.  I want you to abort!  Now! Get the hell out of there!
gibson, Frank.  We gotta go back.  Frank...
frank," Stay with me, Gib.  We're gonna do this."
gibson, I should'a been a fucking mailman.
butch," Frank, where are you?"
frank," We're in, Butch."
frank,"Go, Gibby!  Everybody move it."
frank,"You did good, Gib.  Real good."
julia, ...show me 'round the smokey mountains way down south...
frank,"Hey, bud."
julia,"Hey, bud."
frank,"Looks like two weeks worth of allowance, Chief."
johnny,"I know.  Sorry, Dad."
frank,Glad to hear that.
frank, How about a little of the King?
julia,Damn.
julia,I think I ruined the sauce...again.
frank,"What's the matter, Jules?  Trouble workin' an eight hour shift, watching the kid and whipping up a little bolognese?"
julia,You didn't marry Donna Reed.
frank,I'd go with you and Chinese take-out over her any time.
julia,How was your tour?
frank,The usual.
julia, Butch called.
frank,Did he?
julia,He did.
frank,"It was under control, Bud.  Butchy's just getting tight in his old age."
julia,"Nothing wrong with old age, Frank...long as you get there."
frank,"Okay, start pedaling."
johnny,Daddy put the wheels back on.  I'm gonna fall.
frank,"Don't think about falling, just keep pedaling."
johnny,"Daddy, I'm scared."
frank,"C'mon, Chief, show some guts."
julia,"Don't be so tough on him Frank, he's six years old.  He just needs to know you're right there behind him."
john,"So, that's it, Sam?  You're just walking out?"
samantha,I've been walking out for the last six months.  You didn't notice...or care.
john,"Fine, go ahead and save the whole world, Sam.  You don't gotta worry about me."
samantha,Damn you.  I tried.  But you wouldn't help me.
john,You're right.  We should've quit a long time ago.
samantha,That's not true and you know it.
john,"What?  It don't matter, Lady.  Why?... Cause I don't got no friends or family."
announcer,Batting next.  Johnny Sullivan.
john,"I'm not your uncle, kid.  Gordo, what are you doing here?"
gordo,"Hey, Sull.  My cable's out again."
john,What the hell is that smell?
gordo,"Can you believe Ellen still won't let me cook in the house?  I melt one lousy frying pan, y'know?"
john,"Wish I could, Gordy.  But you bring me back a big one."
gordo,"Hey, OK if Gordy uses your old gear?"
john,I think it's somewhere in the closet... if you can find it.
