Speaker,Dialogue
lynch,I don't see her.
dan,The shift change is late.   Just wait.
parker,Are you sure about this?
dan,We've been doing this forever. Trust me. This lady loves Lynch. She always goes for it.
lynch,I'm cute.
parker,Is um... is that her?
dan,Shit.
lynch,Dude.
dan,"It's cool, it's cool.  Look, all you have to do is smile real pretty and tell him-"
parker,-What?   Me? No way.    This is your thing.
lynch,"-GIRLfriends. Say ""girlfriends""."
dan,-you and your girlfriends forgot your credit card and you can't pick up your lift tickets.
parker,"Dan, no.   You do it.    I feel stupid."
dan,You've got this.    You can totally do this.
lynch,"Parker, you've so got this."
dan,The worst thing that happens is he says no. He won't say no. No one ever says no.
parker,Why me?
lynch,`Cause you're a girl.
dan,A very beautiful girl with a very charming smile. 
parker,My charming smile?
parker,Hey.  Jason looks up at her.  PARKER  Could I bum a smoke?
jason,Jason.
parker,"Oh, cool.    My brother's name is Jason."
jason,OK.
parker,"Yeah, so I don't want to waste your time and bullshit you cause you seem like a wicked busy guy and everything...but..this is gonna sound so stupid..."
jason,Right.
parker,"No- but I mean, we totally have some cash and stuff. We just don't have enough to cover all 3 lift tickets, you know?"
jason,How much?
parker,Like...fifty?
jason,I could lose my job.
lynch,He's not going for it.
dan,"Will you shut up? He's gonna go for it. It's either stand there and do the job for minimal... minimal, what is it?"
lynch,Minimum.
dan,-Minimum wage or do it for minimum wage plus a little bit more.
lynch,She had to come skiing with us?
dan,You said you didn't mind?
lynch,I don't.   I don't mind.   Don't mind at all.
x,"A beat.  LYNCH  I'm just saying, you haven't done dollar pitchers at Fezziwigs with"
r,"us since last semester. You never come around for Monday night football, nobody has seen you at-"
lynch,"For ten minutes, Dan. Football games are more than ten minutes."
dan,"Dude, I have a girlfriend now. I love this girl. I don't know what you..."
lynch,It's not a problem. It's not. Forget I ever said anything.
x,DAN Good work!     See?   They always go for it.
r,"PARKER I did good, right?"
lynch,You did great.
a,"DAN Oh, so where's my change?"
parker,There isn't any.
lynch,I would have asked for change.
parker,"It's still way cheaper than paying for tickets, right?"
lynch,I would have definitely asked him for change.
jason," ""Girlfriends""?"
x,Parker gives him an apologetic smile.  The three get in front of the chair. It descends under them and scoops them off of the ground into the air.
r,7   EXT. CHAIR LIFT - MOMENTS LATER                                 7 The threesome float high above the mountain as the chair slowly makes it's way to the top.
a,"DAN Look at that. See? All these other idiots are paying top dollar to ski. Not us. All thanks to you, baby."
dan,I'm just not a `pet name' guy.
parker,"Yeah but you're supposed to call me something affectionate, you know? Like ""honey"" or ""sweetie""."
lynch,"I hooked up with a girl last semester that called me by my last name in bed. It was so weird. ""Oh, Lynch! Your hair is so soft! Do me harder, Lynch!"" It was like I was throwing it to Dan over here."
dan,"See? At least I don't call you ""O'Neil""."
parker,You don't touch my face enough either.
x,Dan laughs.
r,Third wheel.
lynch,"Hey, that's not fair. I'm not dating you, you don't get to make my life suck."
dan,Wha-? I never said that. I never said you make my life suck.  Sweetie.
lynch, Dan tells me you're getting the hang of that board?
parker,"I wouldn't say that. But last time we went I did pretty good, right?"
dan,"You did awesome. I'm telling you, the first few times are frustrating but once you get the hang of it, it's like riding a bike.  Are you gonna trade in those ancient things for a board?"
lynch,Please. Snowboards are too EMO for me. Give it ten more years and that fad will be dead.
x,DAN That's what they said about rap.  Parker removes a cigarette and lights it.
r,"LYNCH Mmm-mmm. Smell that fresh mountain air, huh? Kind of smells like... cancer."
dan,"No, I have never- why would I ever sniff my floss? Why am I friends with you?"
parker,What time do you think we'll get back? I have about 2 weeks worth of chapters to read tonight.
lynch,Oh no. She broke the rule.
x, Parker you just broke the first rule.
r,What?
dan,No worrying about the bullshit of real life. The whole point of this
parker,"But, I haven't read a-"
lynch,Uh-oh! Is someone afraid of heights?
parker,No.
lynch,So it doesn't bother you when I do this?
parker,Quit it!  Dan motions to Lynch to stop.  PARKER  I'm not afraid of heights.   I just
x,don't like them.
dan,"Baby, in the whole history of time, only one chair has ever fallen off"
r,of a lift.
parker,"Points for calling me ""baby"" but you just made that statistic up."
lynch,"OK, WHAT ASSHOLE COULDN'T GET ON THE CHAIR RIGHT?"
dan,"Actually, I paid good money."
lynch,"Yeah, but I'm gonna pay you back so it's like the same thing."
x,He playfully sticks his tongue out at her and she laughs as their chair moves forward exiting frame.
r,The three begin to get situated with their boards and skis.
parker,Why do I have to wear a helmet?
a,DAN Safety first.
parker,But you guys don't wear them.
parker,You're just doing this to make fun of me.
dan,"No, I'm not. I swear.    You look hot in a helmet.  Off to the side, Lynch spots SHANNON  struggling with her boot strap. She falls down on her ass."
x,Lynch nonchalantly maneuvers over to her side.
lynch,Need some help?
r,SHANNON  Do you think?  Lynch puts out a hand to help her and pulls her up almost
parker,"Aww, check out Lynch."
lynch,"Woah! Shit, man!    I was just trying to help!"
shannon,"Ryan, what the hell?"
ryan,He had his hands all over you!
shannon,"No he didn't. I can take care of myself!  She shoves him back. Ryan just shakes his head at her and shoves off, away from the group. He waits for her down the hill a few feet."
x,Dan and Shannon help Lynch to his feet.  SHANNON  I am so sorry about that. He can
r,be such an asshole sometimes.
lynch,"I was seriously just trying to help. I mean, how could I even"
lynch,"Yeah, I'm fine."
shannon,"Well, thank you for your help.    I am so, so sorry about that."
lynch,Joe.
shannon,Well it was nice to meet you.
lynch, I was like one second away from beating that guy's ass.
dan,"I know you were, man.   Come on. Don't sweat it."
lynch,"Seriously, that guy was such a dick."
x,PARKER Come on boys. We can talk about how tough you both are at the bottom.
r,Lynch starts down the hill.
dan,I'm tough.
a,PARKER I know you are.  They push off out of frame.
parker,"Are you kidding? We are totally doing this every weekend. In fact, if they were open during the week I'd say we should cut class, too."
lynch,Last one to the bottom is buying dinner!
x,Dan and Lynch pick at what's left of a pizza on the table in front of them.
dan,We gotta take a weekend trip up
r,North one of these days. Hit up Killington or Okemo and really do it up right.
a,Why don't we just do it over Christmas. You and me.
dan,Done. When I stayed with my cousin out West two years ago it was like
lynch,"Well, speaking of good skiing... it's been cool doing the bunny hill"
lynch,"No, it's fine. I'm just saying let's step it up a notch at some point. It's been cool watching Parker fall on her ass all day but I would like to actually ski at some point."
parker,"You know, I've probably had enough for today anyway. I can just stay in the lodge if you guys want to go-"
x,Now Lynch feels horrible.
lynch,"-no, no, no that's not what I meant. I didn't mean it like that."
r,Parker looks to Dan.
parker,I told you I didn't have to come.
lynch,"Exactly. Remember? I was like ""Hey man, why doesn't Parker come"
dan,"-I was like, ""OK that would be cool""."
parker,"It's OK, you guys. The last thing a girl wants to do is intrude on ""guy time"". I won't be offended. I've got stuff I could do anyway.  Actually, can I have the key? I should check my messages."
dan,No. No locker key. I can tell you right now that every message on there is going to be from your Mom giving you more aggravation about whatever the hell.
x,Parker laughs.
parker,She does not.
r,Dan looks to Lynch.
dan,Ready for this? Two nights ago we were watching a movie and her Mom
parker,I'm sorry if I ruined skiing for you today.
lynch,"You didn't! You didn't at all! You missed the part before you walked over here when I was all like, ""Dude, this has been so cool...you know...doing..."""
x,Parker and Dan are beaming at him.   He knows he's beat.  LYNCH  What?
r,"11   EXT. FRONT OF LODGE - MOMENTS LATER, NIGHT                   11 Parker, Dan, and Lynch come out of the lodge."
a,From their POV the chair lift is still moving but the line is empty.  They start to move to the empty lift line when...
lynch, Wait up.
shannon,Hey. I just wanted to apologize again.
shannon,"Ex. He's my ex-boyfriend. We're, you know, trying to still be friends and everything but as you can see, that's not really gonna work."
lynch, No way.
shannon,"A group of us all agreed to go skiing this weekend and well, whatever. It's a whole story and-  She looks over at Dan and Parker."
x,SHANNON 
r,Are you gonna be here next weekend?
lynch,"Where, here? Yeah, probably, yes."
shannon,OK.   See ya later.
lynch,"Actually, you know what? Would it be cool if I got your number or"
shannon,"Yeah, sure."
lynch,Shit. Don't ski with my phone. It's in the locker with everyone else's stuff. Do you have a pen?
shannon,Don't ski with a pen.     Sorry.
lynch,Just shoot then. I've got a really good memory. I've only smoked pot like 500 times so I'm good.  Shannon gets serious.
x,SHANNON You know it's a gateway drug right?  Joe is nervous.
r,SHANNON  Kidding.
lynch,Whew.   You! That's so like you!
a,12   EXT. CHAIR LIFT LINE - MOMENTS LATER                         12 Dan and Parker are in a heated debate with Jason the chair lift operator.
dan,But we gave you a hundred bucks and we've only gotten like 4 runs!
jason,Why don't you write a letter?
lynch," Remember ""429""."
dan,What?
lynch,"Just remember ""429"". "
x,"Come on, just one more run."
jason,Sorry.
r,"DAN Honestly, I'd slide you some more money but we gave you everything we have."
a,"LYNCH  Hey man, do you have a pen?  Jason ignores him."
parker,What if we promise to run straight
dan,Wicked fast.
jason,Fine. But hurry. DAN                              PARKER Thank you!                           Thank you so much!
dan,We'll be wicked fast.    Like the wind!  Jason sends them up the lift.    He checks to make sure no one is watching.
lynch,Seriously. For a hundred bucks
x,you'd think he could cut us some slack.
dan,I know right? They're supposed to
r,stay open until 10 on Sundays. Whatever happened to night skiing?
lynch,Wachusett still has night skiing.
a,"We should have gone there. It's kinda like Ward Hill but not as lame.  Hey, you remember the numbers I told you?"
parker,"Good for you, Lynch.   You got her number!"
parker,Nope.
rifkin,"Early night, huh?"
jason,You're not gonna hear me complain.
x,RIFKIN Pendergraft wants you to stop by the office.   Something about next weekend's schedule.
r,"JASON I'm not working next weekend.  Rifkin gives him a look.   ""That's what you thought."""
a,"JASON  Oh, come on. It's my brother's bachelor party. I put in for it two months ago."
jason,I'm the best man!  Shit.
rifkin,Ready to shut down?
jason,"There's three more on their way down. Wait for them, then it's all set."
parker,I'm not waiting til we get back to campus to eat. I'm starving.
dan,Why didn't you have some pizza?
parker,"You mean the cardboard with tomato sauce that you guys ate? That wasn't pizza. That was like,"
x,`roller skating rink birthday party pizza'.
lynch,There's a Papa Gino's on our way
r,back. It's like 15 minutes down the road from the mountain.
parker,Sweet. I am gonna eat a whole real
dan,Check it out!
