Speaker,Dialogue
the fugitive, by  Jeb Stuart and David Twohy
roberts,Cancun. Nat just talked everybody into it...
nat,"No, no, no, no strings attached, Dr. Kimble. Industrial Hospital Supply has no ulterior motives."
kimble," ... But if you get any more Bulls tickets, Nat, give me a call."
kimble,"Hey, Jim."
nichols,"Richard, I just saw someone who wanted to meet you..."
lentz,"Dr. Kimble... Sorry, we've been trading phone calls last few days ... something about a biopsy report I returned to you?"
kimble, Yeah... Three. Livers appeared hepatetic to me.
lentz,I'll be in my office in the morning and I'll pull up the samples. Is that a good time for you?
kimble,Sure.
lentz," See you, Jim."
nichols," Before I forget, I went by the garage this afternoon and picket up the Ferrari. Thanks for the loaner again."
kimble,They fix it this time?
nichols,We'll see.
nichols,"You look fabulous, Helen."
nichols, We've got a court tomorrow at three.
kimble,"Well, I've seen everyone, can we leave?"
helen,"That would be a little abrupt, don't you think?"
helen," I'm sorry, I have to get my husband home."
helen,You looked handsome tonight...
kimble,Thank you...
helen,"Uh, huh... most men in a tuxedo look like waiters..."
kimble,But me?
helen,You looked more like... a band director.
helen,Are we home yet?...
kimble," When? Okay, tell them I'll be there in ten minutes."
kimble,Tim's got a problem.
helen,Call me on your way home.
kimble,Cavalry's here.
resident,"Patient is a male, forty-three. We pulled his gall bladder and the bleeding started."
kimble,What's his pro time?
resident, He's at 36 seconds. We got a major bleeder in here.
kimble,You talk to the family?
resident,None. He's off the street.
kimble, Okay... I'm clamping. Can he tolerate it?
anesthesiologist,He's a very sick guy.
kimble,Do we have a choice?
anesthesiologist,Go for it.
kimble,"Marie, give me a clamp..."
kimble," Your husband know you're here tonight, Marie?... What about this liver?"
resident,History's sketchy. Could be an alcoholic.
kimble,Who referred him?
kimble,"The wave of the future... Marie, you told Frank yet? Frank is so jealous of this late night thing we've got going here... This should hold him. Bleeding's stopped. Let's get a biopsy...  Send it downstairs and make sure you get Kath her slice."
surgeon,"You staying for the closing, Rich?"
kimble,No. I got a date.
surgeon,"Hey, Richard..."
surgeon,Thanks.
kimble,Hi. I'm five minutes away...
helen,I'm glad it went well. I'll see you in a minute.
kimble,I'm home. Did you hear who won the Bulls game?
kimble,Helen?
helen,He's trying to kill me...
