Speaker,Dialogue
george," Hey, it's George Simmons, I'm coming in."
college student,"Hey George, can I get a picture with you?"
george,Sure buddy. Let's do it. One of the college students put his arm around George while the other takes the picture.
george,Yeah bud. They take the picture.
college student,"You're the man. We love all your movies, even the last one."
george,Thanks. Tell your friends.
george,I like those lunestas. They really put me to sleep without giving me the sleeping pill hangover I get from the restorils.
doctor stevens,George there are some irregularities in your blood work... George's face turns white. He knows what this means. The doctor keeps talking but the sound keeps coming in and out-- it is now all a jumble of words.
girl,Oh my God. Can you take a picture with me?
george,"Yeah, sure. She puts her arm around him. Her little brother jumps in too."
girl,Thanks. You are the funniest.
george,"Thanks, pal."
woman,Is the turkey organic?
ira,"Yes, ma'am."
woman,Well what does organic mean?
ira,It means there's no additives or preservatives and it's hormone free.
woman,Are there additives or preservatives in the food they feed the turkey?
ira,I don't know ma'am.
woman,"I heard that because turkeys are fatty birds, mercury gets stuck in their fat. My daughter-in-law, she ate turkey and then she had a miscarriage."
ira,I haven't heard about that. But I may not be informed enough to comment.
woman,"Well, you're not a doctor, so you shouldn't comment."
ira,"You are correct, I am not a doctor."
ira,You should come see me do stand-up tonight at the Comedy and Magic Club.
chuck,"I can't go through that again, man, that was painful."
ira,That was five months ago. I've gotten a lot better.
chuck,They pay you yet?
ira,"Nah, not there. I just hang out and hope somebody doesn't show."
chuck,"Wow, is there anyway for you to.be lower in show business? I don't know if you could even say you're in show business. Why don't you just fucking settle down and enjoy this gig? This is a sweet situation. The money's good, you've got health insurance."
ira,"Dude, I know you like it here but if I have to work here another year I would kill myself."
chuck,"Really? In that case, when we bury you does it have to be in some kind of Jew cemetery? Next to Al Jolson or some shit?"
ira,Just come. I need the support.
chuck,No way. I'm funnier than you. And I'm not even that funny. I would go if I was paying to see me.
ira,I'll pay your cover charge.
chuck,"Okay, well you better be good, because I'm bringing a date."
ira,Laughter's the ultimate lubricant.
ira,"I was thinking about doing something about how I'm not good looking and I'm not bad looking. I'm just good looking enough that if I had a good personality, it could put me over the top. If that was the case."
leo,"Yeah, something about how the uglier you are, the better the personality you need. And the hotter you are, the stupider you can be."
ira,"I had a joke once about how you never see incredibly hot, blonde, homeless women. Because someone will always take care of that kind of woman. That woman could be the dumbest person on earth and she will survive in this world."
leo,"Maybe something like... you can be hot and stupid and survive in the world. And you can be smart and ugly and survive in the world. The people who have trouble are the stupid, ugly people."
ira,That could work.
leo,"Let me keep that one, because I thought of most of it."
ira,That's not cool. I came up with the concept! What do you got? Let's work on what you have.
leo,"I've got nothing in the notebook. I got drunk last night. But I need material, because I just got spots at the Improv. Budd saw me and approved me. I'm in."
ira,How could they make you a regular? I got turned down twice.
leo,"Sorry, man. They're only going to let in one chubby, caustic Jew, so I think you're fucked. Their other roommate, MARK, walks in, waves a check at them."
mark,"Hey, dudes. You see this check that I got from my TV show for 25,000 an episode? There was another one of these on the kitchen counter. Did you see it?"
ira,No we didn't see it. Just don't leave those things laying around.
mark,I wouldn't leave it around if they didn't give me so many. They give it to me every episode.
leo,Don't throw it in our face that you're on a shitty show.
mark,"I wouldn't, if it was a shitty show and not what Time magazine called ""insightful and delightful."""
ira,I thought you were moving out.
mark,"I decided I like it here. Living with you guys keeps me grounded. I don't want to be the guy living in the house on the hill. Even though I could afford it. Hey, I saw that girl comic you like who lives upstairs. I invited her in. She's here."
ira,She's in our apartment? I've never even talked to her. I just gave her quarters at the washing machine.
mark,"You were right, she is pretty mousy and sexy. You gotta talk to her."
ira,I need time. I have a three-month plan.
mark,"I'll give you ten days for your three-month plan, then I am going to fuck her. You can't just leave that laying around. Starting right now."
mark,"The thing about working on a sitcom is it's 22 weeks a year, so I can do stand-up the rest of the year."
daisy,I don't own a TV.
mark,Well I think you can download it to an iPod. Ira walks in.
daisy,how's it going?
ira,"Nice to meet you. I think I gave you quarters once. Ira walks over to the kitchen area, takes out a paper cup. He pours some orange juice without looking and the paper cup falls over and spills all over the counter. Mark looks horrified."
emcee,"Schneider didn't show up so, you can do ten minutes after Leo."
magician,Don't go long because I have to load pigeons into my suit. I have to let them out or they'll die. I'm not fucking around.
manager,"Hey man. George Simmons just got here, he wants to go up. You're bumped. We'll put you on after George."
ira,Well how long is he going to do?
manager,I don't know. Last night he did five minutes. Last week he did an hour. fie'il do what he wants to do.
ira,Well what about the magician? He just loaded his pigeons. He said I have to get off in ten minutes.
manager,I'll have him unload the pigeons. Just be ready. Leo finishes his set to huge applause then comes off stage.
leo,"That was good, right? Some of the new stuff worked."
ira,I just got bumped by George Simmons.
leo,"Are you serious? Shit - I've got a spot at the Improv, I cant hang out, damn."
emcee,"A lot of times you hear about going to a comedy club and someone exciting shows up. I won't lie to you, that usually never happens. But tonight it is happening."
george,Ah life. What does it mean? sometimes life makes perfect sense. And then you `come'.
ira,"He's killing the crowd. Jesus, I can't follow this shit. After completely losing the crowd, and some minor confrontations with audience members, he exits the stage."
george,Life isn't all about laughs. Crazy shit happens. You've got to be nice to each other. You never know what's going to happen. Ira passes George as he heads onto the stage.
ira,"I'm not good looking. I'm not bad looking. I'm just in the middle. And if I had a personality that was Jut good enough, it would put me over the edge. The joke fails. We reveal George also watching him bomb, amused by his struggle. He sees something he likes in Ira."
ira,"Sorry, man. I didn't mean to disturb you. I just can't open my door. There's no room."
george,Oh I'm sorry. Let me pull out. George pulls the car back ten feet.
ira,Thanks!
george,"Man, that audience hated you. They really did not like you. They liked your buddy, who looked exactly like you but was funnier. Man, that's going to haunt you. You're going to wake up in six months and think about this night."
ira,"Well, I'll probably bomb worse tomorrow and forget about this one."
george,I'm just fucking with you. You had some funny jokes in there. Good writing.
ira,"Well, obviously, I'm a... you know...I grew up on your shit, man. George just stares at him."
george,"Alright, pal. Don't worry. Only two hundred people saw that tonight. I'll see you later. George pulls out, turns the car around, and as he passes by Ira, he steers his car as if he's going to run him down, and starts screaming..."
ira,"Holy shit, you got seven hundred thousand hits in four days."
leo,They put it on the main page at YouTube and it exploded. Which would be awesome if someone would pay me. The phone rings.
ira,Hello?
ira,Yeah. Who is this?
george,It's George.
ira,"Oh my gosh. Hey, how is it going?"
george,I thought you and Leo were pretty funny last night and I have to do this corporate gig for Apple computers in a couple of days and I thought you guys could write me some jokes.
ira,Definitely. What kind of jokes? Leo passes by in the background. We see Ira decide not to include him in this job offer.
george,"I don't know, about computers and shit. I could mainly do my act but they like it if you talk about them a little."
ira,No problem. Where do you want me to send em?
george,What is your email? I will send you my fax and email and all that.
ira,It's a...irasexiragmail.com.
george, I almost just changed my mind. You got to change that.
ira,Ok.
george,Today. Seriously. Ok. Later. Ira hangs up and turns to his friends.
ira,That was George Simmons. He wants me to write jokes for him.
leo,Holy shit. That is awesome. You are so lucky.
mark,Are you gonna get to meet him?
ira,"I don't know, but he is gonna send me his email address."
leo,We are gonna have his email address? I have to send him the link to my short.
ira,Easy. Let me get in there a little more.
leo,"I got one, but you have to tell him its mine. The best thing about Leopard is it lets you watch a porno, write a porno, shoot a porno, and order a porno all at the same time. And you guys made that possible. We see QUICK IMAGES of him typing and printing. He is writing an enormous amount of jokes. Way more than George will ever need. Writing, typing, re-writing in pen, then re- typing, etc. Ira hesitates, then hits send."
george,There's some funny shit in here. Not a bad ratio of good jokes to shit.
ira,Thanks man. I just want to give you a lot of choices.
george,Too many choices. I don't like reading that much. I need like ten good jokes. I'm a little mad you made me read that many to get to ten. But thanks for doing it.
ira,"Oh, it was fun to try to write in your voice. I spent the whole night pretending I was you."
george,So you cried yourself to sleep?
ira,Yeah! That'll work.
george,"I'm leaving at four tomorrow to go to the gig. You want to come check it out, see if your shit works?"
leo,Can we go outside and meet him?
ira,No you can't. Because then we look like fans.
mark,Maybe he's seen my show.
ira,"He doesn't watch your show. You're show is for eight-year-olds. It's a family show, he doesn't watch that shit."
leo,"I'll just go outside and pretend I'-,n washing my car. The Limo pulls up outside."
george,"How you doing, you ready for this?"
ira,"Yeah, this'll be fun."
george,I think I'm going to have you go on before me to warn them up.
ira,You don't have to do that. What if I bomb?
george,"Hey, if you bomb, they'll just be more excited to see me. They'll be so glad your not on stage any more. Then if you do well, they'll be ready for me. Either way, you're helpful."
george,I like this joke about watching porn and making porn all at the same time. That was a good one.
ira,(turning white from
