Speaker,Dialogue
sandra,Sandra.
guard,Shut the fuck up.
2.,WHITE KABLE SCRIPT - 9/19/2007 1   CONTINUED:                                                           1
sandra, Putcher dick away...
guard,Get some.
7.,WHITE KABLE SCRIPT - 9/19/2007 13   CONTINUED:                                                                13
kable, My name's Tillman.
8.,WHITE KABLE SCRIPT - 9/19/2007
offscreen voice,Counting down five... four... three... two...
9.,WHITE KABLE SCRIPT - 9/19/2007 17   CONTINUED:                                                        17
producer,We're cunt hair close -
producer,"All respect, Bob, nobody cares about dead Orientals... they care about Ken Castle -"
producer,Burger chili fry?
10.,WHITE KABLE SCRIPT - 9/19/2007 18   CONTINUED:                                                       18
voiceover,First... there was society...
11.,WHITE KABLE SCRIPT - 9/19/2007 18   CONTINUED:                                                    18
ken castle,I ain't complainin'!
voiceover,"Nine months ago, Castle unveiled a new simulation - one that would take gaming to new heights of thrilling excess... and controversy - SLAYERS."
12.,WHITE KABLE SCRIPT - 9/19/2007 18   CONTINUED:                                                          18
ken castle, Slayers.
ken castle,"Gina, when was the last time you saw someone volunteer to be murdered? I'm sure you know that every last one of our Slayers is a bona fide death row inmate -  ...each one offered a chance to participate as an alternative to their sentence. Stay alive for thirty sessions and get set free... that's not a bad God damned deal."
13.,WHITE KABLE SCRIPT - 9/19/2007 19   CONTINUED:                                                       19
ken castle,I'd remind your audience that Slayers was put together with the full cooperation and approval of the United States federal government... that the revenue it produces is responsible for funding our entire prison system - keeping the bad guys behind bars... and that the prop was voted for by a cock solid 68% of the American public.
producer, What'd he say?
ken castle,There's a lot of men and women in prison that could never cut it as slayers... shouldn't they have the same opportunity to roll the dice for a ticket out? Besides - they only need to survive one session.
14.,WHITE KABLE SCRIPT - 9/19/2007 21   CONTINUED:                                                                  21
supernova flare,TO:
ken castle,Simple.
15.,WHITE KABLE SCRIPT - 9/19/2007 23   CONTINUED:                                                       23
ken castle, Did I? You know I seem to recall that - let's just see...
ken castle,You like her? Her name is Gina. She's a good little bitch.
producer,This motherfucker is off the charts.
16.,WHITE KABLE SCRIPT - 9/19/2007 24   CONTINUED:                                                       24 PRODUCER  Son of a bitch can pull 650 million pay-per-views for a single broadcast.
board op,That's fuckin scary.
ken castle,"Similar, yep. But control is strictly localized to the parameters of our gaming environments."
ken castle," To some, maybe... to some... don't you suspect a good many folks wouldn't mind an itty bit of control?"
17.,WHITE KABLE SCRIPT - 9/19/2007 25   CONTINUED:                                                       25
ken castle,"Someone else making all the decisions for you... no responsibilities, no tough choices... think about it."
ken castle,Good little talk.
producer,What the hell is that?
18.,WHITE KABLE SCRIPT - 9/19/2007 27   CONTINUED:                                                        27
humanz brother,"Ken Castle wants you to believe that you are living in a safer, better world. He's a liar. Mind control is slavery. We will all be his dog if we allow this evolution to continue."
producer,"Mr. Castle, we have no idea..."
ken castle,Shush!
producer," Sorry, Mr. Castle, we can't hard- line a live broadcast. It's impossible to stop every virus that sneaks in."
19.,WHITE KABLE SCRIPT - 9/19/2007 27   CONTINUED:                                                  27
ken castle,Uh huh. You might wanna oughta let my boys take a look at your firewall.
board op,He's good.
porn girl,Wanna blow off a little steam?
20.,WHITE KABLE SCRIPT - 9/19/2007 28   CONTINUED:                                                      28
21.,WHITE KABLE SCRIPT - 9/19/2007
freek, Kable. Kable.
kable,"My name is Tillman, freak."
freek,"Tillmans, yeah, Tillmans, I knew that, they said you name's was Tillmans... just sittin, always sittin, always lookin, just lookin... like me, I keep my holes down... you got to, man... a dude inevitably start to break up, start to crack and break up everyday, never know you gonna die today or live another two, three. You never do know. All these niggaz gonna snap, snap, snap, one by one, every last one, all of em. Yeah but not you. Twenty seven battles and three to go... no one ever got that close before, no one even done ten games without gettin they brains shot... but Kable, Kable, Kable, he just sittin, lookin, like he got a plan, he already somewhere else, he on a mission, nothin' get in his way, never break, never snap, never say shit, just take care of his business, niggaz get spooked by that shit. You spooky."
22.,WHITE KABLE SCRIPT - 9/19/2007 31   CONTINUED:                                                          31
kable,I killed my best friend.
prisoner,Master! Master! Master of Puppets I'm pulling your strings - Twisting your mind and smashing your dreams...
kable,Who's talking?
kable,What?
23.,WHITE KABLE SCRIPT - 9/19/2007 32   CONTINUED:                                                              32
kable,Why would anyone want my name?
