Speaker,Dialogue
written by, John Briley
manu, Brother -- Bapu is already late for prayers.
gandhi,"Oh, God... oh, God..."
murrow," ...The object of this massive tribute died as he had always lived -- a private man without wealth, without property, without official title or office..."
gandhi,Tell me -- do you think about hell?
porter," ""Hell!"""
gandhi, but this man is a Christian and he has written --
porter,"Excuse me, baas, but how long have you been in South Africa?"
gandhi, A -- a week.
porter,"Well, I don't know how you got a ticket for --"
conductor,"Here -- coolie, just what are you doing in this car?"
gandhi,Why -- I -- I have a ticket. A First Class ticket.
conductor,How did you get hold of it?
gandhi,"I sent for it in the post. I'm an attorney, and I didn't have time to --"
european,There are no colored attorneys in South Africa. Go and sit where you belong.
porter,"I'll take your luggage back, baas."
gandhi,"No, no -- just a moment, please."
gandhi,"You see, Mohandas K. Gandhi, Attorney at Law. I am going to Pretoria to conduct a case for an Indian trading firm."
european,Didn't you hear me? There are no colored attorneys in South Africa!
gandhi,"Sir, I was called to the bar in London and enrolled in the High Court of Chancery -- I am therefore an attorney, and since I am -- in your eyes -- colored -- I think we can deduce that there is at least one colored attorney in South Africa."
european,Smart bloody kaffir -- throw him out!
conductor,You move your damn sammy carcass back to third class or I'll have you thrown off at the next station.
gandhi, I always go First Class! I have traveled all over England and I've never...
gandhi,But you're a rich man -- why do you put up with it?
khan, I'm rich -- but I'm Indian. I therefore do not expect to travel First Class.
gandhi,"In England, I was a poor student but I --"
khan,That was England.
gandhi,"This part of ""England's"" Empire!"
singh,"Mr. Gandhi, you look at Mr. Khan and see a successful Muslim trader. The South Africans see him simply as an Indian. And the vast majority of Indians -- mostly Hindu like yourself --  were brought here to work the mines and harvest the crops -- and the Europeans don't want them doing anything else."
gandhi,But that is very un-Christian.
tyeb mohammed,"Mr. Gandhi, in this country Indians are not allowed to walk along a pavement with a ""Christian""!"
gandhi,"You mean you employ Mr. Baker as your attorney, but you can't walk down the street with him?"
khan,"I can. But I risk being kicked into the gutter by someone less ""holy"" than Mr. Baker."
gandhi,"Well, then, it must be fought. We are children of God like everyone else."
khan, Allah be praised. And what battalions will you call upon?
gandhi,I -- I will write to the press -- here -- and in England.  And I will use the courts.
singh,You will make a lot of trouble.
gandhi,We are members of the Empire. And we come from an ancient civilization. Why should we not walk on the pavements like other men?
khan,"I rather like the idea of an Indian barrister in South Africa. I'm sure our community could keep you in work for some time, Mr. Gandhi -- even if you caused a good deal of trouble.  Especially if you caused a good deal of trouble."
gandhi,There's the English reporter. I told you he'd come.
khan,You also said your article would draw a thousand people.  At least some of the Hindus brought their wives.
gandhi,No. I asked my wife to organize that.
singh, Some of them are leaving...
gandhi,"Ladies and Gentlemen, we have asked you to gather here to help us proclaim our right to be treated as equal citizens of the Empire."
gandhi,"We do not seek conflict. We know the strength of the forces arrayed against us, know that because of them we can only use peaceful means -- but we are determined that justice will be done!"
gandhi,"The symbol of our status is embodied in this pass -- which we must carry at all times, but no European even has to have."
gandhi,And the first step to changing our status is to eliminate this difference between us.
khan," You write brilliantly, but you have much to learn about handling men."
khan," We do not want to ignite... the fear or hatred of anyone. But we ask you -- Hindu, Muslim and Sikh -- to help us light up the sky... and the minds of the British authorities -- with our defiance of this injustice."
khan,We will now burn the passes of our committee and its supporters. We ask you to put your passes on the fire with --
police sergeant,"Oh, no, you bloody well don't!"
police sergeant,Those passes are government property! And I will arrest the first man who tries to burn one!
police sergeant,Take him away!
police sergeant,Now -- are there any more?!
police sergeant,You little sammy bastard -- I --
police sergeant,You want that kind of trouble -- you can have it!
ba,Let me go!
sergeant,Stop!
gandhi,You saved the papers.
ba,I wish you were still struggling for work in Bombay.
gandhi,"I hated that -- all the pettiness, the little corruptions.  And I was more laughing stock than lawyer."
gandhi,"But they needed me here. If I'd never been thrown off that train, perhaps no one would ever have needed me."
gandhi," ""A high court judge has confirmed that Mr. Gandhi would have been within his rights to prosecute for assault since neither he nor Mr. Khan resisted arrest."" -- I told you about English law."
ba,As I told you about English policemen.
gandhi,Yes?
harilal,"We are glad to have you back, Bapu."
gandhi,And I am glad to be back.  Come...
ba,Be careful!
gandhi,Tomorrow I will tell you what it feels like to be a jailbird.
ayah,Come. Come.
gandhi,Just like proper English gentlemen. I'm proud of them.
ba,They are boys. -- And they're Indian.
gandhi,Hm. Will you take this off?  It pinches every time I speak.
gandhi,"Here, you see? Even the South African papers apologize -- ""a monstrous attack."""
ba, Are you sure?
gandhi, Yes -- I can't talk like this.
gandhi,Pull!
gandhi,Oww!
ba, Mr. Khan said they called you brave.
gandhi,"If you would let me teach you to read, you could see for yourself."
ba,I could have told them you were merely foolish.
gandhi,It proves what I told you. If I had prosecuted him as everyone advised -- even you -- they would have hated me -- by showing forgiveness I -- ouch!
ba,There...
gandhi, You see there is such a thing as moral force -- and it can be harnessed.
ba,Not always. You have told me twice now that you were giving up the pleasures of the flesh.
gandhi,"I am. I am convinced the holy men are right. When you give up, you gain. The simpler your life the better."
gandhi,I will fast tomorrow -- as a penance.
ba,If you enjoy it a great deal you must fast for two days.
smuts,Yes -- ?
smuts,"Did they? Well, they'll find we're a little better prepared this time. Mr. Gandhi will find he's on a long hiding to nothing."
charlie,You'd be Gandhi --  ...I thought you'd be bigger.
gandhi,I'm sorry.
charlie,"I -- I mean it's all right. It doesn't matter.  I'm -- my name is Andrews, Charlie Andrews. I've come from India -- I've read a great deal about you."
gandhi,"Some of it good, I hope."
gandhi, Would you care to walk?
gandhi, You're a clergyman.
charlie,"Yes. I've -- I've met some very remarkable people in India... and -- and when I read what you've been doing here, I -- I wanted to help.  Does that surprise you?"
gandhi,"Not anymore.  At first I was amazed... but when you are fighting in a just cause, people seem to pop up -- like you -- right out of the pavement. Even when it is dangerous or --"
first youth,Hey -- look what's comin'!
second youth,A white shepherd leading a brown sammy!
charlie,Perhaps I should --
gandhi,"Doesn't the New Testament say, ""If your enemy strikes you on the right cheek, offer him the left""?"
charlie,I think perhaps the phrase was used metaphorically... I don't think our Lord meant --
gandhi,I'm not so certain. I have thought about it a great deal. I suspect he meant you must show courage -- be willing to take a blow -- several blows -- to show you will not strike back -- nor will you be turned aside... And when --
gandhi,...and when you do that it calls upon something in human nature -- something that makes his hate for you diminish and his respect increase. I think Christ grasped that and I -- I have seen it work.
gandhi,Good morning.
first youth,"Get off the pavement, you bloody --"
first youth,Nuthing... nuthing. We were just cleaning up the neighborhood a little.
colin's mother,You're already late for work. I thought you'd gone ten minutes ago.
gandhi,You'll find there's room for us both.
charlie, That was lucky.
gandhi,I thought you were a man of God.
charlie, I am. But I'm not so egotistical as to think He plans His day around my dilemmas.
gandhi,"...you could call it a ""communal farm,"" I suppose. But we've all come to the same conclusion -- our Gita, the Muslim's Koran or your Bible -- it's always the simple things that catch your breath -- ""Love thy neighbor as thyself"" --  not always practiced -- but it's something we Hindus could learn a lot from."
charlie,"That's the sort of thing you'll be seeking on this ""farm""..."
gandhi," Well, we shall try."
sonja,They're going to change the pass laws.
second voice,"Just one second, sir, please."
smuts,"But on a short trip, I wouldn't spend too much time on the Indian question, Mr. Walker. It's a tiny factor in South African life."
walker, It's news at the moment. I will certainly report on your mines and the economy -- but I would like to meet this Mr. Gandhi.
smuts,"Of course. We Westerners have a weakness for these -- these spiritually inclined men of India. But as an old lawyer, let me warn you, Mr. Gandhi is as shrewd a man as you will ever meet, however ""otherworldly"" he may seem. But I'm sure you're enough of a reporter to see that."
gandhi,"...so it's not ""spiritualism"" or ""nationalism"" -- we're not against anything but the idea that people can't live together."
gandhi,"You see -- Hindus, Muslims, Sikhs, Jews -- even Christians."
gandhi,Mr. Walker! Of The New York Times!
gandhi,Without a paper -- a journal of some kind -- you cannot unite a community.  You belong to a very important profession.
walker,"Hm. And what should an ""important professional"" write about your response to General Smuts's new legislation?"
gandhi,"I don't know... I'm still searching for a ""response."""
walker, You will respect the law.
gandhi, There are unjust laws -- as there are unjust men.
walker,You're a very small minority to take on the Government -- and the Empire.
gandhi,"If you are a minority of one, the truth is the truth."
gandhi,This is Mr. Kallenbach. He is our chief carpenter -- and also our chief benefactor. He has made this experiment possible.
walker,"Well, it's quite a place, your ""ashram"" -- is that right?"
gandhi,"That's right. The word only means ""community."" But it could stand for ""village""... or the world."
walker,You're an ambitious man.
gandhi, I hope not.
walker,"They tell me you also take your turn at peeling potatoes and cleaning the ""outhouse"" -- is that part of the experiment?"
gandhi, Ba -- we will need another place set for Mr. Walker's driver.
ba,I will tell Sora.
gandhi,"It's one way to learn that each man's labor is as important as another's. In fact when you're doing it, ""cleaning the outhouse"" seems far more important than the law."
gandhi,Please come and join us -- you'll need something before your journey back.  Excuse me a moment.
gandhi,What is it?
ba,Sora was sent to tell me I -- I must rake and cover the latrine.
gandhi,Everyone takes his turn.
ba,It is the work of untouchables.
gandhi,In this place there are no untouchables -- and no work is beneath any of us!
ba, I am your wife.
gandhi,All the more reason.
ba, As you command.
ba,"The others may follow you -- but you forget, I knew you when you were a boy!"
gandhi,It's not me. It's the principle. And you will do it with joy or not do it at all!
ba,Not at all then...
gandhi,"All right, go! You don't belong here! Go! Leave the ashram! Get out altogether! We don't want you!"
ba,Stop it! Stop it! What are you doing!?
ba, Where do you expect me to go?
gandhi,What is the matter with me...?
ba, You are human -- only human.
ba,And it is even harder for those of us who do not even want to be as good as you do.
gandhi,I apologize...
gandhi,I must go back to that reporter.
ba,...And I must rake and cover the latrine.
gandhi, I want to welcome you all!
gandhi,Every one of you.  We -- have -- no -- secrets.
gandhi,Let us begin by being clear about General Smuts's new law. All Indians must now be fingerprinted -- like criminals. Men and women.  No marriage other than a Christian marriage is considered valid. Under this Act our wives and mothers are whores... And every man here a bastard.
khan,He's become quite good at this.
gandhi,And a policeman passing an Indian dwelling -- I will not call them homes -- may enter and demand the card or any Indian woman whose dwelling it is.
a voice,God damn them!
gandhi,Understand! He does not have to stand at the door -- he may enter.
merchant,I swear to Allah I will kill the man who offers that insult to my home and my wife!  And let them hang me!
tyeb mohammed,I say talk means nothing. Kill a few officials before they disgrace one Indian woman -- then they might think twice about such laws!
gandhi,"I praise such courage. I need such courage -- because in this cause, I too am prepared to die...  But, my friend, there is no cause for which I am prepared to kill."
gandhi,"I have asked you here tonight because despite all their troops and police, I think there is a way to defeat this law. Whatever they do to us we will attack no one, kill no one... But we will not  give our fingerprints -- not one of us."
gandhi,"They will imprison us, they will fine us. They will seize our possessions. But they cannot take away our self-respect if we do not give it to them."
gandhi,I am asking you to fight -- !  To fight against their anger -- not to provoke it!
gandhi,We will not strike a blow -- but we will receive them. And through our pain we will make them see their injustice  They will then have my dead body -- not my obedience.
gandhi,"We are Hindu and Muslim -- children of God, each of us. Let us take a solemn oath in His name that -- come what may -- we will not submit to this law."
gandhi, God save the King!!
civilian,These men are contracted laborers. They belong in the mines.
gandhi,You have put their comrades in jail. When you free them they will go back to work.
civilian,I've warned you.
gandhi,We have warned each other.
singh,I don't think that is very good.
sergeant,At the canter -- for-ward!
miner, Down! Down! Everyone lie down!
gandhi,Lie down! Lie down!
miner,The horses have more mercy than the men.
sergeant,You're right!
gandhi,Lie down! Lie down!
sergeant,Follow me!
sergeant,What the hell are we supposed to do now?
civilian," Let them march... In our own sweet time, in our own sweet way -- we'll get them."
charlie,Some of you may be rejoicing that Mr. Gandhi has at last been put into prison.
charlie,"But I would ask you -- assembled here in this house of God -- to recognize that we are witnessing something new, something so unexpected, so unusual that it is not surprising the Government is at a loss. What Mr. Gandhi has forced us to do is ask questions about ourselves."
charlie,"As Christians, those are difficult questions to answer. How do we treat men who defy an unjust law -- men who will not fight, but will not comply?"
gandhi,"They're sparing no one, I see."
khan,No. You were the surprise. It's been all over the prison. We thought they'd be too afraid of the English press.
gandhi,So did I.
khan, -- there's not a trace.
khan,I don't know who they've left out there to do the work. There can't be one mine left open. Have they touched the women?
gandhi,My wife publicly defied the law. They've arrested her and four others.
khan, Sorry...
gandhi,It's split the Government.
khan,"Well, that's one victory."
gandhi,"If we hold firm, it won't be the last."
khan,Don't worry -- I've never seen men so determined. You've given them a way to fight... And I don't think --
prison officer,Gandhi! I want Gandhi! Which sammy is it?
smuts,"Ah, Mr. Gandhi. I thought we might have a little talk."
smuts,Will you have a glass of sherry?
gandhi,Thank you. No.
smuts,Perhaps some tea?
gandhi, I dined at the prison.
smuts,Ahh.
smuts,Please -- please do come and sit down. It's prison I wanted to talk to you about.
smuts,"Mr. Gandhi, I've more or less decided to ask the House to repeal the Act that you have taken such ""exception"" to."
gandhi," Well, if you ask, General Smuts, I'm sure it will be done."
smuts,Hm. Of course it is not quite that simple.
gandhi,Somehow I expected not.
smuts,I'm glad to hear you say that... very glad. You see if we repeal the Act under pressure  under this kind of pressure it will create a great deal of resentment. Can you understand that?
gandhi,Very well.
smuts, I think I could guarantee they would recommend the Act be repealed.
gandhi, I congratulate them.
smuts,But they might also recommend that future Indian immigration be severely restricted -- even stopped.
gandhi,Immigration was not an issue on which we fought. It would be wrong of us to make it one now that we -- we are in a position of advantage.
smuts,You're an extraordinary man.
gandhi, I assure you I feel a very ordinary man at this moment.
smuts,I'm ordering the release of all prisoners within the next twenty- four hours. You yourself are free from this moment.
smuts,Assuming we are in agreement?
gandhi,Yes -- yes. It's just that... in these clothes I'd -- I'd prefer to go by taxi.
smuts, All right. Fine.
gandhi,I'm -- I'm afraid I have no money.
smuts,Oh!  I'm awfully sorry.
smuts,"Daniels, would you lend Mr. Gandhi a shilling for a taxi?"
daniels,"I beg your pardon, sir?"
smuts," How far will you be going, Mr. Gandhi?"
gandhi, but a shilling will do splendidly for the moment.
gandhi,Thank you.  Thank you both for a very enlightening experience.
gandhi," I'm obliged, Mr. Daniels, but I will find my own way out."
smuts," He's either a great man or a colossal fraud... Either way, I shall be glad to see the last of him."
young englishman,"By God, he loves it..."
second englishman,I'm sure he hates it.
second englishman,"Generals' reputations are being made in France today, fighting on the Western Front. Not as Military Governors in India."
second englishman,What the devil's going on back there?
young englishman,It must be that Indian that made all that fuss back in Africa. My cabin boy told me he was on board.
second englishman,Why haven't we seen him?  Gandhi?
young englishman,Yes. That's it. He was traveling Third Class. There he is.
young englishman,After he came out of jail he refused to wear European clothes.
gandhi,"No, no, I haven't ""refused""... I -- I simply wanted to dress the way my comrades in prison dressed."
english journalist,"Will you support the war effort, Mr. Gandhi?"
gandhi,"I -- I have demanded rights as a British citizen, it is therefore my duty to help in the defense of the British Empire."
american reporter,What are you going to do now that you're back in India?
gandhi,I don't know... I don't know...
nehru,"Please, Mr. Gandhi."
ba,My dignity comes from following my husband.
nehru, Just a few words -- then we'll get you to civilization.
gandhi,I -- I am glad to be home.  I -- I thank you for your greeting.
nehru,"We'll follow with your wife -- don't worry, everything's arranged."
gandhi,Who is that young man?
patel,"That's young Nehru. He's got his father's intellect, his mother's looks and the devil's charm. If they don't ruin him at Cambridge -- Wave! Wave! -- he may amount to something."
patel,I must say when I first saw you as a bumbling lawyer here in Bombay I never thought I'd be greeting you as a national hero.
gandhi,"I'm hardly that, Mr. Patel."
patel,"Oh, yes, you are. It's been two hundred years since an Indian has cocked a snoot at the British Empire and got away with it. And stop calling me Mr. Patel, you're not a junior clerk anymore."
gandhi, No.
patel,The new Military Governor of the North West Province was on that ship. Too bad you came back Third Class -- he might have been impressed by a successful barrister who had outmaneuvered General Smuts.
gandhi, Yes... I'm sure...
nehru,"Mr. Jinnah, our joint host, member of Congress, and the leader of the Muslim League and Mr. Prakash, who I fear is awaiting trial for sedition and inducement to murder."
