Speaker,Dialogue
written by, Jim Kouf
shooting draft, 1997
divinci,Says here they got slips in Honolulu. 325 a month. Utilities included. That's not bad.
divinci,But I gotta get at least a forty footer. It'll handle rough water better and I'll need the room if I'm gonna live on it.
rodriguez,I don't know how you do it.
divinci,What?
rodriguez,How you can think about Hawaii now?
divinci,My heart's in Hawaii.
rodriguez,You never been there. How can your heart be there.
divinci,You're tellin' me there's no place you'd rather be other than here?
rodriguez,"No, I'm saying I just don't know how you can think about Hawaii right now."
divinci,"If I was in Hawaii right now, I wouldn't be thinking about here. See the difference?"
rodriguez,No.
divinci,"Look, I'm not in Hawaii, I'm here. But I don't want to be here, I want to be in Hawaii. I can't be in Hawaii, therefore I think about it so as to not get depressed about being here."
rodriguez,"But I'm here, I know I'm here, I don't like being here, but I can't be anyplace else because I look around and I see all this shit. How do you get around that?! That's what I'm asking."
divinci,Focus.
rodriguez,Focus.
rodriguez,"It's time. No more Hawaii, okay? Focus on this."
divinci, Aloha.
rodriguez, Aloha my ass.
cynthia,Left at the corner.
divinci,Hope you don't mind me checkin' you for weapons.
hudd,Hell yes I mind.
hudd,I just don't want no man handlin' me.
divinci,Okay. Check him.
hudd,Lotta good hidin' places on this body. Check good.
hudd,Careful. It's loaded.
cynthia,He's got nothin'.
hudd,"Not bad, not bad. Any more where this came from?"
divinci,Maybe.
hudd,Then maybe we talk again.
divinci,Maybe.
hudd,Told you there was a lotta good hidin' places on this body.
hudd,"Bet you gotta lotta nice hidin' places, too."
rodriguez,Come on! Hurry up!
cynthia,"Hey, Joe, wake up. Get outa the street before you get run over. Joe, wake up!"
cynthia,"You're in the street, Joe. Get outa the street."
cynthia,"Other way, Joe."
cynthia,"Forget it, Joe. Maybe you're better off right there. I don't think you'd even feel it."
cynthia,Who is it?
divinci,Got your money.
cynthia,Put it on the table.
divinci,Tired?
cynthia,Yes.
divinci,I'm not.
cynthia,Take a sleeping pill. There's some in my purse.
divinci,You want your money?
cynthia,I already worked for that.
divinci,This is a bonus.
cynthia,For who?
divinci,"This ain't my fault. This is a failure of our educational system. If you hadn't fallen through the cracks and dropped outa school, you wouldn't be here now."
cynthia,So what's your excuse?
divinci,I'm in love.
vic,Keepin' some late hours.
rodriguez,What the hell you doin'? What're my neighbors gonna think?
vic,"I apologize. I understand your concerns. But you must understand that, unlike a bank, I cannot rely on a late fee as sufficient encouragement to repay one's debts. I am forced to employ the likes of Mr. Cutless Supreme, whom I might add, contributes significantly to my overhead. I am the real loser here. And I am concerned about your sincerity in repaying the twenty- seven thousand, nine hundred forty- two dollar gambling debt that is one week past due. What can you do to reassure me of your good intentions?"
rodriguez,I can make your life fuckin' miserable that's what I can do.
vic,"Look at me. Do I have a wife and three kids? Do I have a good job at IBM? Am I a handsome guy? No, no and no. I loan money at excessively high interest rates to pricks like you who can't control their urges to lose big money playing cards and then I am forced to stay up all night trying to convince them that I have needs, too. The point of which is, I already have a fuckin' miserable life. So don't threaten me you lousy bag of cat shit."
vic,All I'm askin' is that you be responsible. Is that unreasonable?
rodriguez,Four thousand is all I got.
vic,I am proportionally reassured. You purchased yourself an extension.
rodriguez,"Cutless Supreme, what kind of fuckin' idiot name is that?"
cutless supreme,"It was the car my daddy stole to take my momma to the hospital, but the cops stopped him and shot him dead in an alley before he could explain. I was born in the back seat."
patrolman mahoney,"Another day, another body. Where you wanna start?"
first man,A hit?
patrolman mahoney,Looks like. Could be gang related.
patrolman mahoney,"Happened sometime last night, early morning, two, three o'clock. African- American male, looks like in his thirties. But even that's a guess. Half his head is on the upholstery."
rodriguez,Any witnesses?
patrolman mahoney,"Oh, sure, hundreds."
divinci,Fuckin' Animals.
first detective,"...three shotgun shells, twelve gauge."
desk officer,"Three shotgun shells, twelve gauge."
divinci,One less drug store on the street.
desk officer,And the world is a safer place.
rodriguez," -- a green car... you know what make... Maybe a Ford, uh-huh. You didn't see the license, did you?"
rodriguez," Yeah, no, I understand, it was dark... Uh-huh."
divinci,Wanna go for a ride?
rodriguez, You bought it?
divinci,"As of last night, I've got the down. Just picture me under swayin' palms with a Mai Tai."
rodriguez," You're gonna buy it, no shit. When?"
divinci,Just a phone call away.
rodriguez,"That's really great, man."
rodriguez," Uh-huh, okay... how tall was he?"
divinci,I'm workin' it up now.
divinci,Why?
rodriguez,What the hell --
divinci,What's the occasion?
simms,You get an i.d. on the victim?
rodriguez,We're waitin' for prints.
divinci,Car was registered to --
simms,-- Anchor Imports. 81 El Dorado. Black.
divinci,"If you got all this, what d'you want from us?"
simms,...The man in the car is Lionel Hudd.
rodriguez, What's goin' on here?
simms,"Hudd was DEA, undercover."
divinci,We'll do everything we can to help.
rodriguez,"SHIT, FUCK, SHIT, JESUS CHRIST!"
divinci,Calm down!
rodriguez,"WE'RE DEAD, WE'RE FUCKING DEAD!"
divinci,SHUT UP!
rodriguez,"FUCK, FUCK, FUCK!"
divinci,"STOP IT! YOU HEAR ME, RIGHT NOW, STOP IT!"
rodriguez,"GOD, GOD, THIS IS REALLY FUCKIN' OUT OF CONTROL!"
rodriguez,LET GO OF ME!
divinci,Shut up and listen to me!
divinci,They could be watchin' us right now you asshole. So fuckin' shape up! You got it?!  I want you to nod!
divinci,Get the fuck up!
divinci,Get in the car!
divinci,There's no fuckin' reason to panic.
rodriguez,No fuckin' reason to panic? Did you say no fuckin' reason to panic!
divinci,Stop being an idiot! We're the cops on the case. It's our case. We are going to find the fuckin' killers.
rodriguez,WE'RE THE FUCKIN' KILLERS!
divinci,Since when does that matter?!
divinci,"All they want is someone to go down for the crime, right? Do we care who goes down for the crime? Fuck no. As long as someone goes down for the crime. It's a slot that's gotta be filled."
rodriguez,"We killed a cop, doesn't that bother you?"
divinci,"Of course it bothers me. What d'you want me to do, turn myself in? Well I'm not. That's the risk we take everyday, somebody might pop us, especially undercover like that. So he got popped. It happens."
rodriguez,Not by other cops!
divinci,"I patted him down! He wasn't wearin' a wire, he had no badge, no gun, how was I supposed to know?!"
divinci,"Look, I feel just as bad as you do, but we gotta start thinkin' about us here. The important thing is we don't lose control of the case. We can never lose control of the case. Whatever evidence there is goes through us. We lay down the trail. Make it nice and logical. We're the teachers and two and two can add up to five if it's our classroom."
rodriguez,"What're you talkin' about, are you sayin' we stick somebody with this?"
divinci,"Evidence points wherever we want it to point. Shit, we can provide so much evidence, even the asshole we pick will think he fuckin' killed him."
rodriguez,You got some asshole in mind?
divinci,Just don't worry. We'll find a killer. There's lots of 'em out there.
james,What the hell'd I do now?
james,Ain't my gun.
divinci,"Never is, is it."
james,That ain't my fuckin' gun.
divinci,Got your fuckin' prints on it.
rodriguez,Where were you Friday night?
james,Friday night... last Friday night?
rodriguez,Where were you?
james,Whatever you think I did went down last Friday night?
divinci,"Better have a good alibi, James, or it's good ali bye-bye."
james,I was in jail you assholes. Check it out.  All night. What a couple a dickheads!
cortez,Ain't my gun.
rodriguez, Got your prints on it.
cortez," You fuck, I ain't never seen that gun before!"
rodriguez,Where were you last Friday night?
cortez,Fuck you. I wanna talk to a lawyer!
rodriguez,"Lawyer's not gonna help you, Cortez. All the evidence we got points right to you."
cortez,Did you say last Friday night?
cortez,"Intensive Care, you pindejo fuckin' gutter shits. And Thursday night, and Saturday, too. I just fucking got out this morning."
dave,"Alright, alright, alright... shit. I ain't gonna fight you."
dave,Ain't my gun.
rodriguez,That's what they all say.
dave,Wish it was. No better gun than Smitty and Wes .44 mag with serial numbers filed off.  Got any bullets?
dave,Who did I kill?
divinci,Where were you last Friday night?
dave,"You mean, what's my alibi right?"
dave,"I was breakin' and entering. Jewelry store on seventh and Front, about nine o'clock. Not even close to your jurisdiction. I got the rocks to prove it."
dave,Sorry I can't help ya. But one to five is better than ten to life.
divinci,Montrose LaJolla...
rodriguez,We pulled him in last year for knifing that dealer on 32nd.
divinci,"Yeah. Almost killed him, remember? He'd be good.  Anybody seen Montrose LaJolla?"
another detective,He's dead. His life partner killed him in a Domestic D about a month ago.
rodriguez,Shit!
divinci,Take it easy.
rodriguez,This isn't gonna work!
divinci,Nobody said it was gonna be easy. But let's not advertise our despair... Okay?
divinci, Divinci.
divinci,This is our case! Not the goddamn DEA's!
divinci,We're not fuckin' magicians! What the hell is three days?! This is a goddamn murder case! It takes a little bit of goddamn time!
divinci,We've got a couple leads. We need a little more time.
rodriguez,This is no fuckin' way to run an investigation.
divinci,How much time we got?
rodriguez,What funeral?
divinci,What for? We didn't know him.
reverend,"-- and it is too easy to say that he was a good man in his job because he gave more than most. And it's too easy to say that he was a good man in his community because he gave more than others. And it's too easy to say he was a good man at home with his family because he was always there when they needed him. Special Agent Lionel Hudd was not just a good man, he was an extraordinary man. And his death shall not be in vain."
divinci,Don't Humpty Dumpty on me.
rodriguez,What's that mean?
divinci,Your cracks are startin' to show.
rodriguez, Bullshit.
divinci,Get your balance. Here comes the King.
simms,Glad you came... Anything break?
divinci,Nothin' to brag about. But we've got a couple new leads we're followin'.
simms,"...Look, normally we'd be all over this, but your Captain seems to think you can do the job. It's your territory. I guess you know it better than anybody. And that can be worth a lot. But you understand... we won't wait forever."
divinci,Just outa curiosity... What happened to his backup? You guys use backup on undercover don't you?
simms,It was a new lead. Hudd was afraid backup would blow his cover. He was supposed to check in ten minutes after the deal went down. He never checked in.
