Speaker,Dialogue
a screen play,by Andrew M. Niccol
fade in," A white title appears on a black screen.  ""As night-fall does not come at once, neither does oppression...It is in such twilight that we all must be aware of change in the air - however slight - lest we become victims of the darkness."" Justice William O. Douglas"
director josef,"You keep your work station so clean, Jerome."
jerome,"--Next to Godliness, isn't that what they say?"
director josef,I reviewed your flight plan.  Not one error in a hundred thousand keystrokes.  Phenomenal.  You have a substance test.
lamar," Jerome...never shy.  Pisses on command. You've got a beautiful cock.  I ever told you that, Jerome?"
jerome, Only every time I'm in here.
lamar,I see a lot of cocks.  I speak from experience. Yours is a beautiful example.  Why didn't my folks order a cock like that for me?
lamar," If everything goes to plan, this could be the last time I see you for a while.  One week to go.  Please tell me you're the least bit excited."
jerome,I'll tell you at the end of the week.
nurse,What are you doing?
maria, I can't do this.
nurse," I told you, the government pays.  It's all taken care of."
maria,"No, you don't understand.  I can't."
nurse, The doctor will give you something.
maria, I'm not doing it.
nurse," Honey, you've made one mistake--"
nurse, You can have other children.
maria, Not like this one.
nurse," Honey, look around you.  The world doesn't want one like that one."
maria, You don't know what it will be!
nurse, The child won't thank you!
antonio,What's wrong?
nurse,The name?  For the certificate.
maria,Antonio--
antonio," --No, Vincent Antonio."
maria," Oh, Vincent, Vincent, Vincent...I can't let you out of my sight."
geneticist, Put up the dish.
geneticist,"Your extracted eggs...  ...Maria, have been fertilized with... Antonio's sperm and we have performed an analysis of the resulting pre-embryos. After screening we're left with two healthy boys and two healthy girls.  Naturally, no critical pre-dispositions to any of the major inheritable diseases.  All that remains is to select the most compatible candidate."
geneticist,"First, we may as well decide on gender. Have you given it any thought?"
maria," We would like Vincent to have a brother... you know, to play with."
geneticist,"You've already specified blue eyes, dark hair and fair skin.  I have taken the liberty of eradicating any potentially prejudicial conditions - premature baldness, myopia, alcoholism and addictive susceptibility, propensity for violence and obesity--"
maria," --We didn't want--diseases, yes."
antonio, We were wondering if we should leave some things to chance.
geneticist," You want to give your child the best possible start.  Believe me, we have enough imperfection built-in already.  Your child doesn't need any additional burdens.  And keep in mind, this child is still you, simply the best of you. You could conceive naturally a thousand times and never get such a result."
