Speaker,Dialogue
horton,"Mornin', sir."
bush,Hard life if you can't read..
horton,"Pardon? I'm uh, Reverend Gus Horton, sir, how you doing? Bush stops his swing and turns and stares coldly at Horton."
bush,"Don't need saving, preacher."
horton,"Uh, well, Mr. Wiley Starke has passed on, sir. His funeral is tomorrow and I thought you might want to know since.."
horton,"Just got old, sir."
bush,"Yeah, well.. Bush returns to chopping wood. Feeling awkward, Horton hesitates, starts for his car, stops."
horton,Mr. Starke told me that you and him ran away from home when you were 6 years old. Is that true?
bush,"I talked him into it. Bush doesn't turn, just keeps chopping."
horton,"Well.. anyway.. I.. alright.. Horton shrugs, get in his car, and leaves. Bush strikes the log hard and a cleaved piece goes flying."
bush,Well hell..
bush,"Always thought you'd go first.. White as cotton, Bush stares into the lamp that is running out of oil, the light fading fast to darkness. Thoughts tumble through his mind, troubling him, stirring the dark waters of memory."
bush,"Ahh, don't look so disappointed."
bush,"You better not. Mule looks back, sees an apple in Bush's hand, and stops."
bush,And coffee when we get there.
horton,Buddy?
horton,Oh! Hello.. Horton comes to Bush but Bush ignores him and keeps critically looking around.
horton,"What can I do for you, sir? Suddenly BUDDY and KATHRYN ROBINSON  enter from the vestibule with their new BABY. In their own world, and not realizing that there is anyone in the chapel, Kathryn picks some lint from Buddy's jacket. He catches her fingers and kisses them. Bush is transfixed by the loving moment."
bush,I can wait. Buddy and Kathryn see Horton and double-take Bush. Buddy nods to Horton and he and Kathryn step back into the vestibule to give Bush and Horton privacy.
horton,"It's alright, have a seat. Bush sits down uneasily in a pew. Horton sits down in the pew in front of him and twists around to face him. The wintry light from the near window washes over them."
horton,"What's on your mind, sir?"
bush,Bout time for me to get low.
horton,Get what?
bush,Down to business Bush reaches into his overalls and puts a balled-up wad of MONEY on the pew. Horton's eyes bulge.
bush,Need a funeral. Horton looks up from the money.
horton,For who?
bush,"Me. Buddy peers around from the vestibule, listening, curious as hell, until Kathryn pulls him back."
horton,For you?  You want to buy a funeral for you?
bush,Am I not talking right?
horton,"No, yes, I'm sorry. Are you sick sir?"
bush,Everybody dies.
horton,"True, but.."
bush,"I don't take care of my bones it won't get done, will it?"
horton,"All right, I see. Well the church can help you get your affairs in order, arrange a service.. Horton glances at the strange wad of money again."
bush,What would you say?
horton,About what?
horton,A eulogy? I.. don't know. What do you want me to say?
bush,Say what you'd say right now to my face.
horton,"Well. I uh, I don't know much about you, Mr. Bush. I mean, I've heard stories but.."
bush,"What stories? Bush leans in and stares into Horton. It feels like everything in the world stops dead. Buddy peeks in again, this time Kathryn peeks too."
horton,"Just stories..  .you know, people talking."
bush,What kind of stories? Say one.
horton,Sir.. my mother used to say that gossip is the devil's radio..
