Speaker,Dialogue
seminar presenter,"Which brings us on to Dental Insurance. Generally speaking, when you receive care from a participating PDP dentist, your out- of-pocket expenses will typically be lower than if your were to accept care from a dentist outside the group. The law deems it illegal for dentists to charge any more than the network approves... But listen, in my three and a half years of experience in this business people mainly care about keeping their premiums low. So, each of you must be prepared to sell the network to your clients and always cater to their specific condition."
james, Where's everybody?
mavis,Mr. Brown. You scared me!
james,Mavis. Where's everybody at? I got a meetin' this mornin'.
mavis,"It's Sunday, Mr. Brown."
james,"No, it's Tuesday, Mavis."
seminar presenter,"Now, understand that not all people have the same type of needs. When it comes to an insurance plan everyone is different.  3"
james,OK Stop. Sir. Stop. Who been in there?
seminar presenter,Excuse me?
james,"I own this building, someone has been in there used my commode. Now who was it?"
seminar presenter,"Sorry. We're actually renting this part of the building today, and we're in the middle of a seminar."
james,"I don't care if you're in the middle of a heart attack son. Someone been in there, I hear the chain flush, I can smell it. Now who it was?"
insurance salesman,It is. It's fuckin' him.
james,Something funny?
insurance salesman,"No, sir."
james,Then why you cats laughing?
insurance salesman,I wasn't laughing. It wasn't me. 4
seminar presenter,"Look, I suggest we just continue... OK. So. How does the program work? Initially, participating dentists undergo an extensive credentialing process which, if approved, allows customers to pay the minimum deductible allowed and the remainder is insured. But with non- participating dentists the cost per visit is much higher and comes completely out of pocket. So some people may want a high deductible because they have more to cover, but most common folks simply want the lowest possible plan... and remember our key takeaway!?"
james,OK listen up people.
insurance salesman,Don't shoot.
james,"I ain't gone shoot nobody, son."
female saleswoman,"Yes sir, Mister Brown."
james,"Yes you did. Now, don't cry. It's gone be okay."
james,Don't hurt me. Don't stop me. Don't stop me.
james,Don't stop me. Don't stop me.
james,C'mon. C'mon.
james,"""I Don't Feel Noways Tired""."
announcer,"Aaannd now folks, before the main event, the Augusta Country club is proud to present to y'all it's Annual Charity ex-travagaaanza..!  Ladies and gentlemen..The Battle... Royale!"
bobby,What was that?
maceo,"Please, Lord! Please!"
soldier,Holy shit.
james,"See Captain Jenkins, the James Orchestra is a 22 piece, but the Gov'ment or the Army, powers't be say I can only bring six fellas. Right now I got 16 pieces sittin' in a Bangkok hotel. If I'm paying my own money to be here, and I am, I oughtta bring as many cats as I want. Breaks my heart, son. `cause I know they all wish they was here right now."
pilot,"Mr. Brown, it's probably best if you go back now."
james,"We gone be fine, Captain."
pilot,We're under attack Mr. Brown.
