Speaker,Dialogue
sam,I can't breathe.
molly,"Use your mask, dummy."
sam," ""Volga boat..., man."" Whoomph!"
molly,"Sam, look, there's a whole eight feet up there."
sam,And about eighty years of dust.
molly,"We have all this height, Sam. We could add a second floor and put our bedroom upstairs. That would leave all this space."
sam, For what?
molly,For space. Just space.
sam,Be great for bumper cars.
carl,"Sam, this may be none of my business, but I'm concerned you're doing too much coke."
molly,"Hey, Sam, turn around."
carl, How 'bout me?
carl,I'll never wash again.
molly,"All together now. One,  three."
sam,"Hey, look what I found. There's a penny inside.  For luck in our new loft. It's a good omen."
molly, You're the good omen.
molly,It's gorgeous.
carl,"You guys lucked out. Hell, I bet you could sell it tomorrow and double your investment."
molly,"Sell it? Carl, we just bought it."
carl,What I wouldn't do for a place like this.
sam,It's gonna be great.
carl,"Oh, by the way, Sam, I had to move your 3:00 with Bob Kahan to 4:00 so you could squeeze in Gary Alan. He called yesterday and said he has to see you today about the Danway stuff. Three o'clock was the only time he could make it. Also, the board meeting in L.A. has been confirmed for the 12th. I got you on a 9:00 a.m. flight."
carl," Hey, Sam, relax. This isn't brain surgery you're going into."
sam,"I hate pitching to these Japanese guys. They make me nervous. I mean, what am I supposed to say, ""Who do you think'll win that big Sumo championship""?"
carl,"Sam, you'll be fine. You're great with people."
carl," Hey, nice. I like those."
sam,...Molly.
carl,"Jesus, look at that, a Testerossa. That's the car I'm gonna drive when I'm making two hundred grand."
sam,Better pay off your Mustang first.
sam,"So Carl, what did the doctor say?"
carl,He said it was contagious. Very contagious. I shouldn't be going into work today.  But what could I do?
sam,And what about the rash?
carl,Not good. It's spreading everywhere.
sam,On your genitals again?
carl,Everywhere. He said be sure not to touch anyone.
rose,"Morning, Mr. Wheat."
sam,"Morning Rose. Listen, when the Kobiashi people arrive, have Elenore take them right to the..."
rose,They're already here.
sam,They're early!
rose,"I know. And Andy Dillon called. He said they need $900,000 transferred to Albany by noon."
sam,Noon? Damn!
carl,Hold on.
sam,"Listen, Dillon needs $900,000 in Albany by noon. Can you transfer it to his payroll account?"
carl,Sure. Just let me have your MAC code.
sam,"Discretion, huh?"
carl,You bet. I'll do it right away.
sam," Good morning, Gentlemen. On behalf of Market Security Bank & Trust, I welcome you to our city."
men,Arigato.
sam,"I'm afraid that's the only Japanese I know. But I realize it's not our language fluency, or lack of it, that brings you to Market Security. Rather, I'm sure, it is our banking expertise, our ability to represent and anticipate all of your banking needs. As you know, we are not the largest banking establishment in New York.  But, with combined assets of over 200 billion dollars, we have a firm commitment to the international marketplace."
sam,Excuse me.  Hello?
molly,"A man and a woman are lying in bed when the woman's husband suddenly comes home. Frightened, she tells the man he has to leave instantly through the window. He has no time to dress."
sam,Uh hmm.
sam,Okay.
sam,"Well, that's just fine."
sam,Thank you. I'll remember that.
molly,"Where you guys from, the New York City Ballet?"
sam,Saved your life.
molly,You bastard. Don't do that to me. You scared me half to death.
sam,"Better than seeing this gorgeous body splattered all over the street. Here, look out."
molly,Carl? Did you invite him?
sam, I couldn't keep him away.
carl,"Hi, Moll. Hi, Sam. So, how's it goin?"
molly,In the bedroom.
carl,Wow! The place looks great. Really great.
molly,"You like it, huh?"
carl,"""Like"" is hardly the word. I never imagined it would be this beautiful. This is incredible."
molly,"Sam, you kept that chair?"
sam,What do you mean? It's comfortable. For T.V. I love that chair.
molly,But it doesn't go with anything.
sam,It goes with me.
molly,"It's okay, I'll paint it."
sam,"It was the middle of December. I was sitting in my old office, the one Charlie's in. Suddenly, I heard this woman screaming. I thought someone'd been shot or something."
molly,"They took away my MasterCard. It was Christmas, for godssake."
sam,She was four thousand dollars over her limit.
molly,It wasn't four thousand. And I'd already sent in the payment! You're the ones that lost it.
sam,She's still angry.
molly,No I'm not.
