Speaker,Dialogue
morell,What kind is it?
morell,And the frame?
morell,Postmark?
morell,No note.
blomkvist,"What is this, the media event of the year? REPORTER 1 Don't try to play it down, Mikael, it won't work."
blomkvist,"Don't try to play it up, that won't either. 4A   EXT. COURTHOUSE - STOCKHOLM - DAY - CONTINUOUS            4A"
reporter 2,"Will you appeal? BLOMKVIST I'll appeal to you, Viggo:   Find a real story to cover. He hurries off in the rain."
tv newscaster,"In an article published earlier this year, Blomkvist claimed Wennerstrom - founder and president of The Wennerstrom Group - used State funds intended for industrial development in Poland for an arms deal with the right-wing Ustashe in Croatia.  The report cuts to a shot of Wennerstrom outside the courthouse in an Armani suit, surrounded by his legal team, confidently addressing the reporters -  WENNERSTROM ON TV I have nothing against Mr. Blomkvist. He's a good journalist who I don't believe is guided by malice. But what he wrote was inaccurate, and inaccuracies can't go unanswered. He - all journalists - have to accept like the rest of us, actions have consequences.  Done with his sandwich, Blomkvist goes to the counter. BLOMKVIST Marlboro Red ... and a lighter. 6   EXT. CAFE - MOMENTS LATER - DAY                               6  He comes out tamping the pack. Extracts a cigarette. Tosses the pack in a sidewalk trash bin. Flicks at the lighter but can't get it to fire in the wind and rain. Hunches his body around it, coaxes it to life.  TV NEWSCASTER V/O Blomkvist was ordered to pay 600 thousand SKE in damages and all court costs, which could be significantly more.  He takes a long drag that dizzies him. A wonderful feeling. He regards the trash bin. Fishes around it, finds the pack, puts it in his coat pocket.  7   EXT. MILLENNIUM OFFICES, STOCKHOLM - DAY - ESTABLISHING       7 8   INT. MILLENNIUM'S OFFICES - DAY                               8  He comes through past Christmas decorations and a mostly- young staff. They try not to regard him as a dead-man- walking, but aren't entirely successful. He enters the editor's office. 4."
erika,Where you been?
blomkvist,Walking.    Thinking.
erika,Smoking?
blomkvist,"Just one. He sits, exhausted and depressed, in a cheap Poang chair. ERIKA TV4 called. I told them no statement until we've read the judgment in its entirety."
blomkvist,I have.    Who else? ERIKA Everyone who's ever wanted to see you humiliated. BLOMKVIST You've been on the phone all day then.
erika,I'm as much to blame for this as you.
blomkvist,You are?    You wrote it? ERIKA I read it.    I ran it.
blomkvist,"Not the same. ERIKA Our credibility isn't dead, Mikael."
blomkvist,Mine is. They regard each other in another silence.      Then - 5.
blomkvist,I'm tired. I feel like climbing under a duvet and sleeping for a week. ERIKA Alone? He thinks about it ... shakes his head `no.'
erika,I already called Greger and told him I wouldn't be home tonight. 9    EXT. STOCKHOLM - SAME TIME - DAY                              9
armansky,"It's possible we could wait forever. FRODE You called her, I thought.     You spoke to her. ARMANSKY I'm afraid that doesn't mean much."
frode,I don't understand.
armansky,No one here likes her. So it's better if she works at home. FRODE But you told her I wanted to meet her.
armansky,But I've told her many more times I prefer her not to meet clients.
armansky,I'm concerned you won't like her. She's different. FRODE In what way.
armansky,In every way. 13   INT. MILTON SECURITY - STOCKHOLM - SAME TIME - DAY          13
armansky,"Lisbeth, Mr. Dirch Frode. FRODE How do you do? 7."
salander,Something wrong with the report? FRODE No. It seems quite thorough. There's a wealth of data here. But I'm also interested to know what's not in it.
salander,There's nothing not in it.
frode,Your opinion of him isn't.
salander,I'm not paid to give my opinion.
frode,So you don't have one?
frode,He's - excuse me?
salander,"He's honest. He's who he presents himself to be. In his business, that's an asset."
frode,There's less in his asset column after his conviction today. SALANDER That's true. He made a fool of himself with that. If it happened that way. Frode looks at Armansky.    What's that supposed to mean?
salander,"If he made up the story, that's out of character. So is giving up without a fight. People don't do things that are out of character."
frode,Are you saying he was set up? 8.
salander,That wasn't part of my assignment.
salander,"The judgement will just about empty his savings. This seems to please Frode more than anything else that has been said, and Salander sees it. SALANDER May I go?"
frode,Your report is light in another area. His personal life. Anything you chose not to include? SALANDER Nothing that warranted inclusion.
frode,I'm not sure if that means yes or no.
armansky,"I think what Ms. Salander means, and I agree, is that everyone has a right to a certain amount of privacy, even when they're being investigated."
frode,Not in this case. I have to know if there's anything about him I might find unsavory - even if she doesn't.
frode,You were right not to include that.
salander,I know. FRODE Anything else? SALANDER No.
frode,Please think before you say no. SALANDER I did. FRODE I don't want to be surprised by something later.
frode,So. Nothing else. In the personal department. You're sure.
salander, He likes sandwiches. A15   EXT. BLOMKVIST'S APARTMENT - ESTABLISHING                A15
erika,"Usually when I wake up in a cold bed, it's at home."
blomkvist,Sorry.
erika,What are you doing? 10.
blomkvist,Writing the press release.
erika,Saying - BLOMKVIST You're taking over as publisher. You're sorry for any nuisance Wennerstrom was caused. I can't be reached for comment.
erika,You're giving up. BLOMKVIST Just taking a few steps aside. For you. ERIKA This makes me sick. 16    OMIT:   INT. BOOKSTORE - STOCKHOLM - DAY                  16
annika,He declined. BLOMKVIST As she hoped. ANNIKA Never a good idea mixing family and business.
blomkvist,And I still would have lost.
gregor,Did you have ... anything on him.
blomkvist,I had a lot.    It just wasn't any good.
erika,It wasn't even about Mikael. It was Wennerstrom sending a message to the press as a whole - and the FSA: Don't ask questions.
pernilla,Mom's worried. BLOMKVIST About me?
pernilla,About all that money. 12.
doctor,You're Mr. Palmgren's daughter? SALANDER His ward.   He doesn't have a daughter.
blomkvist,Nilla?    What are you doing? PERNILLA Nothing.
blomkvist, You're not serious. 13. 13. Dragon Tattoo Final 9/1/11 SZ
pernilla,I don't want to talk about it since I know you won't approve.
blomkvist,Of -  Nilla. PERNILLA Light of Life.
blomkvist,Light of - what?  What is that?
pernilla,You think it's all senseless but it isn't. It's more natural to believe in something than not to.
blomkvist,Hello. FRODE O/S Mr. Blomkvist?
blomkvist,Yes.
blomkvist,Of course. FRODE O/S He'd like to speak to you about a private matter. 14.
blomkvist,"You know, you're calling at an awkward time."
blomkvist,Have him call me. FRODE O/S He'd like to meet in person if that's okay. Up north. Hedestad.
blomkvist,No.   Sorry.
blomkvist,"And last, I'm sure. FRODE It's lovely in the spring."
blomkvist,You said it was lovely in winter.
frode,This is unseasonable.
blomkvist,I'll be on the 4:30 train back to Stockholm.
frode,"Unless we get snowed in ... I'm joking. You'll be home tonight, if that's what you wish."
vanger,Welcome.   Come inside.    It's warm. 16.
frode,Mr. Blomkvist would like to be on the 4:30 train back to Stockholm.
vanger,What?
blomkvist,I can't stay for dinner.
vanger,"Oh. I guess I'd better be quick then. Thank you, Dirch. Mikael, this way. 29   INT. VANGER'S STUDY - DAY                                   29"
vanger,What do you know about me? BLOMKVIST That you used to run one of the biggest industrial firms in the country.
vanger,Used to.   That's correct.
vanger,My grandfather forged the tracks the 4:30 train will take you home on - and most of the other pre-state-owned rail lines.   We stitched this country together. We made the steel and milled the lumber that built modern Sweden.  Fertilizer.
blomkvist,Doing.
vanger,"Officially, assisting me with my memoirs. But what you'd really be doing is solving a mystery. And you'd do that by doing what you do so well - this recent legal mishap of yours notwithstanding. You'd be investigating thieves, misers, bullies, and malcontents - the most detestable collection of people you'll ever meet ... my family. A30   EXT. SALANDER'S APARTMENT - ESTABLISHING                 A30"
vanger,"Isn't it interesting how fascists always steal the word freedom.  The 4:30. Yes. Okay. Anyway, Richard died a martyr to the Nazi cause in 1940 - missed all the real excitement - but not the opportunity to regularly beat his wife Margareta and their son, Gottfried."
vanger,"Now, Gottfried - Harriet's father - was what people used to call a Good- Time-Charlie."
blomkvist,They're still called that. VANGER Are they?   Okay. INSERT:   Close on a photo of Gottfried.
vanger,"He was a charmer, a ladies man, a drunk. In other words, a born salesman - which is what he did for the company - traveling around, taking clients out to dinner and so on."
blomkvist,"Someone has to do it. VANGER That's right. Anyway, he died in 1965. Drowned. Drunk. Here on the island. A studio photo: Gottfried with his wife and two children."
vanger,His wife Isabella - who was pretty much useless before as a parent - became even more so after his death - which is when I began looking after their children - Martin - who runs Vanger Industries now that I'm retired - and Harriet. 20.
vanger,"She was bright and curious, a winning combination in any person. BLOMKVIST And beautiful. Vanger nods as he regards the photo ..."
blomkvist,Something happened to her?
vanger,What was she going to tell me? Why didn't I make time for her? Why didn't I listen?
blomkvist,She couldn't have run away?
vanger,Not without being seen.
vanger,"Firemen stayed on the bridge all night pumping out the gasoline. And no one swam across, or took a row boat. All of them were still tied up on this side Sunday. Believe me, we checked. 45B   INT. VANGER MANOR - DUSK - PRESENT DAY                   45B"
blomkvist,She couldn't have fallen and drowned?
vanger,The currents aren't strong here. Anything that falls into the water turns up nearby. Like her father. His body didn't drift more than ten meters when he drowned the year before. Vanger's pauses at a landing to steady himself and his labored breathing.
vanger,"No. Someone killed her, Mr. Blomkvist. Someone on the island that day. Someone close enough to know what she used to give me each year on my birthday. He unlocks the door of the attic and pushes it open to reveal a cluster of nine dusty framed dried flowers on a wall. 24."
vanger,These were from her.
blomkvist,Who knows about these?
vanger,"Me, the police, the murderer ... and now you."
vanger,"- studying their reports and interviews, all the information there was, and it's a lot. I've spent half my life examining the events of a single day. And for all that, he's no closer to the truth."
blomkvist,I understand your frustration. But what you're asking me to do is a waste of money. VANGER We haven't discussed your fee. BLOMKVIST We don't need to. I can't find something you haven't been able to in forty years.
vanger,You don't know that. You have a very keen investigative mind.
blomkvist,You want me to set aside my life and career for something that's a complete waste of time.
vanger,"Think of it as a well deserved vacation. A way of avoiding all the people you want to avoid right now.  As for compensation, I'll pay you twice your salary for as many months as it takes. I'll quadruple it if you solve the mystery. 26."
blomkvist,Mr.  -
vanger,I'm not done. I'll throw in one more thing - even though you're a terrible negotiator. It's what you want more than anything else and it can't be bought at any price. I'll give it to you ... Hans-Erik Wennerstrom.
plague,Would you like to sit? I could possibly clear a place if necessary.
plague,I'm on welfare; I don't administer it. This isn't enough. 27.
salander,"I had to pay three months back rent and eat a little bit. It's all I have right now. PLAGUE I find that so poignant. So much so that he does nothing more than look at her. She reaches to take the money back, but he pockets it and moves across the dark room to a work table where high-end computers fight for space with debris. Finds and gives her a small homemade electronic box, which she turns over in her hands."
plague,No `thank you?' 51    INT. MILLENNIUM OFFICE - EARLY MORNING                    51
erika,"We're in our worst crisis ever and you're writing a memoir? BLOMKVIST You fired me; I need something to do. ERIKA You fired you; I need you here, not the North Pole. You know what this is going to look like."
blomkvist,"Like I've been gutted. Like I'm running away. I am. They cross through the building, he with his cases, she with her coffee cup. 28."
blomkvist,"Wennerstrom wants to see me waving a white flag, not a red one. And the more it looks like there's a problem between you and me, the more it'll satisfy him."
erika,"There is a problem between us. He won't be satisfied until he shuts us down, and you're leaving me to fight him alone."
hussein,This is the North Pole.
blomkvist,"It's me. I'm here. It's fucking cold and I'm on a pay phone. If you tried to call, the reception sucks, and if you tried to email, there's none of that either, so - so - I'm here - and - I can't even speak it's so fucking cold."
nilsson,I'm Gunner.   The caretaker. 65   INT. COTTAGE - LATER - DAWN                               65
nilsson,"You're an author. BLOMKVIST I'm writing a biography of Mr. Vanger, yes."
nilsson,"Bit of trouble, I guess."
nilsson,"No jail time, though. That's good. Cost you a lot of money though, yeah? 31."
nilsson,There. 66   EXT. VANGER ESTATE - DAY                                  66
vanger,"The island is owned by my family. Your closest neighbor is my brother Harald, another Nazi if you can believe. Two in the family. He's detestable to put it nicely, but you'll probably never see him. He's a recluse."
blomkvist,He was there that day?
vanger,Indeed he was.
blomkvist,Does anyone speak to anyone on this island?
vanger,"Actually, Isabella - Harriet's mother - who lives there -  Cecilia's brother Birger lives there. BLOMKVIST Who doesn't he speak to? VANGER You, probably. Not that you'd want him to. He can be as unpleasant as Harald. 32."
blomkvist,I'm quickly losing track who's who.
vanger,"Oh, how you'll wish were it always so. Soon you'll know us all only too well - with my apologies.  Out there is my nephew Martin's house; Harriet's brother."
blomkvist,"Who speaks to him? VANGER I speak to him. He runs the company now, as I think I told you."
vanger,Someone shooting their dinner. Gunner probably. The caretaker. BLOMKVIST I just met him. VANGER He was 19 when Harriet disappeared.
vanger,Sorry? BLOMKVIST Your house.
vanger,"Yes, you're right. The man who hires the detective should always be kept on the suspects list. 66A   OMIT - INT. COTTAGE - DAY                                      66A"
salander,I got a call from social welfare. I've been assigned a new guardian.
morell,I'd like to see the girl's room.
vanger,It's down the hall. 34.
morell,I thought this was your house.
vanger,It is.    She lives with me. MORELL Are her parents alive? VANGER Her mother is.
younger vanger,What about the search?
morell,First thing in the morning. YOUNGER VANGER No. We should do it now. She could be hurt out there.
morell,"But   I also couldn't find a motive. Was   it spontaneous? Was it planned? Did   she know something someone wished she   didn't? Was it about business? BLOMKVIST Business?   She was sixteen. MORELL And very bright. Henrik told me he could easily imagine her running the business someday, which would mean someone else wouldn't."
blomkvist,She was with some friends that day. At a parade. You must have talked to them.
morell,"She told them she wasn't feeling well. She left early. But they also said she kept secrets from them, too. The main thing I learned talking to them for hours is that teenage girls are complicated. BLOMKVIST I have one."
morell,So you know.  Did you bring the last gift Henrik received?
blomkvist,It's at the National Forensic Lab.
morell,I can tell you what their report will say now: It's a flower common to Europe. All of them are. No prints. No DNA. He lights the pipe.   Blomkvist watches the tobacco glow.
blomkvist,I wanted to ask you about this.
morell,She received this from Henrik the Christmas before. I studied it more times than I can say. I know every page of it. BLOMKVIST It's the last page I'm curious about. MORELL As was I.
blomkvist,"The only names not alphabetized. Morell nods that he knows that only too well as he turns to that last page. On it, in neat handwriting: Magda 32016 Sara 32109 R.J. 30114 R.L. 32027 Mari 32018"
morell,"They're local Hedestad phone numbers. The first belonged to a woman named Margot, whose mother was Magda, who claimed she didn't know Harriet. The fourth, R.L., belonged to Rosemarie Larsson, an elderly woman who died a few years before. The other three were unconnected in any way that I could find. He hands the address book back. It, and everything else about the case, clearly trouble him still."
blomkvist,I've reminded you of things you'd rather forget. I'm sorry.
morell,I can't forget it. It's my Rebecka Case.
morell,"Every policeman has at least one unsolved case. Back then it was old Torstensson. Year after year he kept returning to one - taking out the files - uselessly studying them. As young men, we had to laugh. BLOMKVIST Was this also a missing girl case? 38."
morell,"No, that's not why I mention it. The Rebecka Case is something that happened before Harriet was born. I'm talking about the soul of a policeman. Poor Torstensson could never solve it, and could never let it go. And neither can poor Morell with his Harriet case. 78   EXT. STOCKHOLM - DAY                                      78"
bjurman,How's Mr. Palmgren doing? I was told he had a stroke of some kind.  Terrible.
salander,Make coffee and sort mail.
bjurman,But not full-time. Not even part- time consistently. They somehow got along without coffee or mail in July and August?
salander,Enough.
bjurman,How much is your rent? 39. 39. Dragon Tattoo Final 9/1/11 SZ
salander,I pay my rent.
bjurman,When's the last time you were late? SALANDER Never. BJURMAN Do you think that ring in your eyelid makes you attractive?
salander,It isn't a discrepancy or a problem. It was clear to him I could manage my own finances. BJURMAN But that's not clear to me. SALANDER I'm not a child.
bjurman,No.  You're not.  40.
salander,I've been on my own since I was twelve. BJURMAN No. You've been a persistent burden to the State since you were twelve.
bjurman,"This behavior you're displaying right now is elaborately documented here -  - so it would come as a shock to no one if I chose an alternative to the lenient arrangement I just outlined. Is that what you're saying with your silence? You'd prefer institutionalization? 79A   INT. BJURMAN'S OFFICE BUILDING - DAY                     79A Salander steps into the elevator, hits the down button. As the doors close -"
liv,I found him at death's door halfway up the hill.
blomkvist,I'm afraid I'm a bit out of shape.
martin,"No, it's a climb for anyone. I should've warned you. Come on in."
liv,"I live in Hong Kong now, but come back to Stockholm for family events, and when I do, I drive up to spend a couple days with Martin. MARTIN She comes for the moose steak."
blomkvist,Is that what this is?
blomkvist,That one's good.
blomkvist,That was a dark day.
liv,Sorry to remind you of it. BLOMKVIST It's okay. There are worse things than libel - though I can't immediately think of one in my business.
liv,"You're writing a book now, Martin said. BLOMKVIST Henrik's biography. LIV I love Henrik. He's fascinating. Martin, too. Together they're the Old Sweden and the New."
blomkvist,"They are. LIV You know about Harriet, right?"
blomkvist,I do.
martin,What can't.
liv,Harriet.
blomkvist,Maybe we could talk about that later.
martin,We can talk about it now.  Liv knows everything about my crazy family. Which is why she'll never marry me.
liv,That's one reason.
blomkvist,How so.
martin,"We're not Nordea or Ericsson, but we're still the largest family-owned company in the country. At the height, we had 40,000 employees. We have about half that now, and that downward slide - anyone can tell you - began after my sister's death. It broke Henrik's entrepreneurial spirit, and his heart."
blomkvist,You were here that day?
martin,"Everyone was here, though I didn't get in until after the accident on the bridge. The 4:30 train."
blomkvist,I know it well. 44.
martin,It was a terrible day. And the days after - searching and not finding her - were even worse. Liv sets her hand atop her boyfriend's.
martin,"This event, Mikael, has to be a big part of your book."
cecilia,We're all uncomfortable with the idea of a chronicle of our family. 45.
blomkvist,It's not about the family. It's about Henrik and the company.
cecilia,Like I said.
blomkvist,It's not my intention to present a malicious portrait of anyone.
cecilia,"Unlike the one that landed you in court. BLOMKVIST Unlike that one. Correct. CECILIA So, what you're saying is, you're not really here to look into what happened to Harriet."
blomkvist,"I can't ignore such a dramatic event, but no, that's not by any means my focus. CECILIA So all those boxes Gunner carted down here - which are where? - in the closet now? - weren't Henrik's private investigation.  I wonder sometimes who's crazier - my Nazi father or my obsessed uncle. INSERT of the photo of Young Harald in his Nazi uniform on the wall."
blomkvist,"Since we're talking about it, since you brought it up, what was Harriet like?"
cecilia,"I'm sure Henrik has told you. BLOMKVIST He was my age then, and so couldn't know what was really going on with a teenager any more than I can with my own daughter. You were her age. 46."
cecilia,"Actually, my sister Anita was closer to her in age."
cecilia,She knew Harriet better than anyone - certainly better than I did. You should talk to her.
blomkvist,"I'd love to, where is she. CECILIA If I had to guess - London. BLOMKVIST You don't know where your own sister lives?"
cecilia,I haven't seen her in years.       We never really got along. BLOMKVIST I'm getting used to that comment.
cecilia,That's the way it is when you're always after the same boys.
blomkvist,People generally get over that sort of thing at a certain point.
cecilia,"Oh, I'm long over it, and won't ever have to worry about it again. She hates this place even more than I do. She left, moved to London and that was it. You couldn't pay her to send a Christmas card, much less visit. BLOMKVIST I'll try to track her down for you."
cecilia,Don't bother. BLOMKVIST For myself then.
cecilia,"If you do, and try talking to her about us, don't be surprised if she tells you to fuck off. 86   INT. MACJESUS - DAY                                         86"
tech,You backed up?
salander,"Hard drives at home, yeah."
tech,That's good.    This one's dead.
salander,It'll take five minutes.      It's important.
bjurman,Have you ever had an STD?  How many were men? That last one seems to amuse him; none amuse her. BJURMAN I'm required to ask you these things. It's a matter of health.
salander,Write down anything you want. Bjurman sighs. Sets the form aside and looks at the McJesus invoice again. BJURMAN Why do you need such an expensive computer?
salander,For work.
bjurman,Making coffee and sorting mail.
salander,I shouldn't even have to ask. I should have control of my money like before.
bjurman,And you will. Once you show me you can be sociable and get along with people. Can you do that?  Shall we start now?
bjurman,I know you're not thinking about telling anyone about our date. Enjoy your computer games. She takes the check and leaves.
anita,It's fine.    Please.     Have a seat.
blomkvist,I'm Mikael.
anita,Mikael.   How do you do.
anita,"You're looking for investment counseling, Mikael? BLOMKVIST I would if had any money to invest."
anita,Excuse me?
blomkvist,"I'm writing a biography of your uncle Henrik. That's why I'm here. She stares at him. He waits for the response Cecilia predicted, but it doesn't come. 95   EXT. CAFE - LONDON - DAY                                    95"
anita,"I haven't seen him in over 30 years. Or my sister. Or anyone else in my family. BLOMKVIST Most of what I'm writing about predates that, so your recollections are valid."
anita,"I wouldn't know where to start, if that was a question."
blomkvist,I can narrow it. I've gotten up to the 1960s. To the event that altered everything in Henrik's life. ANITA Harriet.  Everything I knew about that I told to - whatever his name was - that policeman - when it happened. BLOMKVIST Morell.
anita,My recollections then were a lot better than they are now.
blomkvist,"I'm not speaking of the crime itself. I'm trying to get a clearer sense of what Harriet was like. Particularly, toward the end."
anita,She was messed up. Like all us Vanger kids. Crazy mother. Drunken father. At least hers wasn't a Nazi like mine.
blomkvist,Was he abusive?
anita,Mine? BLOMKVIST Hers. 52.
anita,"I never saw it myself, but you could tell something was going on. One day she'd be withdrawn. The next she'd be putting on makeup and wearing the tightest sweater she had to school. The next she'd be studying a Bible like a nun - no Vanger was ever religious - can you imagine? Obviously, she was very unhappy."
blomkvist,"She never confided in you what about, specifically? ANITA There was no specifically. It was everything. It was being part of that family. Henrik's the only decent person in it."
blomkvist,What do you think happened to her?
anita,"Everyone knows what. BLOMKVIST But you have no ... thoughts about why, or who. ANITA All I know is I always felt sorry for her. Even more than for myself. I got out of there when I was 18 and never went back. She would have done the same but didn't make it to 18. 96   EXT. STOCKHOLM - DAY                                     96"
salander,It's me.
bjurman,Like it?
salander,It's nice.
bjurman,"It's home.  So, what do you need money for this time? Grand Theft Auto 5?"
salander,Food. He smiles.    Steps toward her.    Lifts her chin. BJURMAN How are you? Been thinking about last time? Decided you wanted to see me again? 54.
salander,I just want my money.
bjurman,"Well, let's see if I can help you out with that."
salander,Wait.
salander,"I just want to know, am I going to have to do this every time I need money to eat? BJURMAN It's so cute when you do that surly thing. Take my hand She reaches out to it and before she can react, there's a handcuff around the wrist. He quickly cuffs the other to his own wrist. This is bad. She tries to get out. He gets her in a strangle hold and chokes her into unconsciousness. 100A   INT. BJURMAN'S APARTMENT - LATER - NIGHT                 100A"
bjurman,What we're going to do now is teach you the value of money.
bjurman,I forget - did I ask you before if you liked anal sex?
bjurman,Are you sure?
bjurman,"So, next Saturday, here? 56."
erika,Is it any warmer inside? BLOMKVIST No.
blomkvist,Seriously?
erika,Is that hard to believe? Sitting up here in Lappland with your cat? 57.
blomkvist,I'm not.   I'm working.
erika,"I can see. What she can see is the Vanger research covering the walls and table surfaces, and that the threads of the family tree lead to a photograph of Vanger at the top."
blomkvist,Would you like to meet him?
erika,Maybe in about an hour.      If you're interested.
vanger,I apologize if you're having financial problems at the magazine in Mikael's absence. ERIKA We'll work through them. VANGER Are you sure?
martin,How long do you think you can hang on? Six months or so? ERIKA That sounds about right.
vanger," You know, I used to be in the newspaper business. We owned six dailies back in the 50's. MARTIN We still own one. The Courier, here in town. 58."
vanger,I let my nephew Birger run it since he can't run anything else.
erika,We've never considered it before. We value our independence.
martin,"Your independence is dependant on advertisers - if we're being honest. However much you think that is, you'd retain. We don't care about content."
blomkvist,Excuse me.   Did I miss something? VANGER We're talking about an investment in the magazine. BLOMKVIST I gather.    Why would you want to do that?
martin,"Not for the return, that's for sure."
vanger, I feel bad that I've take Mikael away from you at the worst possible time. This is the right thing to do. The moral thing. That's one reason.
erika,And. VANGER The enemies of my friends are my enemies. I hate Wennerstrom as much as you hate what he's done to you. Silence.
vanger,So what do you say? 59.
vanger,Is that a maybe? She nods.
vanger,"Wonderful!   More wine, Anna."
vanger,"I think Mikael is adapting well to rustic life, by the way. ERIKA Have you seen him try to make a fire?"
vanger,"Put the logs on end, like this."
blomkvist,Why didn't you tell me? ERIKA Why would I.   You live in the woods. BLOMKVIST So I deserve to be treated like an idiot?
erika,I wanted to hear what they had to say. You would've said no before they could. BLOMKVIST I'm saying it now. It's not a good idea. 60.
erika,You heard me tell them we could hang on for six months. I was lying. Without their money we'll be out of business in three. BLOMKVIST You don't know this family.   They're crazy.
erika,We're not marrying into it.
blomkvist,We are if we do this. It's exactly what we're doing.
erika,"You want to say no? Let's say no. Instead of 50 percent of something, let's own 100 percent of nothing."
blomkvist,What.
erika,So are you coming to bed or not.
tattoo artist,It's sensitive there. Particularly the ankles. It's gonna hurt.
salander,How much do one of those cost?
erika,"We made a serious mistake last year, and we regret it. But we're moving forward, and this is the first step."
reporter 2,You wouldn't say the first step was your sacking of Mr. Blomkvist?
erika,"That's inaccurate. Read the original press release, Viggo. I didn't fire him. He's on sabbatical. REPORTER 2 Where."
erika,"I'm not sure, to be honest with you."
martin,"Millennium is an excellent magazine. We also think it's undervalued right now, which is good business for us."
reporter 3,Is any magazine really undervalued today. How many will be around tomorrow?
vanger,"There's another reason.      I don't like bullies. REPORTER 3 Are you referring to Mr. Wennerstrom? VANGER I'm referring to anyone who tries to sue their enemies into submission. If Mr. Wennerstrom would like to try it again, he'll find himself fighting a company that can afford to fight back. REPORTER 3 You're enjoying this."
vanger,Already it's the most fun I've had in years.
blomkvist,I want to look at what the paper has in its archive on the parade.
blomkvist,I don't think so.
blomkvist,"Nothing probably. But I know photographers. They're the most insecure people on earth. If it's out of focus, or they don't like the framing, they bury it. A119   EXT. HEDESTAD COURIER - ESTABLISHING                   A119"
photo editor,"The current archive is on CD's, naturally. The older stuff, still negatives. What general period are you interested in?"
blomkvist,Thank you.
photo editor,Is this about Harriet Vanger? BLOMKVIST You're too young to know about that. PHOTO EDITOR Everyone here grows up knowing about her. It's how we're taught about strangers.
bjurman,"My dear Lisbeth, how are you? 66."
salander,I need more money. I need to pay my rent. She looks like a schoolgirl with her little backpack over her shoulder. How did he ever get so lucky?
bjurman,Come on in.
bjurman,"Since we're still figuring out what you like, I went shopping for some new toys."
salander,"Me, too."
bjurman,"You, too?    What did you buy?"
salander,I had it with me last time. I set it here. Remember?  See this snap? It's not a snap. It's a wide-angle micro-lens.
salander,"This shows you sodomizing a mentally impaired girl. If it's ever seen outside this room, who'll be institutionalized then?"
salander,Do I have your attention now?
