Speaker,Dialogue
second draft," October 22, 1998"
commodus,Do you think he's really dying?
lucilla,He's been dying for ten years.
commodus,I think he's really dying this time.
commodus,He has to be bled every night now.
lucilla,How do you know that?
commodus,I've been so informed.
commodus,If he weren't really dying he wouldn't have sent for us.
lucilla, Maybe he just misses us.
commodus,And the Senators.  He wouldn't have summoned them if --
lucilla,"Peace, Commodus.  After two weeks on the road your incessant scheming is hurting my head."
commodus,The first thing I shall do is honor him with games worthy of his majesty.
lucilla,The first thing I shall do is have a hot bath.
commodus,Why have we stopped?
commodus, Where is my father?
commodus,Is the battle won?
commodus, Take me to my father.
lucilla, Civilization at last.  Gods preserve us.
titus,You would do as well to read the mind of a rhinoceros.
quintus,These barbarians would rather drown in blood than yield an inch.  If I didn't hate them so much I would admire them.
titus,They simply will not surrender.
maximus, A people should know when they are conquered.
maximus,At the first signal release the catapults.  We'll use the cavalry to cut off the retreat.
quintus,"General, I don't recommend that. Our cavalry might be caught in the flames."
maximus,"I hope not, because I'm going to be leading them."
maximus,Why don't they know they're already dead?
quintus,Now!
maximus, Hold steady... steady...
maximus,Steady...
maximus,Brothers -- I salute you!  For Rome!
maximus,Caesar.
marcus,"Maximus, you prove your valor again. Let us hope for the final time here."
maximus,I don't think there's anyone left to fight.
marcus,There are always people left to fight...
marcus,"But this night, at least, Germania is at last defeated... What will you do now, my friend?"
maximus,"Should Caesar permit, I'll go home. I've been away too long.  I've forgotten my wife's face and I barely know my son."
german prisoner,"THIS BLOOD MEANS NOTHING, CONQUEROR!"
marcus, ... You speak our language?
german prisoner,"You have been in my homeland for twelve years.  Of course I speak your language.  So did my son, who you murdered.  So did my daughter, who you raped."
maximus," Come, Caesar..."
marcus,"No.  Let him speak...  ... I am Rome, what would you say to me?"
german prisoner," You are that sun, Rome, and your time is over... You can slit a thousand throats here, and you can put a thousand babies to the sword, but it will always be our home."
marcus,Now it is Rome.
german prisoner,It will never be Rome.  Not as long as one German breathes.
marcus,No... Release him.  Give him safe passage.  Let him go to his family.
marcus,"Tell me again, Maximus, why are we here?"
maximus,"For the glory of the empire, sire."
marcus, Yes.  I remember.
maximus,"They honor you, Caesar."
marcus,"I don't think they're standing for me, Maximus.  They honor you."
commodus,Have I missed it?
commodus,Have I missed the battle?
marcus,You've missed the war.  We're done here.
commodus,Father.  Congratulations.  I shall sacrifice a thousand doves to honor your triumph.
marcus,"Spare the doves and honor Maximus, he won the battle."
commodus,"General, Rome salutes you and I embrace you as a brother."
maximus,Highness.
commodus,"Your Spaniards seem invincible.  May the Gods favor the Felix Regiment now and always...  Here, Father, take my arm."
marcus, Where's your sister?
commodus,She's at the camp.  She had no desire to see the gore of the battlefield.
marcus, Lucilla would eat every corpse here if it brought her one step closer to the throne.
maximus," Caesar, you do the lady injustice."
marcus,It's a foolish old cobra who doesn't recognize his own off-spring...  I think... I should ride now.
marcus,So much for the glory of Rome.
commodus, He's dying.
commodus,Poor old man.
maximus," If you'll excuse me, Highness."
maximus,"What, Gallus, losing your other hand?"
gallus,"Aye, General, they're going to make a bronze one for it.  Long fingers this time."
maximus,And the women of your village will crave your touch even more.
gallus,"Ah, then you know the women of my village."
maximus,"What's your name, son?"
valerius,"Valerius, General."
maximus,The name suits you.
valerius,Why am I dying?
maximus,"You're dying because you love Rome, as I do."
valerius,I've never been to Rome.
maximus,Neither have I.  Rome for us lives here...  ... it's a thing inside us that came from our ancestors and that we give to our children.
valerius,"It must be glorious, Rome.  I've only seen pictures.  Is it a glorious place?"
maximus,"Yes, it's a glorious place."
valerius,It must be.
falco,"Hail, Marcus Aurelius."
marcus,"Stand up, Senators.  That unfamiliar posture doesn't suit you."
gaius,We live in supplication to your glory.
marcus,All the while conspiring with that fat man in Rome.  How is the old monster?
gaius,"Senator Gracchus is hale, sire."
marcus,Still damning me to the four winds?
gaius,"Still eager for your triumphant return to Rome, Caesar."
marcus,I would have silenced him decades ago -- but I just like him too much.
maximus," If you want to stay on, I support you.  So do the men.  I'll ask the Emperor to appoint you in my place."
titus,It won't be the Felix Regiment without you.
maximus,I'll return after a season at home. Maybe two.
quintus,That means after three or four more babies.
titus,And you'll be too fat from Vibia's cooking to get on your horse by then.
maximus,Should the Gods so bless me.  I would be thankful.
commodus,"Hail, warriors.  My congratulations."
commodus," My old friend, my father tells me you're returning to Spain?"
maximus,Yes.
commodus,A pity.  I'll need men like you in my army...
commodus,There are larger division that might appeal to you.  Even the Praetorian Guard.  You've never been to Rome. Imagine arriving as head of the Praetorians!  They have really splendid uniforms.
maximus, I'm going home.
gaius, ... And why not apply for entry to the Senate?
falco,A war hero with a handsome face and a strong heart could go far.
commodus,"General Maximus, may I present Senators Gaius and Falco.  Beware of this Gaius, he'll pour a honeyed potion in your ear and you'll wake up one day and all you'll say is ""Republic, Republic, Republic..."""
falco,Have you never considered Rome?
maximus,No.
commodus,You've had my ear since we were children.  You could be a valuable ally in the Senate.
gaius,Are you a believer in Republicanism?
commodus, There -- I warned you.
maximus,"I'm a soldier, not a politician."
gaius,"If your heart lies with the people, I would back you for the Senate. I'm sure Gracchus would as well."
commodus,Not a word about that sodomite bastard.
