Speaker,Dialogue
the godfather, Part Two  Screenplay by  Mario Puzo  and  Francis Ford Coppola
second draft," September 24, 1973"
woman, They've killed young Paolo!  They've killed the boy Paolo!
widow," Don Francesco.  You murdered my husband, because he would not bend. And his oldest son Paolo, because he swore revenge.  But Vitone is only nine, and dumb-witted.  He never speaks."
don francesco, I'm not afraid of his words.
widow, He is weak.
don francesco, He will grow strong.
widow, The child cannot harm you.
don francesco," He will be a man, and then he will come for revenge."
widow," I beg you, Don Francesco, spare my only son.  He is all I have.  In the name of the Holy Spirit, I swear he will never be a danger to you..."
widow," Vitone, go!"
mosca, Our Friend promises misery to anyone who harbors the boy Vito Andolini.
strollo, Our Friend will be hard with any family who gives help to Vito Andolini.
mosca," ...misery to any family who harbors the boy, Vito..."
father, Vito...We pray for you.
mosca, ...Andolini...
strollo, Our Friend promises misery to any family...
strollo, ...who harbors the boy Vitone Andolini.
mosca, Let no one give help to the boy Vito Andolini...
official, What is your name?
official,Your name?
official," Vito...Corleone.  Step up, over there."
doctor,Can you understand me?
doctor,You understand?  Smallpox.  Smallpox.
doctor,Quarantine...six months.
official,Salvatore Ormenta.
official,Vito Corleone.
guard,That's you.
priest,"Ecce Agnus Dei, ecce qui tollit peccata mundi."
priest,Corpus Christi.
anthony,Amen.
photographer,"All together now, c'mon, Anthony... CHEESE and "
kay,Thank you.
kay,Do you think it'll show in the picture?
mama,Two months never shows.  Two months look like you had a big lunch.
kay,I'm so happy you could come.
kay,A business meeting ran late...but he promised he wouldn't be long.
kay,This is our son Anthony Vito Corleone.  Today he made his First Holy Communion.
deanna,"I will not shut my mouth, and keep your Goddamn hands off of me!"
fredo,Honey!  Wait a minute; let's go for a drive.
deanna,"I just had a drive; besides, I want to see my brother-in-law Michael."
fredo," Yeah, but I don't want him to see you."
deanna,"What beats me, is how you guys could be brothers.  You musta been your Mother's rotten egg."
deanna," Young man, young man...thank you, young man."
waiter," Excuse me, but aren't you..."
deanna,"Yes, you saw me in the movies, Good Humor man, and yes, I had more off than my shoes!"
fredo,Goddamn bitch.
deanna,"Relax, Freddie honey.  Come dance with me."
fredo,"Listen, Michael's got a lot of nice people here.  Friends of Kay's. He'll never forgive me if you ruin his party."
deanna,I hate to see you cringe in front of him.  How come you're so scared of your own kid brother?
fredo,He's the head of the family.
deanna,Don't follow me!
connie,Mama...Mama!  Here I am!
mama,Constanzia.  We expected you last week; we sent the car to pick you up at the airport last week.
connie,"I know, it was chaos; but anyway, here I am one week late.  This is for my Mama.  You remember Merle?"
mama," Yes, thank you."
connie,How are the kids?
mama,"Well, thank you, they asked for you all week."
connie,I got surprises for everybody!
mama, Bought at the airport.
connie, This is swell.  Where's Michael? I've got things to get straight with him and I can't wait on line.
mama,"You go see your children first, and then you wait to see your brother like everybody else."
pentangeli,"Hey, kid!  You got any red wine?"
waiter, Only champagne and cocktails.
pentangeli,Forget it...
pentangeli,Fredo!  Sonuvabitch.  You look great.
fredo,"Who's that?  Pentangeli?  Frankie ""Five-Angels""...thought you were never coming West."
pentangeli," Gotta check up on my boys.  Hey, what's with the food?  Some kid in a white jacket brings me a ritz cracker with some chopped liver. 'Canapes,' he says.  I say, 'Can a peas, my ass, that's a ritz cracker with chopped liver.' Go get me a salami sandwich and a glass of wine or I'll send you and your white jacket to the dry cleaners!"
fredo,"Gee, Frankie, it's good to see you. Reminds me of old times."
pentangeli,"You remember Willy Cicci, don't you, Freddie?  We was all together with the old man Clemenza in Brooklyn... before...uh..."
fredo,We were all upset about that.
pentangeli,"That's what I'm here to talk to your brother about.  What's with him, I got to get a letter of introduction to have a 'sitdown'?"
fredo," C'mon, I see what I can do."
sandra,"Michael, this is Gardner Shaw. Francesca and he have been seeing each other for six months now. Gardner, this is Francie's Uncle Michael."
gardner," I've heard a lot about you, Mr. Corleone."
sandra,"They would like to set an engagement date, and..."
michael,Let them speak for themselves.
francesca,"We love each other, Uncle Michael. And, we want to be married.  I came to ask for your blessing."
neri,"Not now, Freddie..."
fredo,Tell Mike Frankie 'Five-Angels' is here.
neri,Not now...
michael,"Francesca is my oldest brother's daughter.  He died many years ago, and ever since I've felt much more of a father than an uncle.  I love her very much.  I'm pleased and impressed that you had the thought to come to me before going on with your plans.  It shows me that you're a considerate man, and will be good to her.  What are you studying in college?"
gardner,"My major is Fine Arts, sir."
michael,How will Fine Arts support your new wife?
gardner,"It's embarrassing to say, sir, but I'm a major stockholder in the family corporation."
michael, Of course I give you my blessing. Let's set the wedding soon...it will be my pleasure to give the bride away.
michael, ...and take a few courses in Business Administration just to be on the safe side!
francesca,"Thank you, Uncle Michael."
michael,Make her dowry impressive.  He comes from a family who still thinks an Italian bride goes barefoot.
francesca,Uncle Michael is the greatest man ever!
michael,It's him.  Fabrizzio.  Revenge is a dish that tastes best when it's cold.
neri,How do you want me to handle it?
michael,Later.  Tom?
hagen,"I've cleared it through the Senator's chief aide, a man named Turnbull.  Turnbull's a heavy gambler, and into us for over a hundred grand, so I figure his information is reliable."
hagen,"The Senator can be set up; but he thinks of himself as a clean politician.  So it's got to be on terms he can live with: campaign contribution, donation to a charitable cause that he controls, things like that.  If he gets even the inkling that you think you're buying him, he'll freeze up. Nevada's a funny state, they like things both ways here... All right. Turnbull says the Senator will be here at two-thirty, and he's been primed.  He knows you'll want to meet with him alone, and he knows it's about the Tropicana's license. At any rate, he expects to be introduced around to some of the influential people here today, and generally treated as an ordinary guest.  Just go light on him, Mikey, sometimes the biggest crooks don't like to think of themselves as crooks..."
hagen,"I'm sorry; of course, you know that."
michael,Two-thirty.  That gives me time to see my boy.
hagen,Connie's outside.
hagen,I promised; she said it was urgent.
michael,All right.  Apologize to Pentangeli.
michael,"I said I would see my sister, alone."
merle,"I think this concerns me too.  You don't, do you?"
connie,"How are you, honey?  You've met Merle, haven't you.  He was with me in Vegas."
michael,I saw him with you.
connie,We're going to Europe next week.  I want to get passage booked on the Queen.
michael,Why do you come to me?  Why don't you go to a travel agent?
merle,We're going to get married first.
michael,"The ink on your divorce isn't dry. Your children see you on weekends; your oldest boy, Michael Francis... was in some trouble with the Reno police over some petty theft that you don't even know about."
connie,Michael...
michael,"You fly around the world with lazy young men who don't have any love for you, and use you like a whore."
connie,You're not my father!
michael,Then why do you come to me?
connie,Because I need MONEY!
michael," Connie, I want to be reasonable with you.  You have a house here, with us.  You can live here with your kids...and you won't be deprived of anything.  I don't know much about Merle; I don't know what he does for a living; what he lives on.  Why don't you tell him marriage is really out of the question; and that you can't see him any more. He'll understand.  But if you disobey me, and marry this pimp...it would disappoint me."
connie,It was my father's money; and I'm entitled to what I need.  Where is Tom Hagen?
michael,Are you finished?
merle,I think so.
michael,Then out.
pentangeli,"I can't believe that out of thirty professional musicians, not one of you is Italian!  C'mon, give us a tarantella."
michael,"Rocco, his friends must be hungry. See what you can do, but I'd like to keep them away from the guests."
michael,"You know my lawyer, Tom Hagen. Johnny Ola."
ola,"Sure, I remember Tom from the old days."
michael,"Tom isn't going to sit in with us, Johnny.  He only handles specific areas of the family business.  Tom?"
hagen,"Sure, Mikey."
hagen,"If you need anything, just..."
michael,Just tell Rocco I'm waiting.
ola,I just left our friend in Miami.
michael,How is his health?
ola,Not good.
michael,Is there anything I can do; anything I can send?
ola,"He appreciates your concern, Michael, and your respect."
ola,"The hotel's registered owners are one Jacob Lawrence, and Sidney Barclay, both Beverly Hills attorneys.  In reality it's split between the Old Lakeville Road Group from Cleveland, and our friend in Miami.  He takes care of others outside the country, you know who I mean.  Meyer Klingman runs the store, and does all right, but I've been instructed to tell you, that if you move him out, our friend in Miami will go along with you."
michael,"He's very kind, tell him it's appreciated.  I'm sure it will be profitable all the way around."
ola,"He always makes money for his partners.  One by one, our old friends are gone.  Death, natural or not, prison, deported.  Our friend in Miami is the only one left, because he always made money for his partners."
kay,"Anthony, Daddy's busy."
michael," This is my boy, and my wife.  Mr. John Ola of Miami."
kay,"I'm sorry, Michael.  Senator Geary's here, and Mr. and Mrs. Barrett wanted to thank you before they left.  Won't you join us, Mr. Ola?"
michael,"Mr. Ola's just leaving, Kay. Please tell the Senator I won't be a minute."
michael, Kay.
kay,"Yes, Michael."
kay,"Anthony!  Anthony, where are you going?"
