Speaker,Dialogue
hagen,Tony.
connie,In you get ---
mary,Will. Daddy be at the airport?
hagen,No. Ere wanted me to tell you both how sorry he was.
connie,8e sure and give my love to your mother.
neri,It isn't like you won't be back from time to time.
lampcne,"I' 11 bet we' 11 all. be together for Christmas. Wait and see. Tony gems into the car. He locks out the window to-- ward the house. We begin XXI-N Ti. TZS 2 C 2=17""s"
tee driveway,"Hagen is the last one into the car. As it starts down the driveway on its way to the airport in Reno, Connie, Lampone, Neri and the Housekeeper all wave. The auto- matic gate at the foot of the driveway opens. The Guard at the gate flicks a half-salute as the Limousine passes through. TEE GROUP r n FONT OF EOQSE As the group breaks, Connie and the Housekeeper going back inside, Neri and Lampone drifting off, we pan up- ward to a window in the second-story and zoom in. Michael Corleone has moved the curtain aside with one hand and is looking after the disappearing limousine, his expression unreadable-but somehow sad."
crundellius' voice,"-- there are no limits to the goals to which we can each legitimately aspire. And now, as an unpopular war is ended in East Asia and we set our sights on new goals, I leave you with the words of another Sailor --- We continue to pull back to discover that we are at the Navy and Marine Corps stadium. It is a late Spring day and in the early-middle Nineteen Seventies. The Midshipmen, their parents and guests, are gathered for- the graduation ceremonies."
grqndelliiis,"' Our will is to keep the torch of freedom burning for all. To this solemn purpose we call on the young, the brave and the strong, and the free. Heed my call. Come to the sea. Come sail with me.'"
another angle,"The speech is over and as the audience applauds, the Superintendent of the Academy crosses an to Grundellius."
superintendent,Trident Scholar Anthony Adams At the sound of his name Tony rises and moves toward- the Speaker's platform. We
first classman,I propose three cheers for those we leave behind. Hip hip
sip hip,"?EA aR=G TONY As the graduating Midshipmen give their last full- throated response and skim their hats into the air, Tony -- half a beat behind the others -- does like- wise. We pull back and pan upward to the explosion of white hats arching through the air."
tony,"Thank you, Sir."
tony, See you all tonight. Tony kisses his mother and he and Palmateer move off.
mobs' otjse,"Something the matter, Mister Adams?"
tony,"Before we go into polygraphs and so on, there's something you might not know. MCB EOUS.c Fact is, we know quite a bit."
moreeouse,"Divorced. Morehouse. scratches the correction into the dossier. with a pencil, then:"
tony,And baseball.
moreeouse,And baseball.
tony,"Does this assignment have scmet-h4 n5 to do wit nv =a;, er? tc NT.?w.'?VZD}"
morehouse,only in so far as he has certain business connections that might be willing to help us.
tony,Y haven't seen my father since I was ten years old.
moreeouse,No contact at all?
tony,"I get a Christmas present and a check or. my birthday --that's about it. As far as I know, he's retired. Doesn't see anyone."
tony,"I really don't know if I can help you very much, Mister :Korehouse."
morehouse,"Let me ask you a personal question, Tony.. Do you love your Country ,-  I'm not talking about t.'::e Nathan Hale kind of thug. Just simply, warts and all, do you dish this Nation well?"
tony,"Yes, of course."
morehcuse,"Well, what if w told you -- and trying nct to be grandiose -- that this one operation might very ael'6 insure peace on this :iemisnhere for the next: f.i t r vea s . Maybe Mora."
tony,Well?
aagen,"s Where? Who's concerned? What would it entail, speci.-46ically?"
tour,I don't know that vet.
emmit,When will you be able to tell me these things?
tony,As soon as they decide I.'m not a Russian spy.
tony,What they'd like to fi:d out. right now is: Wctzd you be interested?
tony,I think about Tahoe sometimes. Is the fishing still good up there?
tony,Those were good days.
eagen,Yes. They were.
anotber angle,"As Al Teri cones up, looking at his watch."
neri,You still want to catch that shuttle to New York?
hagen,"Yes. Thank you, Al."
hagezy,Q.S. Navy Research 'acili.ty.
tony,"Nothing. it-'s a dummy out: i,t. That phone rings in Langley, but they'll know where I am. f f Agen nods and guts the card in his wallet a we"
tony,About what?
tony,I thought he had his reasons.
tony,"Nothi..ng The Secor_d Iuterro,acor glandes cver. The ~t ace of anger in Tor_v`s _as- response has told hiz. and us somethinc . C""^' TO: ui-"
tony,No.
tony,No.
tony,Yes.
tony,"No. Save vou? The ;""hi=d Interrogator tenses angrily for a ncment,"
tony,No.
tony,It's my roommate up at Eseter. Phil Bodeen.
tony,Z don't know.
tonv,what?
tony,As a matter of fact Z don't.
tour,"No, Sir. Dying doesn't fit in with my plans at all."
tony,T plan on passing this thing
tony,What makes you think so?
hagen,"Tom! Alberto ! Come in. Come in This way. I  No calls, :Maggie."
brady,"You're looking good, Tom. How do you keep your belly so flat?"
eagen,Mainly trying to rum you down.
brady,StaLLJag?
another ance,"Brady crosses to the head of the board table where he opens a :older and starts riffling through some papers. As he does so, Eagen opens his briefcase."
bagen,"'1f you've misplaced it, I have a copy of the package plus. a summary of Genco International's assets and projected profits based on audited financial statements with additional data supplied by our Comptroller. I also have the plans and estimates."
brady,okay. okay. I found 4-
brady,"That's beside the point. ?act is, those days are over when Danny used to hand it out like so much free lunch. There's been a big reduction in our c fitment to new construction loans."
brady,Let me read you something.
brady,"t'm sorry, Tom. :Such as I love and respect cur former president, I don't have any burning urge to end up rooming with him at Leavenworth."
eagw,"Before you give me your final re- fusal., I'd like to say one thing ---"
brady,"You've just had my final refusal, Hagen. The answer is no. i ANOTHER ANGLZ as Hagen looks at Brady for a moment, then starts putting papers back into his briefcase. As he does so:"
brady,No hard feelings. It's just a policy decision of the Board.
bagen,I understand and I thank you for your time ---
brady,What's that supposed to mean?
brady,"What am t supposed to do? Get scared? Piss in my pants? ,,To one is trfing to intimidate you. The Corleone : ti.ly doesn't do business that wacr,"
brady,Wait a minute. Hagen turns back. Brady comes up with the Genco Inte.r- national loan application.
brady,"Take this along with you in case you run out of toilet paper on 0 the flight back to Vegas. 3agen takes the application from Brady, then cuietly: E ,Gr 3 Don't ever think that the Corleone Tamily is finished, Mister Brady. That would be a mistake. Hagen and Neri now turn and exit. Brady is looking after them. Gradually the bravado drains from his big, pink, Irish face and he crosses to the telephone and picks it up."
brady,Gat me Sam Maatrocina.
maatrocina,"There's a trick to it, Pat."
i brady,"Hello Sam. I'm sorry to have bothered you. We pull back slightly as Maatrocina --- in neat yacht- ing whites and deck shoes - comes up followed by a cold-looking man, Ralph Augusto, Maatrocina's hood."
troc,No bother at all.
maatrccina,So what's our friend Tcm Hagen sp to these days?
brady,Still shopping around for that loan.
maatrocina,Lots of luck to him.
brady,"Thank you, Ralph. Augusta, having lit Brady's cigar, nods expression- lessly and sits as:"
maatrociia,Don't worry about it.
brady,Something about Hagen kind of bothered me. Maatrocina offers a platter of grapes to Brady.
brady,No thank you.
m atrocina,I'll te12 you haw tough Hagen is --
brady,Yeah? What about Al Neri?
maatrocina,I tell you don't worry -- don't worry. You stick with the -Maatro- ciza famly you're safe as church.
maatrocina,"Do me a favor.. One grape. I grow 'em at my own place. They're de- licious. As Brady takes a grape, Maatrocina looks over at Ralph"
cameraman,"You ready, Liz?"
tony,Here. As Tony flicks the lighter on:
eltzaaet,Thank you.
tony,My name's Adams. Tony Adams.
elizabeth's vcic,"Senor Presidente, there are still those who say that in spite of the advances you've made, your Country still falls short of the Democratic"
vidal,"Obviously. However, the convulsions that my Countz went through four years ago last February were not so much a revolution as they were a --"
elizabeth's vozc,A cleansing.
s vidal,Exactly. Muchas gracias. My Country was befouled by the corruption of its leaders and their exploitation at the people. A hard cleansing was needed and sometimes that is painful -- but the pain is over and now Z am 0 hoping. that qty little Cc=try and your great Yaticn can once again be
elizabeth's voice,"I'm sure a lot of pecple say Amen to that, Senor Presidente. On the screen the scene has shifted to an attractive beach area where Vidal, in a wet suit, is adjusting his'-scuba gear preparitory to diving. Admiring child-- red and Elizabeth Ann. Duane watch. Over this:"
elizabeth's voice,"For a glimpse of another facet of Armando Vidal's nat.ire, we spent the last day at the beach at Finca del Sol Where El Presidente exhibited his skills as a scuba diver -- one of his favorite hobbies. On the screen Vidal --ousels a kid' s ha..- and crosses into the water. As he wades out, Tony turns to Elizabeth."
tony,When will this be shown?
elizabeth,"Sometime in the Fall. While Elizabeth, in the projection room, is saying this. her image on the screen has turned to the T4 camera and is saying:"
elizabetb's voice,"This is Elizabeth Ann Dunne coming to you from Finca del Sol where -- in an exclusive interview -- El Presidents, Armando Vidal, has just extended the hand of friendship from quote, 'his little Country to our great Nation . '"
anotesr angle,The reel is over. The screen goes blank and the lights in the projection room go on.
tony,"Right. There's a couple of ques- tions I wanted to ask you, if that's okay."
elizabeth,"I ignoring it. I've got to pick up some shots around town, but you're welcome to come along. They are at the projection: room door. As Tony cpens it for her she causes, then:"
elizabet3,"You ever play any baseball, :lister Adams?"
tony,Sow did you guess h.at?
elizabeth,I saw you pitch a no-hitter against Army two years ago.
tony,You're kidding.
tony,"None of my business, but what were you. doing at an Army-Navy ball. game?"
elizabeth,We were putting together a special on Arne Grundellius. He'd just been appointed Secretary of State. Ee threw the first ball that day.
tony,You've got a pretty good memory.
elizabeth,"And you.'ve got a pretty good slider. But L've got to be honest, you threw a lot of junk in the last two innings . As Tony shoots her a look:."
elizabeth,My old man was on the Spar rs' Desk of the Boston Globe for wwent;r-five
tony,You and Grundeilias?
tony,Ee really gets around.
elizabeth,"Well, he got around nee anyway."
tony,Oaps.
another angle,"As Elizabeth picks up another picture, this one a framed studio portrait, inscribed, of the Secretary. As she locks at it:"
tony,"You stir see h,m?"
tony,Z was just going.
elizabeth,Don't mind me. I'm just your basic Boston Irish. We bruise easily and heal slowly.
elizabeth,Call. me.
frankii,Here it comes now.
another angle,as the fear comes up. Noses into the slip. Creak of pilings. The limousine drives onto the ferry.
pranrie,I don'-.t ;smcke.
franrzir,Beat it.
neri,"Give him a _-- Suddenly veri breaks cg!, sensing something wrong. The other Puerto Ricans are surrounding the limousine. As Neri dives for the door of the car ---"
another angle,Guns have appeared in the hands of the Puerto Ricans and they start to blast at the limousine from outside. The ferry whistle is blowing.
mwtt anglz,"Neri :its the deck, a !4 na , cones t _t? -- --u n :t a- blast:.:.CT."
another angle,"One of the Puerto Rican kids is hit squarely in the chest. He flies back, azms up, legs sz readea_gI d, like he was hit in the chest with a baseball bat."
on franrse,"Prankie is out of the car, reaching for his gun. Before he can get it clear, he is hit in the shoulder and spun to the splintery, oily deck."
another angze,"As a Puerto Rican goes to finish off Frankie, Al Neri blows him away."
on neri,"He goes down to his knees, tries to raise his grin for one last shot. A Puerto Rican grins and putting his gun. an inch from Neri's face, pulls thetrigger."
ancteer angle,"People are screaming, running. The'ferry is starting to pull from the dock. The four remaining Puerto Ricans run for the end of the boat, make the Leap over the churning water from the ferry to the landing."
another angle,"The services finish and the group breaks into smaller informal, groupings. We move to Tom Hagen and Tony, who have drifted to one side. aNOTH.ER ANGLE as Hagen indicates a moon-faced man, Imberto Croce, about sixty, who is approaching them."
hagen,Umberto Croce out of Tama. He took over the whole Florida thing after Hyman Roth and Johnny Ola were retired. Cmberto has come up.
crocz,Youi father must be proud.
bagzn,"Say hello to your cousin,"
ir rankie,"Rizzi - your Aunt Connie s by-- and this- is Santino, your uncle Sonny's oldest. As Tony shakes hands with Santino and ?rinkie:"
santino,Frankie was in that little shit storm on the ferry boat.
croce,The whole thing don't make sense to me.
franxie,"All Z know is Al got a phone call from that, nephew of his, Tommy, who runs numbers in Staten Island."
santino,Fucking punk.
frahrie,It was something about Al's sister being sick bad with the ptomaine or I something. We walked right into it.
crocz,What about Tommy?
franxiz,The nephew? Nobody seen him since.
santino,Ask me he's out in the Narrows with about eight slot machines tied around his neck.
another angle,"As Rocco Lamm pone comes up, clearly agitated:"
laaone,How do you Like the ally oaf that bastard? Snowing up here.
lamp one,"If your old man was alive, that son of a bitch would be eating his dinner in hell tonight."
rage,"Be patient, Rocco, and trust me."
anotser anglz,"as Sam Maat:ocina comes up, his expression suitably somber."
maatroclma,"Tom. E'ellas. Go figure life, huh?. A guy like Al Neri. Who'd of fig- c a red him to get mousetrapped like that? Maatrocima is shaking hands with Hagen,. Rocco and 0 Frankie. As he does so:"
maatrocina,The arm on the guy.
hagen,"Mistake, ';.'onv. ?never let a man like that 'mow what you' :e thiak- .ng ."
fravrie,Dania near ruined his appetite.
tony,How strong is the Corleone family connected in Latin America?
frankte,We got some people doom there used to work for us in the hotel. Now they do odd jobs. Help with the airline. Like that.
tony,Tell me about the airline. It's what you call non-scheduled. You 'now?
franzie,"Hey, Francesca. Barbara."
franbie,And here' s Mister Nazori.ne -- still makes the best tarelles in town. As Tony is greeting the old man:
francesca,"Tony, Tony. I remember the day you. were born. A blizzard. And grandpa and Tessin and Clemenza were sitting out in the backyard in the snow with a five gallon jug of grappa, celebrating."
f ranxiz," Later, huh?"
ben,"CZ.ose the door, please, ?rankie and make yourself comfor able."
tony,It's a political assassination. The target is Asmanda Vidal.
