Speaker,Dialogue
david,I'd have more peace of mind if the live-in nurse were still here.
hanna,"She was nothing but bother.  I not like her, Mr. Jimmy not like her. We do better if you live-in again, Mr. David."
david,You'll contact me if there's an emergency?
hanna,"Yes, I call you at this number.  Mr. Jimmy?  More coffee?"
whale,What?  Oh yes.  Why not?
whale,Isn't Hanna a peach?
david,She tells me you haven't been sleeping well.
whale,"It's the ridiculous pills they prescribe.  If I take them, I spend the next day stupid as a stone. If I don't, my mind seems to go off in a hundred directions at once --"
david,Then take the pills.
whale,I wanted to be alert for your visit today.  Especially since I saw so little of you in the hospital.
david,"I'm sorry, Jimmy.  But with this movie and two difficult stars --"
whale,"""The fault, dear David, is not in ourselves but in our stars."""
david, You remember how a production eats up one's life.
whale,"Oh, David.  There's no pleasure in making you feel guilty.  You better go, my boy.  You'll be late for that aeroplane."
david,"By the way, I like the Renoir."
whale,Thank you.
david," Goodbye, Hanna."
young whale,"Yes, Mum."
william whale,"Straighten up, son."
whale,Hanna?  Who's the new yardman?
hanna,Bone?  Boom?  Something Bee.  I hire him while you were in the hospital.  He came cheap.
whale,The bells of hell go ting-a-ling For you but not for me. Oh death where is thy sting-a-ling? Grave where thy victory?
whale,Good morning.
clay, Mornin'.
whale,My name is Whale.  This is my house.
clay,Nice place.
whale,And your name is --?
clay,Boone.  Clayton Boone.
whale,I couldn't help but notice your tattoo.  That phrase?  Death Before Dishonor.  What does it mean?
clay,Just that I was in the Marines.
whale,The Marines.  Good for you.  You must have served in Korea.
whale,"Getting to be a warm day.  A scorcher, as you Yanks call it."
clay,Yeah.  I better get on with my work.
whale,"When you're through, Mr. Boone, feel free to make use of the pool. We're quite informal here.  You don't have to worry about a suit."
clay,No thanks.  I got another job to get to this afternoon.
whale,"Some other time, perhaps?  Keep up the fine work."
sarah whale,Jimmy.  The privy needs cleaning.
whale,I have my class tonight.
sarah whale,"Don't get above yarself, Jimmy. Leave the drawring to the artists."
whale,"Quite so, mum.  To the privy."
sarah whale,"""Quite so.""  Jimmy Whale.  Who are ya to put on airs?"
whale,"There is iced tea, Hanna?  Cucumber sandwiches?"
hanna,"Yes, Mr. Jimmy.  An interview.  After so many years. Very exciting."
whale,Don't be daft.  It's just a student from the university.
hanna,"Mr. Kay, sir."
whale, Yes?
whale,"Ah, Mr. Kay.  I'd almost forgotten. My guest for tea."
kay,"Mr. Whale, this is such an honor. You're one of my favorite all-time directors.  I can't believe I'm meeting you."
whale, No.  I expect you can't.
kay,And this is your house.  Wow.  The house of Frankenstein.  I thought you'd live in a spooky old mansion or villa.
whale,One likes to live simply.
kay,I know.  People's movies aren't their lives.
kay,Love dead.  Hate living.
kay,"That's my favorite line in my favorite movie of yours.  ""Bride of Frankenstein."""
whale,Is it now?  Hanna?  I think we'll take our tea down by the swimming pool.
whale,"Will that be good for you, Mr. Kay?"
kay,Sure.
whale, After you then.
kay,"I love the great horror films.  And yours are the best.  ""The Old Dark House.""  ""The Invisible Man.""  They look great and have style.  And funny!"
whale,This is the studio where I paint.
kay,Nice.  And your lighting and camera angles.  You're got to go back to German silent movies to find anything like it.
hanna,Time for you to leave.
clay,I'm on my way.
whale,"So, Mr. Kay?  What do you want to know?"
kay,Everything.  Start at the beginning.
whale,"I was born outside London, the only son of a minister who was a master at Harrow.  Grandfather was a bishop.  Church of...Church of Eng..."
kay,Mr. Whale?
whale,Yes?
kay,Your father was a schoolmaster?
whale,"Of course.  I attended Eton -- it wouldn't do for a master's son to attend where his father taught.  I was to go up to Oxford but the war broke out and I never made it.  The Great War, you know.  You had a Good War, but we had a great one."
whale,"You can't imagine what life was like after the Armistice.  The twenties in London were one long bank holiday, a break from everything dour and respectable.  I had a knack with pencil and paper, so I was hired to design sets for stage productions."
whale,"Thank you, Hanna.  Very nice."
whale,You can go now.
whale,"There was one play in particular, a beautiful, grim study of war called ""Journey's End"".  Every experienced director turned it down, so I offered myself, bullying and begging for the job.  ""Journey's End"" made the careers of everyone associated with it.  It was only a matter of time until Hollywood beckoned."
kay,"How much longer before we get to ""Frankenstein""?"
whale,"Am I correct in assuming, Mr. Kay, that it's not me you're interested in, only my horror pictures?"
kay,"Oh no, I want to hear everything. You made twenty pictures in all --"
whale,Twenty-one.  The romantic comedies and dramas were much more to my liking.  The horror pictures were trifles.  Grand guignol for the masses.
kay,But it's the horror movies you'll be remembered for.
whale,"I am not dead yet, Mr. Kay."
kay,No.  I never said you were.  Or will be soon.
kay,"So.  ""Journey's End"" brought you to Hollywood --"
whale,"I have a proposal, Mr. Kay.  This mode of questioning is getting old, don't you think?"
kay,I don't mind.
whale,"Let's make it more interesting.  I will answer any question you ask. But, for each answer, you must remove one article of clothing."
kay,"That's funny, Mr. Whale."
whale,"It is, isn't it?  My life as a game of strip poker.  Shall we play?"
kay,You're serious.
whale,Quite.
kay,Then the rumors are true?
whale,What rumors might those be?
kay,"That you were forced to retire because, uh -- a sex scandal."
whale,"A homosexual scandal, you mean? For me to answer a question of that magnitude, you'll have to remove both your shoes and your socks."
kay,You're a dirty old man.
whale,You are kind to indulge your elders in their vices.  As I indulge the young in theirs.
whale,No.  There was no scandal.
whale,My only other vice.  I suppose you'd like a fuller answer to your question.
whale,It will cost you your sweater.
kay,"Too warm for a sweater, anyway."
whale,"You must understand how Hollywood was twenty years ago.  Nobody cared a tinker's cuss who slept with whom, so long as you kept it out of the papers.  Outside of Hollywood, who knows who George Cukor is, much less what he does with those boys from the malt shops along Santa Monica?"
kay,"George Cukor?  Who made ""A Star Is Born""?  I never guessed."
whale,Take off your vest and I'll tell you a story.
whale,Don't be shy.  There's time to stop before you go too far.
kay,I guess.
whale,"George is famous for his Saturday dinner parties.  Great artists, writers, society folk, all rubbing elbows with Hollywood royalty.  But how many of those oh-so-proper people know about the Sunday brunches that follow?  Gatherings of trade eating leftovers, followed by some strenuous fun and frolic in the pool.  If a goat like that can continue about his business, my more domestic arrangements could've raised very few eyebrows."
kay,Can we talk about the horror movies now?
whale,"Certainly, Mr. Kay.  Is there anything in particular you want to know?"
kay,"Will you tell me everything you remember about making ""Frankenstein""?"
kay,Can that count as one question?
whale,Of course.
kay,I can't believe I'm doing this.
kay,"Just like going swimming, isn't it?"
whale,"Maybe you'd like a swim when we're through.  I never swim myself, so the pool tends to go to waste."
kay,"Okay.  ""Frankenstein.""  Tell me everything."
whale,Righto.  Let me see.
whale,"Universal wanted me for another story, and wanted me so baldly -- I mean badly, not baldly.  I was given the pick of stories being developed, and I picked that one."
kay,Who came up with the Monster's makeup and look?
whale,"My idea.  Muchly.  My sketches. Big heavy brow.  Head flat on top so they could take out the old brain and put in the new, like tinned beef."
kay,He's one of the great images of the twentieth century.  As important as the Mona Lisa.
whale,You think so?  That's very kind --
kay,Boris Karloff.  Where did you find him?
kay,"Karloff, Mr. Whale.  How did you cast him?"
whale,Please.  Excuse me.  I must go lie --
kay,Mr. Whale?  Are you all right?
whale,I just need to -- lie down. Studio.  Daybed in studio.
kay,"Oh my God.  What's wrong, Mr. Whale?  Is it your heart?"
