Speaker,Dialogue
godzilla, by  Dean Devlin & Roland Emmerich
skipper, Captain. This is the bridge. We have an emergency.
cook, What's going on? What's happening?
captain, What was that!?
skipper, I can't tell...
captain, Abandon ship! Abandon ship! Man the lifeboats...
a tarp," is ripped away, revealing a life boat. Two more life boats are revealed behind it as the crew desperately tries to hoist them up and over the side."
the crew," Are thrown backwards. The lifeboats swing WILDLY, several of them SMASHING INTO BITS as they slam against the ship."
the claw," Or whatever it is, RIPS INTO THE SIDE AGAIN. This time the entire ship begins to FLIP OVER."
a lifeboat," Bounces off the deck and slides off the side. Following it is the Cook.  Desperately, the Cook grabs onto the ship's side railing to keep from falling off. He looks back and SEES something so horrible that he SCREAMS IN TERROR and lets go of the railing.  The old Cook slides over the side as the enormous tanker FLIPS OVER.  CUT TO:"
nick," ...I'm singing in the rain, just singing in the rain..."
nick,"...""What a glorious feeling. I'm happy again..."""
nick,"...""I'm laughing at clouds, so dark up above..."""
nick,"...""The sun's in my heart and I'm ready for love..."""
nick,"...""Let the cloudy skies chase..."""
nick,"...""I'm singin' in the mud, just scooping up my worms..."""
nick, Permit. How do you say permit?
nick,It's Tatopoulos.
terrington,"The worm guy, right?  Kyle Terrington, U.S. State Department."
nick,What are they doing?
terrington,You've been reassigned.
nick,You can't shut me down now! My research here's not finished!
terrington,It is now.
briefing officer,The Japanese consulate has been calling and we've been getting pressure from the Americans.
raymond,What did you tell them?
briefing officer,Nothing yet.
raymond,Are there any other survivors?
briefing officer,"Only one, Sir. He was very lucky."
raymond,Get them out of there.
raymond, Ask him what happened.
briefing officer, It's no use. He's been like this since we fished him out of the ocean. Whatever happened to that tanker put him in a complete state of shock.
raymond," What did you see, old man?"
old cook, Gojira...Gojira...
second official, I have no idea what he is saying.
old cook, ...Gojira!...Gojira!...GOJIRA!!
major hicks,Dr. Niko Topopolosis?
nick, It's Tatopoulos.
major hicks,Right. The worm guy.  Can someone get those people off the beach?
nick,"Excuse me, would you mind telling me what the hell I'm doing here?"
major hicks,Follow me.
