Speaker,Dialogue
chuckie,"Oh my God, I got the most fucked up thing I been meanin' to tell you."
all,Oh Jesus. Here we go.
chuckie,You guys know my cousin Mikey Sullivan?
all,Yeah.
chuckie,"Well you know how he loves animals right?  Anyway, last week he's drivin' home... "
all,What? Come on!
chuckie," I'm sorry, 'cause you know Mikey, the fuckin guy loves animals, and this is the last person you'd want this to happen to."
will,"Chuckie, what the fuck happened?"
chuckie,"Okay. He's driving along and this fuckin' cat jumps in front of his car, and so he hits this cat--"
morgan,--That isn't funny--
chuckie,"--and he's like ""shit! Motherfucker!"" And he looks in his rearview and sees this cat -- I'm sorry--"
billy,Fuckin' Chuckie!
chuckie,So he sees this cat tryin to make it across the street and it's not lookin' so good.
will,It's walkin' pretty slow at this point.
morgan,You guys are fuckin' sick.
chuckie,"So Mikey's like ""Fuck, I gotta put this thing out of its misery""--So he gets a hammer--"
chuckie,"out of his tool box, and starts chasin' the cat and starts whackin' it with the hammer. You know, tryin' to put the thing out of its misery."
morgan,Jesus.
chuckie,"And all the time he's apologizin' to the cat, goin' ""I'm sorry."" BANG, ""I'm sorry."" BANG!"
billy,Like it can understand.
chuckie,"And this Samoan guy comes runnin' out of his house and he's like ""What the fuck are you doing to my cat?!"" Mikey's like ""I'm sorry"" --BANG--"" I hit your cat with my truck, and I'm just trying to put it out of it's misery"" -- BANG! And the cat dies. So Mikey's like ""Why don't you come look at the front of the truck."" 'Cause the other guy's all fuckin flipped out about--"
will,Watching his cat get brained.
chuckie,"Yeah, so he's like ""Check the front of my truck, I can prove I hit it 'cause there's probably some blood or something""--"
will,--or a tail--
morgan,WILL!
chuckie,And so they go around to the front of his truck... and there's another cat on the grille.
chuckie,Is that unbelievable? He brained an innocent cat!
lambeau,Please finish McKinley by next month.
lambeau,"I'm hoping that one of you might prove it by the end of the semester. The first person to do so will not only be in my good graces, but go on to fame and fortune by having their accomplishment recorded and their name printed in the auspicious ""M.I.T. Tech."""
lambeau,"Former winners include Nobel Laureates, world renowned astro- physicists, Field's Medal winners and lowly M.I.T.  professors."
lambeau,Okay. That is all.
chuckie,Will!
chuckie,You're gonna get charged!
will,"You think I'm afraid of you, you big fuck? You're crowdin' the plate."
chuckie,Stop brushin' me back!
will,Stop crowdin the plate!
chuckie,Casey's bouncin' at a bar up Harvard. We should go there sometime.
will,What are we gonna do up there?
chuckie,"I don't know, we'll fuck up some smart kids.  You'd prob'ly fit right in."
will,Fuck you.
student,"Excuse me, Professor Lambeau?"
lambeau,Yes.
student,I'm in your applied theories class. We're all down at the Math and Science building.
lambeau,It's Saturday.
student,I know. We just couldn't wait 'till Monday to find out.
lambeau,Find out what?
student,Who proved the theorem.
billy,Who's that? She's got a nice ass.
morgan,"Yah, that is a nice ass."
chuckie,You could put a pool in that backyard.
billy,Who's she talking to?
morgan,"That fuckin' guinea, Will knows him."
will,"Yah, Bobby Champa. He used to beat the shit outta' me in Kindergarten."
billy,He's a pretty big kid.
will,"Yah, he's the same size now as he was in Kindergarten."
morgan,"Fuck this, let's get something to eat..."
chuckie,"What Morgan, you're not gonna go talk to her?"
morgan,Fuck her.
will,I could go for a Whopper.
morgan," Let's hit ""Kelly's."""
chuckie,"Morgan, I'm not goin' to ""Kelly's Roast Beef"" just cause you like the take-out girl. It's fifteen minutes out of our way."
morgan,What else we gonna do we can't spare fifteen minutes?
chuckie,"All right Morgan, fine. I'll tell you why we're not going to ""Kelly's."" It's because the take-out bitch is a fuckin' idiot. I'm sorry you like her but she's dumb as a post and she has never got our order right, never once."
morgan,She's not stupid.
will,She's sharp as a marble.
chuckie,"We're not goin'.  I don't even like ""Kelly's."""
lambeau,This is correct? Who did this?
lambeau,Nemesh?
nemesh,No way.
lambeau,"Well, whoever You are, I'm sure you'll find this one challenging enough to merit coming forward with your identity.  That is, if you can do it."
morgan,Double Burger.
morgan, Double Burger.
morgan,"I, I had a Kelly's Double Burger."
chuckie,"Would you shut the fuck up! I know what you ordered, I was there!"
morgan,So why don't you give me my sandwich?
chuckie,"What do you mean ""your sandwich?"" I bought it."
morgan," Yah, all right..."
chuckie,How much money you got?
morgan,"I told you, I just got change."
chuckie,Well give me your fuckin' change and we'll put your fuckin' sandwich on layaway.
morgan,Why you gotta be an asshole Chuckie?
chuckie,I think you should establish a good line of credit.
chuckie,Oh motherfucker...
will,She didn't do it again did she?
chuckie,Jesus Christ. Not even close.
morgan,Did she get my Double Burger?
chuckie,NO SHE DIDN'T GET YOUR DOUBLE BURGER!! IT'S ALL FUCKIN' FLYIN' FISH FILET!!
will,"Jesus, that's really bad, did anyone even order a Flyin' Fish?"
chuckie,"No, and we got four of 'em."
billy,You gotta' be kiddin' me. Why do we even go to her?
chuckie,"Cause fuckin' Morgan's got a crush on her, we always go there and when we get to the window he never says a fuckin' word to her, he never even gets out of the car, and she never gets our order right cause she's the goddamn MISSING LINK!"
will,"Well, she out did herself today..."
morgan,I don't got a crush on her.
chuckie,What do we got?
will,I don't know yet.
morgan,"Come on, Will..."
chuckie,Shut up.
morgan,"No, why didn't you fight him at the park if you wanted to? I'm not goin' now, I'm eatin' my snack."
will, So don't go.
chuckie,"Morgan, Let's go."
morgan,"I'm serious Chuckie, I ain't goin'."
chuckie," You're goin'. And if you're not out there in two fuckin' seconds, when I'm done with them you're next!"
will," Hey, Bobby Champa! I went to Kindergarten with you right? Sister Margaret's class..."
chuckie,"Hey, thanks for comin' out."
will,"Yeah, you're all invited over to Morgan's house for a complementary fish sandwich."
will," Hey, I know it's not a French cruller, but it's free."
will,Get the fuck off me!
landlady,Sean?
landlady,Sean? You okay?
sean,Yeah.
landlady,It's getting cold.
chuckie,When's the arraignment?
will,Next week.
lambeau,"Is it my imagination, or has my class grown considerably?"
lambeau,"I look around and see young people who are my students, young people who are not my students as well as some of my colleagues. And by no stretch of my imagination do I think you've all come to hear me lecture."
lambeau,"But rather to ascertain the identity of who our esteemed ""The Tech"" has come to call ""The Mystery Math Magician."""
lambeau,"Whoever you are, you've solved four of the most difficult theorems I've ever given a class. So without further ado, come forward silent rogue, and receive thy prize."
lambeau,"Well, I'm sorry to disappoint my spectators, but it appears there will be no unmasking here today. I'm going to have to ask those of you not enrolled in the class to make your escape now or, for the next three hours be subjected to the mundities of eigenvectors."
lambeau,"However, my colleagues and I have conferred. There is a problem on the board, right now, that took us two years to prove. So let this be said; the gauntlet has been thrown down. But the faculty have answered the challenge and answered with vigor."
lambeau,Excuse me!
will,"Oh, I'm sorry."
lambeau,What're you doing?
will, I'm sorry.
lambeau,"What's your name?  Don't you walk away from me. This is people's work, you can't graffiti here."
will,Hey fuck you.
lambeau, Well... I'll be speaking to your supervisor.
lambeau,My God.
morgan,"What happened?  You got fired, huh?"
will,"Yeah, Morgan. I got fired."
morgan, How fuckin' retarded do you have to be to get shit-canned from that job? How hard is it to push a fuckin' broom?
chuckie,"You got fired from pushing a broom, you little bitch."
morgan,"Yah, that was different. Management was restructurin'--"
billy,"Yah, restructurin' the amount of retards they had workin' for them."
morgan,"Fuck you, you fat fuck."
billy,Least I work for a livin'.  Why'd you get fired?
will,Management was restructurin'.
chuckie,My uncle can probably get you on my demo team.
morgan,What the fuck? I just asked you for a job yesterday!
chuckie,"I told you ""no"" yesterday!"
all, What's up Case.
casey,ID?
chuckie,"So, this is a Harvard bar, huh? I thought there'd be equations and shit on the wall."
chuckie,"Hey, how's it goin'?"
lydia,Fine.
skylar,Okay.
chuckie,"So, you ladies ah, go to school here?"
lydia,Yes.
chuckie,"Yeah, cause I think I had a class with you."
skylar,What class?
chuckie,"Ah, history I think."
skylar,Oh...
chuckie,"Yah, it's not a bad school..."
clark,What class did you say that was?
chuckie,History.
clark,How'd you like that course?
chuckie,"Good, it was all right."
clark,"History? Just ""history?"" It must have been a survey course then."
clark,"Pretty broad. ""History of the World?"""
chuckie,"Hey, come on pal we're in classes all day. That's one thing about Harvard never seizes to amaze me, everybody's talkin' about school all the time."
clark,"Hey, I'm the last guy to want to talk about school at the bar. But as long as you're here I want to ""seize"" the opportunity to ask you a question."
clark,"Oh, I'm sure you covered it in your history class."
chuckie,"To tell you the truth, I wasn't there much. The class was rather elementary."
clark,"Elementary? Oh, I don't doubt that it was. I remember the class, it was just between recess and lunch."
chuckie,"All right, are we gonna have a problem?"
clark,There's no problem. I was just hoping you could give me some insight into the evolution of the market economy in the early colonies. My contention is that prior to the Revolutionary War the economic modalities especially of the southern colonies could most aptly be characterized as agrarian precapitalist and...
will,"Of course that's your contention. You're a first year grad student. You just finished some Marxian historian, Pete Garrison prob'ly, and so naturally that's what you believe until next month when you get to James Lemon and get convinced that Virginia and Pennsylvania were strongly entrepreneurial and capitalist back in 1740. That'll last until sometime in your second year, then you'll be in here regurgitating Gordon Wood about the Pre-revolutionary utopia and the capital-forming effects of military mobilization."
clark," Well, as a matter of fact, I won't, because Wood drastically underestimates the impact of--"
will,"""Wood drastically underestimates the impact of social distinctions predicated upon wealth, especially inherited wealth..."" You got that from ""Work in Essex County,"" Page 421, right? Do you have any thoughts of your own on the subject or were you just gonna plagiarize the whole book for me?"
will,"Look, don't try to pass yourself off as some kind of an intellect at the expense of my friend just to impress these girls."
will,"The sad thing is, in about 50 years you might start doin' some thinkin' on your own and by then you'll realize there are only two certainties in life."
clark,Yeah? What're those?
will,"One, don't do that.  Two -- you dropped a hundred and fifty grand on an education you coulda' picked up for a dollar fifty in late charges at the Public Library."
clark,"But I will have a degree, and you'll be serving my kids fries at a drive through on our way to a skiing trip."
will," And if you got a problem with that, I guess we can step outside and deal with it that way."
will,"If you change your mind, I'll be over by the bar."
morgan,My boy's wicked smart.
skylar,You suck.
will,What?
skylar,I've been sitting over there for forty-five minutes waiting for you to come talk to me. But I'm just tired now and I have to go home and I wasn't going to keep sitting there waiting for you.
will,I'm Will.
skylar,Skylar. And by the way. That guy over there is a real dick and I just wanted you to know he didn't come with us.
will,I kind of got that impression.
skylar,"Well, look, I have to go. Gotta' get up early and waste some more money on my overpriced education."
will,"I didn't mean you. Listen, maybe..."
skylar,Here's my number.
skylar,Maybe we could go out for coffee sometime?
will,"Great, or maybe we could go somewhere and just eat a bunch of caramels."
skylar,What?
will,"When you think about it, it's just as arbitrary as drinking coffee."
skylar," Okay, sounds good."
will,Five minutes.
skylar,What?
will,I was trying to be smooth.  But at twelve-fifteen I was gonna come over there and talk to you.
skylar,"See, it's my life story. Five more minutes and I would have got to hear your best pick-up line."
will,The caramel thing is my pick-up line.
skylar,Glad I came over.
morgan,"There goes that fuckin' Barney right now, with his fuckin' ""skiin' trip."" We should'a kicked that dude's ass."
will,Hold up.
will,Hey!
will,DO YOU LIKE APPLES?
will,DO YOU LIKE APPLES?!
clark,Yeah?
will,WELL I GOT HER NUMBER! HOW DO YA LIKE THEM APPLES?!!
lambeau,Excuse me. Is this the buildings and grounds office?
terry,"Yeah, can I help you?"
lambeau,I'm trying to find the name of a student who works here.
terry,No students work for me.
lambeau,"Could you just check, because the young man who works in my building--"
terry,Which one's your building?
lambeau,Building two.
terry,"Well, if something was stolen, I should know about it."
lambeau,"No, no. Nothing like that. I just need his name."
terry,I can't give you his name unless you have a complaint.
lambeau,"Please, I'm a professor here and it's very important."
terry,"Well, he didn't show up for work today..."
terry,"Look, he got his job through his P.O. so you can call him."
will,"There is a lengthy legal precedent, Your Honor, going back to 1789, whereby a defendant may claim self- defense against an agent of the government where the act is shown to be a defense against tyranny, a defense of liberty--"
judge malone,"Mr. Simmons, Officer McNeely who signed the complaint isn't in my courtroom. Why is that?"
prosecutor,"He's in the hospital with a broken knee, Your Honor. But I have depositions from the other officers."
will,"Henry Ward Beecher proclaimed, in his Proverbs From Plymouth Pulpit back in 1887, that ""Every American citizen is by birth, a sworn officer of the state.  Every man is a policeman."" As for the other officers, even William Congrave said; ""he that first cries out 'stop thief' is 'oft he that has stolen the treasure."""
prosecutor,Your Honor--
will, Ibid. Your Honor.
prosecutor,Man is a what?
will,"Julius Caesar proclaimed -- Though he be wounded-- ""Magna..."""
judge malone,"Son,  My turn."
judge malone," June, '93, assault, Sept. '93 assault... Grand theft auto February"
judge malone,"Where, apparently, you defended yourself and had the case thrown out by citing ""free property rights of"
judge malone,"March, '94 public drunkenness, public nudity, assault. 10/94 mayhem. November '94, assault. Jan. '95 impersonating a police officer, mayhem, theft, resisting -- overturned--"
judge malone,"You're in my courtroom, now and I am aware of your priors.  I'm also aware that you're an orphan. You've been through several foster homes. The state removed you from three because of serious physical abuse."
judge malone,"Another Judge might care. You hit a cop, you go in.  Motion to dismiss denied."
judge malone,"Keep workin' on your arguments, son. A word of advice for trial; speak English."
lambeau,"Excuse me, your Honor.  Gerald Lambeau."
lambeau,I'm a professor at M.I.T.  Combunatorial Mathematics.
judge malone,Oh. Pleased to meet you.
lambeau,Do you have a minute?
guard,"One call, to an attorney.  One."
will,How many?
will,"Hey, Skylar?"
skylar,Yeah?
will,"It's Will, the really funny good looking guy you met at the bar?"
skylar,"I'm sorry, I don't recall meeting anyone who fits that description."
will,"Okay, you got me. It's the ugly, obnoxious, toothless loser who got drunk and wouldn't leave you alone all night."
skylar,Oh Will! I was wondering when you'd call.
will,"Yeah, I figured maybe sometime this week we could go to a cafe and have some caramels."
skylar,"Sounds good, where are you now?"
will,"You aren't, by any chance, Pre-law? Are you?"
lambeau,"Hello. Gerald Lambeau, M.I.T."
will,Fuck do you want?
lambeau,I've spoken with the judge and he's agreed to release you under my supervision.
will, Really?
lambeau, Yes. Under two conditions.
will,What're those?
lambeau,That you meet with me twice a week  and you meet with a therapist.
will,"If I agree to this, I walk right now?"
lambeau,That's right.
will,I'll do the work. I'm not going to meet with a therapist.
lambeau,"Now, it won't be as bad as it sounds, Will.  I'm sure it'll be better than spending the next six months in jail."
billy,"Submit, bitch! Submit! Submit!"
morgan, Suck my cock!
billy,"Oh, Morgan!"
chuckie,What'd you get? You get leniency?
will,"Probation, counselin', few days a week."
chuckie,You're fuckin' good.
chuckie,"Just submit, Morgan. He's got you in the Cobra Clutch."
morgan, Fuck your mother too!
will,That's why I love stock-car racin'. That Dale Ernhart's real good.
psychologist,"Now you know Will, and I know, what you need to be doing. You have a gift."
will,"I could work the pit maybe, but I could never drive like Dale Ernhart--"
psychologist,"You have a quality -- something you were born with, that you have no control over -- and you are, in a sense, hiding that by becoming a janitor. And I'm not saying that's wrong. I'm friends with the janitor that works in my building.  He's been to my house for dinner. As a matter of fact I did some free consultation for ""Mike"" -- that's not his real name. That's in my book."
will,"Yeah, I read your book. ""Mike"" had the same problems as ""Chad"" the stockbroker."
psychologist,"Yes. The pressures you feel, and again, I am neither labeling nor judging them, are keeping you from fulfilling your potential -- you're in a rut. So stop the Tom Foolery -- the Shenanigan's, Will."
will,You're right. I know.
psychologist,"Will, your not getting off that easy."
will,"No, but, I mean you know... I do other things. That no one knows about."
psychologist,"Like what, Will?"
will,"I go places, I interact."
psychologist,What places?
will,"Certain, clubs.  Like, Paradise. It's not bad."
will,It's just that feeling when you can take your shirt off and really dance.  When the music owns you. Do you understand?
psychologist,I might understand that.
will,Do you find it hard to hide the fact that you're gay?
psychologist,What?
will,"C'mon, I read your book. I talked to you. It's just something I know to be true."
psychologist,That's very presumptuous.
will,"Buddy, two seconds ago you were ready to give me a jump."
psychologist," Well, I'm sorry to disappoint you, but I'm married and I have two children."
will,"I'm sure you do. You probably got a real nice house, nice car -- your book's a best seller."
psychologist,"You're getting defensive, Will."
