Speaker,Dialogue
ben,"- and today it is right that we should ask ourselves the one most important question: What is the purpose of these years, the purpose for all this demanding work, the purpose for the sacrifices made those who love us?  Were there NOT a purpose, then all of these past years of struggle, of fierce competition and of uncom- promising ambition would be mean- ingless.  But, of course, there is a purpose and I must tell it to you.  I ask you to remember this purpose always and I pledge that I shall endeavor to carry it with me forever."
ben," The purpose, my fellow graduates - the purpose is -"
ben,"- there is a reason, my friends, and the reason is -"
ben,- the reason is - the purpose is -
captain's voice,The sound you have just heard is the landing gear locking into place.  The Los Angeles weather is clear and the temperature is a pleasant 72.  We do not expect any traffic delay and will make our four hour and eighteen minute flight plan smack on the nose.  We enjoyed having you on board and look forward to seeing you again in the near future.
stewardess' voice,"Ladies and gentlemen please fasten your seat belts in preparation for the landing and observe the no smoking sign.  After we land, you will notice an increase in the sound level as the thrust of the engines is reversed to help reduce forward speed."
man's voice,"Your attention, please!  American Airlines Flight Number 4, 21 Club service, non-stop to New York is now leaving from Gate"
ben,"Look, Dad - could you explain to them that I have to be alone for a while?"
ben,I'm just -
ben,Well -
ben,I don't know.  I want it to be -
ben, Different.
ben,"Thank you, Mrs. Carlson."
ben,Sir?
ben,"Yes, ma'am."
ben,Excuse me - I think I'd just like to check something on the car for a minute -
ben,"Just fine, Mr. Loomis."
ben,Helpingham.
lady 1,Ben - we're all so proud of you.
lady 2,"Proud, proud, proud, proud, proud."
lady 3,What are you going to do now?
ben,I was going to go upstairs for a minute -
lady 3,No - I meant with your future.
lady 2,With your life.
ben,Well - that's a little hard to say -
ben,Mr. McQuire.
ben,"Yes, sir."
ben,Yes I am.
ben,Exactly how do you mean?
ben,"Yes, I will."
ben,Excuse me just a minute -
ben,It's down the hall.
ben,"Fine, thank you.  The bathroom is down at the end of the hall."
ben,"Look, Mrs. Robinson, I don't mean to be rude but -"
ben,No. MRS. ROBINSON Oh - I forgot.  The track star doesn't smoke.
ben,Is what a girl?
ben,Oh - no.  I'm just sort of disturbed about things.
ben,That's right.
