Speaker,Dialogue
older man,"I'm real sorry about Dorothy, Walt. She was a real peach."
walt,"Thanks for coming, Al. Walt Kowalski looks young for his age. He has slate blue eyes, physically fit and has had the same buzz cut hairstyle since getting out of the military in 1953. Walt is also a perfectionist. Nothing escapes his hawklike eyes, eyes that pierce and judge. Walt looks around at how the young people have dressed at his wife's funeral. His eyes narrow at his GRANDDAUGHTER's belly button ring."
walt,"Jesus Christ. Walt's two sons, MITCH and STEVE, watch their father from across the pews."
mitch,Look at the Old Man glaring at Ashley. He can't even tone it down at Mom's funeral?
steve,What do you expect? Dad's still living in the 50s. He expects his granddaughter to dress a little more modestly.
mitch,"Yeah, well your kid's wearing a Timberwolves jersey. I'm sure Dad appreciates that."
steve,My point is that there's nothing anyone can do that won't disappoint the Old Man.
page 3,"It's inevitable. That's why we stopped doing Thanksgivings; the deal with the boat motor, the broken bird bath, it's always something."
mitch,What are we going to do with him? Don't you think he'll get in trouble by himself over in the old neighborhood?
steve,Why don't you have him move in with you?
mitch,Ha ha.
father janovich,"Death... is often a bittersweet occasion to us Catholics. Bitter in the pain it causes the deceased ... and their families. Sweet to those who know the salvation that awaits them. And some may ask, what is death. Is it the end? Or is it the beginning? And what is life? What is this thing we call life?"
walt,Jesus. Walt coughs. He takes a handkerchief and wipes his lips. He looks down and notices a speck of BLOOD on the white cloth.
steve,A lot of people showed up after the service.
walt,"Yeah, well, I s'pose they knew there'd be plenty of ham. I think I'll go downstairs and get some more chairs."
steve,"I'll do it, Dad."
walt,"Naw, we need them now, not next week."
david,Is that Dad?
daniel,"No, it's Grandpa Walt. Josh turns the photo over and reads it..."
josh,"Third Platoon, E company, March second, 1952, Korea.'"
daniel,Where's Korea?
josh,Hell if I know? David holds up a MEDAL.
david,"Cool, I found a medal. They hear someone coming downstairs. By the time Walt descends the staircase, the boys sit on the couch, pretending to be doing nothing. Walt gives them a hard look as he grabs some chairs. 5 People eat and chat. Ashley marches over to her parents, KAREN and Mitch."
mitch,"Ashley, honey. Why don't you help Grandpa Walt with the chairs?"
ashley,Me?
karen,Yes you.
ashley,"Grandpa Walt, can I help you with the chairs."
walt,"I'll take care of it, you just painted your nails. Walt opens the folding chairs and looks out the window. It's snowing. Walt puts on his coat, he almost looks relieved to get out of the house."
walt,"I'd better salt the sidewalk before someone falls and breaks a hip. Walt taps the floor with his boot and DAISY, his very, very, very old DOG follows him outside."
walt,"Jesus Christ, how many swamp rats can they cram into a living room? Walt spits in the snow and walks back to the garage."
ashley,"Wow, Grandpa, when'd you get the vintage car? Walt looks at her for a second, then steps on her still burning cigarette before answering."
ashley,I never knew you had a cool old car.
walt,It's only been in here since before you were born.
ashley,"So, what are you like going to do with it like, when... you die? Walt lights up a smoke --"
walt,"Jesus, Joseph and Mary. Walt pulls the cover back over the Gran Torino."
ashley,"Then what about that super cool retro couch in the den, I'm going to State next year and I don't have, like, any furniture? Walt walks out without commenting."
walt,Who the hell are you?
tao," I'm Tao, I live next door."
walt,"What?! Speak up, boy, get the shit out of your mouth. What do you want?"
tao,Do you have jumper cables? My uncle's car is old and...
walt,"No. And have some goddamned respect, zipper head, we're mourning over here. Walt slams the door in Tao's face. Walt turns and is suddenly cornered by Father Janovich. Walt hates situations like this."
father janovich,"How you holding up, Walt?"
walt,Mr. Kowalski.
father janovich,Huh?
walt,"It's Mr. Kowalski, not Walt."
father janovich,"Right, Mr. Kowalski. Your wife and I became quite close these last few months. She asked that I watch over you when she passed on. I told her I watch out for my entire flock, but she made me promise I'd keep an extra sharp eye on you."
walt,"I appreciate your kindness to my wife and now that you've spoken your piece, why don't you move on to the next sheep? Walt starts to step away, but Father Janovich blocks him."
