Speaker,Dialogue
"may 29, 2012",BLACK.
card 1,AT 600 KM ABOVE PLANET EARTH THE TEMPERATURE FLUCTUATES BETWEEN 120 AND -100 DEGREES CELSIUS.
card 2,"THERE IS NOTHING TO CARRY SOUND, NO OXYGEN, AND NO AIR PRESSURE."
card 3,LIFE HERE IS IMPOSSIBLE.
mission control," DMA M1, M2, M3 and M4 are complete."
mission control," Copy that Explorer. Dr Stone-Houston, requesting status update..."
ryan,"Installation ninety-five percent complete. Running level one diagnostics on circuits, sensors, and power. Standby."
mission control," Standing by. Looks like we're on schedule. Dr. Stone, Medical is concerned about your ECG readings."
ryan,I'm fine Houston.
mission control," Well, medical doesn't agree doctor. Are you feeling nauseous?"
ryan,"Not any more than usual, Houston. Diagnostics are green. Linking to communications card. Ready for data reception. If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
mission control," That's a date, doctor. Just remember, Houston is partial to Margaritas."
ryan,"OK, here we go... Booting comm card now. Please confirm link.  Negative. We're not seeing any data."
ryan,"Stand by, Houston. I'm gonna reboot the comm card."
mission control, Standing by.
astronaut,"Houston, I have a bad feeling about this mission."
mission control,Please expand.
matt,"Okay, let me tell you a story. It was '96. I'd been up here 42 days. Every time I passed over Texas, I'd look down, knowing the second Mrs Kowalsky, was looking up, thinking of me. Six weeks I'm blowing kisses to that woman. Then we land at Edwards and I find out she'd run off with a lawyer before I was off the launch pad, so I packed my car and I headed to..."
mission control,"Tijuana. You've told this story, Kowalsky. As Houston recalls, she took off in your '74 GTO. Engineering requests fuel status on the jet pack prototype."
matt,"Five hours off the reservation and I show 30% drain. My compliments to Engineering. Except for a slight malfunction on the nulling of the roll axis, this jetpack is one prime piece of thrust. MISSION CONTROL  Engineering says thank you."
matt,Tell them I still prefer my '67 Corvette though. Speaking of which did I ever tell you the--
mission control," We know the Corvette story, Matt."
matt,Even Engineering?
mission control,"Especially engineering. We're going to miss you, Matt."
ryan,Comm card reboot in progress.
mission control," Thank you doctor. Shariff, what's your status?"
shariff,Nearly there. Replacing battery module A1 and C.
mission control," Could you be more specific? Indeterminate estimates make Houston anxious. SHARIFF No... no... no Houston, don't be anxious. Anxiety is not good for the heart... The system is ready to re- activate."
mission control," Hubble Telescope engaged. Upgrade fully functional. That applause you hear is for you, Shariff. Congratulations. Kick back, take the rest of the day off."
shariff," Woohoo... Jaise Baadal Paani Ka, Yaarana Hai Oh Jaise Paani Ka, Yaarana Hai."
mission control," Matt, please advise as to Mission Specialist Shariff's current activity."
matt,He appears to be doing the Macarena of some sort. Though that would merely be a best guess scenario on my part.
mission control,Dr. Stone. Houston. Medical now have you with a temperature drop to 35.9 and heart rate rise to 70. How are you doing?
ryan,"Houston, I'm fine, it's just...  ...Keeping your lunch down in zero G is harder than it looks. MISSION CONTROL Doctor Stone? Medical is asking if you want to return to Explorer?"
ryan,"No, we've been here for a week Houston, let's just finish this."
mission control," That's a negative. I'm afraid we're getting nothing on this end, doctor."
ryan,Try again.
mission control, Still nothing.
ryan,"Houston, could you please turn that music off?"
mission control, Kowalsky?
matt,Not a problem.
ryan,"Thank you, Kowalsky."
ryan,Could Houston be misinterpreting the data--?
mission control, We're not receiving any data. Engineering is recommending a vis- check for component damage.
ryan,Mmmm. Let me see what's going on.
mission control, That seems to be the case. Engineering admits that you warned us that this could happen. That's as close to an apology as you're going to get from them. We should've listened to you doc.
ryan,I'm on it.
mission control, Copy that. How long do you think it'll take you?
mission control," Outstanding. We appreciate your patience, Doctor. Installing your system in the Hubble is the main purpose of this mission."
matt,Seventy-five minutes shy. Never crossed my mind.
mission control," Matt, It's been a privilege."
matt,"Right back atcha, Houston."
mission control, Enjoy your last walk...
matt,Am I a go to assist Dr. Stone in removing the panel?
ryan,Assistance appreciated.
mission control, Mind if I join the fun?
ryan,Certainly.
matt,How are you feeling?
ryan,Like a Chihuahua that's being tumble dried.
matt,"It's been a rough week. If it makes you feel any better, I puked up everything but my kidneys on my first ride."
ryan,Whoa...! AWOL!
matt,Hey -- you're the genius up here. I just drive this bus.
ryan,Call me a genius if I can get this board initialized in the next hour.
mission control,"Explorer, this is Houston."
explorer cap,Go ahead Houston.
mission control,"NORAD reports a satellite has incurred a missile strike. The impact has created a cloud of debris orbiting at 20,000 miles per hour. Current debris orbit does not overlap with your trajectory. We'll keep you posted on any developments."
ryan,Should we be worried?
matt,Let the boys down there worry for us.
ryan,"Explorer, engage arm and pivot to cargo bay."
explorer cap, Standby for arm maneuver.
matt,"So doc, now that you work for NASA, how do you like it?"
shariff,"Kinda like winning the lottery, isn't it?"
matt,How long was your training?
ryan,Six months.
shariff,Including holidays?
matt,"So, what is this scanning system?"
shariff,"Nothing rad, it's just a new set of eyes to scan the universe."
ryan,"Assuming it works, it's just for hospital use. This one is a prototype."
explorer cap,Standby for marking.
matt,"Listen, they don't bankroll prototypes, even for your pretty blue eyes."
ryan,My eyes are brown.
matt,Right now your eyes are blood shut.
shariff,Kowalsky!
matt, And to think he went to Harvard.
ryan,Mm-hm.
matt,"""Mmm?"" So what do you like about being up here?"
ryan,The silence.  I could get used to it.
matt,Hmmmm. Terrific.
ryan,"Houston, from first inspection comms panel appears to be dead. Am I a go to cut link to auxiliary? MISSION CONTROL You're the expert, doctor. It's your call."
matt,"Houston, I have a bad feeling about this mission."
mission control,Please elaborate.
matt,It's the same feeling I had at Mardi
mission control,"That is affirmative. Surprisingly, control hasn't heard the Mardi Gras story. Please proceed."
matt,"Well, it's day one and I'm bumping my way down Bourbon Street looking for the sister of a friend of mine. The streets are swimming with people, I'm thinking there's no way I'm finding this girl..."
ryan,Proceeding to over ride.
matt,"Then all of a sudden I look up and -- there she is.  I am about to yell out when I notice she's holding hands with a short hairy guy in board shorts and a Margaritaville T-shirt. Then I realize, the guy's no guy. My sister's friend is holding hands with a--"
mission control," ISS, this is Houston."
mission control," Explorer, this is Houston."
explorer cap, Go ahead Houston.
mission control, Mission abort. Repeat: mission abort. Initiate emergency disconnect from Hubble.
explorer cap," Copy all Houston, and in work. Matt, immediate return to Explorer. Repeat, immediate return to Explorer."
matt,"Roger. Explorer, prep airlock! EXPLORER CAP  Airlock engaged--ready to receive."
matt,Houston. Elaborate.
