Speaker,Dialogue
forster,"Does that mean you -- He's interrupted as Mr. Wing COUGHS -- a rattling spasm that sounds deeply unhealthy. When the coughing subsides, he answers Forster."
forster,"Keep the TV. As Mr. Wing walks Clamp's men to the door in b.g., HOLD on the TV set -- and a small, furry PAW that reaches into FRAME to change the TV CHANNEL. With the change of stations, the TV screen fills with a SCENE from a Rambo picture. SYLVESTER STALLONE addresses the movie"
stallone,"To survive a war... you've got to become war. Then he screws an explosive-filled metal ARROWHEAD onto an arrow, and SHOOTS the arrow from a bow. The arrow hits a HELICOPTER, which bursts into FLAMES."
cd,"As he starts COUGHING again,"
bodyguard,"I'm sorry that didn't work out, sir. I thought he'd like the TV."
forster,You hear that cough? The guy must be eighty -- maybe ninety. We can wait.
producer,"""is Then we go to the boss -- The video IMAGE SWITCHES to Clamp being interviewed behind his spotless, high-tech desk."
reporter,"That old guy had some neat stuff in his store. You think they'll auction it off, or...?"
producer,Nash...I hear they're just gonna tear it down.
kate,"I should be finished by six tonight. If we go straight from work, we can make the Early Bird Special at the movies."
billy,"It's going to be close. Maybe we could do it tomorrow -- no, tomorrow's when the Futtermans are"
kate,"Mister Futterman must be getting better, if he can travel."
billy,His wife says he's getting better. He's just been -- rattled.
kate,I guess having a bunch of monsters drive a snow plow through jour living room could kind of that to you. He almost got kied.
billy,"Right. (checks his watc4LI We're gonna be late,"
taxi driver,You goin' a' the airport?
billy,"No, the -- The taxi ROARS away -- Billy lets go of the door handle just in time."
kate,Billy...I don't think we're getting the hang of New York.
billy,"I'll try and get out early tonight. I have to finish that drawing of the Chinatown building...  You know, I -had the whole thing just right they're making we take twent p ies off the World Trade Center ofjbVilding looks bigger. Z? F"
kate,"A lot of people aren't as thered by that kind of thing as you are, Billy."
billy,"Yeah, no kidding...I don't think I'm getting that promotion this year."
kate,That's okay. We don't have to wait.
billy,"Yeah we do. It wouldn't feel right, getting married on the money I'm making now. It's bad enough that you got me the job --"
kate,"I didn't get you the job, I just heard about it. Billy, you can get promoted and stuff if you want to, but you have to act like you deserve it. Let people know you're there."
billy,"Want to try the revolving doors today? Before Kate can answer, a WORKER enters one of the revolving doors. The power-assisted door, going too fast, WHOOSHES him inside, and we HEAR --"
kate,Uh-uh. They use a regular door instead.
doreen,".hope you've enjoyed your tour of the world's most modern automated office building. Don't forget, copies of Mr. Clamp's best-selling book, I Took Manhattan, are on sale at the newsstand..."
kate,Don't let things get to you.
billy,I Won't.
for,Yes sir.
forster,"Yes sir. I'm doing a decor compliance check this morning. Tonight I'm doing a random drug search, and -- He's interrupted as an aging MAN IN A DRACULA COSTUME  comes over to the cabinet and tries to address Clamp over the TV hookup."
grandpa fred,"Excuse me. Mister Clamp, could I speak with you for a --"
forster,We're busy.
grandpa fred,I just need a -- Forster snaps the cabinet shut.
forster,"I said -- we're busy.  16 ANGLE - BILLY AT ELEVATORS 16 As the elevator doors open, Billy is joined by MARLA, the chain-smoking, New Yorked-out head of his department."
marla,Billy --
billy,"Hi, Marla, how --"
